,Money_per_Event_Leaders_RANK THIS WEEK,Money_per_Event_Leaders_RANK LAST WEEK,Money_per_Event_Leaders_PLAYER NAME,Money_per_Event_Leaders_EVENTS,Money_per_Event_Leaders_MONEY PER EVENT,Money_per_Event_Leaders_TOTAL MONEY
0,1,1,Tiger Woods,21,506096,10628023
1,2,2,Michael Campbell,5,317112,1585560
2,3,3,Phil Mickelson,21,271409,5699604
3,4,4,Vijay Singh,30,267244,8017335
4,5,5,Retief Goosen,18,194116,3494105
5,6,6,Padraig Harrington,15,174382,2615731
6,7,7,Jim Furyk,26,163668,4255368
7,8,8,Sergio Garcia,20,160668,3213375
8,9,9,Colin Montgomerie,6,160344,962069
9,10,10,David Toms,25,158480,3962013
10,11,11,Kenny Perry,23,156832,3607155
11,12,12,Chris DiMarco,24,148439,3562547
12,13,13,Ernie Els,11,147925,1627183
13,14,14,Luke Donald,18,137808,2480561
14,15,15,Adam Scott,19,136434,2592255
15,16,16,Bart Bryant,26,124966,3249135
16,17,17,Peter Hedblom,1,123857,123857
17,18,18,Darren Clarke,12,122160,1465921
18,19,19,Ben Crane,21,117015,2457329
19,20,20,Justin Leonard,24,111047,2665131
20,21,21,Davis Love III,24,110782,2658779
21,22,22,José María Olazábal,16,110264,1764227
22,23,23,Jason Gore,8,108891,871135
23,24,24,Scott Verplank,25,103208,2580213
24,25,25,Chris Couch,1,96666,96666
25,26,26,Fred Funk,30,94334,2830045
26,27,27,Tim Clark,26,88847,2310037
27,28,28,Chad Campbell,27,88571,2391431
28,29,29,Stuart Appleby,25,88100,2202506
29,30,30,Sean O'Hair,29,84878,2461481
30,31,31,Tom Lehman,20,82770,1655416
31,32,32,Fred Couples,22,82008,1804178
32,33,33,Jaxon Brigman,2,81480,162961
33,34,34,Thomas Bjørn,8,81408,651267
34,35,35,Mark Calcavecchia,27,80937,2185309
35,36,36,Brandt Jobe,27,79005,2133149
36,37,37,Tim Herron,28,75126,2103550
37,38,38,Olin Browne,29,74894,2171927
38,39,39,Geoff Ogilvy,26,74295,1931676
39,40,40,Brad Faxon,23,73936,1700534
40,41,41,K.J. Choi,24,73557,1765373
41,42,42,Lucas Glover,28,73216,2050067
42,43,43,Billy Mayfair,31,72143,2236455
43,44,44,Charles Howell III,29,71528,2074329
44,45,45,Steve Elkington,20,70517,1410350
45,46,46,John Daly,25,70396,1759920
46,47,47,Peter Lonard,27,70296,1897998
47,48,48,Scott Dunlap,3,68166,204500
48,49,49,Jason Bohn,28,67448,1888567
49,50,50,Shigeki Maruyama,29,66656,1933048
50,51,51,Stewart Cink,26,66655,1733048
51,52,52,Ted Purdy,34,64657,2198368
52,53,53,"Wes Short, Jr.",16,64352,1029640
53,54,54,Mark Hensby,21,62506,1312636
54,55,55,Rod Pampling,26,62069,1613814
55,56,56,Joe Ogilvie,30,60651,1819547
56,57,57,Zach Johnson,30,59881,1796440
57,58,58,Mike Weir,23,59281,1363466
58,59,59,Jonathan Kaye,24,59004,1416108
59,60,60,Carl Pettersson,34,58642,1993850
60,61,61,Tom Purtzer,1,58240,58240
61,62,62,Graeme McDowell,14,58168,814359
62,63,63,Vaughn Taylor,32,57111,1827573
63,T64,T64,Scott Drummond,1,56946,56946
64,T64,T64,Nick Flanagan,1,56946,56946
65,T64,T64,Tadahiro Takayama,1,56946,56946
66,67,67,Arjun Atwal,17,56692,963768
67,68,68,Greg Owen,24,56369,1352878
68,69,69,Joel Kribel,2,56180,112360
69,70,70,Heath Slocum,29,55385,1606185
70,71,71,Jeff Brehaut,23,55263,1271061
71,72,72,Tim Petrovic,32,53475,1711228
72,73,73,Matt Hendrix,1,51428,51428
73,74,74,Tom Pernice Jr.,32,50251,1608056
74,75,75,Bernhard Langer,19,50128,952450
75,76,76,Ryan Moore,14,49017,686249
76,77,77,Justin Rose,28,48756,1365190
77,78,78,Bo Van Pelt,33,48669,1606081
78,79,79,Loren Roberts,18,48573,874330
79,80,80,Ian Poulter,20,47344,946890
80,81,81,Michael Putnam,5,45946,229733
81,82,82,Pat Perez,28,44931,1258087
82,83,83,Trevor Immelman,14,43919,614867
83,84,84,Arron Oberholser,21,43895,921796
84,85,85,Jerry Kelly,31,43628,1352486
85,86,86,Billy Andrade,26,43109,1120834
86,87,87,Richard Johnson,16,43085,689363
87,88,88,Craig Stadler,6,42685,256110
88,89,89,Nick O'Hern,13,42346,550501
89,90,90,Craig Parry,15,41992,629886
90,91,91,Joe Durant,25,41587,1039699
91,92,92,Bob Tway,26,41245,1072387
92,93,93,Carlos Franco,25,41170,1029266
