,Percentage_of_potential_money_won_RANK THIS WEEK,Percentage_of_potential_money_won_RANK LAST WEEK,Percentage_of_potential_money_won_PLAYER NAME,Percentage_of_potential_money_won_EVENTS,Percentage_of_potential_money_won_%,Percentage_of_potential_money_won_OFFICIAL MONEY WON,Percentage_of_potential_money_won_POTENTIAL MONEY
0,1,1,Tiger Woods,21,46.73,10628023,22745584
1,2,2,Michael Campbell,5,26.8,1661810,6201584
2,3,3,Vijay Singh,30,25.77,8017335,31106584
3,4,4,Phil Mickelson,21,25.67,5699604,22207584
4,5,5,Colin Montgomerie,6,20.53,1450735,7065584
5,6,6,Retief Goosen,18,17.97,3494105,19447584
6,7,7,Jim Furyk,26,15.65,4255368,27184584
7,8,8,Padraig Harrington,15,15.56,2615731,16815000
8,9,9,David Toms,25,15.08,3962013,26273584
9,10,10,Kenny Perry,23,14.8,3607155,24376584
10,11,11,Sergio Garcia,20,14.52,3213375,22124584
11,12,12,Chris DiMarco,24,14.12,3562547,25222584
12,13,13,Ernie Els,11,13.76,1627183,11825584
13,14,14,Luke Donald,18,12.61,2480561,19669584
14,15,15,Ben Crane,21,12.54,2457329,19592000
15,16,16,Bart Bryant,26,12.44,3249135,26116584
16,17,17,Adam Scott,19,12.42,2592255,20873584
17,18,18,Jason Gore,8,12.28,871135,7092000
18,19,19,Darren Clarke,12,11.22,1465921,13059584
19,20,20,José María Olazábal,16,10.96,1764227,16101584
20,21,21,Chris Couch,1,10.74,96666,900000
21,22,22,Peter Hedblom,1,10.59,123857,1170000
22,23,23,Justin Leonard,24,10.57,2665131,25204584
23,24,24,Davis Love III,24,10.43,2658779,25501584
24,T25,T25,Henrik Stenson,4,9.98,501985,5031584
25,T25,T25,Scott Verplank,25,9.98,2580213,25861584
26,27,27,Matt Hendrix,1,9.52,51428,540000
27,28,28,Fred Funk,30,9.23,2830045,30656584
28,29,29,Sean O'Hair,29,8.79,2461481,28008584
29,30,30,Olin Browne,29,8.62,2171927,25204000
30,31,31,Chad Campbell,27,8.61,2391431,27767584
31,32,32,Tim Clark,26,8.5,2310037,27166584
32,33,33,Mark Calcavecchia,27,8.46,2185309,25844584
33,34,34,Stuart Appleby,25,8.45,2202506,26075584
34,35,35,Brandt Jobe,27,8.37,2133149,25474000
35,36,36,Jaxon Brigman,2,8.16,162961,1998000
36,37,37,"Wes Short, Jr.",16,7.99,1029640,12879000
37,38,38,Lucas Glover,28,7.98,2050067,25695000
38,T39,T39,Fred Couples,22,7.93,1804178,22738584
39,T39,T39,Tom Lehman,20,7.93,1655416,20875584
40,41,41,Billy Mayfair,31,7.77,2236455,28777000
41,T42,T42,Tim Herron,28,7.66,2103550,27473584
42,T42,T42,Geoff Ogilvy,26,7.66,1931676,25205584
43,44,44,Paul McGinley,6,7.65,547183,7155584
44,45,45,Brad Faxon,23,7.62,1700534,22330584
45,46,46,Jason Bohn,28,7.59,1888567,24880000
46,47,47,Scott Dunlap,3,7.57,204500,2700000
47,48,48,Thomas Bjørn,8,7.54,769267,10201584
48,49,49,Charles Howell III,29,7.28,2074329,28481584
49,50,50,K.J. Choi,24,7.09,1765373,24898584
50,51,51,Steve Elkington,20,7.05,1410350,20015000
51,52,52,Peter Lonard,27,6.88,1897998,27571584
52,53,53,John Daly,25,6.86,1759920,25643584
53,54,54,Jeff Brehaut,23,6.85,1271061,18549000
54,55,55,Graeme McDowell,14,6.84,1086859,15880584
55,56,56,Shigeki Maruyama,29,6.72,1933048,28759584
56,57,57,Joel Kribel,2,6.71,112360,1674000
57,58,58,Ted Purdy,34,6.7,2198368,32823584
58,59,59,Arjun Atwal,17,6.68,963768,14418000
59,60,60,Carl Pettersson,34,6.65,1993850,29970000
60,61,61,Stewart Cink,26,6.49,1733048,26705584
61,62,62,Joe Ogilvie,30,6.35,1819547,28670584
62,63,63,Vaughn Taylor,32,6.29,1827573,29036000
63,64,64,Greg Owen,24,6.17,1352878,21915000
64,65,65,Jonathan Kaye,24,6.14,1416108,23069000
65,66,66,Heath Slocum,29,6.11,1606185,26287000
66,67,67,Rod Pampling,26,6.05,1613814,26669584
67,68,68,Zach Johnson,30,5.97,1796440,30107584
68,69,69,Nick O'Hern,13,5.94,889201,14962584
69,70,70,Bradley Dredge,1,5.92,77000,1300000
70,71,71,Mark Hensby,21,5.88,1312636,22313584
71,72,72,Ryan Moore,14,5.81,686249,11817000
72,73,73,Tom Purtzer,1,5.78,58240,1008000
73,74,74,Tim Petrovic,32,5.64,1711228,30326584
74,75,75,Mike Weir,23,5.59,1363466,24383584
75,76,76,Tom Pernice Jr.,32,5.37,1608056,29962584
76,77,77,Richard Johnson,16,5.35,689363,12888000
77,78,78,Justin Rose,28,5.33,1365190,25623000
78,T79,T79,Michael Putnam,5,5.27,229733,4356000
79,T79,T79,Bo Van Pelt,33,5.27,1606081,30484584
80,81,81,David Howell,12,5.16,696949,13494000
81,82,82,Yasuharu Imano,1,5.08,66000,1300000
82,83,83,Loren Roberts,18,5.04,874330,17365000
83,84,84,Trevor Immelman,14,4.92,726867,14769584
84,85,85,Bernhard Langer,19,4.86,952450,19585584
85,86,86,Pat Perez,28,4.82,1258087,26092584
86,87,87,Arron Oberholser,21,4.73,921796,19476000
87,88,88,Jerry Kelly,31,4.71,1352486,28733584
88,89,89,Billy Andrade,26,4.7,1120834,23823000
89,T90,T90,Scott Drummond,1,4.51,56946,1261584
90,T90,T90,Nick Flanagan,1,4.51,56946,1261584
91,T90,T90,Tadahiro Takayama,1,4.51,56946,1261584
92,93,93,Ian Poulter,20,4.48,946890,21145584
93,T94,T94,Craig Stadler,6,4.45,256110,5760000
94,T94,T94,Bob Tway,26,4.45,1072387,24085584
95,96,96,Carlos Franco,25,4.43,1029266,23218000
96,T97,T97,Joe Durant,25,4.42,1039699,23500584
97,T97,T97,Robert Gamez,28,4.42,1115364,25254000
98,T97,T97,Scott McCarron,24,4.42,977517,22140000
99,100,100,Aaron Baddeley,27,4.31,1006005,23346000
100,101,101,Ryan Palmer,32,4.28,1280001,29918000
101,102,102,Woody Austin,30,4.27,1177094,27587000
