,Victory_Leaders_RANK THIS WEEK,Victory_Leaders_RANK LAST WEEK,Victory_Leaders_PLAYER NAME,Victory_Leaders_EVENTS,Victory_Leaders_VICTORIES
0,1,1,Tiger Woods,21,6.0
1,T2,T2,Phil Mickelson,21,4.0
2,T2,T2,Vijay Singh,30,4.0
3,T4,T4,Bart Bryant,26,2.0
4,T4,T4,Padraig Harrington,15,2.0
5,T4,T4,Justin Leonard,24,2.0
6,T4,T4,Kenny Perry,23,2.0
7,T8,T8,Stuart Appleby,25,1.0
8,T8,T8,Jason Bohn,28,1.0
9,T8,T8,Olin Browne,29,1.0
10,T8,T8,Mark Calcavecchia,27,1.0
11,T8,T8,Michael Campbell,5,1.0
12,T8,T8,K.J. Choi,24,1.0
13,T8,T8,Ben Crane,21,1.0
14,T8,T8,Brad Faxon,23,1.0
15,T8,T8,Fred Funk,30,1.0
16,T8,T8,Jim Furyk,26,1.0
17,T8,T8,Robert Gamez,28,1.0
18,T8,T8,Sergio Garcia,20,1.0
19,T8,T8,Lucas Glover,28,1.0
20,T8,T8,Retief Goosen,18,1.0
21,T8,T8,Jason Gore,8,1.0
22,T8,T8,Peter Lonard,27,1.0
23,T8,T8,Sean O'Hair,29,1.0
24,T8,T8,Geoff Ogilvy,26,1.0
25,T8,T8,Tim Petrovic,32,1.0
26,T8,T8,Carl Pettersson,34,1.0
27,T8,T8,Ted Purdy,34,1.0
28,T8,T8,"Wes Short, Jr.",16,1.0
29,T8,T8,Heath Slocum,29,1.0
30,T8,T8,Vaughn Taylor,32,1.0
31,T8,T8,David Toms,25,1.0
32,T33,T33,Tommy Aaron,1,
33,T33,T33,Warren Abery,1,
34,T33,T33,Bob Ackerman,1,
35,T33,T33,Brad Adamonis,2,
36,T33,T33,Joe Affrunti,2,
37,T33,T33,Tony Aguilar,1,
38,T33,T33,Joseph Alfieri,0,
39,T33,T33,Steven Alker,1,
40,T33,T33,Steve Allan,32,
41,T33,T33,Fulton Allem,3,
42,T33,T33,Michael Allen,30,
43,T33,T33,Robert Allenby,31,
44,T33,T33,Jason Allred,29,
45,T33,T33,Stephen Ames,24,
46,T33,T33,Chris Anderson,25,
47,T33,T33,Jeremy Anderson,0,
48,T33,T33,Stuart Anderson,1,
49,T33,T33,Billy Andrade,26,
50,T33,T33,Alex Aragon,0,
51,T33,T33,Tommy Armour III,29,
52,T33,T33,Ryan Armour,0,
53,T33,T33,Perry Arthur,1,
54,T33,T33,Arjun Atwal,17,
55,T33,T33,Woody Austin,30,
56,T33,T33,Eric Axley,2,
57,T33,T33,Paul Azinger,22,
58,T33,T33,Aaron Baddeley,27,
59,T33,T33,Briny Baird,33,
60,T33,T33,Peter Baker,1,
61,T33,T33,Shawn Baker,1,
62,T33,T33,Ian Baker-Finch,0,
63,T33,T33,Aaron Barber,1,
64,T33,T33,Rich Barcelo,3,
65,T33,T33,Mickey Barker,1,
66,T33,T33,Craig Barlow,26,
67,T33,T33,Ricky Barnes,1,
68,T33,T33,Todd Barranger,1,
69,T33,T33,Doug Barron,24,
70,T33,T33,Brian Bateman,32,
71,T33,T33,Ahmad Bateman,1,
72,T33,T33,Pat Bates,0,
73,T33,T33,Doug Bauman,1,
74,T33,T33,Michael Beard,1,
75,T33,T33,Cameron Beckman,31,
76,T33,T33,Colby Beckstrom,2,
77,T33,T33,Rich Beem,26,
78,T33,T33,Notah Begay III,11,
79,T33,T33,Camilo Benedetti,1,
80,T33,T33,Jim Benepe,2,
81,T33,T33,Mike Bennett,1,
82,T33,T33,"David Berganio, Jr.",1,
83,T33,T33,John Bermel,1,
84,T33,T33,,0,
85,T33,T33,Don Berry,1,
86,T33,T33,John Bickerton,1,
87,T33,T33,Brett Bingham,0,
88,T33,T33,Jeff Bisbee,1,
89,T33,T33,Thomas Bjørn,8,
90,T33,T33,Henrik Bjornstad,0,
91,T33,T33,Mark Black,1,
92,T33,T33,Phil Blackmar,1,
93,T33,T33,Jay Don Blake,1,
94,T33,T33,Justin Bolli,24,
95,T33,T33,Brett Boner,1,
96,T33,T33,Guy Boros,5,
97,T33,T33,Andre Bossert,1,
98,T33,T33,Craig Bowden,15,
99,T33,T33,Steven Bowditch,1,
100,T33,T33,Bob Boyd,1,
101,T33,T33,Michael Bradley,4,
102,T33,T33,Jeff Brehaut,23,
103,T33,T33,Ryan Brehm,1,
104,T33,T33,Danny Briggs,29,
105,T33,T33,Jaxon Brigman,2,
106,T33,T33,D.J. Brigman,26,
107,T33,T33,Josh Broadaway,0,
108,T33,T33,Mark Brooks,28,
109,T33,T33,Lars Brovold,1,
110,T33,T33,Derek Brown,1,
111,T33,T33,Brad Bryant,1,
112,T33,T33,Dan Buchner,0,
