,Top_10_Finishes_RANK THIS WEEK,Top_10_Finishes_RANK LAST WEEK,Top_10_Finishes_PLAYER NAME,Top_10_Finishes_EVENTS,Top_10_Finishes_TOP 10,Top_10_Finishes_1ST,Top_10_Finishes_2ND,Top_10_Finishes_3RD
0,1,1,Vijay Singh,30,18,4.0,2.0,3.0
1,2,2,Tiger Woods,21,13,6.0,4.0,2.0
2,3,3,David Toms,25,11,1.0,1.0,1.0
3,4,4,Jim Furyk,26,10,1.0,4.0,
4,T5,T5,Davis Love III,24,9,,2.0,
5,T5,T5,Phil Mickelson,21,9,4.0,1.0,
6,T7,T7,Sergio Garcia,20,8,1.0,1.0,2.0
7,T7,T7,Retief Goosen,18,8,1.0,,2.0
8,T9,T9,Lucas Glover,28,7,1.0,,1.0
9,T9,T9,Tim Herron,28,7,,,1.0
10,T9,T9,Kenny Perry,23,7,2.0,,1.0
11,T12,T12,Tim Clark,26,6,,1.0,1.0
12,T12,T12,Ben Crane,21,6,1.0,2.0,1.0
13,T12,T12,Chris DiMarco,24,6,,3.0,1.0
14,T12,T12,Charles Howell III,29,6,,1.0,1.0
15,T12,T12,Brandt Jobe,27,6,,2.0,1.0
16,T12,T12,Billy Mayfair,31,6,,1.0,
17,T12,T12,José María Olazábal,16,6,,1.0,2.0
18,T12,T12,Rod Pampling,26,6,,,
19,T12,T12,Adam Scott,19,6,,1.0,
20,T12,T12,Bo Van Pelt,33,6,,,2.0
21,T22,T22,Aaron Baddeley,27,5,,,
22,T22,T22,Jeff Brehaut,23,5,,,1.0
23,T22,T22,Mark Calcavecchia,27,5,1.0,1.0,
24,T22,T22,Chad Campbell,27,5,,2.0,1.0
25,T22,T22,Stewart Cink,26,5,,,1.0
26,T22,T22,Darren Clarke,12,5,,1.0,1.0
27,T22,T22,Luke Donald,18,5,,2.0,1.0
28,T22,T22,Ernie Els,11,5,,1.0,1.0
29,T22,T22,Zach Johnson,30,5,,1.0,1.0
30,T22,T22,Shigeki Maruyama,29,5,,1.0,1.0
31,T22,T22,Joe Ogilvie,30,5,,2.0,
32,T22,T22,Geoff Ogilvy,26,5,1.0,,1.0
33,T22,T22,Tag Ridings,31,5,,,1.0
34,T22,T22,Scott Verplank,25,5,,2.0,1.0
35,T36,T36,Stuart Appleby,25,4,1.0,,
36,T36,T36,Arjun Atwal,17,4,,1.0,
37,T36,T36,Woody Austin,30,4,,,1.0
38,T36,T36,Bart Bryant,26,4,2.0,,
39,T36,T36,Fred Couples,22,4,,1.0,1.0
40,T36,T36,Brad Faxon,23,4,1.0,,1.0
41,T36,T36,Harrison Frazar,31,4,,,2.0
42,T36,T36,Padraig Harrington,15,4,2.0,,
43,T36,T36,J.J. Henry,32,4,,,
44,T36,T36,Richard Johnson,16,4,,,
45,T36,T36,Jerry Kelly,31,4,,,
46,T36,T36,Tom Lehman,20,4,,2.0,
47,T36,T36,Justin Leonard,24,4,2.0,,
48,T36,T36,J.L. Lewis,30,4,,,
49,T36,T36,Colin Montgomerie,6,4,,1.0,1.0
50,T36,T36,Sean O'Hair,29,4,1.0,1.0,
51,T36,T36,Arron Oberholser,21,4,,,
52,T36,T36,Pat Perez,28,4,,,
53,T36,T36,Heath Slocum,29,4,1.0,,
54,T36,T36,Vaughn Taylor,32,4,1.0,,1.0
55,T36,T36,Bob Tway,26,4,,,1.0
56,T36,T36,Charles Warren,31,4,,,1.0
57,T36,T36,Dean Wilson,27,4,,,
58,T59,T59,Robert Allenby,31,3,,,
59,T59,T59,Stephen Ames,24,3,,,
60,T59,T59,Jason Bohn,28,3,1.0,1.0,1.0
61,T59,T59,Michael Campbell,5,3,1.0,,
62,T59,T59,K.J. Choi,24,3,1.0,,
63,T59,T59,Joe Durant,25,3,,,1.0
64,T59,T59,Steve Elkington,20,3,,1.0,
65,T59,T59,Fred Funk,30,3,1.0,,1.0
66,T59,T59,Dudley Hart,29,3,,,
67,T59,T59,Mark Hensby,21,3,,,1.0
68,T59,T59,Freddie Jacobson,23,3,,,
69,T59,T59,Jonathan Kaye,24,3,,2.0,
70,T59,T59,Bernhard Langer,19,3,,,
71,T59,T59,Peter Lonard,27,3,1.0,,1.0
72,T59,T59,Steve Lowery,32,3,,,1.0
73,T59,T59,Scott McCarron,24,3,,1.0,
74,T59,T59,Graeme McDowell,14,3,,1.0,
75,T59,T59,Nick O'Hern,13,3,,,
76,T59,T59,Greg Owen,24,3,,,1.0
77,T59,T59,Ryan Palmer,32,3,,1.0,2.0
78,T59,T59,Tim Petrovic,32,3,1.0,,
79,T59,T59,Carl Pettersson,34,3,1.0,1.0,
80,T59,T59,Ted Purdy,34,3,1.0,,1.0
81,T59,T59,Justin Rose,28,3,,,2.0
82,T59,T59,Rory Sabbatini,26,3,,,
83,T59,T59,John Senden,29,3,,,
84,T59,T59,Joey Sindelar,29,3,,,
85,T59,T59,Jeff Sluman,28,3,,,1.0
86,T59,T59,Joey Snyder III,31,3,,,
87,T59,T59,Kevin Sutherland,26,3,,,
88,T59,T59,D.J. Trahan,28,3,,,
89,T59,T59,Mark Wilson,25,3,,,1.0
90,T91,T91,Michael Allen,30,2,,,
91,T91,T91,Briny Baird,33,2,,,
92,T91,T91,Doug Barron,24,2,,,1.0
93,T91,T91,Rich Beem,26,2,,1.0,1.0
94,T91,T91,Olin Browne,29,2,1.0,1.0,
95,T91,T91,Daniel Chopra,34,2,,,
96,T91,T91,Ben Curtis,24,2,,,1.0
97,T91,T91,John Daly,25,2,,2.0,
98,T91,T91,Brian Davis,23,2,,,1.0
99,T91,T91,Jay Delsing,11,2,,,
100,T91,T91,Todd Fischer,35,2,,,1.0
101,T91,T91,Steve Flesch,30,2,,,
102,T91,T91,Carlos Franco,25,2,,1.0,
103,T91,T91,Robert Gamez,28,2,1.0,,
104,T91,T91,J.P. Hayes,22,2,,1.0,
105,T91,T91,David Howell,12,2,,,
106,T91,T91,John Huston,31,2,,,
107,T91,T91,Trevor Immelman,14,2,,,
108,T91,T91,Kent Jones,32,2,,,
109,T91,T91,Hank Kuehne,30,2,,1.0,
110,T91,T91,Andrew Magee,29,2,,,
111,T91,T91,Jeff Maggert,25,2,,,
112,T91,T91,Hunter Mahan,34,2,,,
113,T91,T91,Shaun Micheel,29,2,,,
114,T91,T91,Kevin Na,32,2,,2.0,
115,T91,T91,Jesper Parnevik,24,2,,,
116,T91,T91,Craig Parry,15,2,,,
117,T91,T91,Corey Pavin,23,2,,,
118,T91,T91,Tom Pernice Jr.,32,2,,1.0,1.0
119,T91,T91,Ian Poulter,20,2,,,
120,T91,T91,Nick Price,16,2,,,
121,T91,T91,Brett Quigley,31,2,,,
122,T91,T91,Loren Roberts,18,2,,1.0,
123,T91,T91,"Wes Short, Jr.",16,2,1.0,,
124,T91,T91,Kevin Stadler,33,2,,,
125,T91,T91,Darron Stiles,26,2,,,
126,T91,T91,Hidemichi Tanaka,34,2,,,1.0
127,T91,T91,Nick Watney,31,2,,,
128,T91,T91,Mike Weir,23,2,,1.0,
129,T91,T91,Brett Wetterich,28,2,,,
130,T131,T131,Steve Allan,32,1,,,
131,T131,T131,Chris Anderson,25,1,,,
132,T131,T131,Billy Andrade,26,1,,1.0,
133,T131,T131,Tommy Armour III,29,1,,,
134,T131,T131,Craig Barlow,26,1,,,
135,T131,T131,Cameron Beckman,31,1,,,
136,T131,T131,Thomas Bjørn,8,1,,1.0,
137,T131,T131,Danny Briggs,29,1,,,
138,T131,T131,Jaxon Brigman,2,1,,,
139,T131,T131,Mark Brooks,28,1,,,
140,T131,T131,Jonathan Byrd,31,1,,,
141,T131,T131,Ángel Cabrera,11,1,,,
142,T131,T131,Gavin Coles,22,1,,,
143,T131,T131,John Cook,26,1,,,
