,Total_Money_Official_and_Unofficial_RANK THIS WEEK,Total_Money_Official_and_Unofficial_RANK LAST WEEK,Total_Money_Official_and_Unofficial_PLAYER NAME,Total_Money_Official_and_Unofficial_EVENTS,Total_Money_Official_and_Unofficial_MONEY
0,1,1,Tiger Woods,24,10870524
1,2,2,Vijay Singh,31,8017336
2,3,3,Phil Mickelson,22,5699605
3,4,4,Jim Furyk,28,4460369
4,5,7,Kenny Perry,26,4222155
5,6,6,David Toms,27,4202013
6,7,5,Fred Funk,36,4179296
7,8,13,Luke Donald,20,4055562
8,9,8,Chris DiMarco,27,3848882
9,10,9,Retief Goosen,19,3494106
10,11,10,Bart Bryant,26,3249136
11,12,11,Sergio Garcia,21,3247125
12,13,17,Padraig Harrington,17,3118231
13,14,15,Davis Love III,26,2818779
14,15,12,Adam Scott,21,2792255
15,16,20,Tim Clark,30,2677537
16,17,14,Justin Leonard,25,2665131
17,18,16,Scott Verplank,27,2645213
18,19,18,Ben Crane,22,2527329
19,20,19,Sean O'Hair,29,2461482
20,21,21,Mark Calcavecchia,30,2429060
21,22,22,Chad Campbell,27,2391432
22,23,29,Fred Couples,27,2289179
23,24,54,Darren Clarke,13,2265921
24,25,23,Olin Browne,30,2243178
25,26,24,Billy Mayfair,31,2236455
26,27,25,Stuart Appleby,26,2202506
27,28,26,Ted Purdy,34,2198368
28,29,27,Tim Herron,29,2184800
29,30,46,Michael Campbell,7,2136810
30,31,28,Brandt Jobe,27,2133149
31,32,30,Charles Howell III,29,2074329
32,33,31,Lucas Glover,28,2050068
33,34,32,Geoff Ogilvy,27,2031676
34,35,33,Carl Pettersson,34,1993851
35,36,34,Zach Johnson,33,1954441
36,37,35,Shigeki Maruyama,29,1933049
37,38,36,John Daly,27,1921171
38,39,37,Peter Lonard,29,1920998
39,40,38,Jason Bohn,28,1888568
40,41,39,Vaughn Taylor,32,1827574
41,42,40,Joe Ogilvie,30,1819547
42,43,41,K.J. Choi,25,1792874
43,44,42,José María Olazábal,16,1764227
44,45,43,Stewart Cink,28,1756049
45,46,44,Tim Petrovic,32,1711229
46,47,45,Brad Faxon,23,1700535
47,48,47,Tom Lehman,20,1655416
48,49,48,Bo Van Pelt,34,1651082
49,50,49,Ernie Els,11,1627184
50,51,56,Colin Montgomerie,7,1618236
51,52,50,Rod Pampling,26,1613815
52,53,51,Tom Pernice Jr.,32,1608057
53,54,52,Heath Slocum,29,1606185
54,55,53,Steve Elkington,21,1505350
55,56,55,Justin Rose,29,1465191
56,57,57,Jonathan Kaye,24,1416109
57,58,58,Mike Weir,24,1363467
58,59,59,Greg Owen,24,1352878
59,60,60,Jerry Kelly,31,1352487
60,61,61,Mark Hensby,23,1335637
61,62,62,Ryan Palmer,32,1280002
62,63,63,Jeff Brehaut,23,1271061
63,64,64,Pat Perez,28,1258087
64,65,65,Kevin Na,33,1195204
65,66,66,Robert Allenby,31,1184458
66,67,67,Woody Austin,30,1177095
67,68,90,David Howell,14,1156950
68,69,68,Jeff Sluman,30,1153756
69,70,69,Billy Andrade,26,1120835
70,71,70,Robert Gamez,28,1115364
71,72,71,Graeme McDowell,14,1086859
72,73,72,Bob Tway,26,1072387
73,74,73,Jason Gore,10,1060385
74,75,74,Joey Sindelar,29,1060238
75,76,75,Carlos Franco,26,1053517
76,77,76,Dudley Hart,29,1051339
77,78,77,Joey Snyder III,31,1042696
78,79,78,Scott McCarron,25,1040017
79,80,79,Joe Durant,25,1039699
80,81,80,J.L. Lewis,30,1031159
81,82,81,"Wes Short, Jr.",16,1029640
82,83,82,Rory Sabbatini,27,1013488
83,84,83,Charles Warren,31,1007276
84,85,84,Aaron Baddeley,27,1006006
85,86,85,Arjun Atwal,18,1003768
86,87,86,Harrison Frazar,31,999083
87,88,87,Brett Quigley,31,998155
88,89,88,Arron Oberholser,22,991796
89,90,117,Thomas Bjørn,9,989267
90,91,89,John Huston,32,972970
91,92,91,Stephen Ames,24,959665
92,93,92,Bernhard Langer,19,952451
93,94,93,Steve Lowery,32,950274
94,95,94,Ian Poulter,20,946890
95,96,95,Loren Roberts,19,945580
96,97,96,J.J. Henry,32,942347
97,98,97,Daniel Chopra,34,893368
98,99,98,Tag Ridings,31,891812
99,100,99,Nick Price,18,891736
100,101,100,Bob Estes,25,891477
101,102,101,Nick O'Hern,14,889202
102,103,102,Ryan Moore,17,871250
103,104,103,Steve Flesch,30,869106
104,105,104,Freddie Jacobson,23,868525
105,106,105,John Senden,29,855325
106,107,106,Brian Davis,23,854460
107,108,107,Hank Kuehne,31,853067
108,109,108,John Rollins,30,852147
109,110,109,James Driscoll,26,849891
110,111,110,Kevin Sutherland,26,845875
111,112,111,Dean Wilson,27,821903
112,113,112,Stephen Dodd,5,809500
113,114,113,Jesper Parnevik,25,807845
114,115,114,D.J. Trahan,28,806304
115,116,115,Bradley Dredge,2,777000
116,117,116,Henrik Stenson,5,776986
117,118,118,Stephen Leaney,29,758057
118,119,119,Trevor Immelman,16,754367
119,120,120,Jeff Maggert,25,743780
120,121,121,Robert Damron,28,739836
121,122,122,Corey Pavin,23,736506
122,123,123,Doug Barron,24,731990
123,124,124,Jonathan Byrd,31,726023
124,125,125,Craig Barlow,26,720362
125,126,126,Rich Beem,26,701242
126,127,127,Rocco Mediate,24,696250
127,128,128,Brian Gay,33,689862
128,129,129,Richard Johnson,16,689364
129,130,130,Hidemichi Tanaka,34,686113
130,131,131,Patrick Sheehan,35,675038
131,132,132,Kirk Triplett,19,664395
132,133,133,Todd Fischer,35,664098
133,134,134,Ryuji Imada,25,650221
134,135,135,Tommy Armour III,29,636643
135,136,136,Nick Watney,32,631619
136,137,137,Kent Jones,32,629944
137,138,138,Craig Parry,15,629887
138,139,139,Briny Baird,34,629191
139,140,140,Michael Allen,31,616829
140,141,141,Hunter Mahan,35,614567
141,142,142,Brett Wetterich,29,601029
