,YTD_Sub-Par_Rounds_Streak_RANK THIS WEEK,YTD_Sub-Par_Rounds_Streak_RANK LAST WEEK,YTD_Sub-Par_Rounds_Streak_PLAYER NAME,YTD_Sub-Par_Rounds_Streak_VALUE
0,T1,T1,Rory McIlroy,16
1,T1,T1,Jordan Spieth,16
2,3,3,Johnson Wagner,14
3,4,4,Robert Streb,13
4,T5,T5,Brendon de Jonge,12
5,T5,T5,Tom Hoge,12
6,T7,T7,Ricky Barnes,11
7,T7,T7,Jason Day,11
8,T7,T7,Russell Knox,11
9,T7,T7,Henrik Stenson,11
10,T11,T11,Stuart Appleby,10
11,T11,T11,Harris English,10
12,T11,T11,Fabián Gómez,10
13,T11,T11,Max Homa,10
14,T11,T11,Zach Johnson,10
15,T11,T11,Kevin Kisner,10
16,T11,T11,Ryan Palmer,10
17,T11,T11,John Peterson,10
18,T11,T11,Scott Piercy,10
19,T11,T11,Michael Putnam,10
20,T11,T11,Patrick Reed,10
21,T11,T11,Shawn Stefani,10
22,T11,T11,Justin Thomas,10
23,T24,T24,Sangmoon Bae,9
24,T24,T24,Steven Bowditch,9
25,T24,T24,Graham DeLaet,9
26,T24,T24,Rickie Fowler,9
27,T24,T24,Jerry Kelly,9
28,T24,T24,Whee Kim,9
29,T24,T24,Troy Merritt,9
30,T24,T24,Francesco Molinari,9
31,T24,T24,Pat Perez,9
32,T24,T24,Ian Poulter,9
33,T24,T24,Alex Prugh,9
34,T24,T24,Kyle Reifers,9
35,T24,T24,Patrick Rodgers,9
36,T24,T24,Justin Rose,9
37,T24,T24,Chris Stroud,9
38,T24,T24,Brendon Todd,9
39,T24,T24,Bubba Watson,9
40,T24,T24,Willy Wilcox,9
41,T42,T42,Chad Campbell,8
42,T42,T42,Chad Collins,8
43,T42,T42,Erik Compton,8
44,T42,T42,Austin Cook,8
45,T42,T42,Tony Finau,8
46,T42,T42,David Hearn,8
47,T42,T42,Jim Herman,8
48,T42,T42,Morgan Hoffmann,8
49,T42,T42,Billy Horschel,8
50,T42,T42,Freddie Jacobson,8
51,T42,T42,Colt Knost,8
52,T42,T42,Brooks Koepka,8
53,T42,T42,Martin Laird,8
54,T42,T42,Danny Lee,8
