,Consecutive_Cuts_RANK THIS WEEK,Consecutive_Cuts_RANK LAST WEEK,Consecutive_Cuts_PLAYER NAME,Consecutive_Cuts_TOTAL,Consecutive_Cuts_START TOURNAMENT ID
0,1,1,Henrik Stenson,28,2014210
1,2,2,Sergio Garcia,24,2014300
2,3,3,Robert Streb,14,2015280
3,4,4,Harris English,13,2015310
4,5,5,Paul Casey,12,2015300
5,T6,T6,Matt Kuchar,11,2015310
6,T6,T6,Rory McIlroy,11,2015190
7,8,8,Phil Mickelson,10,2015290
8,T9,T9,Jason Day,9,2015340
9,T9,T9,Luke Donald,9,2015330
10,T9,T9,Jason Dufner,9,2015300
11,T12,T12,Jim Furyk,8,2015320
12,T12,T12,Bill Haas,8,2015410
13,T12,T12,Dustin Johnson,8,2015340
14,T12,T12,Francesco Molinari,8,2015230
15,T12,T12,Patrick Reed,8,2015360
16,T12,T12,Justin Thomas,8,2015360
17,T18,T18,J.B. Holmes,7,2015400
18,T18,T18,Charles Howell III,7,2015370
19,T18,T18,Danny Lee,7,2015410
20,T18,T18,Webb Simpson,7,2015390
21,T18,T18,Vaughn Taylor,7,2015330
22,T18,T18,Bubba Watson,7,2015400
23,T24,T24,Sangmoon Bae,6,2015430
24,T24,T24,Gonzalo Fernandez-Castaño,6,2015360
25,T24,T24,Troy Merritt,6,2015410
26,T24,T24,Seung-Yul Noh,6,2015330
27,T24,T24,Louis Oosthuizen,6,2015360
28,T24,T24,Kyle Stanley,6,2015330
29,T24,T24,Doug Tewell,6,1999230
30,T31,T31,Thomas Aiken,5,2014410
31,T31,T31,Roberto Castro,5,2015370
32,T31,T31,Kevin Chappell,5,2015410
33,T31,T31,Austin Cook,5,2015330
34,T31,T31,Tom Hoge,5,2015380
35,T31,T31,Wayne Levi,5,2001300
36,T31,T31,David Lipsky,5,2015040
37,T31,T31,Andres Romero,5,2015360
38,T31,T31,Marc Warren,5,2015270
39,T31,T31,Lee Westwood,5,2015340
40,T41,T41,Jonathan Byrd,4,2015380
41,T41,T41,Greg Chalmers,4,2015370
42,T41,T41,K.J. Choi,4,2015400
43,T41,T41,Retief Goosen,4,2015390
44,T41,T41,Branden Grace,4,2015390
45,T41,T41,Charley Hoffman,4,2015460
46,T41,T41,Morgan Hoffmann,4,2015440
47,T41,T41,Zach Johnson,4,2015460
48,T41,T41,Matt Jones,4,2015440
49,T41,T41,Martin Kaymer,4,2015390
50,T41,T41,Kevin Kisner,4,2015460
51,T41,T41,Ben Martin,4,2015450
52,T41,T41,Hideki Matsuyama,4,2015460
53,T41,T41,Kevin Na,4,2015460
54,T41,T41,Sean O'Hair,4,2015440
55,T41,T41,Thorbjørn Olesen,4,2014400
56,T41,T41,Hennie Otto,4,2010350
57,T41,T41,Vijay Singh,4,2015410
58,T41,T41,Cameron Smith,4,2015340
59,T41,T41,Kevin Streelman,4,2015420
60,T41,T41,Daniel Summerhays,4,2015450
61,T62,T62,Daniel Berger,3,2015470
62,T62,T62,Zac Blair,3,2015460
63,T62,T62,Grégory Bourdy,3,2013310
64,T62,T62,Ernie Els,3,2015410
65,T62,T62,Darren Fichardt,3,2014040
66,T62,T62,Rickie Fowler,3,2015470
67,T62,T62,Marcus Fraser,3,2013350
68,T62,T62,Fabián Gómez,3,2015460
69,T62,T62,Emiliano Grillo,3,2015380
70,T62,T62,Brian Harman,3,2015460
71,T62,T62,Mike Hendry,3,2013110
72,T62,T62,Beau Hossler,3,2012260
73,T62,T62,Russell Knox,3,2015460
74,T62,T62,Doug LaBelle II,3,2014420
75,T62,T62,Anirban Lahiri,3,2015390
76,T62,T62,Justin Leonard,3,2015400
77,T62,T62,Spencer Levin,3,2015450
78,T62,T62,James Morrison,3,2012320
79,T62,T62,Toshinori Muto,3,2012320
80,T62,T62,Ryan Palmer,3,2015460
81,T62,T62,Pat Perez,3,2015460
82,T62,T62,Wes Roach,3,2014420
83,T62,T62,Alexandre Rocha,3,2013100
84,T62,T62,Patrick Rodgers,3,2015410
85,T62,T62,Rory Sabbatini,3,2015460
86,T62,T62,Bob Shearer,3,1984320
87,T62,T62,Brandt Snedeker,3,2015470
88,T62,T62,Shawn Stefani,3,2015460
89,T62,T62,Andre Stolz,3,2011300
90,T62,T62,Steve Stricker,3,2015370
91,T62,T62,Brendon Todd,3,2015460
92,T62,T62,Cameron Tringale,3,2015460
93,T62,T62,Camilo Villegas,3,2015450
94,T62,T62,Danny Willett,3,2015390
95,T62,T62,Y.E. Yang,3,2015170
96,T62,T62,Fabrizio Zanotti,3,2014430
97,T98,T98,Felipe Aguilar,2,2009110
98,T98,T98,Gaganjeet Bhullar,2,2014030
99,T98,T98,Thomas Bjørn,2,2015430
100,T98,T98,Steven Bowditch,2,2015480
101,T98,T98,Keegan Bradley,2,2015470
102,T98,T98,Mark Brown,2,2013310
103,T98,T98,Danny Chia,2,2010310
104,T98,T98,George Coetzee,2,2015440
105,T98,T98,Austin Connelly,2,2015310
106,T98,T98,Brendon de Jonge,2,2015470
107,T98,T98,Victor Dubuisson,2,2015430
108,T98,T98,Derek Ernst,2,2015420
109,T98,T98,Matthew Fitzpatrick,2,2014270
110,T98,T98,Martin Flores,2,2015420
111,T98,T98,Oscar Fraustro,2,2015420
112,T98,T98,Nicholas Fung,2,2014030
113,T98,T98,Lucas Glover,2,2015400
114,T98,T98,Scott Gutschewski,2,2011450
115,T98,T98,Scott Hoch,2,2008100
116,T98,T98,Billy Horschel,2,2015470
117,T98,T98,Mu Hu,2,2014040
118,T98,T98,Mikko Ilonen,2,2015430
119,T98,T98,Ryo Ishikawa,2,2015450
120,T98,T98,Jerry Kelly,2,2015470
121,T98,T98,Troy Kelly,2,2015420
122,T98,T98,Hyung-Sung Kim,2,2015060
123,T98,T98,Chris Kirk,2,2015470
124,T98,T98,Jason Knutzon,2,2015040
125,T98,T98,Brooks Koepka,2,2015480
126,T98,T98,Antonio Lascuna,2,2015040
127,T98,T98,HaoTong Li,2,2014040
128,T98,T98,Jamie Lovemark,2,2015170
129,T98,T98,Hunter Mahan,2,2015470
130,T98,T98,William McGirt,2,2015470
131,T98,T98,Mac McLendon,2,1980430
132,T98,T98,Maverick McNealy,2,2015360
133,T98,T98,Jack Newton,2,1982420
134,T98,T98,Jordan Niebrugge,2,2014390
135,T98,T98,Mark O'Meara,2,2015240
136,T98,T98,Koumei Oda,2,2015430
137,T98,T98,Carlos Ortiz,2,2015460
138,T98,T98,C.T. Pan,2,2015340
139,T98,T98,Craig Parry,2,2008320
140,T98,T98,John Parry,2,2013250
141,T98,T98,Scott Piercy,2,2015480
142,T98,T98,Scott Pinckney,2,2015460
143,T98,T98,Andy Pope,2,2015030
144,T98,T98,Daniel Popovic,2,2013340
145,T98,T98,Ian Poulter,2,2015470
146,T98,T98,Alex Prugh,2,2015420
147,T98,T98,Alvaro Quiros,2,2015070
148,T98,T98,Jon Rahm,2,2015130
149,T98,T98,Chris Riley,2,2015380
150,T98,T98,Justin Rose,2,2015480
151,T98,T98,John Schroeder,2,1995300
152,T98,T98,John Senden,2,2015460
153,T98,T98,Marcel Siem,2,2015430
154,T98,T98,Bob Smith,2,1985280
155,T98,T98,Chris Smith,2,2015380
156,T98,T98,Byron Smith,2,2015420
157,T98,T98,Jordan Spieth,2,2015480
158,T98,T98,Gary Stal,2,2015190
159,T98,T98,Brendan Steele,2,2015470
160,T98,T98,Hudson Swafford,2,2015460
161,T98,T98,Yoshitaka Takeya,2,2014430
162,T98,T98,Toru Taniguchi,2,2013340
163,T98,T98,D.J. Trahan,2,2015380
164,T98,T98,Johnson Wagner,2,2015460
165,T98,T98,Jimmy Walker,2,2015480
166,T98,T98,Nick Watney,2,2015470
167,T98,T98,Cory Whitsett,2,2015030
168,T98,T98,Mark Wilson,2,2015460
169,T98,T98,Oliver Wilson,2,2015060
170,T98,T98,Gary Woodland,2,2015470
