,Current_Streak_without_a_3-Putt_RANK THIS WEEK,Current_Streak_without_a_3-Putt_RANK LAST WEEK,Current_Streak_without_a_3-Putt_PLAYER NAME,Current_Streak_without_a_3-Putt_EVENTS,Current_Streak_without_a_3-Putt_VALUE
0,1,1,J.B. Holmes,25,215
1,2,2,Kevin Streelman,27,191
2,3,3,Billy Hurley III,28,158
3,4,4,Steven Bowditch,32,136
4,5,5,Justin Leonard,22,123
5,6,6,Derek Fathauer,27,122
6,7,7,Robert Garrigus,25,121
7,8,8,Eric Axley,21,110
8,9,9,Bubba Watson,19,103
9,10,10,Paul Casey,24,102
10,11,11,David Toms,21,99
11,12,12,Pat Perez,26,94
12,13,13,Willy Wilcox,17,93
13,14,14,Danny Lee,36,92
14,15,15,Tyrone Van Aswegen,20,84
15,16,16,Jason Day,20,81
16,T17,T17,Andres Romero,24,80
17,T17,T17,Brendan Steele,24,80
18,19,19,Tony Finau,31,79
19,20,20,Davis Love III,18,78
20,21,21,Kevin Chappell,26,77
21,22,22,Nick Taylor,28,76
22,T23,T23,Harris English,29,74
23,T23,T23,Brooks Koepka,23,74
24,T25,T25,Jonathan Byrd,22,72
25,T25,T25,Ryan Moore,24,72
26,27,27,Robert Streb,30,71
27,28,28,Rickie Fowler,21,67
28,T29,T29,Chris Kirk,21,64
29,T29,T29,Russell Knox,28,64
30,T31,T31,Lucas Glover,26,62
31,T31,T31,Tim Wilkinson,28,62
32,33,33,Charles Howell III,30,61
33,34,34,Justin Rose,20,60
34,T35,T35,David Hearn,30,58
35,T35,T35,Johnson Wagner,23,58
36,37,37,Chad Collins,24,57
37,T38,T38,Sangmoon Bae,30,55
38,T38,T38,Carlos Ortiz,30,55
39,40,40,Alex Cejka,30,52
40,41,41,Daniel Summerhays,29,50
41,42,42,Brendon de Jonge,31,49
42,T43,T43,Jerry Kelly,24,41
43,T43,T43,Matt Kuchar,25,41
44,45,45,Jason Gore,26,39
45,46,46,Jonas Blixt,26,38
46,T47,T47,Dustin Johnson,21,37
47,T47,T47,Gary Woodland,24,37
48,T49,T49,Brice Garnett,29,35
49,T49,T49,Bryce Molder,26,35
50,T49,T49,Michael Putnam,28,35
51,T52,T52,Ben Martin,27,33
52,T52,T52,Phil Mickelson,19,33
53,T52,T52,Shawn Stefani,26,33
54,T55,T55,Zach Johnson,25,32
55,T55,T55,Camilo Villegas,27,32
56,T57,T57,Jason Bohn,27,31
57,T57,T57,Graham DeLaet,22,31
58,59,59,Patrick Rodgers,17,30
59,T60,T60,Chad Campbell,30,29
60,T60,T60,Sergio Garcia,15,29
61,T60,T60,Luke Guthrie,27,29
62,T60,T60,Roger Sloan,20,29
63,T60,T60,Nick Watney,28,29
64,T65,T65,Jon Curran,28,28
65,T65,T65,Kevin Na,27,28
66,67,67,Ian Poulter,19,27
67,T68,T68,Jason Dufner,21,25
68,T68,T68,Webb Simpson,22,25
69,T68,T68,Cameron Tringale,28,25
70,T71,T71,Zac Blair,34,24
71,T71,T71,Steve Wheatcroft,28,24
72,73,73,James Hahn,28,23
73,T74,T74,Brian Davis,31,22
74,T74,T74,Retief Goosen,25,22
75,T74,T74,Mark Hubbard,25,22
76,T74,T74,Colt Knost,29,22
77,T74,T74,Marc Leishman,23,22
78,T74,T74,Vijay Singh,23,22
79,T74,T74,Nicholas Thompson,31,22
80,T81,T81,Gonzalo Fernandez-Castaño,28,21
81,T81,T81,Billy Horschel,28,21
82,T81,T81,Ryan Palmer,22,21
83,T81,T81,Jim Renner,27,21
84,T85,T85,Luke Donald,20,20
85,T85,T85,Morgan Hoffmann,26,20
86,T85,T85,Patrick Reed,27,20
87,T85,T85,Kyle Reifers,31,20
88,T85,T85,Jimmy Walker,24,20
89,90,90,Keegan Bradley,24,19
90,T91,T91,Ángel Cabrera,19,18
91,T91,T91,Ernie Els,18,18
92,T91,T91,John Huh,31,18
93,T91,T91,Matt Jones,25,18
94,95,95,Martin Laird,24,17
95,T96,T96,Whee Kim,23,16
96,T96,T96,George McNeill,27,16
97,T96,T96,Mark Wilson,28,16
98,T99,T99,Derek Ernst,26,13
99,T99,T99,Russell Henley,24,13
100,T99,T99,John Merrick,27,13
101,T102,T102,K.J. Choi,19,12
102,T102,T102,Matt Every,26,12
103,T102,T102,Oscar Fraustro,21,12
104,T102,T102,Brian Harman,29,12
105,T102,T102,Hunter Mahan,24,12
106,T102,T102,Sean O'Hair,26,12
107,T102,T102,Jordan Spieth,25,12
108,T102,T102,Scott Stallings,19,12
109,T110,T110,Aaron Baddeley,25,11
110,T110,T110,Fabián Gómez,26,11
111,T110,T110,Jonathan Randolph,25,11
112,T110,T110,Rory Sabbatini,25,11
113,T110,T110,Brian Stuard,31,11
114,T115,T115,Scott Piercy,28,10
115,T115,T115,Sam Saunders,28,10
116,T115,T115,Heath Slocum,22,10
117,T115,T115,Hudson Swafford,30,10
118,T119,T119,Blayne Barber,26,9
119,T119,T119,Ricky Barnes,27,9
120,T119,T119,Stewart Cink,23,9
121,T119,T119,Martin Flores,30,9
122,T119,T119,Kevin Kisner,30,9
123,T119,T119,Francesco Molinari,16,9
124,T119,T119,Scott Pinckney,27,9
125,T119,T119,Byron Smith,21,9
126,T127,T127,Andres Gonzales,28,8
127,T127,T127,Bill Haas,25,8
128,T127,T127,Jason Kokrak,28,8
129,T127,T127,D.A. Points,26,8
130,T131,T131,Robert Allenby,25,7
131,T131,T131,Scott Brown,30,7
132,T131,T131,Charley Hoffman,28,7
133,T131,T131,Tom Hoge,26,7
134,T131,T131,John Peterson,25,7
135,T131,T131,Justin Thomas,30,7
136,T131,T131,Brendon Todd,27,7
137,T138,T138,Jamie Donaldson,16,6
138,T138,T138,Ryo Ishikawa,28,6
139,T138,T138,Sung Joon Park,27,6
140,T138,T138,Adam Scott,15,6
141,T138,T138,John Senden,24,6
142,T138,T138,Brandt Snedeker,27,6
143,T138,T138,Lee Westwood,15,6
144,T145,T145,Steven Alker,22,5
145,T145,T145,Adam Hadwin,30,5
146,T145,T145,Scott Langley,28,5
147,T145,T145,Jeff Overton,30,5
148,T145,T145,Andrew Putnam,23,5
149,T145,T145,Charl Schwartzel,19,5
150,T151,T151,Hideki Matsuyama,25,4
151,T151,T151,Carl Pettersson,32,4
152,T151,T151,Bo Van Pelt,28,4
153,T154,T154,Chesson Hadley,30,3
154,T154,T154,Jim Herman,27,3
155,T154,T154,Max Homa,27,3
156,T154,T154,Spencer Levin,31,3
157,T154,T154,William McGirt,30,3
158,T154,T154,Alex Prugh,27,3
159,T154,T154,Andrew Svoboda,30,3
160,T154,T154,Boo Weekley,24,3
161,T162,T162,Ken Duke,30,2
162,T162,T162,Jim Furyk,19,2
163,T162,T162,Padraig Harrington,21,2
164,T162,T162,Greg Owen,19,2
165,T162,T162,Cameron Percy,23,2
166,T162,T162,Chez Reavie,19,2
167,T162,T162,Chris Stroud,28,2
168,T169,T169,Charlie Beljan,27,1
169,T169,T169,Erik Compton,28,1
170,T169,T169,Ben Crane,22,1
171,T169,T169,David Lingmerth,28,1
172,T169,T169,Bill Lunde,18,1
173,T169,T169,Troy Merritt,29,1
