,Best_YTD_Streak_wo_a_3-Putt_RANK THIS WEEK,Best_YTD_Streak_wo_a_3-Putt_RANK LAST WEEK,Best_YTD_Streak_wo_a_3-Putt_PLAYER NAME,Best_YTD_Streak_wo_a_3-Putt_EVENTS,Best_YTD_Streak_wo_a_3-Putt_BEST STREAK,Best_YTD_Streak_wo_a_3-Putt_CURRENT STREAK
401,T382,T382,David Pastore,1,36,36.0
402,T382,T382,Corey Pavin,1,36,36.0
403,T382,T382,Taylor Pendrith,1,36,36.0
404,T382,T382,Zechariah Potter,1,36,36.0
405,T382,T382,Ted Purdy,3,36,4.0
406,T382,T382,Adam Rainaud,1,36,36.0
407,T382,T382,José de Jesús Rodríguez,1,36,36.0
408,T382,T382,Kevin Shields,1,36,36.0
409,T382,T382,Justin Shin,1,36,36.0
410,T382,T382,Bob Sowards,1,36,36.0
411,T382,T382,Kyle Thompson,1,36,36.0
412,T382,T382,Matt Thompson,1,36,36.0
413,T382,T382,Danie van Tonder,1,36,1.0
414,T382,T382,Manuel Villegas,1,36,36.0
415,T382,T382,Duffy Waldorf,2,36,14.0
416,T382,T382,Dalton Ward,1,36,36.0
417,T418,T418,Ashun Wu,1,35,18.0
418,T418,T418,Matt Fast,1,35,35.0
419,T418,T418,Jimmy Gunn,1,35,35.0
420,T418,T418,Ryan Helminen,1,35,35.0
421,T418,T418,Lee McCoy,3,35,25.0
422,T418,T418,Cameron Wilson,3,35,21.0
423,T424,T424,James Beale,1,34,34.0
424,T424,T424,Jeff Corr,1,34,1.0
425,T424,T424,David Holmes,1,34,1.0
426,T424,T424,Craig Kanada,1,34,34.0
427,T424,T424,Bernhard Langer,3,34,33.0
428,T424,T424,Thomas Lim,1,34,34.0
429,T424,T424,Scott Moran,1,34,1.0
430,T424,T424,Tjaart van der Walt,1,34,34.0
431,T424,T424,Zack Vervaecke,1,34,1.0
432,T433,T433,Stephen Ames,1,33,33.0
433,T433,T433,Blair Hamilton,1,33,20.0
434,T435,T435,Christopher Brown,1,32,3.0
435,T435,T435,Raphael Jacquelin,1,32,1.0
436,T435,T435,Romain Langasque,1,32,1.0
437,T435,T435,Edoardo Molinari,1,32,32.0
438,T435,T435,Ben Polland,1,32,1.0
439,T435,T435,Richie Ramsay,2,32,20.0
440,T435,T435,Drew Scott,1,32,3.0
441,T442,T442,Charles Frost,1,31,1.0
442,T442,T442,Yanwei Liu,1,31,4.0
443,T442,T442,Prom Meesawat,1,31,2.0
444,T445,T445,Mu Hu,1,30,30.0
445,T445,T445,Steve Lowery,3,30,1.0
446,T445,T445,Clay Myers II,1,30,5.0
447,T445,T445,John Parry,1,30,4.0
448,T445,T445,Alexandre Rocha,1,30,10.0
449,T445,T445,"Efren Serna, Jr.",1,30,30.0
450,T451,T451,Ty Dunlap,1,29,3.0
451,T451,T451,Scott Gardiner,3,29,8.0
452,T451,T451,Jhared Hack,1,29,29.0
453,T451,T451,Alex Kang,1,29,11.0
454,T451,T451,Michael Kinkopf,1,29,6.0
455,T451,T451,Kelly Kraft,1,29,29.0
456,T451,T451,Paul McGinley,1,29,29.0
457,T451,T451,Kyle Suppa,1,29,29.0
458,T459,T459,Felipe Aguilar,1,28,28.0
459,T459,T459,Yuta Ikeda,2,28,10.0
460,T459,T459,J.J. Killeen,1,28,28.0
461,T459,T459,Doug LaBelle II,1,28,10.0
462,T459,T459,Nigel Spence,1,28,7.0
463,T459,T459,Taichi Teshima,1,28,7.0
464,T459,T459,Shinji Tomimura,1,28,1.0
465,T466,T466,T.T. Crouch,1,27,27.0
466,T466,T466,Robert Dinwiddie,1,27,8.0
467,T466,T466,Darren Fichardt,1,27,
468,T466,T466,Justin Lower,1,27,27.0
469,T470,T470,Camden Backel,1,26,8.0
470,T470,T470,Albin Choi,1,26,9.0
471,T470,T470,Nick Faldo,1,26,26.0
472,T470,T470,Jerry Haas,1,26,26.0
473,T470,T470,Steven Jeffress,1,26,5.0
474,T470,T470,Masahiro Kawamura,1,26,2.0
475,T470,T470,Johan Kok,1,26,9.0
476,T470,T470,Gerardo Ruiz,1,26,
477,T470,T470,Tadahiro Takayama,1,26,26.0
478,T470,T470,Dawie van der Walt,1,26,9.0
479,T480,T480,Gary Boyd,1,25,4.0
480,T480,T480,Mark Calcavecchia,2,25,2.0
481,T480,T480,Rodolfo Cazaubón,1,25,25.0
482,T480,T480,Roberto Díaz,1,25,7.0
483,T480,T480,Zecheng Dou,1,25,7.0
484,T480,T480,Jack Maguire,1,25,24.0
485,T480,T480,Todd McCorkle,1,25,25.0
486,T480,T480,Jin Park,2,25,21.0
487,T480,T480,J.J. Spaun,1,25,8.0
488,T480,T480,Paul Stankowski,2,25,10.0
489,T480,T480,Zach Steffen,1,25,8.0
490,T480,T480,Brett Wetterich,2,25,1.0
491,T492,T492,Seuk-hyun Baek,2,24,3.0
492,T492,T492,Alister Balcombe,1,24,5.0
493,T492,T492,Fred Couples,2,24,10.0
494,T492,T492,Andrew Dodt,1,24,18.0
495,T492,T492,Joe Durant,2,24,14.0
496,T492,T492,Kevin Golding,1,24,6.0
497,T492,T492,Paul Goydos,1,24,11.0
498,T492,T492,Garland Green,1,24,24.0
499,T492,T492,Brett Jones,1,24,1.0
500,T492,T492,Paul Kinnear,1,24,7.0
501,T492,T492,Brent Snyder,1,24,24.0
502,T492,T492,Billy Walsh,1,24,11.0
503,T492,T492,Garrett Willis,1,24,1.0
504,T505,T505,Mark Baldwin,1,23,5.0
505,T505,T505,Josh Broadaway,1,23,23.0
506,T505,T505,Oliver Goss,1,23,23.0
507,T505,T505,Nick Hardy,1,23,9.0
508,T505,T505,Grant Leaver,1,23,8.0
509,T505,T505,MJ Maguire,1,23,7.0
510,T505,T505,Jason Palmer,1,23,5.0
511,T505,T505,Josh Persons,1,23,3.0
512,T505,T505,Shunsuke Sonoda,1,23,
513,T505,T505,Omar Uresti,2,23,9.0
514,T515,T515,Tommy Armour III,1,22,22.0
