,Current_Par_or_Better_Streak_RANK THIS WEEK,Current_Par_or_Better_Streak_RANK LAST WEEK,Current_Par_or_Better_Streak_PLAYER NAME,Current_Par_or_Better_Streak_EVENTS,Current_Par_or_Better_Streak_NUMBER OF ROUNDS
0,1,1,Austin Cook,7,12
1,T2,T2,Jim Furyk,524,11
2,T2,T2,Branden Grace,40,11
3,4,4,Thorbjørn Olesen,26,8
4,T5,T5,George Coetzee,24,7
5,T5,T5,Luke Guthrie,83,7
6,T5,T5,Doug LaBelle II,94,7
7,T5,T5,Louis Oosthuizen,94,7
8,T5,T5,Cameron Smith,13,7
9,T10,T10,Jonathan Byrd,342,5
10,T10,T10,Fabián Gómez,79,5
11,T10,T10,Wes Homan,4,5
12,T10,T10,Martin Piller,25,5
13,T10,T10,Angelo Que,3,5
14,T10,T10,Sam Saunders,49,5
15,T10,T10,Jordan Spieth,81,5
16,T10,T10,Garrett Willis,222,5
17,T18,T18,Byeong Hun An,14,4
18,T18,T18,Greg Chalmers,368,4
19,T18,T18,Ashley Chesters,2,4
20,T18,T18,Derek Ernst,74,4
21,T18,T18,Gonzalo Fernandez-Castaño,82,4
22,T18,T18,Oscar Fraustro,23,4
23,T18,T18,Lucas Glover,308,4
24,T18,T18,Billy Horschel,127,4
25,T18,T18,Martin Kaymer,88,4
26,T18,T18,Anirban Lahiri,15,4
27,T18,T18,Justin Leonard,551,4
28,T18,T18,Troy Matteson,261,4
29,T18,T18,Prom Meesawat,3,4
30,T18,T18,Robby Shelton,2,4
31,T18,T18,Michael Smith,2,4
32,T18,T18,Brendan Steele,123,4
33,T18,T18,Steve Stricker,429,4
34,T18,T18,Vaughn Taylor,281,4
35,T18,T18,Justin Thomas,41,4
36,T18,T18,Anthony Wall,12,4
37,T18,T18,Nick Watney,289,4
38,T18,T18,Cory Whitsett,3,4
39,T18,T18,Tiger Woods,312,4
40,T41,T41,Ashun Wu,4,3
41,T41,T41,Matt Bettencourt,151,3
42,T41,T41,Victor Dubuisson,19,3
43,T41,T41,Marcus Fraser,14,3
44,T41,T41,James Hahn,80,3
45,T41,T41,Tyrrell Hatton,5,3
46,T41,T41,David Hearn,171,3
47,T41,T41,Billy Hurley III,90,3
48,T41,T41,Hiroshi Iwata,7,3
49,T41,T41,Russell Knox,87,3
50,T41,T41,Matt Kuchar,343,3
51,T41,T41,Pat Perez,359,3
52,T41,T41,Michael Putnam,118,3
53,T41,T41,John Senden,377,3
54,T41,T41,Shawn Stefani,66,3
55,T41,T41,Cameron Tringale,164,3
56,T41,T41,Kevin Tway,30,3
57,T41,T41,Duffy Waldorf,571,3
58,T59,T59,Felipe Aguilar,2,2
59,T59,T59,Steven Alker,60,2
60,T59,T59,Daniel Berger,32,2
61,T59,T59,Danny Chia,4,2
62,T59,T59,Ben Crane,319,2
63,T59,T59,Jason Day,165,2
64,T59,T59,Derek Fathauer,54,2
65,T59,T59,Paul Goydos,496,2
66,T59,T59,Jimmy Gunn,1,2
67,T59,T59,Charley Hoffman,277,2
68,T59,T59,J.B. Holmes,219,2
69,T59,T59,Mark Hubbard,25,2
70,T59,T59,Mikko Ilonen,23,2
71,T59,T59,Jerry Kelly,575,2
72,T59,T59,Chris Kirk,134,2
73,T59,T59,Danny Lee,105,2
74,T59,T59,Hideki Matsuyama,58,2
75,T59,T59,William McGirt,147,2
76,T59,T59,Parker McLachlin,111,2
77,T59,T59,John Merrick,236,2
78,T59,T59,Kevin Na,294,2
79,T59,T59,Jordan Niebrugge,3,2
80,T59,T59,David Pastore,1,2
81,T59,T59,Kyle Reifers,92,2
82,T59,T59,Jim Renner,73,2
83,T59,T59,Carlos Sainz Jr,19,2
84,T59,T59,Webb Simpson,184,2
85,T59,T59,Kevin Stadler,258,2
86,T59,T59,Robert Streb,74,2
87,T59,T59,Daniel Summerhays,138,2
88,T59,T59,Adam Svensson,3,2
89,T59,T59,David Toms,565,2
90,T59,T59,Camilo Villegas,250,2
91,T59,T59,Bubba Watson,226,2
