,Consecutive_Holes_Below_Par_RANK THIS WEEK,Consecutive_Holes_Below_Par_RANK LAST WEEK,Consecutive_Holes_Below_Par_PLAYER NAME,Consecutive_Holes_Below_Par_EVENTS,Consecutive_Holes_Below_Par_NUMBER OF HOLES
0,1,1,Ryan Palmer,22,8
1,T2,T2,Tony Finau,31,7
2,T2,T2,Bill Haas,25,7
3,T2,T2,James Hahn,28,7
4,T2,T2,Danny Lee,36,7
5,T2,T2,Phil Mickelson,19,7
6,T2,T2,Scott Stallings,19,7
7,T8,T8,Blake Adams,13,6
8,T8,T8,Jason Bohn,27,6
9,T8,T8,Scott Brown,30,6
10,T8,T8,Alex Cejka,30,6
11,T8,T8,Erik Compton,28,6
12,T8,T8,Ryo Ishikawa,28,6
13,T8,T8,Zach Johnson,25,6
14,T8,T8,John Merrick,27,6
15,T8,T8,Bryce Molder,26,6
16,T8,T8,Michael Putnam,28,6
17,T8,T8,Wes Roach,1,6
18,T8,T8,Kevin Streelman,27,6
19,T20,T20,Sangmoon Bae,30,5
20,T20,T20,Blayne Barber,26,5
21,T20,T20,Daniel Berger,31,5
22,T20,T20,Paul Casey,24,5
23,T20,T20,K.J. Choi,19,5
24,T20,T20,Ben Crane,22,5
25,T20,T20,Jason Day,20,5
26,T20,T20,Graham DeLaet,22,5
27,T20,T20,Ken Duke,30,5
28,T20,T20,Derek Ernst,26,5
29,T20,T20,Matt Every,26,5
30,T20,T20,Jim Furyk,19,5
31,T20,T20,Brandon Hagy,8,5
32,T20,T20,Brian Harman,29,5
33,T20,T20,Russell Henley,24,5
34,T20,T20,Charley Hoffman,28,5
35,T20,T20,J.B. Holmes,25,5
36,T20,T20,Max Homa,27,5
37,T20,T20,Charles Howell III,30,5
38,T20,T20,Mark Hubbard,25,5
39,T20,T20,Matt Jones,25,5
40,T20,T20,Kevin Kisner,30,5
41,T20,T20,Brooks Koepka,23,5
42,T20,T20,Tom Lehman,2,5
43,T20,T20,Marc Leishman,23,5
