,Last_5_Events_-_Putting_RANK THIS WEEK,Last_5_Events_-_Putting_RANK LAST WEEK,Last_5_Events_-_Putting_PLAYER NAME,Last_5_Events_-_Putting_EVENTS,Last_5_Events_-_Putting_RATING
0,1,1,Joey Snyder III,1,9.4
1,2,2,Ian Poulter,1,9.3
2,T3,T3,Tommy Biershenk,1,9.2
3,T3,T3,Billy Hurley III,1,9.2
4,T3,T3,Shigeki Maruyama,1,9.2
5,6,6,Y.E. Yang,3,9.1
6,T7,T7,Rafa Cabrera Bello,1,9.0
7,T7,T7,Brian Davis,1,9.0
8,T7,T7,Yoshinori Fujimoto,1,9.0
9,T7,T7,Paul Goydos,2,9.0
10,T7,T7,Brett Wetterich,1,9.0
11,T12,T12,Jonas Blixt,4,8.9
12,T12,T12,Jason Gore,1,8.9
13,T12,T12,Anthony Kim,1,8.9
14,T12,T12,Richard Lee,2,8.9
15,T16,T16,Eric Axley,1,8.8
16,T16,T16,Greg Chalmers,3,8.8
17,T16,T16,Corey Pavin,2,8.8
18,T16,T16,Tadahiro Takayama,1,8.8
19,T16,T16,Willie Wood,1,8.8
20,T21,T21,Jason Day,3,8.7
21,T21,T21,Brian Gay,4,8.7
22,T21,T21,Jerry Kelly,2,8.7
23,T21,T21,Greg Owen,2,8.7
24,T25,T25,Gavin Coles,2,8.6
25,T25,T25,Derek Ernst,1,8.6
26,T25,T25,Bo Van Pelt,3,8.6
27,T28,T28,Erik Compton,2,8.5
28,T28,T28,Fred Funk,1,8.5
29,T28,T28,Martin Kaymer,1,8.5
30,T28,T28,Edward Loar,2,8.5
31,T28,T28,Rocco Mediate,3,8.5
32,T28,T28,Tim Petrovic,1,8.5
33,T28,T28,Alvaro Quiros,1,8.5
34,T28,T28,Brandt Snedeker,2,8.5
35,T36,T36,Tadd Fujikawa,1,8.4
36,T36,T36,Matt Jones,3,8.4
37,T36,T36,Skip Kendall,3,8.4
38,T36,T36,Len Mattiace,1,8.4
39,T36,T36,Phil Mickelson,4,8.4
40,T36,T36,Ryan Moore,5,8.4
41,T36,T36,Kevin Na,3,8.4
42,T36,T36,Tom Pernice Jr.,1,8.4
43,T36,T36,Vijay Singh,4,8.4
44,T36,T36,Peter Tomasulo,1,8.4
45,T36,T36,David Toms,2,8.4
46,T36,T36,Tiger Woods,3,8.4
47,T48,T48,Aaron Baddeley,2,8.3
48,T48,T48,Rich Beem,1,8.3
49,T48,T48,Michael Bradley,1,8.3
50,T48,T48,Jamie Donaldson,2,8.3
51,T48,T48,Jonathan Fly,1,8.3
52,T48,T48,Luke Guthrie,3,8.3
53,T48,T48,Hunter Hamrick,2,8.3
54,T48,T48,Kent Jones,1,8.3
55,T48,T48,Jamie Lovemark,2,8.3
56,T48,T48,John Mallinger,2,8.3
57,T48,T48,Koumei Oda,1,8.3
58,T48,T48,Marcel Siem,1,8.3
59,T60,T60,Woody Austin,2,8.2
60,T60,T60,Thomas Bjørn,1,8.2
61,T60,T60,Joseph Bramlett,1,8.2
62,T60,T60,Stephen Gangluff,1,8.2
63,T60,T60,Andres Gonzales,1,8.2
64,T60,T60,Ryuji Imada,3,8.2
65,T60,T60,Miguel Angel Jiménez,1,8.2
66,T60,T60,Rory McIlroy,4,8.2
67,T60,T60,Garth Mulroy,2,8.2
68,T60,T60,Josh Teater,4,8.2
69,T70,T70,Mark Anderson,3,8.1
70,T70,T70,Matt Bettencourt,2,8.1
71,T70,T70,Tim Clark,3,8.1
72,T70,T70,Fred Couples,2,8.1
73,T70,T70,Glen Day,1,8.1
74,T70,T70,Tom Gillis,4,8.1
75,T70,T70,Lee Janzen,2,8.1
76,T70,T70,Bill Lunde,3,8.1
77,T70,T70,Nick O'Hern,2,8.1
78,T70,T70,Jeff Overton,4,8.1
79,T70,T70,Ryan Palmer,3,8.1
80,T70,T70,Kenny Perry,3,8.1
81,T70,T70,D.A. Points,2,8.1
82,T70,T70,Jhonattan Vegas,3,8.1
83,T70,T70,Garrett Willis,2,8.1
84,T85,T85,Sangmoon Bae,2,8.0
85,T85,T85,Nicolas Colsaerts,2,8.0
86,T85,T85,Ben Crane,2,8.0
87,T85,T85,John Daly,1,8.0
88,T85,T85,Brendon de Jonge,4,8.0
89,T85,T85,Ken Duke,3,8.0
90,T85,T85,Bob Estes,4,8.0
91,T85,T85,Martin Flores,4,8.0
92,T85,T85,Sergio Garcia,4,8.0
93,T85,T85,Yuta Ikeda,1,8.0
94,T85,T85,Zach Johnson,3,8.0
95,T85,T85,J.J. Killeen,3,8.0
96,T85,T85,Matt Kuchar,4,8.0
97,T85,T85,WC Liang,1,8.0
98,T85,T85,Billy Mayfair,2,8.0
99,T85,T85,Bryce Molder,4,8.0
100,T85,T85,Scott Piercy,3,8.0
101,T85,T85,Fran Quinn,1,8.0
102,T85,T85,Kyle Reifers,2,8.0
103,T85,T85,Chris Riley,4,8.0
104,T85,T85,Rory Sabbatini,1,8.0
105,T85,T85,Bubba Watson,2,8.0
106,T85,T85,Chase Wright,1,8.0
