,Last_5_Events_-_Power_RANK THIS WEEK,Last_5_Events_-_Power_RANK LAST WEEK,Last_5_Events_-_Power_PLAYER NAME,Last_5_Events_-_Power_EVENTS,Last_5_Events_-_Power_RATING
0,1,1,John Daly,1,10.0
1,T2,T2,Charlie Beljan,3,9.9
2,T2,T2,Gary Woodland,2,9.9
3,4,4,Bubba Watson,2,9.8
4,T5,T5,Nicolas Colsaerts,2,9.7
5,T5,T5,Jason Day,3,9.7
6,T5,T5,Harrison Frazar,1,9.7
7,T8,T8,Jamie Lovemark,2,9.6
8,T8,T8,Rory McIlroy,4,9.6
9,10,10,Alvaro Quiros,1,9.5
10,11,11,Scott Stallings,4,9.4
11,T12,T12,Steven Bowditch,1,9.3
12,T12,T12,Dustin Johnson,1,9.3
13,T12,T12,Ryan Palmer,3,9.3
14,T15,T15,Charles Howell III,3,9.2
15,T15,T15,Adam Scott,4,9.2
16,T15,T15,Kyle Stanley,2,9.2
17,T18,T18,Derek Ernst,1,9.1
18,T18,T18,Robert Garrigus,3,9.1
19,T18,T18,Jason Gore,1,9.1
20,T18,T18,J.B. Holmes,4,9.1
21,T18,T18,Sean O'Hair,3,9.1
22,T18,T18,Nick Watney,1,9.1
23,T24,T24,Kevin Chappell,2,9.0
24,T24,T24,Jason Kokrak,4,9.0
25,26,26,Dustin Morris,1,8.9
26,T27,T27,Mathias Grönberg,1,8.8
27,T27,T27,Louis Oosthuizen,4,8.8
28,T27,T27,Scott Piercy,3,8.8
29,T30,T30,Graham DeLaet,4,8.7
30,T30,T30,Martin Flores,4,8.7
31,T32,T32,Harris English,5,8.6
32,T32,T32,Koumei Oda,1,8.6
33,T34,T34,Patrick Reed,2,8.5
34,T34,T34,Josh Teater,4,8.5
35,T34,T34,Jhonattan Vegas,3,8.5
36,T37,T37,Mark Anderson,3,8.4
37,T37,T37,Danny Lee,2,8.4
38,T37,T37,Garth Mulroy,2,8.4
39,T40,T40,Ángel Cabrera,3,8.3
40,T40,T40,Rafa Cabrera Bello,1,8.3
41,T40,T40,Matt Jones,3,8.3
