,FedExCup_Playoffs_Points_RANK THIS WEEK,FedExCup_Playoffs_Points_RANK LAST WEEK,FedExCup_Playoffs_Points_PLAYER NAME,FedExCup_Playoffs_Points_EVENTS,FedExCup_Playoffs_Points_POINTS,FedExCup_Playoffs_Points_# OF WINS,FedExCup_Playoffs_Points_# OF TOP 10'S,FedExCup_Playoffs_Points_POINTS BEHIND LEAD,FedExCup_Playoffs_Points_RESET POINTS
35,36,36,Johnson Wagner,26,1386,1.0,4.0,5913.0,
36,37,37,Seung-Yul Noh,28,1379,,3.0,5920.0,
37,38,38,Bud Cauley,26,1342,,6.0,5957.0,
38,39,39,Ian Poulter,15,1280,,4.0,6019.0,
39,40,40,Tom Gillis,22,1277,,2.0,6022.0,
40,41,41,Ben Curtis,16,1230,1.0,3.0,6069.0,
41,42,42,Graeme McDowell,16,1222,,4.0,6077.0,
42,43,43,Padraig Harrington,18,1213,,3.0,6086.0,
43,44,44,Jeff Overton,26,1199,,3.0,6100.0,
44,45,45,Troy Matteson,29,1190,,3.0,6109.0,
45,46,46,Marc Leishman,23,1165,1.0,2.0,6134.0,
46,47,47,Geoff Ogilvy,20,1164,,1.0,6135.0,
47,48,48,J.B. Holmes,23,1153,,2.0,6146.0,
48,49,49,Chris Kirk,24,1152,,4.0,6147.0,
49,50,50,William McGirt,28,1125,,3.0,6174.0,
50,51,51,Brian Harman,27,1122,,1.0,6177.0,
51,52,52,Kevin Na,24,1095,,6.0,6204.0,
52,53,53,Graham DeLaet,23,1085,,3.0,6214.0,
53,54,54,Pat Perez,23,1073,,1.0,6226.0,
54,55,55,Ryan Palmer,22,1070,,4.0,6229.0,
55,56,56,Tim Clark,19,1065,,3.0,6234.0,
56,57,57,Brendon de Jonge,28,1065,,2.0,6234.0,
57,58,58,Bob Estes,22,1058,,2.0,6241.0,
58,59,59,Mark Wilson,24,1049,1.0,2.0,6250.0,
59,60,60,Charlie Wi,24,1043,,3.0,6256.0,
60,61,61,Charl Schwartzel,16,1041,,2.0,6258.0,
61,62,62,Jimmy Walker,26,1033,,4.0,6266.0,
62,63,63,D.A. Points,25,1027,,3.0,6272.0,
63,64,64,Martin Laird,22,1024,,3.0,6275.0,
64,65,65,Bryce Molder,23,1023,,2.0,6276.0,
65,66,66,Ben Crane,22,991,,4.0,6308.0,
66,67,67,Matt Every,22,979,,5.0,6320.0,
67,68,68,David Hearn,25,967,,2.0,6332.0,
68,69,69,Charley Hoffman,26,916,,2.0,6383.0,
69,70,70,Dicky Pride,17,884,,3.0,6415.0,
70,71,71,Jonas Blixt,17,820,,3.0,6479.0,
71,72,72,John Merrick,24,814,,2.0,6485.0,
72,73,73,Josh Teater,27,803,,3.0,6496.0,
73,74,74,John Rollins,23,800,,5.0,6499.0,
74,75,75,Scott Stallings,24,781,1.0,2.0,6518.0,
75,76,76,Ken Duke,27,776,,6.0,6523.0,
76,77,77,Roberto Castro,23,772,,1.0,6527.0,
77,78,78,Aaron Baddeley,21,770,,3.0,6529.0,
78,79,79,Harris English,24,762,,3.0,6537.0,
79,80,80,J.J. Henry,28,760,1.0,3.0,6539.0,
80,81,81,Sean O'Hair,21,744,,2.0,6555.0,
81,82,82,Jonathan Byrd,21,736,,5.0,6563.0,
82,83,83,Spencer Levin,26,735,,3.0,6564.0,
83,84,84,Charles Howell III,25,733,,1.0,6566.0,
84,85,85,Brian Davis,25,728,,4.0,6571.0,
85,86,86,George McNeill,23,724,1.0,1.0,6575.0,
86,87,87,Jason Day,15,712,,3.0,6587.0,
87,88,88,Greg Owen,23,704,,2.0,6595.0,
88,89,89,Ricky Barnes,25,696,,1.0,6603.0,
89,90,90,Cameron Tringale,23,689,,4.0,6610.0,
90,91,91,Blake Adams,29,674,,2.0,6625.0,
91,92,92,Michael Thompson,23,671,,2.0,6628.0,
92,93,93,"Ted Potter, Jr.",23,652,1.0,1.0,6647.0,
93,94,94,Tommy Gainey,29,631,,1.0,6668.0,
94,95,95,David Toms,18,623,,4.0,6676.0,
95,96,96,Sangmoon Bae,25,608,,2.0,6691.0,
96,97,97,Rory Sabbatini,25,602,,2.0,6697.0,
97,98,98,K.J. Choi,21,602,,2.0,6697.0,
98,99,99,Daniel Summerhays,22,573,,4.0,6726.0,
99,100,100,Martin Flores,26,562,,2.0,6737.0,
100,101,101,John Mallinger,22,543,,2.0,6756.0,
101,102,102,Will Claxton,24,530,,2.0,6769.0,
102,103,103,Gary Christian,24,529,,1.0,6770.0,
103,104,104,Chad Campbell,23,517,,2.0,6782.0,
104,105,105,Freddie Jacobson,16,513,,1.0,6786.0,
105,106,106,Andres Romero,20,506,,2.0,6793.0,
106,107,107,Rod Pampling,22,505,,1.0,6794.0,
107,108,108,Billy Mayfair,24,500,,1.0,6799.0,
108,109,109,Brian Gay,24,491,,2.0,6808.0,
109,110,110,Chris Stroud,24,484,,2.0,6815.0,
110,111,111,Henrik Stenson,13,462,,1.0,6837.0,
111,112,112,Kevin Streelman,23,462,,3.0,6837.0,
112,113,113,Troy Kelly,20,462,,1.0,6837.0,
113,114,114,Kevin Chappell,25,447,,1.0,6852.0,
114,115,115,Davis Love III,16,443,,2.0,6856.0,
115,116,116,Jeff Maggert,23,437,,1.0,6862.0,
116,117,117,Trevor Immelman,21,423,,,6876.0,
117,118,118,Robert Allenby,23,417,,2.0,6882.0,
118,119,119,James Driscoll,23,413,,2.0,6886.0,
119,120,120,Colt Knost,25,390,,2.0,6909.0,
120,121,121,Harrison Frazar,20,387,,2.0,6912.0,
121,122,122,Jerry Kelly,22,385,,,6914.0,
122,123,123,Boo Weekley,21,365,,2.0,6934.0,
123,124,124,Heath Slocum,25,365,,,6934.0,
124,125,125,Jason Bohn,24,363,,2.0,6936.0,
125,126,126,Jhonattan Vegas,22,361,,2.0,6938.0,
126,127,127,Y.E. Yang,20,351,,,6948.0,
127,128,128,Tim Herron,23,339,,,6960.0,
128,129,129,Bobby Gates,25,338,,1.0,6961.0,
129,130,130,Brendan Steele,20,334,,3.0,6965.0,
130,131,131,Retief Goosen,12,330,,2.0,6969.0,
131,132,132,Chez Reavie,23,327,,,6972.0,
132,133,133,David Mathis,25,322,,1.0,6977.0,
133,134,134,Gary Woodland,19,321,,,6978.0,
134,135,135,Chris DiMarco,25,316,,1.0,6983.0,
135,136,136,Vaughn Taylor,22,312,,,6987.0,
136,137,137,Erik Compton,22,311,,,6988.0,
137,138,138,Kyle Reifers,23,311,,,6988.0,
138,139,139,Stewart Cink,19,310,,,6989.0,
139,140,140,John Daly,12,298,,1.0,7001.0,
140,141,141,Kris Blanks,23,297,,,7002.0,
141,142,142,Bill Lunde,21,294,,,7005.0,
142,143,143,Billy Horschel,14,289,,1.0,7010.0,
143,144,144,Stuart Appleby,20,287,,,7012.0,
144,145,145,J.J. Killeen,29,286,,1.0,7013.0,
145,146,146,Brendon Todd,25,281,,1.0,7018.0,
146,147,147,Justin Leonard,22,277,,2.0,7022.0,
147,148,148,Camilo Villegas,21,267,,,7032.0,
148,149,149,Richard Lee,20,262,,,7037.0,
149,150,150,Billy Hurley III,23,256,,2.0,7043.0,
