,PGA_Championship_Points_RANK THIS WEEK,PGA_Championship_Points_RANK LAST WEEK,PGA_Championship_Points_PLAYER NAME,PGA_Championship_Points_EVENTS,PGA_Championship_Points_POINTS
0,1,1,Rory McIlroy,6,4863960
1,2,2,Brandt Snedeker,7,2714720
2,3,3,Keegan Bradley,6,2088500
3,4,4,Nick Watney,8,1905407
4,5,5,Louis Oosthuizen,6,1832067
5,6,6,Ryan Moore,7,1772020
6,7,7,Sergio Garcia,6,1708800
7,8,8,Justin Rose,6,1654680
8,9,9,Jim Furyk,7,1612350
9,10,10,Tiger Woods,6,1448036
10,11,11,Dustin Johnson,6,1400385
11,12,12,Jonas Blixt,7,1381897
12,13,13,Phil Mickelson,6,1346450
13,14,14,Lee Westwood,6,1300600
14,15,15,Steve Stricker,6,1264600
15,16,16,Robert Garrigus,7,1127274
16,17,17,Charlie Beljan,6,956790
17,18,18,Carl Pettersson,7,914293
18,19,19,Luke Donald,6,907908
19,20,20,Adam Scott,6,906366
20,21,21,Tim Clark,6,883375
21,22,22,Brendon de Jonge,8,876558
22,23,23,David Lynn,1,865000
23,24,24,Bubba Watson,6,852175
24,25,25,Tommy Gainey,7,797068
25,26,26,Bo Van Pelt,6,753321
26,27,27,Jason Dufner,6,745167
27,28,28,Ian Poulter,5,676220
28,29,29,Jimmy Walker,7,664762
29,30,30,Bud Cauley,7,603533
30,31,31,Vijay Singh,7,596622
31,32,32,David Toms,5,586500
32,33,33,Matt Every,8,585373
33,34,34,J.J. Henry,4,583110
34,35,35,John Senden,6,566065
35,36,36,Alexandre Rocha,6,551598
36,37,37,Jeff Overton,8,535487
37,38,38,Kevin Stadler,6,510761
38,39,39,Jason Kokrak,6,490466
39,40,40,Webb Simpson,6,487527
40,41,41,Scott Piercy,7,477880
41,42,42,Blake Adams,7,470520
42,43,43,Zach Johnson,7,466960
43,44,44,Greg Chalmers,5,464125
44,45,45,John Huh,7,452477
45,46,46,Josh Teater,7,440715
46,47,47,Tim Petrovic,4,440000
47,48,48,Tom Gillis,5,436733
48,49,49,Matt Kuchar,6,425290
49,50,50,Ernie Els,7,402569
50,51,51,Scott Stallings,7,390668
51,52,52,Geoff Ogilvy,5,386772
52,53,53,Bryce Molder,8,381620
53,54,54,John Mallinger,6,380363
54,55,55,Russell Knox,6,379070
55,56,56,Jason Day,6,368447
56,57,57,Graham DeLaet,4,366073
57,58,58,Padraig Harrington,5,363487
58,59,59,Seung-Yul Noh,5,360507
59,60,60,Brian Harman,7,359772
60,61,61,Charles Howell III,8,356377
61,62,62,Chad Campbell,6,349905
62,63,63,Bill Haas,6,349872
63,64,64,Hunter Mahan,6,344900
64,65,65,Davis Love III,7,339619
65,66,66,Troy Matteson,8,336787
66,67,67,Richard Lee,6,335375
67,68,68,Chris Kirk,8,330113
68,69,69,Harris English,6,320694
69,70,70,Charl Schwartzel,6,310420
70,71,71,John Merrick,6,302889
71,72,72,Jamie Donaldson,3,301042
72,73,73,Brian Gay,7,298118
73,74,74,Tim Herron,5,296585
74,75,75,Ben Curtis,7,294565
75,76,76,Bill Lunde,6,290839
76,77,77,Rickie Fowler,6,287600
77,78,78,Graeme McDowell,5,276186
78,79,79,David Hearn,7,270717
79,80,80,Peter Hanson,2,269500
80,81,81,Bob Estes,5,265176
81,82,82,J.B. Holmes,7,259855
82,83,83,William McGirt,7,242902
83,84,84,Nicolas Colsaerts,4,239192
84,85,85,Brendan Steele,6,227920
85,86,86,Justin Leonard,6,226354
86,87,87,D.J. Trahan,6,224111
87,88,88,Andres Romero,5,222923
88,89,89,John Daly,6,222577
89,90,90,Charlie Wi,6,206928
90,91,91,Greg Owen,7,201738
91,92,92,Boo Weekley,7,194448
92,93,93,Jason Bohn,7,192077
93,94,94,Aaron Baddeley,5,182500
94,95,95,Pat Perez,5,181991
95,96,96,Michael Thompson,5,181540
96,97,97,Mark Wilson,6,178680
97,98,98,Gary Woodland,5,175291
98,99,99,D.A. Points,9,171138
