,Last_15_Events_-_Short_Game_RANK THIS WEEK,Last_15_Events_-_Short_Game_RANK LAST WEEK,Last_15_Events_-_Short_Game_PLAYER NAME,Last_15_Events_-_Short_Game_EVENTS,Last_15_Events_-_Short_Game_RATING
0,1,1,Glen Day,1,8.7
1,2,2,Woody Austin,3,8.2
2,3,3,Albin Choi,1,8.1
3,T4,T4,Darren Clarke,1,8.0
4,T4,T4,Len Mattiace,1,8.0
5,6,6,Jonathan Randolph,1,7.9
6,T7,T7,Jim Furyk,6,7.7
7,T7,T7,Zack Miller,3,7.7
8,T7,T7,Webb Simpson,5,7.7
9,T7,T7,Omar Uresti,2,7.7
10,T11,T11,Greg Chalmers,9,7.6
11,T11,T11,Corey Pavin,2,7.6
12,T13,T13,Jason Bohn,4,7.5
13,T13,T13,Brett Quigley,1,7.5
14,T13,T13,Steve Wheatcroft,3,7.5
15,T16,T16,Kevin Kisner,5,7.4
16,T16,T16,Justin Leonard,5,7.4
17,T16,T16,Justin Rose,7,7.4
18,T16,T16,Duffy Waldorf,5,7.4
19,T20,T20,Chad Collins,2,7.3
20,T20,T20,Robert Damron,2,7.3
21,T20,T20,Jamie Donaldson,1,7.3
22,T20,T20,Marcus Fraser,2,7.3
23,T20,T20,Jamie Lovemark,2,7.3
24,T25,T25,Eric Axley,1,7.2
25,T25,T25,Rich Beem,1,7.2
26,T25,T25,Jonathan Byrd,9,7.2
27,T25,T25,Jason Dufner,8,7.2
28,T25,T25,Hunter Haas,5,7.2
29,T25,T25,Adam Hadwin,1,7.2
30,T25,T25,Jeff Quinney,1,7.2
31,T25,T25,John Senden,7,7.2
32,T25,T25,Tadahiro Takayama,1,7.2
33,T25,T25,Camilo Villegas,8,7.2
34,T25,T25,Jimmy Walker,8,7.2
35,T36,T36,K.J. Choi,4,7.1
36,T36,T36,Stephen Gangluff,1,7.1
37,T36,T36,Billy Hurley III,4,7.1
38,T36,T36,Lee Janzen,5,7.1
39,T36,T36,Rocco Mediate,8,7.1
40,T36,T36,Nick O'Hern,6,7.1
41,T36,T36,Gene Sauers,1,7.1
42,T36,T36,Paul Stankowski,6,7.1
43,T36,T36,Steve Stricker,9,7.1
44,T36,T36,Bo Van Pelt,9,7.1
45,T46,T46,Brian Gay,6,7.0
46,T46,T46,Retief Goosen,6,7.0
47,T48,T48,Stuart Appleby,9,6.9
48,T48,T48,Kris Blanks,5,6.9
49,T48,T48,Matt Every,9,6.9
50,T48,T48,Ryuji Imada,7,6.9
