,All-Around_Ranking_RANK THIS WEEK,All-Around_Ranking_RANK LAST WEEK,All-Around_Ranking_PLAYER NAME,All-Around_Ranking_EVENTS,All-Around_Ranking_TOTAL
0,1,1,Keegan Bradley,25,253
1,2,2,Rory McIlroy,16,256
2,3,3,Jason Dufner,22,266
3,4,4,Bo Van Pelt,24,276
4,5,5,Lee Westwood,15,311
5,6,6,Justin Rose,19,324
6,7,7,Ryan Moore,24,359
7,8,8,Louis Oosthuizen,19,366
8,9,9,Zach Johnson,25,372
9,T10,T10,Brendon de Jonge,31,381
10,T10,T10,Tiger Woods,19,381
11,12,12,Dustin Johnson,19,391
12,13,13,John Senden,22,392
13,14,14,Ben Crane,23,405
14,15,15,Bubba Watson,19,410
15,16,16,Webb Simpson,22,423
16,17,17,Scott Piercy,28,429
17,18,18,Sergio Garcia,16,438
18,19,19,Luke Donald,17,446
19,20,20,Robert Garrigus,26,447
20,21,21,Jonas Blixt,21,453
21,22,22,Steve Stricker,19,457
22,23,23,Adam Scott,16,474
23,24,24,Matt Kuchar,22,482
24,25,25,Seung-Yul Noh,28,497
25,26,26,John Huh,28,508
26,27,27,Jeff Overton,29,510
27,28,28,Carl Pettersson,26,512
28,29,29,Brandt Snedeker,22,513
29,30,30,Vijay Singh,27,515
30,31,31,Phil Mickelson,22,519
31,32,32,Padraig Harrington,18,524
32,T33,T33,Jim Furyk,24,531
33,T33,T33,Jimmy Walker,28,531
34,35,35,Billy Horschel,17,534
35,36,36,Roberto Castro,27,536
36,37,37,Nick Watney,26,540
37,38,38,Chris Kirk,27,553
38,39,39,Brian Harman,30,556
39,40,40,Bud Cauley,28,557
40,41,41,Sean O'Hair,24,559
41,42,42,Rickie Fowler,23,560
42,43,43,Graeme McDowell,16,564
43,44,44,Ken Duke,30,565
44,45,45,Graham DeLaet,23,572
45,46,46,Will Claxton,28,573
46,47,47,Jason Day,17,574
47,48,48,Henrik Stenson,15,575
48,49,49,Tom Gillis,23,577
49,50,50,Harris English,27,585
50,51,51,Pat Perez,23,586
51,52,52,Davis Love III,20,593
52,53,53,Russell Knox,23,594
53,54,54,Hunter Mahan,23,600
54,55,55,Kyle Stanley,27,605
55,56,56,Ryan Palmer,24,619
56,57,57,Bill Haas,23,626
57,58,58,Josh Teater,30,627
58,T59,T59,Greg Chalmers,25,629
59,T59,T59,Bill Lunde,25,629
60,61,61,David Toms,19,633
61,62,62,Greg Owen,27,636
62,63,63,Charley Hoffman,27,642
63,64,64,J.B. Holmes,25,645
64,65,65,Blake Adams,32,647
65,66,66,Matt Every,25,654
66,67,67,Brian Davis,29,665
67,68,68,Ian Poulter,15,672
68,69,69,Geoff Ogilvy,20,675
69,70,70,Danny Lee,26,685
70,71,71,John Merrick,26,688
71,72,72,Charl Schwartzel,16,689
72,73,73,Charles Howell III,29,693
73,74,74,Richard Lee,24,697
74,75,75,John Rollins,26,699
75,76,76,Vaughn Taylor,26,702
76,77,77,Daniel Summerhays,26,703
77,78,78,Martin Flores,30,708
78,79,79,Garth Mulroy,20,710
79,80,80,John Daly,15,713
80,81,81,Chris Couch,21,717
81,82,82,Kevin Na,25,720
82,83,83,Ben Curtis,19,726
83,84,84,Kevin Stadler,25,733
84,85,85,Kyle Reifers,27,736
85,86,86,Boo Weekley,25,737
86,87,87,Camilo Villegas,25,740
87,88,88,Charlie Beljan,22,744
88,89,89,Ernie Els,22,751
89,90,90,Dicky Pride,19,759
90,T91,T91,Tommy Gainey,32,763
91,T91,T91,Martin Laird,22,763
92,93,93,Tim Clark,20,764
93,94,94,Gary Christian,28,766
94,95,95,Mathew Goggin,23,781
95,T96,T96,James Driscoll,27,784
96,T96,T96,David Hearn,28,784
97,98,98,Michael Thompson,25,788
98,99,99,Tim Herron,27,790
99,T100,T100,Jeff Maggert,27,793
100,T100,T100,Rocco Mediate,23,793
101,102,102,Jerry Kelly,26,801
102,103,103,Nathan Green,22,810
103,T104,T104,Jonathan Byrd,21,811
104,T104,T104,D.A. Points,29,811
105,106,106,Charlie Wi,25,812
106,107,107,John Mallinger,25,813
107,108,108,Aaron Baddeley,22,815
108,109,109,Brian Gay,28,823
109,110,110,Kevin Streelman,26,828
110,111,111,Bobby Gates,29,829
111,112,112,Erik Compton,26,833
112,113,113,Stuart Appleby,24,834
113,114,114,Johnson Wagner,27,836
114,115,115,William McGirt,30,838
115,116,116,Mark Anderson,25,841
116,117,117,Kris Blanks,23,843
117,118,118,Chad Campbell,27,844
118,T119,T119,Chris Stroud,28,847
119,T119,T119,Cameron Tringale,26,847
120,T121,T121,Edward Loar,23,848
121,T121,T121,Roland Thatcher,21,848
122,123,123,Chris DiMarco,29,852
123,124,124,Scott Stallings,27,858
124,125,125,Robert Karlsson,17,859
125,126,126,Rory Sabbatini,29,860
126,127,127,Spencer Levin,26,865
127,128,128,Daniel Chopra,21,867
128,129,129,Brandt Jobe,18,874
129,130,130,Gavin Coles,23,878
130,131,131,Kevin Chappell,29,879
131,132,132,George McNeill,25,880
132,133,133,K.J. Choi,21,882
133,134,134,Jason Kokrak,27,894
134,135,135,Matt Jones,19,898
135,136,136,Sangmoon Bae,25,909
136,137,137,Rod Pampling,26,912
137,138,138,Bob Estes,23,913
138,139,139,Ricky Barnes,28,918
139,140,140,Mark Wilson,25,919
140,141,141,Cameron Beckman,26,921
141,142,142,Harrison Frazar,20,932
142,143,143,Scott Brown,24,935
143,144,144,Jhonattan Vegas,25,941
144,T145,T145,Bryce Molder,25,942
145,T145,T145,Heath Slocum,29,942
146,147,147,Jason Bohn,28,947
147,148,148,Ángel Cabrera,20,948
148,149,149,Chez Reavie,26,953
149,150,150,Troy Matteson,32,955
150,151,151,Y.E. Yang,20,960
151,152,152,Steve Wheatcroft,22,961
152,153,153,J.J. Henry,28,962
153,154,154,Billy Mayfair,28,963
154,155,155,Gary Woodland,22,983
155,156,156,Andres Romero,22,985
156,T157,T157,Marco Dawson,22,987
157,T157,T157,Ryo Ishikawa,18,987
158,159,159,Scott Dunlap,20,994
159,160,160,Hunter Haas,24,998
160,161,161,Kevin Kisner,24,1008
161,T162,T162,Arjun Atwal,27,1015
162,T162,T162,David Mathis,29,1015
163,164,164,Brendan Steele,24,1026
164,165,165,Troy Kelly,23,1032
165,166,166,D.J. Trahan,27,1040
166,167,167,Marc Leishman,23,1044
167,168,168,Miguel Angel Carballo,25,1055
168,169,169,Derek Lamely,25,1057
169,170,170,Colt Knost,29,1065
170,171,171,J.J. Killeen,33,1074
171,172,172,Trevor Immelman,24,1080
172,173,173,Nick O'Hern,26,1081
173,174,174,Tommy Biershenk,27,1086
174,175,175,Brendon Todd,29,1120
175,176,176,"Ted Potter, Jr.",25,1124
176,T177,T177,Billy Hurley III,27,1125
177,T177,T177,Freddie Jacobson,17,1125
178,179,179,Stewart Cink,22,1126
179,180,180,Robert Allenby,27,1132
180,181,181,Michael Bradley,23,1138
181,182,182,Ryuji Imada,28,1158
182,183,183,Matt Bettencourt,31,1174
183,184,184,Alexandre Rocha,21,1179
184,185,185,Sung Kang,30,1194
185,186,186,Tom Pernice Jr.,23,1203
186,187,187,Stephen Ames,20,1223
187,188,188,Kyle Thompson,22,1228
188,189,189,Justin Leonard,26,1237
189,190,190,Stephen Gangluff,23,1243
190,191,191,Patrick Sheehan,21,1261
