,FedExCup_Bonus_Money_RANK THIS WEEK,FedExCup_Bonus_Money_RANK LAST WEEK,FedExCup_Bonus_Money_PLAYER NAME,FedExCup_Bonus_Money_EVENTS,FedExCup_Bonus_Money_MONEY
0,1,1,Brandt Snedeker,22,10000000
1,2,2,Rory McIlroy,16,3000000
2,3,3,Tiger Woods,19,2000000
3,4,4,Nick Watney,25,1500000
4,5,5,Phil Mickelson,22,1000000
5,6,6,Justin Rose,19,800000
6,7,7,Louis Oosthuizen,19,700000
7,8,8,Dustin Johnson,19,600000
8,9,9,Luke Donald,17,550000
9,10,10,Lee Westwood,15,500000
10,11,11,Ryan Moore,23,300000
11,12,12,Zach Johnson,24,290000
12,13,13,Bubba Watson,19,280000
13,14,14,Jason Dufner,22,270000
14,15,15,Jim Furyk,23,250000
15,16,16,Webb Simpson,22,245000
16,17,17,Sergio Garcia,16,240000
17,18,18,Matt Kuchar,22,235000
18,19,19,Hunter Mahan,23,230000
19,20,20,Steve Stricker,19,225000
20,21,21,Keegan Bradley,25,220000
21,22,22,Bo Van Pelt,24,215000
22,23,23,Robert Garrigus,24,210000
23,24,24,Carl Pettersson,26,205000
24,25,25,Adam Scott,16,200000
25,26,26,Ernie Els,21,195000
26,27,27,Scott Piercy,27,190000
27,28,28,Rickie Fowler,23,185000
28,29,29,John Huh,27,180000
29,30,30,John Senden,22,175000
30,31,31,Kyle Stanley,27,165000
31,32,32,Bill Haas,23,155000
32,33,33,Vijay Singh,24,150000
33,34,34,Kevin Stadler,24,145000
34,35,35,Greg Chalmers,25,142000
35,36,36,Johnson Wagner,26,140000
36,37,37,Seung-Yul Noh,28,138000
37,38,38,Bud Cauley,26,137000
38,39,39,Ian Poulter,15,136000
39,40,40,Tom Gillis,22,135000
40,41,41,Ben Curtis,16,134000
41,42,42,Graeme McDowell,16,133000
42,43,43,Padraig Harrington,18,132000
43,44,44,Jeff Overton,26,131000
44,45,45,Troy Matteson,29,130000
45,46,46,Marc Leishman,23,129000
46,47,47,Geoff Ogilvy,20,128000
47,48,48,J.B. Holmes,23,127000
48,49,49,Chris Kirk,24,126000
49,50,50,William McGirt,28,125000
50,51,51,Brian Harman,27,120000
51,52,52,Kevin Na,24,115000
52,53,53,Graham DeLaet,23,114000
53,54,54,Pat Perez,23,113000
54,55,55,Ryan Palmer,22,110000
55,56,56,Tim Clark,19,110000
56,57,57,Brendon de Jonge,28,110000
57,58,58,Bob Estes,22,110000
58,59,59,Mark Wilson,24,110000
59,60,60,Charlie Wi,24,110000
60,61,61,Charl Schwartzel,16,110000
61,62,62,Jimmy Walker,26,110000
62,63,63,D.A. Points,25,110000
63,64,64,Martin Laird,22,110000
64,65,65,Bryce Molder,23,110000
65,66,66,Ben Crane,22,110000
66,67,67,Matt Every,22,110000
67,68,68,David Hearn,25,110000
68,69,69,Charley Hoffman,26,110000
69,70,70,Dicky Pride,17,110000
70,71,71,Jonas Blixt,17,80000
71,72,72,John Merrick,24,80000
72,73,73,Josh Teater,27,80000
73,74,74,John Rollins,23,80000
74,75,75,Scott Stallings,24,80000
75,76,76,Ken Duke,27,80000
76,77,77,Roberto Castro,23,80000
77,78,78,Aaron Baddeley,21,80000
78,79,79,Harris English,24,80000
79,80,80,J.J. Henry,28,80000
80,81,81,Sean O'Hair,21,75000
81,82,82,Jonathan Byrd,21,75000
82,83,83,Spencer Levin,26,75000
83,84,84,Charles Howell III,25,75000
84,85,85,Brian Davis,25,75000
85,86,86,George McNeill,23,75000
86,87,87,Jason Day,15,75000
87,88,88,Greg Owen,23,75000
88,89,89,Ricky Barnes,25,75000
89,90,90,Cameron Tringale,23,75000
90,91,91,Blake Adams,29,75000
91,92,92,Michael Thompson,23,75000
92,93,93,"Ted Potter, Jr.",23,75000
93,94,94,Tommy Gainey,29,75000
94,95,95,David Toms,18,75000
95,96,96,Sangmoon Bae,25,75000
96,97,97,Rory Sabbatini,25,75000
97,98,98,K.J. Choi,21,75000
98,99,99,Daniel Summerhays,22,75000
99,100,100,Martin Flores,26,75000
100,101,101,John Mallinger,22,70000
101,102,102,Will Claxton,24,70000
102,103,103,Gary Christian,24,70000
103,104,104,Chad Campbell,23,70000
104,105,105,Freddie Jacobson,16,70000
105,106,106,Andres Romero,20,70000
106,107,107,Rod Pampling,22,70000
107,108,108,Billy Mayfair,24,70000
108,109,109,Brian Gay,24,70000
109,110,110,Chris Stroud,24,70000
110,111,111,Henrik Stenson,13,70000
111,112,112,Kevin Streelman,23,70000
112,113,113,Troy Kelly,20,70000
113,114,114,Kevin Chappell,25,70000
114,115,115,Davis Love III,16,70000
115,116,116,Jeff Maggert,23,70000
116,117,117,Trevor Immelman,21,70000
117,118,118,Robert Allenby,23,70000
118,119,119,James Driscoll,23,70000
119,120,120,Colt Knost,25,70000
120,121,121,Harrison Frazar,20,70000
121,122,122,Jerry Kelly,22,70000
122,123,123,Boo Weekley,21,70000
123,124,124,Heath Slocum,25,70000
124,125,125,Jason Bohn,24,70000
125,126,126,Jhonattan Vegas,22,32000
126,127,127,Y.E. Yang,20,32000
127,128,128,Tim Herron,23,32000
128,129,129,Bobby Gates,25,32000
129,130,130,Brendan Steele,20,32000
130,131,131,Retief Goosen,12,32000
131,132,132,Chez Reavie,23,32000
132,133,133,David Mathis,25,32000
133,134,134,Gary Woodland,19,32000
134,135,135,Chris DiMarco,25,32000
135,136,136,Vaughn Taylor,22,32000
136,137,137,Erik Compton,22,32000
137,138,138,Kyle Reifers,23,32000
138,139,139,Stewart Cink,19,32000
139,140,140,John Daly,12,32000
140,141,141,Kris Blanks,23,32000
141,142,142,Bill Lunde,21,32000
142,143,143,Billy Horschel,14,32000
143,144,144,Stuart Appleby,20,32000
