,Presidents_Cup_International_RANK THIS WEEK,Presidents_Cup_International_RANK LAST WEEK,Presidents_Cup_International_PLAYER NAME,Presidents_Cup_International_EVENTS,Presidents_Cup_International_AVG POINTS,Presidents_Cup_International_TOTAL POINTS,Presidents_Cup_International_POINTS LOST,Presidents_Cup_International_POINTS GAINED
0,1,1.0,Adam Scott,42,6.21,260.71,-212.63,215.02
1,2,2.0,Louis Oosthuizen,52,6.14,319.27,-179.83,334.85
2,3,3.0,Charl Schwartzel,52,4.9,254.7,-222.23,205.41
3,4,4.0,Ernie Els,52,4.34,225.54,-155.4,252.88
4,5,5.0,Branden Grace,52,3.17,164.58,-65.55,197.4
5,6,6.0,Jason Day,44,2.89,127.08,-195.35,79.01
6,7,7.0,John Senden,52,2.85,148.11,-128.55,118.23
7,8,8.0,Hiroyuki Fujita,52,2.64,137.44,-102.3,122.29
8,9,9.0,K.J. Choi,52,2.3,119.52,-182.66,69.16
9,10,10.0,George Coetzee,52,2.27,117.84,-80.3,104.6
10,11,11.0,Geoff Ogilvy,48,2.18,104.69,-128.47,80.02
11,12,12.0,Marcus Fraser,52,2.13,110.88,-66.46,91.2
12,13,13.0,Greg Chalmers,52,2.02,104.94,-83.57,69.89
13,14,15.0,Thaworn Wiratchant,52,1.99,103.34,-47.38,100.43
14,15,14.0,Sangmoon Bae,52,1.99,103.29,-107.87,72.46
15,16,16.0,K.T. Kim,52,1.95,101.49,-149.96,66.09
16,17,17.0,Brendan Jones,45,1.91,86.14,-68.89,80.4
17,18,18.0,Ryo Ishikawa,52,1.88,97.81,-128.17,93.46
18,19,20.0,Toru Taniguchi,49,1.82,89.12,-78.7,61.78
19,20,19.0,Aaron Baddeley,49,1.8,88.39,-125.57,66.05
20,21,22.0,Thongchai Jaidee,52,1.76,91.32,-63.22,92.67
21,22,21.0,Vijay Singh,52,1.73,90.2,-96.74,77.61
22,23,23.0,Brendon de Jonge,52,1.73,90.13,-70.28,93.52
23,24,24.0,Marc Leishman,52,1.67,86.64,-63.01,91.65
24,25,25.0,Gaganjeet Bhullar,41,1.65,67.8,-21.38,72.01
25,26,26.0,Tim Clark,40,1.62,64.98,-74.02,71.65
26,27,27.0,Seung-Yul Noh,52,1.6,83.07,-77.0,79.45
27,28,28.0,Jeev Milkha Singh,52,1.59,82.83,-51.12,80.58
28,29,29.0,Koumei Oda,52,1.54,80.06,-63.09,50.46
29,30,30.0,Yuta Ikeda,52,1.53,79.7,-91.6,68.63
30,31,31.0,Toshinori Muto,52,1.53,79.39,-46.21,55.74
31,32,32.0,Y.E. Yang,52,1.51,78.26,-120.84,45.61
32,33,33.0,Charlie Wi,52,1.49,77.45,-65.61,81.79
33,34,34.0,Retief Goosen,47,1.48,69.43,-137.04,69.72
34,35,35.0,Juvic Pagunsan,40,1.41,56.57,-28.94,40.28
35,36,36.0,Thomas Aiken,52,1.4,72.55,-78.8,58.26
36,37,37.0,Hyung-Sung Kim,49,1.38,67.62,-25.29,65.14
37,38,38.0,Yoshinori Fujimoto,40,1.32,52.73,-11.62,58.61
38,39,39.0,Hideki Matsuyama,40,1.29,51.68,-23.14,38.27
39,40,40.0,Kenichi Kuboya,52,1.28,66.32,-45.3,44.13
40,41,41.0,Rory Sabbatini,52,1.23,64.14,-99.68,56.96
41,42,42.0,Andres Romero,49,1.23,60.33,-52.41,51.76
42,43,43.0,Brad Kennedy,44,1.18,52.05,-32.97,31.06
43,44,44.0,Jaco Van Zyl,52,1.17,61.06,-52.19,50.31
44,45,45.0,Darren Fichardt,42,1.15,48.46,-17.68,50.6
45,46,46.0,Richard Sterne,40,1.12,44.69,-11.6,53.95
