,FedExCup_Season_Points_RANK THIS WEEK,FedExCup_Season_Points_RANK LAST WEEK,FedExCup_Season_Points_PLAYER NAME,FedExCup_Season_Points_EVENTS,FedExCup_Season_Points_POINTS,FedExCup_Season_Points_# OF WINS,FedExCup_Season_Points_# OF TOP 10'S,FedExCup_Season_Points_POINTS BEHIND LEAD,FedExCup_Season_Points_RESET POINTS
0,1,1,Tiger Woods,15,2269.0,3.0,6.0,,
1,2,2,Jason Dufner,19,2110.0,2.0,8.0,159.0,
2,3,3,Rory McIlroy,12,2092.0,2.0,7.0,177.0,
3,4,4,Zach Johnson,20,2019.0,2.0,6.0,250.0,
4,5,5,Bubba Watson,15,1777.0,1.0,5.0,492.0,
5,6,6,Hunter Mahan,19,1739.0,2.0,4.0,530.0,
6,7,7,Carl Pettersson,22,1691.0,1.0,6.0,578.0,
7,8,8,Keegan Bradley,21,1670.0,1.0,5.0,599.0,
8,9,9,Matt Kuchar,18,1600.0,1.0,8.0,669.0,
9,10,10,Steve Stricker,15,1456.0,1.0,7.0,813.0,
10,11,11,Ernie Els,17,1447.0,1.0,5.0,822.0,
11,12,12,Justin Rose,15,1426.0,1.0,7.0,843.0,
12,13,13,Webb Simpson,18,1424.0,1.0,6.0,845.0,
13,14,14,Phil Mickelson,18,1373.0,1.0,5.0,896.0,
14,15,15,Scott Piercy,23,1304.0,1.0,3.0,965.0,
15,16,16,Luke Donald,13,1294.0,1.0,6.0,975.0,
16,17,17,Jim Furyk,19,1284.0,,5.0,985.0,
17,18,18,Rickie Fowler,19,1246.0,1.0,5.0,1023.0,
18,19,19,Brandt Snedeker,18,1194.0,1.0,4.0,1075.0,
19,20,20,Johnson Wagner,23,1181.0,1.0,4.0,1088.0,
20,21,21,Bill Haas,20,1181.0,1.0,3.0,1088.0,
21,22,22,Kyle Stanley,24,1177.0,1.0,2.0,1092.0,
22,23,23,Bo Van Pelt,20,1175.0,,8.0,1094.0,
23,24,24,Robert Garrigus,20,1155.0,,5.0,1114.0,
24,25,25,John Huh,23,1123.0,1.0,4.0,1146.0,
25,26,26,Dustin Johnson,15,1097.0,1.0,5.0,1172.0,
26,27,27,Graeme McDowell,13,1037.0,,4.0,1232.0,
27,28,28,Marc Leishman,20,1003.0,1.0,2.0,1266.0,
28,29,29,Ben Curtis,13,997.0,1.0,3.0,1272.0,
29,30,30,Mark Wilson,21,986.0,1.0,2.0,1283.0,
30,31,31,Martin Laird,19,976.0,,3.0,1293.0,
31,32,32,Adam Scott,12,966.0,,3.0,1303.0,
32,33,33,Sergio Garcia,13,935.0,1.0,2.0,1334.0,
33,34,34,Louis Oosthuizen,15,928.0,,3.0,1341.0,
34,35,35,Bud Cauley,23,902.0,,5.0,1367.0,
35,36,36,Charlie Wi,21,901.0,,3.0,1368.0,
36,37,37,John Senden,18,867.0,,5.0,1402.0,
37,38,38,Kevin Na,21,866.0,,6.0,1403.0,
38,39,39,Ben Crane,19,849.0,,4.0,1420.0,
39,40,40,Seung-Yul Noh,25,827.0,,3.0,1442.0,
40,41,41,Brendon de Jonge,25,815.0,,2.0,1454.0,
41,42,42,Ken Duke,25,776.0,,6.0,1493.0,
42,43,43,Jimmy Walker,23,763.0,,4.0,1506.0,
43,44,44,Ryan Palmer,19,745.0,,4.0,1524.0,
44,45,45,Spencer Levin,25,735.0,,3.0,1534.0,
45,46,46,John Rollins,21,732.0,,5.0,1537.0,
46,47,47,Jonathan Byrd,19,732.0,,5.0,1537.0,
47,48,48,Brian Davis,23,728.0,,4.0,1541.0,
48,49,49,Nick Watney,21,726.0,,3.0,1543.0,
49,50,50,D.A. Points,22,714.0,,3.0,1555.0,
50,51,51,Lee Westwood,11,713.0,,5.0,1556.0,
51,52,52,J.J. Henry,26,713.0,1.0,3.0,1556.0,
52,53,53,Matt Every,19,711.0,,5.0,1558.0,
53,54,54,Tim Clark,16,707.0,,2.0,1562.0,
54,55,55,Ian Poulter,12,698.0,,4.0,1571.0,
55,56,56,Cameron Tringale,21,689.0,,4.0,1580.0,
56,57,57,Vijay Singh,21,669.0,,3.0,1600.0,
57,58,58,Jeff Overton,23,667.0,,2.0,1602.0,
58,59,59,Charles Howell III,23,666.0,,1.0,1603.0,
59,60,60,Troy Matteson,26,662.0,,3.0,1607.0,
60,61,61,"Ted Potter, Jr.",21,647.0,1.0,1.0,1622.0,
61,62,62,Padraig Harrington,15,646.0,,3.0,1623.0,
62,63,63,Sean O'Hair,19,644.0,,2.0,1625.0,
63,64,64,Ryan Moore,19,635.0,,4.0,1634.0,
64,65,65,Aaron Baddeley,19,635.0,,3.0,1634.0,
65,66,66,Michael Thompson,21,634.0,,2.0,1635.0,
66,67,67,Charley Hoffman,23,628.0,,2.0,1641.0,
67,68,68,Geoff Ogilvy,17,624.0,,1.0,1645.0,
68,69,69,David Toms,17,623.0,,4.0,1646.0,
69,70,70,Kevin Stadler,21,620.0,,3.0,1649.0,
70,71,71,Sangmoon Bae,23,604.0,,2.0,1665.0,
71,72,72,Pat Perez,20,603.0,,1.0,1666.0,
72,73,73,Rory Sabbatini,23,602.0,,2.0,1667.0,
73,74,74,William McGirt,25,602.0,,2.0,1667.0,
74,75,75,Blake Adams,27,599.0,,2.0,1670.0,
75,76,76,George McNeill,21,599.0,1.0,1.0,1670.0,
76,77,77,K.J. Choi,19,597.0,,2.0,1672.0,
77,78,78,Greg Chalmers,22,589.0,,,1680.0,
78,79,79,Dicky Pride,14,586.0,,3.0,1683.0,
79,80,80,Chris Kirk,21,574.0,,4.0,1695.0,
80,81,81,John Merrick,22,572.0,,2.0,1697.0,
81,82,82,J.B. Holmes,20,568.0,,2.0,1701.0,
82,83,83,Daniel Summerhays,20,567.0,,4.0,1702.0,
83,84,84,Greg Owen,21,556.0,,2.0,1713.0,
84,85,85,Martin Flores,24,556.0,,2.0,1713.0,
85,86,86,Scott Stallings,22,554.0,1.0,2.0,1715.0,
86,87,87,Harris English,22,549.0,,3.0,1720.0,
87,88,88,John Mallinger,21,543.0,,2.0,1726.0,
88,89,89,Will Claxton,23,530.0,,2.0,1739.0,
89,90,90,Charl Schwartzel,13,519.0,,2.0,1750.0,
90,91,91,Chad Campbell,22,517.0,,2.0,1752.0,
