,_of_Potential_Pts_won_-_FedExCup_Regular_Season_RANK THIS WEEK,_of_Potential_Pts_won_-_FedExCup_Regular_Season_RANK LAST WEEK,_of_Potential_Pts_won_-_FedExCup_Regular_Season_PLAYER NAME,_of_Potential_Pts_won_-_FedExCup_Regular_Season_EVENTS,_of_Potential_Pts_won_-_FedExCup_Regular_Season_%,_of_Potential_Pts_won_-_FedExCup_Regular_Season_POINTS WON,_of_Potential_Pts_won_-_FedExCup_Regular_Season_POTENTIAL PTS,_of_Potential_Pts_won_-_FedExCup_Regular_Season_# OF WINS,_of_Potential_Pts_won_-_FedExCup_Regular_Season_# OF TOP 10'S
170,171,171,Chez Reavie,26,2.71,327.0,12050,,
171,172,172,Fred Funk,4,2.67,47.0,1750,,
172,173,173,David Mathis,29,2.64,322.0,12200,,1.0
173,174,174,Kris Blanks,23,2.62,297.0,11350,,
174,175,175,Chris DiMarco,29,2.61,316.0,12100,,1.0
175,176,176,Camilo Villegas,25,2.58,267.0,10350,,
176,177,177,Justin Leonard,26,2.53,277.0,10950,,2.0
177,178,178,Roland Thatcher,21,2.51,188.0,7500,,1.0
178,179,179,Alexandre Rocha,21,2.44,183.0,7500,,1.0
179,T180,T180,Chris Couch,21,2.39,242.0,10100,,
180,T180,T180,Brendon Todd,29,2.39,281.0,11750,,1.0
181,182,182,Billy Hurley III,27,2.38,256.0,10750,,2.0
182,183,183,Marc Turnesa,11,2.37,83.0,3500,,
183,184,184,Scott Brown,24,2.35,212.0,9000,,3.0
184,185,185,Nick O'Hern,26,2.3,250.0,10850,,1.0
185,186,186,Danny Lee,26,2.26,226.0,10000,,
186,T187,T187,Miguel Angel Carballo,25,2.24,213.0,9500,,
187,T187,T187,Hunter Haas,24,2.24,251.0,11200,,1.0
188,189,189,Rocco Mediate,23,2.23,195.0,8750,,
189,190,190,Mark Anderson,25,2.2,209.0,9500,,
190,191,191,D.J. Trahan,27,2.19,243.0,11100,,1.0
191,192,192,Richard Johnson,7,2.17,54.0,2500,,
192,193,193,Gavin Coles,23,2.16,184.0,8500,,
193,T194,T194,Paul Goydos,6,2.13,64.0,3000,,
194,T194,T194,Garth Mulroy,20,2.13,173.0,8150,,
195,196,196,J.J. Killeen,33,2.1,286.0,13600,,1.0
196,197,197,Matt Jones,19,2.04,143.0,7000,,1.0
197,198,198,Ángel Cabrera,20,2.03,177.0,8750,,
198,199,199,Kent Jones,7,1.99,50.0,2500,,
199,200,200,Shaun Micheel,12,1.97,100.0,5100,,
200,T201,T201,Russell Knox,23,1.93,164.0,8500,,
201,T201,T201,Paul Stankowski,8,1.93,48.0,2500,,
202,203,203,Frank Lickliter II,9,1.88,56.0,3000,,
203,204,204,Michael Bradley,23,1.8,173.0,9600,,
204,205,205,Steve Marino,6,1.74,54.0,3100,,
205,206,206,Stephen Ames,20,1.73,142.0,8200,,
206,207,207,Arjun Atwal,27,1.67,181.0,10850,,
207,208,208,Derek Lamely,25,1.6,160.0,10000,,
208,209,209,Tom Pernice Jr.,23,1.53,139.0,9100,,1.0
209,210,210,Briny Baird,13,1.51,92.0,6100,,
210,T211,T211,Cameron Beckman,26,1.5,154.0,10250,,
211,T211,T211,Jason Kokrak,27,1.5,165.0,11000,,1.0
212,213,213,Patrick Sheehan,21,1.43,108.0,7500,,
213,T214,T214,Matt Bettencourt,31,1.39,177.0,12700,,1.0
214,T214,T214,Garrett Willis,15,1.39,70.0,5000,,
215,216,216,Tim Petrovic,17,1.3,78.0,6000,,
216,217,217,Brett Wetterich,7,1.26,35.0,2750,,
217,218,218,Jamie Lovemark,16,1.23,95.0,7750,,
218,219,219,Bart Bryant,6,1.21,18.0,1500,,
219,220,220,Mathew Goggin,23,1.18,103.0,8750,,
220,T221,T221,Sung Kang,30,1.16,146.0,12600,,
221,T221,T221,Joe Ogilvie,17,1.16,98.0,8450,,
222,223,223,Steve Wheatcroft,22,1.15,92.0,8000,,
223,224,224,Steven Bowditch,18,1.11,72.0,6500,,
224,225,225,Robert Damron,7,1.1,30.0,2750,,
225,226,226,Scott Dunlap,20,1.09,77.0,7000,,
226,227,227,Shane Bertsch,17,1.04,61.0,5850,,
227,228,228,Ryuji Imada,28,0.98,113.0,11600,,1.0
228,229,229,Eric Axley,3,0.93,9.0,1000,,
229,230,230,Daniel Chopra,21,0.89,70.0,7850,,
230,231,231,Craig Barlow,7,0.88,18.0,2000,,
231,232,232,Jason Gore,8,0.7,23.0,3250,,
232,T233,T233,Tommy Biershenk,27,0.69,73.0,10600,,
233,T233,T233,Mark Brooks,3,0.69,9.0,1350,,
234,235,235,Anthony Kim,10,0.64,32.0,5000,,
235,236,236,Ted Purdy,4,0.58,9.0,1500,,
236,237,237,Lucas Glover,16,0.56,47.0,8500,,
237,238,238,Marco Dawson,22,0.54,43.0,8000,,
238,239,239,Kyle Thompson,22,0.51,44.0,8600,,
239,240,240,Edward Loar,23,0.5,43.0,8600,,
240,241,241,Scott Verplank,9,0.41,17.0,4300,,
241,242,242,Paul Casey,9,0.39,19.0,4950,,
242,243,243,Robert Gamez,8,0.3,9.0,3000,,
243,244,244,Fran Quinn,5,0.27,6.0,2250,,
244,245,245,Hank Kuehne,12,0.22,10.0,4500,,
245,246,246,David Duval,17,0.2,16.0,7850,,
246,247,247,Peter Lonard,4,0.16,2.0,1250,,
247,T248,T248,José María Olazábal,5,0.15,4.0,2450,,
248,T248,T248,Omar Uresti,4,0.15,3.0,1750,,
249,250,250,Zack Miller,12,0.14,5.0,3750,,
250,T251,T251,Kevin Sutherland,4,0.1,2.0,2000,,
251,T251,T251,Tom Watson,3,0.1,2.0,1700,,
252,253,253,Jesper Parnevik,3,0.06,1.0,1500,,
253,T254,T254,Neal Lancaster,8,0.05,2.0,4000,,
254,T254,T254,Kirk Triplett,3,0.05,,1000,,
255,T256,T256,Stephen Gangluff,23,0.04,3.0,8500,,
256,T256,T256,Matt McQuillan,11,0.04,2.0,4250,,
