,_of_Potential_Pts_won_-_FedExCup_Playoffs_RANK THIS WEEK,_of_Potential_Pts_won_-_FedExCup_Playoffs_RANK LAST WEEK,_of_Potential_Pts_won_-_FedExCup_Playoffs_PLAYER NAME,_of_Potential_Pts_won_-_FedExCup_Playoffs_EVENTS,_of_Potential_Pts_won_-_FedExCup_Playoffs_%,_of_Potential_Pts_won_-_FedExCup_Playoffs_PLAYOFF POINTS WON,_of_Potential_Pts_won_-_FedExCup_Playoffs_POTENTIAL PTS,_of_Potential_Pts_won_-_FedExCup_Playoffs_# OF WINS,_of_Potential_Pts_won_-_FedExCup_Playoffs_# OF TOP 10'S
0,1,1,Rory McIlroy,16,55.35,5535,10000,2.0,3.0
1,2,2,Brandt Snedeker,22,46.63,4663,10000,1.0,3.0
2,3,3,Nick Watney,26,30.75,3075,10000,1.0,1.0
3,4,4,Louis Oosthuizen,19,24.74,2474,10000,,2.0
4,5,5,Dustin Johnson,19,23.27,2327,10000,,4.0
5,6,6,Phil Mickelson,22,23.2,2320,10000,,2.0
6,7,7,Lee Westwood,15,22.18,2218,10000,,2.0
7,8,8,Tiger Woods,19,22.1,2210,10000,,3.0
8,9,9,Justin Rose,19,18.65,1865,10000,,1.0
9,10,10,Sergio Garcia,16,18.4,1380,7500,,1.0
10,11,11,Ryan Moore,24,18.08,1808,10000,,3.0
11,12,12,Luke Donald,17,15.85,1585,10000,,2.0
12,13,13,Adam Scott,16,12.18,1218,10000,,2.0
13,14,14,Jim Furyk,24,11.32,1132,10000,,2.0
14,15,15,Bubba Watson,19,11.25,1125,10000,,2.0
15,16,16,Robert Garrigus,26,11.17,1117,10000,,2.0
16,17,17,Bo Van Pelt,24,11.02,1102,10000,,2.0
17,18,18,Greg Chalmers,25,10.83,813,7500,,1.0
18,19,19,Kevin Stadler,25,10.44,783,7500,,2.0
19,20,20,Tom Gillis,23,10.2,765,7500,,1.0
20,21,21,Vijay Singh,27,9.83,738,7500,,1.0
21,22,22,Jason Dufner,22,9.57,718,7500,,
22,23,23,Webb Simpson,22,8.83,883,10000,,1.0
23,24,24,John Senden,22,8.7,870,10000,,
24,25,25,Graham DeLaet,23,8.58,644,7500,,1.0
25,26,26,Brian Harman,30,8.38,628,7500,,1.0
26,27,27,Zach Johnson,25,8.3,830,10000,,
27,28,28,Steve Stricker,19,8.17,817,10000,,
28,29,29,Bob Estes,23,8.0,600,7500,,1.0
29,30,30,J.B. Holmes,25,7.8,585,7500,,
30,31,31,Ian Poulter,15,7.77,583,7500,,
31,32,32,Chris Kirk,27,7.7,578,7500,,
32,33,33,Padraig Harrington,18,7.57,568,7500,,
33,34,34,Seung-Yul Noh,28,7.36,552,7500,,
34,35,35,Matt Kuchar,22,7.3,730,10000,,1.0
35,36,36,John Huh,28,7.28,728,10000,,
36,37,37,Geoff Ogilvy,20,7.2,540,7500,,
37,38,38,David Hearn,28,7.14,535,7500,,1.0
38,39,39,Jeff Overton,29,7.1,533,7500,,1.0
39,T40,T40,Troy Matteson,32,7.03,528,7500,,
40,T40,T40,Bryce Molder,25,7.03,528,7500,,1.0
41,42,42,Jonas Blixt,21,7.0,350,5000,,
42,T43,T43,William McGirt,30,6.97,523,7500,,1.0
43,T43,T43,Charl Schwartzel,16,6.97,523,7500,,
44,45,45,Ernie Els,22,6.95,695,10000,,
45,46,46,Pat Perez,23,6.27,470,7500,,
46,47,47,Josh Teater,30,5.95,298,5000,,
47,T48,T48,Roberto Castro,27,5.9,295,5000,,
48,T48,T48,Jason Day,17,5.9,295,5000,,
49,T48,T48,Rickie Fowler,23,5.9,590,10000,,
50,51,51,Bud Cauley,28,5.87,440,7500,,1.0
51,52,52,Hunter Mahan,23,5.73,573,10000,,1.0
52,53,53,Keegan Bradley,25,5.72,572,10000,,
53,54,54,Carl Pettersson,26,5.38,538,10000,,
54,55,55,John Merrick,26,4.85,243,5000,,
55,56,56,Tim Clark,20,4.77,358,7500,,1.0
56,57,57,Scott Piercy,28,4.68,468,10000,,
57,58,58,Scott Stallings,27,4.55,228,5000,,
58,59,59,Ryan Palmer,24,4.33,325,7500,,
59,T60,T60,Gary Christian,28,4.3,108,2500,,
60,T60,T60,Billy Mayfair,28,4.3,108,2500,,
61,T60,T60,Rod Pampling,26,4.3,108,2500,,
62,63,63,Harris English,27,4.27,213,5000,,
63,64,64,Kyle Stanley,27,4.2,315,7500,,
64,65,65,D.A. Points,29,4.17,313,7500,,
65,66,66,Ricky Barnes,28,4.15,208,5000,,
66,67,67,Dicky Pride,19,3.97,298,7500,,
67,68,68,Bill Haas,23,3.87,290,7500,,
68,69,69,Charley Hoffman,27,3.83,288,7500,,
69,70,70,Jimmy Walker,28,3.6,270,7500,,
70,71,71,Matt Every,25,3.57,268,7500,,
71,72,72,Tommy Gainey,32,3.35,168,5000,,
72,73,73,Brendon de Jonge,31,3.33,250,7500,,
73,74,74,Ben Curtis,19,3.1,233,7500,,
74,75,75,Kevin Na,25,3.05,228,7500,,
75,76,76,Greg Owen,27,2.95,148,5000,,
76,77,77,Johnson Wagner,27,2.73,205,7500,,
77,T78,T78,Aaron Baddeley,22,2.7,135,5000,,
78,T78,T78,Brian Gay,28,2.7,68,2500,,
79,T78,T78,Troy Kelly,23,2.7,68,2500,,
80,T78,T78,Henrik Stenson,15,2.7,68,2500,,
81,82,82,George McNeill,25,2.5,125,5000,,
82,83,83,Graeme McDowell,16,2.46,185,7500,,
83,84,84,Marc Leishman,23,2.17,163,7500,,
84,85,85,Sean O'Hair,24,2.0,100,5000,,
85,T86,T86,Ben Crane,23,1.9,143,7500,,
86,T86,T86,Charlie Wi,25,1.9,143,7500,,
87,T88,T88,Blake Adams,32,1.5,75,5000,,
88,T88,T88,Kevin Streelman,26,1.5,38,2500,,
89,T90,T90,Charles Howell III,29,1.35,68,5000,,
90,T90,T90,John Rollins,26,1.35,68,5000,,
91,92,92,J.J. Henry,28,0.95,48,5000,,
92,93,93,Mark Wilson,25,0.83,63,7500,,
93,94,94,Michael Thompson,25,0.75,38,5000,,
94,95,95,Martin Laird,22,0.63,47,7500,,
95,T96,T96,Trevor Immelman,24,0.5,13,2500,,
