,Presidents_Cup_United_States_RANK THIS WEEK,Presidents_Cup_United_States_RANK LAST WEEK,Presidents_Cup_United_States_PLAYER NAME,Presidents_Cup_United_States_POINTS
0,1,1,Tiger Woods,6163533
1,2,2,Brandt Snedeker,5171606
2,3,3,Jason Dufner,5059704
3,4,4,Hunter Mahan,4883193
4,5,5,Bubba Watson,4787397
5,6,6,Zach Johnson,4504244
6,7,7,Phil Mickelson,4431021
7,8,8,Webb Simpson,4163068
8,9,9,Keegan Bradley,4121058
9,10,10,Matt Kuchar,4098398
10,11,11,Bill Haas,3789951
11,12,12,Jim Furyk,3711805
12,13,13,Nick Watney,3652224
13,14,14,Steve Stricker,3596021
14,15,15,Dustin Johnson,3536220
15,16,16,Bo Van Pelt,3283509
16,17,17,Robert Garrigus,3276336
17,18,18,Rickie Fowler,3066293
18,19,19,Kevin Na,2899443
19,20,20,Ryan Moore,2858944
20,21,21,Scott Piercy,2816339
21,22,22,John Huh,2692113
22,23,23,Ben Crane,2518898
23,24,24,Ben Curtis,2514467
24,25,25,Kyle Stanley,2458471
25,26,26,Mark Wilson,2277580
26,27,27,Bryce Molder,2251649
27,28,28,Johnson Wagner,2237807
28,29,29,Bud Cauley,2178479
29,30,30,Matt Every,1972166
30,31,31,David Toms,1820828
31,32,32,John Rollins,1816265
32,33,33,Tommy Gainey,1795949
33,34,34,Jonathan Byrd,1779675
34,35,35,Michael Thompson,1711776
35,36,36,Jeff Overton,1709080
36,37,37,Jimmy Walker,1638419
37,38,38,Spencer Levin,1602765
38,39,39,Kevin Stadler,1593214
39,40,40,Charles Howell III,1576045
40,41,41,Ryan Palmer,1548626
41,42,42,D.A. Points,1542441
42,43,43,Ken Duke,1511628
43,44,44,"Ted Potter, Jr.",1383170
44,45,45,Charlie Beljan,1373528
45,46,46,William McGirt,1333920
46,47,47,Scott Stallings,1323036
47,48,48,J.J. Henry,1297802
48,49,49,Cameron Tringale,1292639
49,50,50,Charley Hoffman,1292083
50,51,51,Blake Adams,1285114
51,52,52,Dicky Pride,1259712
52,53,53,Tom Gillis,1238058
53,54,54,Sean O'Hair,1224981
54,55,55,Troy Matteson,1215041
55,56,56,Chris Kirk,1197562
56,57,57,Harris English,1186003
57,58,58,J.B. Holmes,1179505
58,59,59,Josh Teater,1170933
59,60,60,George McNeill,1147991
60,61,61,John Mallinger,1146852
61,62,62,Brian Harman,1146448
62,63,63,John Merrick,1124199
63,64,64,Daniel Summerhays,1111522
64,65,65,Kevin Streelman,1080662
65,66,66,Pat Perez,1064053
66,67,67,Justin Leonard,1058555
67,68,68,Bob Estes,1054486
68,69,69,Martin Flores,1035569
69,70,70,Brendan Steele,1033003
70,71,71,Davis Love III,989753
71,72,72,Brian Gay,986230
72,73,73,Chris Stroud,981070
73,74,74,Chad Campbell,945434
74,75,75,Kevin Chappell,907329
75,76,76,Boo Weekley,889747
76,77,77,Colt Knost,888547
77,78,78,David Mathis,888417
78,79,79,Gary Woodland,878454
79,80,80,Billy Mayfair,862046
80,81,81,Tim Herron,847416
81,82,82,Jason Bohn,839676
82,83,83,Ricky Barnes,830691
83,84,84,James Driscoll,792313
84,85,85,Troy Kelly,786832
85,86,86,Will Claxton,780969
86,87,87,Roberto Castro,755095
87,88,88,Harrison Frazar,752423
88,89,89,Jason Kokrak,750221
89,90,90,Briny Baird,729740
90,91,91,Billy Horschel,721549
91,92,92,Chez Reavie,713417
92,93,93,D.J. Trahan,711711
93,94,94,Jerry Kelly,699813
94,95,95,Jeff Maggert,693521
95,96,96,Kris Blanks,693092
96,97,97,Heath Slocum,645697
97,98,98,Bill Lunde,622198
98,99,99,Vaughn Taylor,595780
99,100,100,Bobby Gates,593781
100,101,101,Tim Petrovic,592165
101,102,102,Richard Lee,547733
102,103,103,Hunter Haas,512985
103,104,104,Roland Thatcher,508368
104,105,105,Kevin Kisner,498991
105,106,106,Chris DiMarco,489967
106,107,107,John Daly,488505
107,108,108,Scott Brown,478763
108,109,109,Stewart Cink,477173
109,110,110,Brendon Todd,474295
110,111,111,Billy Hurley III,474130
111,112,112,Tom Pernice Jr.,457348
112,113,113,Kyle Reifers,448960
113,114,114,Joe Durant,443658
114,115,115,Mark Anderson,441019
115,116,116,J.J. Killeen,414257
116,117,117,Brandt Jobe,389716
117,118,118,Erik Compton,359765
118,119,119,Matt Bettencourt,353926
119,120,120,Chris Couch,344928
120,121,121,Paul Goydos,331432
121,122,122,Derek Lamely,324053
122,123,123,Shane Bertsch,303849
123,124,124,Cameron Beckman,295998
124,125,125,Michael Bradley,292752
125,126,126,Lee Janzen,274677
126,127,127,Rocco Mediate,262278
127,128,128,Scott Dunlap,230220
128,129,129,Todd Hamilton,214339
129,130,130,Rich Beem,208979
130,131,131,Garrett Willis,204134
131,132,132,Fred Couples,188378
132,133,133,Chris Riley,187331
133,134,134,Duffy Waldorf,182485
134,135,135,Woody Austin,171558
135,136,136,Joe Ogilvie,163493
136,137,137,Zack Miller,146192
137,138,138,Paul Stankowski,142706
138,139,139,Marc Turnesa,142344
139,140,140,Michael Allen,142105
140,141,141,Frank Lickliter II,137858
141,142,142,Steve Wheatcroft,135196
142,143,143,Mark Calcavecchia,134495
143,144,144,Scott McCarron,134088
144,145,145,Lucas Glover,131112
145,146,146,Patrick Sheehan,129590
146,147,147,Will MacKenzie,127260
147,148,148,Shaun Micheel,113612
148,149,149,Joey Snyder III,112800
149,150,150,Tommy Biershenk,107266
150,151,151,Edward Loar,97947
151,152,152,Steve Marino,85040
152,153,153,Marco Dawson,79727
153,154,154,Kenny Perry,76544
154,155,155,David Duval,70996
155,156,156,Kent Jones,67213
156,157,157,Skip Kendall,62390
157,158,158,Tom Lehman,59559
158,159,159,Corey Pavin,59120
159,160,160,Stephen Gangluff,58702
160,161,161,Brett Wetterich,50917
161,162,162,Kyle Thompson,45460
162,163,163,Fred Funk,45449
163,164,164,Willie Wood,42000
164,165,165,Glen Day,38850
165,166,166,Robert Gamez,37221
166,167,167,Anthony Kim,33960
167,168,168,Brett Quigley,31858
168,169,169,Scott Verplank,31168
169,170,170,Robert Damron,30673
170,171,171,Omar Uresti,28844
171,172,172,Tom Watson,28470
172,173,173,Carl Paulson,27095
173,174,174,Jason Gore,26700
174,175,175,Craig Barlow,26538
175,176,176,Hank Kuehne,26342
176,177,177,Ted Purdy,24900
177,178,178,Bart Bryant,23134
178,179,179,Kevin Sutherland,22886
179,180,180,Neal Lancaster,22184
180,181,181,Steve Flesch,21617
181,182,182,Guy Boros,21015
182,183,183,J.P. Hayes,18204
183,184,184,Len Mattiace,16650
184,185,185,Gene Sauers,12900
185,186,186,Peter Tomasulo,12827
186,T187,T187,Eric Axley,7215
187,T187,T187,Mark Brooks,7215
188,T187,T187,Steve Lowery,7215
189,190,190,Kirk Triplett,7141
