,Ryder_Cup_Points_RANK THIS WEEK,Ryder_Cup_Points_RANK LAST WEEK,Ryder_Cup_Points_PLAYER NAME,Ryder_Cup_Points_EVENTS,Ryder_Cup_Points_POINTS
0,1,1,Tiger Woods,17,6014.184
1,2,2,Bubba Watson,19,5815.054
2,3,3,Jason Dufner,21,5697.302
3,4,4,Keegan Bradley,22,5551.206
4,5,5,Webb Simpson,20,4635.5
5,6,6,Zach Johnson,24,4491.544
6,7,7,Matt Kuchar,22,4448.942
7,8,8,Phil Mickelson,22,4233.108
8,9,9,Hunter Mahan,23,4082.228
9,10,10,Steve Stricker,19,4015.0690000000004
10,11,11,Jim Furyk,23,3369.616
11,12,12,Rickie Fowler,23,3313.3379999999997
12,13,13,Brandt Snedeker,21,3176.7870000000003
13,14,14,Bo Van Pelt,24,3152.315
14,15,15,Dustin Johnson,19,3040.02
15,16,16,Robert Garrigus,23,2604.58
16,17,17,Bill Haas,23,2546.0170000000003
17,18,18,Ben Curtis,14,2457.284
18,19,19,Scott Piercy,25,2416.346
19,20,20,Kyle Stanley,25,2341.219
20,21,21,Kevin Na,25,2309.783
21,22,22,Johnson Wagner,24,2189.052
22,23,23,Mark Wilson,25,2090.008
23,24,24,David Toms,19,1950.379
24,25,25,John Huh,22,1936.9370000000001
25,26,26,Michael Thompson,21,1917.36
26,27,27,Ben Crane,23,1808.665
27,28,28,Ryan Palmer,23,1773.818
28,29,29,Jonathan Byrd,23,1680.704
29,30,30,Nick Watney,24,1571.675
30,31,31,D.A. Points,24,1550.223
31,32,32,John Rollins,21,1442.6370000000002
32,33,33,Ken Duke,24,1438.771
33,34,34,"Ted Potter, Jr.",21,1371.7579999999998
34,35,35,Spencer Levin,27,1353.227
35,36,36,Matt Every,18,1305.0510000000002
36,37,37,Charley Hoffman,26,1285.685
37,38,38,Blake Adams,26,1254.923
38,39,39,Cameron Tringale,22,1230.197
39,40,40,Ryan Moore,22,1203.597
40,41,41,Kevin Chappell,24,1137.433
41,42,42,Charles Howell III,24,1128.191
42,43,43,Jimmy Walker,22,1118.991
43,44,44,Bud Cauley,23,1098.9460000000001
44,45,45,Sean O'Hair,22,1085.577
45,46,46,Jeff Overton,26,1083.03
46,47,47,Davis Love III,18,1049.468
47,48,48,Dicky Pride,13,1048.204
48,49,49,Pat Perez,20,1027.395
49,50,50,Kevin Stadler,20,992.8430000000001
50,51,51,J.J. Henry,28,990.834
51,52,52,J.B. Holmes,21,949.0980000000001
52,53,53,Daniel Summerhays,19,905.8860000000001
53,54,54,William McGirt,24,888.453
54,55,55,Harris English,21,885.382
55,56,56,Troy Matteson,25,885.3
56,57,57,Chris Kirk,21,881.049
57,58,58,Martin Flores,23,868.165
58,59,59,Chad Campbell,23,841.7710000000001
59,60,60,John Mallinger,20,838.49
60,61,61,Ricky Barnes,25,838.054
61,62,62,Gary Woodland,22,836.4780000000001
62,63,63,Harrison Frazar,21,829.927
63,64,64,Chris Stroud,22,814.883
64,65,65,Bryce Molder,20,804.125
65,66,66,John Merrick,21,801.904
66,67,67,Tom Gillis,19,801.325
67,68,68,Bob Estes,19,799.752
68,69,69,Kevin Streelman,25,781.813
69,70,70,Brian Harman,23,772.7080000000001
70,71,71,George McNeill,20,763.502
71,72,72,Brendan Steele,20,737.7589999999999
72,73,73,Troy Kelly,18,736.6289999999999
73,74,74,Tommy Gainey,27,735.3560000000001
74,75,75,Scott Stallings,22,689.872
75,76,76,Brian Gay,24,676.97
76,77,77,Colt Knost,23,652.351
77,78,78,James Driscoll,21,640.698
78,79,79,Roberto Castro,20,574.0930000000001
79,80,80,Josh Teater,24,573.432
80,81,81,Jeff Maggert,21,572.634
81,82,82,Will Claxton,22,570.952
82,83,83,David Mathis,24,562.905
83,84,84,Boo Weekley,19,538.81
84,85,85,John Daly,13,538.43
85,86,86,Chez Reavie,23,534.849
86,87,87,Billy Mayfair,22,515.639
87,88,88,Heath Slocum,26,514.633
88,89,89,Jerry Kelly,23,495.221
89,90,90,Stewart Cink,23,494.039
90,91,91,Jason Bohn,23,478.555
91,92,92,Fred Couples,5,473.17800000000005
92,93,93,Vaughn Taylor,21,461.26599999999996
93,94,94,Billy Hurley III,22,459.82
94,95,95,Chris DiMarco,24,452.526
95,96,96,Brendon Todd,24,437.545
96,97,97,Charlie Beljan,17,412.62199999999996
97,98,98,D.J. Trahan,23,398.131
98,99,99,Brandt Jobe,20,391.004
99,100,100,Kris Blanks,23,390.059
100,101,101,Bobby Gates,24,385.19300000000004
101,102,102,Hunter Haas,24,383.079
102,103,103,Scott Verplank,9,381.048
103,104,104,Joe Durant,11,371.48800000000006
104,105,105,Justin Leonard,22,370.80199999999996
105,106,106,Tim Herron,22,359.51300000000003
106,107,107,Anthony Kim,14,348.85699999999997
107,108,108,Bill Lunde,21,348.81699999999995
108,109,109,Kyle Reifers,22,346.46
109,110,110,Roland Thatcher,16,324.046
110,111,111,Erik Compton,21,318.539
111,112,112,Kevin Kisner,19,311.889
112,113,113,Chris Couch,20,308.548
113,114,114,Scott Brown,19,291.099
114,115,115,J.J. Killeen,28,286.926
115,116,116,Mark Anderson,20,275.467
116,117,117,Billy Horschel,13,274.54200000000003
117,118,118,Matt Bettencourt,26,272.118
118,119,119,Jason Kokrak,22,259.91700000000003
119,120,120,Mark Calcavecchia,4,248.68599999999998
120,121,121,Richard Lee,19,245.358
121,122,122,Lee Janzen,11,240.99900000000002
122,123,123,Lucas Glover,19,230.847
123,124,124,Rich Beem,10,197.33700000000002
