,Scoring_Rating_RANK THIS WEEK,Scoring_Rating_RANK LAST WEEK,Scoring_Rating_PLAYER NAME,Scoring_Rating_EVENTS,Scoring_Rating_RATING
0,1,1,Rory McIlroy,9,9.0
1,2,2,Paul Goydos,2,8.8
2,3,3,Woody Austin,2,8.7
3,3,3,Joey Snyder III,1,8.7
4,3,3,Tiger Woods,11,8.7
5,6,6,Willie Wood,1,8.6
6,7,7,Luke Donald,12,8.5
7,7,7,Tadd Fujikawa,1,8.5
8,7,7,Jim Furyk,15,8.5
9,7,7,Davis Love III,10,8.5
10,7,7,Phil Mickelson,15,8.5
11,7,7,Jonathan Randolph,1,8.5
12,7,7,Justin Rose,13,8.5
13,7,7,Bubba Watson,12,8.5
14,15,15,Rich Beem,1,8.4
15,15,15,Jonas Blixt,14,8.4
16,15,15,Ben Curtis,10,8.4
17,15,15,Robert Garrigus,18,8.4
18,15,15,Luke Guthrie,3,8.4
19,15,15,Jim Herman,1,8.4
20,15,15,Dustin Johnson,14,8.4
21,15,15,Charl Schwartzel,9,8.4
22,15,15,Adam Scott,10,8.4
23,15,15,Webb Simpson,15,8.4
24,15,15,Lee Slattery,1,8.4
25,15,15,Steve Stricker,13,8.4
26,15,15,Bo Van Pelt,16,8.4
27,28,28,Thomas Aiken,1,8.3
28,28,28,Keegan Bradley,16,8.3
29,28,28,Scott Brown,6,8.3
30,28,28,Brian Davis,15,8.3
31,28,28,Glen Day,1,8.3
32,28,28,Jason Day,11,8.3
33,28,28,Jason Dufner,16,8.3
34,28,28,Matt Every,12,8.3
35,28,28,David Mathis,10,8.3
36,28,28,Len Mattiace,1,8.3
37,28,28,Scott Piercy,18,8.3
38,28,28,Patrick Reed,7,8.3
39,28,28,Peter Tomasulo,1,8.3
40,28,28,Marc Turnesa,2,8.3
41,28,28,Boo Weekley,9,8.3
42,43,43,Jonathan Byrd,12,8.2
43,43,43,Ángel Cabrera,4,8.2
44,43,43,Tim Clark,10,8.2
45,43,43,Brendon de Jonge,24,8.2
46,43,43,Joe Durant,4,8.2
47,43,43,Fred Funk,1,8.2
48,43,43,Sergio Garcia,11,8.2
49,43,43,Lee Janzen,6,8.2
50,43,43,Zach Johnson,19,8.2
51,43,43,Skip Kendall,3,8.2
52,43,43,Matt Kuchar,17,8.2
53,43,43,Martin Laird,12,8.2
54,43,43,Edward Loar,3,8.2
55,43,43,Louis Oosthuizen,10,8.2
56,43,43,Jeff Overton,21,8.2
57,43,43,Carl Pettersson,18,8.2
58,43,43,Jeff Quinney,1,8.2
59,43,43,John Rollins,13,8.2
60,43,43,Rory Sabbatini,12,8.2
61,43,43,John Senden,15,8.2
62,43,43,Brandt Snedeker,16,8.2
63,43,43,Kevin Stadler,14,8.2
64,43,43,Scott Stallings,11,8.2
65,43,43,Shawn Stefani,1,8.2
66,67,67,Chad Campbell,12,8.1
67,67,67,Bud Cauley,21,8.1
68,67,67,Nicolas Colsaerts,5,8.1
69,67,67,Ben Crane,13,8.1
70,67,67,Ken Duke,20,8.1
71,67,67,Martin Flores,16,8.1
72,67,67,Brian Gay,15,8.1
73,67,67,Andres Gonzales,1,8.1
74,67,67,Retief Goosen,5,8.1
75,67,67,Bill Haas,14,8.1
76,67,67,Padraig Harrington,10,8.1
77,67,67,Martin Kaymer,3,8.1
78,67,67,Jerry Kelly,13,8.1
79,67,67,Kevin Kisner,8,8.1
