,Official_World_Golf_Ranking_RANK THIS WEEK,Official_World_Golf_Ranking_RANK LAST WEEK,Official_World_Golf_Ranking_PLAYER NAME,Official_World_Golf_Ranking_EVENTS,Official_World_Golf_Ranking_AVG POINTS,Official_World_Golf_Ranking_TOTAL POINTS,Official_World_Golf_Ranking_POINTS LOST,Official_World_Golf_Ranking_POINTS GAINED,Official_World_Golf_Ranking_COUNTRY
0,1,1.0,Rory McIlroy,47,13.22,621.31,-364.27,596.99,NIR
1,2,2.0,Luke Donald,51,8.62,439.74,-447.49,345.77,ENG
2,3,3.0,Tiger Woods,40,8.53,341.31,-172.24,369.87,USA
3,4,4.0,Justin Rose,52,6.42,333.73,-210.39,337.66,ENG
4,5,5.0,Adam Scott,42,6.21,260.71,-212.63,215.02,AUS
5,6,6.0,Louis Oosthuizen,52,6.14,319.27,-179.83,334.85,RSA
6,7,7.0,Lee Westwood,52,6.03,313.71,-320.61,271.5,ENG
7,8,8.0,Bubba Watson,49,5.29,259.43,-213.58,288.71,USA
8,9,9.0,Jason Dufner,51,5.29,269.85,-158.75,267.95,USA
9,10,10.0,Brandt Snedeker,52,5.23,271.71,-162.96,267.89,USA
10,11,11.0,Webb Simpson,50,5.13,256.37,-217.61,202.01,USA
11,12,13.0,Ian Poulter,51,5.0,254.89,-171.42,232.12,ENG
12,13,12.0,Keegan Bradley,52,5.0,259.85,-157.1,241.47,USA
13,14,14.0,Charl Schwartzel,52,4.9,254.7,-222.23,205.41,RSA
14,15,15.0,Graeme McDowell,52,4.81,250.1,-245.16,252.31,NIR
15,16,16.0,Sergio Garcia,49,4.73,231.99,-148.07,194.26,ESP
16,17,17.0,Phil Mickelson,49,4.69,229.87,-213.24,232.79,USA
17,18,18.0,Steve Stricker,41,4.65,190.6,-204.57,176.69,USA
18,19,19.0,Peter Hanson,52,4.59,238.89,-148.72,234.55,SWE
19,20,20.0,Nick Watney,52,4.54,235.98,-203.14,200.84,USA
20,21,21.0,Matt Kuchar,51,4.44,226.34,-246.1,218.05,USA
21,22,22.0,Bo Van Pelt,52,4.41,229.29,-159.96,206.94,USA
22,23,23.0,Dustin Johnson,48,4.36,209.22,-230.23,170.53,USA
23,24,24.0,Ernie Els,52,4.34,225.54,-155.4,252.88,RSA
24,25,25.0,Zach Johnson,50,4.25,212.34,-159.94,217.6,USA
25,26,26.0,Hunter Mahan,52,3.85,200.39,-212.04,209.85,USA
26,27,27.0,Jim Furyk,52,3.83,198.95,-146.66,209.36,USA
27,28,28.0,Martin Kaymer,52,3.67,190.65,-274.42,131.0,GER
28,29,29.0,Paul Lawrie,50,3.53,176.42,-97.44,187.32,SCO
29,30,30.0,Francesco Molinari,52,3.42,177.62,-167.98,181.16,ITA
30,31,31.0,Rickie Fowler,51,3.37,171.84,-161.56,157.73,USA
31,32,32.0,Carl Pettersson,52,3.34,173.51,-103.64,197.08,SWE
32,33,33.0,Gonzalo Fernandez-Castaño,40,3.31,132.52,-82.57,97.76,ESP
33,34,34.0,Branden Grace,52,3.17,164.58,-65.55,197.4,RSA
34,35,35.0,Bill Haas,52,3.12,162.23,-172.45,149.3,USA
35,36,36.0,Nicolas Colsaerts,52,3.1,161.3,-99.57,169.52,BEL
36,37,37.0,Jason Day,44,2.89,127.08,-195.35,79.01,AUS
37,38,38.0,John Senden,52,2.85,148.11,-128.55,118.23,AUS
38,39,39.0,Robert Garrigus,52,2.84,147.57,-89.4,161.44,USA
39,40,40.0,Ryan Moore,48,2.76,132.59,-106.82,123.72,USA
40,41,42.0,Scott Piercy,52,2.71,141.12,-56.69,141.23,USA
41,42,41.0,David Toms,44,2.68,118.09,-144.13,87.21,USA
42,43,43.0,Hiroyuki Fujita,52,2.64,137.44,-102.3,122.29,JPN
43,44,44.0,Matteo Manassero,52,2.59,134.77,-106.99,132.29,ITA
44,45,45.0,Thomas Bjørn,47,2.52,118.55,-134.84,92.01,DEN
45,46,46.0,David Lynn,48,2.42,116.26,-71.97,103.04,ENG
46,47,47.0,Jamie Donaldson,47,2.39,112.41,-77.86,103.53,WAL
47,48,48.0,K.J. Choi,52,2.3,119.52,-182.66,69.16,KOR
48,49,49.0,George Coetzee,52,2.27,117.84,-80.3,104.6,RSA
49,50,51.0,Thorbjørn Olesen,52,2.2,114.27,-61.81,117.78,DEN
50,51,50.0,Geoff Ogilvy,48,2.18,104.69,-128.47,80.02,AUS
51,52,52.0,Shane Lowry,50,2.15,107.71,-52.71,86.32,IRL
52,53,57.0,Henrik Stenson,52,2.14,111.08,-48.08,117.44,SWE
53,54,54.0,Miguel Angel Jiménez,52,2.13,111.01,-138.18,91.56,ESP
54,55,55.0,Marcus Fraser,52,2.13,110.88,-66.46,91.2,AUS
55,56,53.0,Alex Noren,52,2.13,110.79,-87.83,85.96,SWE
56,57,56.0,Richie Ramsay,52,2.13,110.75,-68.46,92.68,SCO
57,58,58.0,Rafa Cabrera Bello,52,2.12,110.2,-86.31,122.3,ESP
58,59,59.0,Padraig Harrington,52,2.09,108.42,-96.16,110.56,IRL
59,60,61.0,Marcel Siem,52,2.08,108.03,-51.09,120.55,GER
60,61,60.0,Anders Hansen,49,2.06,101.02,-131.97,71.07,DEN
61,62,62.0,Freddie Jacobson,45,2.05,92.12,-114.37,49.39,SWE
62,63,63.0,Simon Dyson,52,2.02,105.12,-132.2,54.97,ENG
63,64,64.0,Greg Chalmers,52,2.02,104.94,-83.57,69.89,AUS
64,65,66.0,Bernd Wiesberger,52,2.01,104.77,-54.45,100.28,AUT
65,66,65.0,John Huh,41,2.01,82.54,-32.95,104.15,USA
66,67,67.0,Bud Cauley,40,2.0,80.04,-33.55,84.67,USA
67,68,68.0,Kevin Na,52,1.99,103.53,-108.32,104.31,USA
68,69,71.0,Thaworn Wiratchant,52,1.99,103.34,-47.38,100.43,THA
69,70,69.0,Sangmoon Bae,52,1.99,103.29,-107.87,72.46,KOR
70,71,70.0,Martin Laird,51,1.97,100.6,-152.04,103.34,SCO
71,72,72.0,K.T. Kim,52,1.95,101.49,-149.96,66.09,KOR
72,73,73.0,Brendan Jones,45,1.91,86.14,-68.89,80.4,AUS
73,74,74.0,Jonas Blixt,47,1.89,88.75,-33.22,83.29,SWE
74,75,75.0,Ryo Ishikawa,52,1.88,97.81,-128.17,93.46,JPN
75,76,76.0,Kyle Stanley,52,1.86,96.87,-79.4,112.59,USA
76,77,78.0,Toru Taniguchi,49,1.82,89.12,-78.7,61.78,JPN
77,78,77.0,Aaron Baddeley,49,1.8,88.39,-125.57,66.05,AUS
78,79,79.0,Kristoffer Broberg,40,1.8,71.89,-3.76,75.64,SWE
79,80,82.0,Thongchai Jaidee,52,1.76,91.32,-63.22,92.67,THA
80,81,80.0,Ben Crane,49,1.74,85.32,-118.9,80.89,USA
81,82,81.0,Vijay Singh,52,1.73,90.2,-96.74,77.61,FIJ
82,83,83.0,Brendon de Jonge,52,1.73,90.13,-70.28,93.52,ZIM
83,84,84.0,Ben Curtis,48,1.7,81.82,-45.79,99.94,USA
84,85,85.0,Pablo Larrazabal,52,1.7,88.14,-79.02,68.69,ESP
85,86,86.0,Michael Thompson,52,1.67,86.74,-48.56,81.59,USA
86,87,87.0,Marc Leishman,52,1.67,86.64,-63.01,91.65,AUS
87,88,88.0,Fredrik Andersson Hed,51,1.66,84.79,-66.49,66.4,SWE
88,89,90.0,Gaganjeet Bhullar,41,1.65,67.8,-21.38,72.01,IND
89,90,89.0,Alvaro Quiros,47,1.63,76.72,-142.57,31.85,ESP
90,91,92.0,Tim Clark,40,1.62,64.98,-74.02,71.65,RSA
91,92,91.0,Jonathan Byrd,49,1.61,79.12,-122.68,73.48,USA
92,93,93.0,Danny Willett,52,1.61,83.93,-54.38,88.22,ENG
93,94,94.0,Ross Fisher,47,1.6,75.15,-80.59,69.19,ENG
94,95,94.0,Seung-Yul Noh,52,1.6,83.07,-77.0,79.45,KOR
95,96,97.0,Jeev Milkha Singh,52,1.59,82.83,-51.12,80.58,IND
96,97,94.0,Mark Wilson,52,1.58,82.17,-129.35,94.37,USA
97,98,98.0,Stephen Gallacher,51,1.57,80.22,-71.94,83.74,SCO
98,99,99.0,Jeff Overton,52,1.55,80.56,-94.5,73.45,USA
99,100,100.0,Koumei Oda,52,1.54,80.06,-63.09,50.46,JPN
