,FedExCup_Season_Points_for_Non-Members_RANK THIS WEEK,FedExCup_Season_Points_for_Non-Members_RANK LAST WEEK,FedExCup_Season_Points_for_Non-Members_PLAYER NAME,FedExCup_Season_Points_for_Non-Members_EVENTS,FedExCup_Season_Points_for_Non-Members_POINTS,FedExCup_Season_Points_for_Non-Members_WGC POINTS
0,1,1,Peter Hanson,11,602,236.0
1,2,2,Ryo Ishikawa,18,431,66.0
2,3,3,Nicolas Colsaerts,8,345,79.0
3,4,4,David Lynn,1,330,
4,5,5,Martin Kaymer,8,293,157.0
5,6,6,Francesco Molinari,8,270,137.0
6,7,7,Miguel Angel Jiménez,6,218,92.0
7,8,8,Paul Lawrie,6,198,96.0
8,9,9,Thomas Bjørn,9,184,98.0
9,10,10,Luke Guthrie,3,181,
10,11,11,Patrick Reed,9,154,
11,12,12,Jamie Donaldson,4,153,34.0
12,13,13,John Peterson,8,142,
13,14,14,Simon Dyson,8,141,78.0
14,15,15,Thomas Aiken,4,138,
15,16,16,Anders Hansen,7,132,86.0
16,17,17,K.T. Kim,11,126,87.0
17,18,18,Branden Grace,6,125,66.0
18,19,19,Thorbjørn Olesen,2,110,
19,20,20,Patrick Cantlay,9,93,
20,21,21,Robert Rock,6,93,93.0
21,22,22,Alvaro Quiros,8,93,64.0
22,23,23,Gonzalo Fernandez-Castaño,7,84,52.0
23,24,24,Lee Slattery,3,77,72.0
24,T25,T25,Scott Langley,4,77,
25,T25,T25,Joost Luiten,3,77,7.0
26,27,27,Alex Noren,4,75,2.0
27,28,28,Casey Wittenberg,1,73,
28,29,29,Matteo Manassero,3,70,47.0
29,30,30,Rafa Cabrera Bello,6,68,68.0
30,31,31,Darren Clarke,7,65,50.0
31,32,32,Hunter Hamrick,3,58,
32,33,33,Aaron Watkins,2,56,
33,34,34,Jim Herman,2,56,
34,35,35,Matthew Baldwin,2,54,
35,36,36,Steven Alker,1,51,
36,37,37,Tadd Fujikawa,1,51,
37,38,38,Andres Gonzales,1,50,
38,39,39,Marcus Fraser,3,50,45.0
39,40,40,Alejandro Cañizares,3,48,
40,41,41,Raphael Jacquelin,2,48,
41,42,42,Ross Fisher,2,45,
42,43,43,James Morrison,1,45,
43,44,44,Marcel Siem,3,43,10.0
44,45,45,Jeff Quinney,1,42,
45,46,46,Anirban Lahiri,1,39,
46,T47,T47,Morgan Hoffmann,1,38,
47,T47,T47,Alistair Presnell,1,38,
48,49,49,Juvic Pagunsan,2,33,33.0
49,50,50,Shawn Stefani,1,33,
50,51,51,Richard Sterne,1,30,
51,T52,T52,Joseph Bramlett,1,27,
52,T52,T52,Pablo Larrazabal,3,27,5.0
53,54,54,Dustin Morris,1,26,
54,55,55,Yoshinori Fujimoto,2,25,10.0
55,56,56,Steve LeBrun,1,23,
56,57,57,Jonathan Randolph,1,23,
57,58,58,George Coetzee,4,23,23.0
58,T59,T59,Rafael Echenique,1,22,
59,T59,T59,Justin Hicks,2,22,
60,T59,T59,Randall Hutchison,1,22,
61,T59,T59,Simon Khan,1,22,
62,63,63,Hennie Otto,1,21,21.0
63,64,64,Danny Willett,1,19,19.0
64,65,65,Jung-gon Hwang,1,19,
65,T66,T66,Hiroyuki Fujita,3,18,
66,T66,T66,Jesse Mueller,1,18,
67,T66,T66,Nicholas Thompson,2,18,
68,T66,T66,Esteban Toledo,1,18,
69,70,70,Derek Tolan,1,17,
70,71,71,Doug LaBelle II,1,15,
71,72,72,Jeff Curl,3,14,
72,73,73,Bernd Wiesberger,2,14,14.0
73,74,74,Jbe' Kruger,2,14,14.0
74,75,75,Emiliano Grillo,1,13,
75,76,76,Edoardo Molinari,1,13,
76,77,77,Kelly Kraft,9,12,
77,78,78,Tadahiro Takayama,4,10,9.0
78,T79,T79,Jae-bum Park,1,10,
79,T79,T79,Darron Stiles,1,10,
80,T79,T79,Dale Whitnell,1,10,
81,82,82,Koumei Oda,2,9,
82,83,83,John Riegger,1,7,
83,84,84,José de Jesús Rodríguez,1,7,
84,85,85,Marc Warren,1,6,
85,86,86,Jeev Milkha Singh,3,5,4.0
86,87,87,Brandon Brown,1,5,
87,88,88,Toshinori Muto,3,4,4.0
88,89,89,Toru Taniguchi,4,3,
89,90,90,Jake Sarnoff,1,2,
90,91,91,Adilson da Silva,1,1,
91,92,92,Tetsuji Hiratsuka,1,1,1.0
92,93,93,Sam Saunders,4,1,
93,94,94,Mathias Grönberg,1,1,
94,95,95,Ben Kohles,1,1,
95,96,96,Michael Hoey,3,1,1.0
96,97,97,Alex Aragon,1,1,
97,T98,T98,Brendan Jones,3,1,
98,T98,T98,Tom Lewis,2,1,1.0
99,100,100,Oliver Bekker,1,1,1.0
100,101,101,Matt Hill,1,1,
101,102,102,Jonathan Fly,1,1,
102,T103,T103,Warren Bennett,1,1,
103,T103,T103,Thongchai Jaidee,3,1,
104,105,105,Diego Velásquez,1,1,
105,106,106,Scott Smith,2,1,
