,Best_Sub-Par_Rounds_Streak_RANK THIS WEEK,Best_Sub-Par_Rounds_Streak_RANK LAST WEEK,Best_Sub-Par_Rounds_Streak_PLAYER NAME,Best_Sub-Par_Rounds_Streak_CAREER BEST STREAK,Best_Sub-Par_Rounds_Streak_BEST YTD STREAK,Best_Sub-Par_Rounds_Streak_CURRENT STREAK
0,1,,Tim Petrovic,26,1.0,
1,2,,Jeff Sluman,23,,
2,T3,,Tim Clark,22,,
3,T3,,Fred Couples,22,1.0,
4,T3,,Scott McCarron,22,,
5,T6,,Stuart Appleby,21,3.0,
6,T6,,Bob Estes,21,2.0,
7,T6,,Hideki Matsuyama,21,19.0,
8,T6,,Scott Verplank,21,,
9,T10,,Jay Don Blake,20,,
10,T10,,Harris English,20,7.0,
11,T10,,Joey Sindelar,20,,
12,T13,,Ben Crane,19,7.0,
13,T13,,Joe Durant,19,,
14,T13,,Bill Haas,19,17.0,
15,T13,,Jesper Parnevik,19,,
16,T13,,Dan Pohl,19,,
17,T13,,Jordan Spieth,19,18.0,
18,T19,,Glen Day,18,,
19,T19,,Chris DiMarco,18,,
20,T19,,Retief Goosen,18,4.0,
21,T19,,Charles Howell III,18,12.0,
22,T19,,Martin Laird,18,17.0,
23,T19,,Ryan Moore,18,8.0,
24,T19,,Craig Parry,18,,
25,T19,,Pat Perez,18,18.0,
26,T27,,Ronnie Black,17,,
27,T27,,Jonathan Byrd,17,8.0,
28,T27,,Brendon de Jonge,17,3.0,
29,T27,,Luke Donald,17,4.0,
30,T27,,Ed Fiori,17,,
31,T27,,Donnie Hammond,17,,
32,T27,,Jerry Kelly,17,3.0,
33,T27,,Chris Kirk,17,9.0,
34,T27,,Russell Knox,17,7.0,
35,T27,,Roger Maltbie,17,,
36,T27,,Shigeki Maruyama,17,,
37,T27,,Mark O'Meara,17,,
38,T27,,Vijay Singh,17,5.0,
39,T27,,Kirk Triplett,17,,
40,T27,,Tiger Woods,17,,
41,T42,,Ryan Blaum,16,13.0,
42,T42,,Ken Green,16,,
43,T42,,Lee Janzen,16,,
44,T42,,Matt Kuchar,16,6.0,
45,T42,,Luke List,16,16.0,
46,T42,,Troy Matteson,16,3.0,
47,T42,,Blaine McCallister,16,,
48,T42,,Rory McIlroy,16,7.0,
49,T42,,Steve Pate,16,,
50,T42,,Corey Pavin,16,,
51,T42,,Kenny Perry,16,,
52,T42,,D.A. Points,16,8.0,
53,T42,,Chez Reavie,16,15.0,
54,T42,,Chris Riley,16,,
