,Current_Streak_without_a_3-Putt_RANK THIS WEEK,Current_Streak_without_a_3-Putt_RANK LAST WEEK,Current_Streak_without_a_3-Putt_PLAYER NAME,Current_Streak_without_a_3-Putt_EVENTS,Current_Streak_without_a_3-Putt_VALUE
0,1,,Phil Mickelson,22,188
1,2,,Webb Simpson,28,187
2,3,,Brooks Koepka,24,185
3,4,,Daniel Berger,26,173
4,5,,Kyle Reifers,32,146
5,6,,Paul Casey,24,139
6,7,,Zach Johnson,23,138
7,8,,Geoff Ogilvy,25,131
8,9,,Kevin Tway,27,115
9,10,,J.T. Poston,28,107
10,11,,Ricky Barnes,31,103
11,12,,Ryo Ishikawa,20,100
12,13,,Pat Perez,26,85
13,14,,Emiliano Grillo,25,84
14,15,,Charl Schwartzel,18,78
15,T16,,Rickie Fowler,21,77
16,T16,,Marc Leishman,25,77
17,T18,,Scott Brown,29,76
18,T18,,Ryan Moore,24,76
19,T20,,Alex Cejka,28,74
20,T20,,Chez Reavie,28,74
21,22,,Sean O'Hair,25,72
22,23,,Cameron Smith,26,67
23,T24,,Xander Schauffele,28,66
24,T24,,Steve Wheatcroft,17,66
25,26,,Adam Hadwin,28,64
26,T27,,Søren Kjeldsen,17,60
27,T27,,Ollie Schniederjans,28,60
28,29,,Rick Lamb,19,58
29,30,,K.J. Choi,25,57
30,31,,Sung Kang,32,56
31,32,,Boo Weekley,27,52
32,T33,,Si Woo Kim,30,50
33,T33,,William McGirt,28,50
34,T33,,Brian Stuard,31,50
35,36,,Brad Fritsch,18,49
36,37,,Jordan Spieth,23,47
37,T38,,Russell Henley,27,46
38,T38,,Robert Streb,30,46
39,T38,,Tim Wilkinson,22,46
40,T41,,Matt Kuchar,26,45
41,T41,,Brendan Steele,25,45
42,43,,Spencer Levin,31,44
43,T44,,Grayson Murray,30,42
44,T44,,Ian Poulter,20,42
45,T46,,Jason Day,20,40
46,T46,,Bryce Molder,26,40
47,T48,,Fabián Gómez,21,38
48,T48,,Nick Taylor,29,38
49,T50,,Stewart Cink,26,37
50,T50,,Bryson DeChambeau,31,37
51,T50,,Billy Horschel,28,37
52,T50,,Kevin Na,26,37
53,T54,,Patrick Cantlay,13,36
54,T54,,Anirban Lahiri,22,36
55,T54,,Martin Laird,25,36
56,57,,Justin Rose,18,35
57,58,,Kyle Stanley,29,34
58,T59,,Julián Etulain,22,33
59,T59,,Hunter Mahan,26,33
60,T61,,Greg Chalmers,28,32
61,T61,,Matt Jones,20,32
62,T61,,Kevin Kisner,28,32
63,T61,,Francesco Molinari,21,32
64,T61,,Cameron Tringale,28,32
65,T66,,Ben Crane,26,31
66,T66,,Andres Gonzales,24,31
67,T66,,James Hahn,28,31
68,T69,,Steven Bowditch,27,30
69,T69,,Wesley Bryan,28,30
70,T69,,Seung-Yul Noh,31,30
71,T69,,Scott Stallings,27,30
72,T69,,Bubba Watson,22,30
73,T74,,Kevin Chappell,27,27
74,T74,,Jamie Lovemark,28,27
75,T76,,Hideki Matsuyama,22,26
76,T76,,Brandt Snedeker,15,26
77,78,,C.T. Pan,29,25
78,T79,,Steven Alker,23,24
79,T79,,Ryan Brehm,25,24
80,T79,,Graeme McDowell,17,24
81,T79,,Cameron Percy,23,24
82,T83,,Lucas Glover,26,23
83,T83,,Tyrone Van Aswegen,32,23
84,T85,,Rafa Cabrera Bello,19,22
85,T85,,Bud Cauley,28,22
86,T85,,Sergio Garcia,17,22
87,T85,,Kevin Streelman,26,22
88,T85,,Justin Thomas,25,22
89,T90,,Chad Collins,26,21
90,T90,,Graham DeLaet,25,21
91,T90,,Vaughn Taylor,26,21
92,T90,,Jimmy Walker,21,21
93,T94,,Aaron Baddeley,20,20
94,T94,,Retief Goosen,19,20
95,T94,,Bill Haas,25,20
96,T94,,Shane Lowry,16,20
97,T98,,Chad Campbell,29,19
98,T98,,Roberto Castro,25,19
99,T98,,Luke Donald,18,19
100,T98,,Michael Kim,28,19
101,T98,,Richy Werenski,26,19
102,T103,,Tom Hoge,17,18
103,T103,,John Huh,28,18
104,105,,David Hearn,29,17
105,T106,,Jim Herman,25,16
106,T106,,Mackenzie Hughes,31,16
107,T106,,Russell Knox,24,16
108,T106,,Peter Malnati,29,16
109,T106,,J.J. Spaun,29,16
110,T106,,Daniel Summerhays,29,16
111,T112,,Blayne Barber,25,14
112,T112,,Brian Harman,30,14
113,T112,,Louis Oosthuizen,18,14
114,T112,,Patrick Reed,29,14
115,T116,,Byeong Hun An,22,13
116,T116,,Ryan Armour,20,13
117,T116,,Carl Pettersson,27,13
118,T116,,Michael Thompson,21,13
119,T120,,Jason Dufner,24,12
120,T120,,Ernie Els,20,12
121,T120,,Kelly Kraft,27,12
122,T120,,David Lingmerth,23,12
123,T120,,Luke List,31,12
124,T120,,Andrew Loupe,21,12
125,T120,,Tag Ridings,20,12
126,T120,,Hudson Swafford,28,12
127,T120,,Johnson Wagner,26,12
128,T120,,Nick Watney,23,12
129,T130,,Jim Furyk,18,11
130,T130,,Mark Hubbard,27,11
131,T130,,Trey Mullinax,28,11
132,T130,,Rory Sabbatini,23,11
133,T130,,Sam Saunders,24,11
134,T130,,Adam Scott,16,11
135,T136,,Miguel Angel Carballo,22,10
136,T136,,Jhonattan Vegas,29,10
137,T138,,Ryan Blaum,29,9
138,T138,,Martin Flores,27,9
139,T138,,Brian Gay,25,9
140,T138,,J.B. Holmes,23,9
141,T138,,Whee Kim,27,9
142,T138,,Ben Martin,27,9
143,T138,,Sebastián Muñoz,17,9
144,T145,,Jason Bohn,28,8
145,T145,,Keegan Bradley,29,8
146,T145,,Tony Finau,29,8
147,T145,,Ryan Palmer,20,8
148,T145,,Shawn Stefani,26,8
149,T145,,Chris Stroud,22,8
150,151,,Smylie Kaufman,26,7
151,T152,,Zac Blair,32,6
152,T152,,Ken Duke,26,6
153,T152,,Chris Kirk,28,6
154,T155,,Brett Drewitt,19,5
155,T155,,Gonzalo Fernandez-Castaño,22,5
156,T155,,Dustin Johnson,20,5
157,T158,,Jonas Blixt,25,4
158,T158,,Harris English,27,4
159,T158,,Matt Every,30,4
160,T158,,Derek Fathauer,27,4
161,T158,,Cody Gribble,28,4
162,T158,,Charley Hoffman,31,4
163,T158,,Charles Howell III,23,4
164,T158,,Nicholas Lindheim,21,4
165,T158,,Rory McIlroy,14,4
166,T158,,D.A. Points,22,4
167,T158,,Jon Rahm,23,4
168,T158,,Jonathan Randolph,22,4
169,T170,,Dominic Bozzelli,24,3
170,T170,,J.J. Henry,29,3
171,T170,,Troy Merritt,28,3
172,T170,,Rod Pampling,22,3
173,T170,,Seamus Power,25,3
174,T170,,Brett Stegmaier,27,3
175,T170,,Gary Woodland,26,3
176,T177,,Brandon Hagy,26,2
177,T177,,Morgan Hoffmann,29,2
178,T177,,Danny Lee,32,2
179,T177,,Patrick Rodgers,27,2
180,T177,,Harold Varner III,31,2
181,T182,,Brian Campbell,20,1
182,T182,,Robert Garrigus,26,1
183,T182,,Camilo Villegas,25,1
