,Consecutive_GIR_RANK THIS WEEK,Consecutive_GIR_RANK LAST WEEK,Consecutive_GIR_PLAYER NAME,Consecutive_GIR_EVENTS,Consecutive_GIR_STREAK,Consecutive_GIR_CURRENT STREAK,Consecutive_GIR_ROUND,Consecutive_GIR_HOLE,Consecutive_GIR_YEAR/TOURN#
0,1,,D.A. Points,22,40,5.0,1,11,2017220
1,T2,,Chad Campbell,29,31,,1,14,2017070
2,T2,,Justin Thomas,25,31,5.0,1,12,2017110
3,4,,Shawn Stefani,26,29,3.0,3,17,2017220
4,5,,William McGirt,28,28,4.0,1,15,2017110
5,6,,Stewart Cink,26,27,1.0,1,15,2017070
6,T7,,Ryan Moore,24,26,,1,1,2017460
7,T7,,Kevin Na,26,26,9.0,3,14,2017010
8,T7,,Patrick Reed,29,26,2.0,1,18,2017110
9,T7,,Brett Stegmaier,27,26,,2,1,2017020
10,T11,,Mark Anderson,20,25,5.0,3,16,2017160
11,T11,,Retief Goosen,19,25,2.0,2,15,2017460
12,T11,,Cameron Percy,23,25,4.0,2,3,2017400
13,T11,,Gary Woodland,26,25,2.0,4,10,2017060
14,T15,,Billy Horschel,28,24,1.0,3,17,2017150
15,T15,,Dustin Johnson,20,24,2.0,3,14,2017110
16,T17,,Tyler Aldridge,14,23,,2,15,2017070
17,T17,,Robert Garrigus,26,23,,1,8,2017400
18,T17,,Patton Kizzire,28,23,,2,4,2017400
19,T17,,Cameron Smith,26,23,,1,10,2017460
20,T21,,Patrick Cantlay,13,22,3.0,4,14,2017260
21,T21,,Sergio Garcia,17,22,2.0,3,3,2017500
22,T21,,Lucas Glover,26,22,1.0,4,13,2017450
23,T21,,Spencer Levin,31,22,4.0,3,11,2017400
24,T21,,Ollie Schniederjans,28,22,,2,14,2017390
25,T21,,Robert Streb,30,22,1.0,2,16,2017020
26,T21,,Nick Taylor,29,22,,2,2,2017060
27,T28,,Keegan Bradley,29,21,,1,15,2017240
28,T28,,Cody Gribble,28,21,1.0,2,8,2017170
29,T28,,Brian Harman,30,21,,1,18,2017060
30,T28,,David Hearn,29,21,,3,9,2017220
31,T28,,Kramer Hickok,2,21,1.0,2,9,2017310
32,T28,,Marty Jertson,1,21,,1,10,2017050
33,T28,,Davis Love III,13,21,8.0,1,10,2017460
34,T28,,Jamie Lovemark,28,21,,4,5,2017010
35,T28,,Bryce Molder,26,21,,1,4,2017220
36,T28,,Webb Simpson,28,21,3.0,1,12,2017010
37,T28,,Scott Stallings,27,21,,2,16,2017400
38,T28,,Harold Varner III,31,21,7.0,1,3,2017020
39,T40,,Ryan Armour,20,20,,1,3,2017220
40,T40,,Jonas Blixt,25,20,,1,12,2017070
41,T40,,Sam Burns,1,20,1.0,1,7,2017400
42,T40,,Kevin Chappell,27,20,1.0,4,7,2017020
43,T40,,Harris English,27,20,1.0,1,12,2017070
44,T40,,Julián Etulain,22,20,,2,7,2017400
45,T40,,Rickie Fowler,21,20,3.0,1,18,2017240
46,T40,,Jim Furyk,18,20,,2,8,2017060
47,T40,,Fabián Gómez,21,20,,2,8,2017220
48,T40,,Marc Leishman,25,20,3.0,2,7,2017480
49,T40,,Scott Piercy,22,20,2.0,2,3,2017060
50,T40,,J.J. Spaun,29,20,3.0,1,9,2017220
51,T52,,Byeong Hun An,22,19,,2,11,2017150
52,T52,,Gaganjeet Bhullar,1,19,19.0,3,9,2017020
53,T52,,Graham DeLaet,25,19,1.0,1,7,2017380
54,T52,,Martin Flores,27,19,,4,7,2017220
55,T52,,Chris Kirk,28,19,2.0,2,11,2017060
56,T52,,Rick Lamb,19,19,1.0,2,7,2017220
57,T52,,Nicholas Lindheim,21,19,1.0,2,8,2017060
58,T52,,Troy Merritt,28,19,,1,14,2017010
59,T52,,Carlos Ortiz,1,19,5.0,1,15,2017060
60,T52,,Rod Pampling,22,19,4.0,4,3,2017110
61,T52,,C.T. Pan,29,19,5.0,4,18,2017420
62,T52,,Pat Perez,26,19,2.0,2,10,2017160
63,T52,,John Peterson,15,19,2.0,4,3,2017060
64,T52,,Jordan Spieth,23,19,2.0,4,9,2017110
65,T52,,Jimmy Walker,21,19,1.0,2,16,2017050
66,T67,,Bud Cauley,28,18,1.0,1,4,2017260
67,T67,,Brett Drewitt,19,18,7.0,4,10,2017400
68,T67,,James Hahn,28,18,1.0,3,10,2017020
69,T67,,J.J. Henry,29,18,1.0,3,1,2017460
70,T67,,John Huh,28,18,1.0,2,16,2017020
71,T67,,Michael Kim,28,18,,3,9,2017010
72,T67,,Kevin Kisner,28,18,1.0,2,4,2017070
73,T67,,Russell Knox,24,18,1.0,1,3,2017120
74,T67,,Jason Kokrak,28,18,2.0,4,13,2017160
75,T67,,Ben Martin,27,18,7.0,1,11,2017070
76,T67,,Hideki Matsuyama,22,18,4.0,2,10,2017440
77,T67,,Grayson Murray,30,18,4.0,1,9,2017460
78,T67,,Michael Putnam,6,18,2.0,2,11,2017030
79,T67,,Kyle Reifers,32,18,5.0,2,12,2017070
80,T67,,Brendan Steele,25,18,,4,15,2017130
81,T67,,Hudson Swafford,28,18,1.0,2,2,2017380
82,T67,,Richy Werenski,26,18,,4,13,2017140
83,T84,,Blayne Barber,25,17,1.0,2,12,2017070
84,T84,,Ryan Blaum,29,17,,3,6,2017240
85,T84,,Jonathan Byrd,9,17,,1,13,2017070
86,T84,,Rafa Cabrera Bello,19,17,,2,13,2017040
87,T84,,Paul Casey,24,17,3.0,1,7,2017020
88,T84,,Jason Day,20,17,2.0,2,14,2017110
89,T84,,Jason Dufner,24,17,2.0,1,7,2017450
90,T84,,Brian Gay,25,17,,4,13,2017060
91,T84,,Andres Gonzales,24,17,4.0,2,10,2017390
92,T84,,Jason Gore,5,17,1.0,1,7,2017370
93,T84,,Scott Hend,6,17,2.0,3,10,2017020
94,T84,,Zach Johnson,23,17,,1,10,2017390
95,T84,,Hyung-Sung Kim,1,17,3.0,1,14,2017120
96,T84,,Rory McIlroy,14,17,2.0,4,1,2017360
97,T84,,Francesco Molinari,21,17,2.0,3,9,2017050
98,T84,,Alan Morin,2,17,2.0,1,2,2017220
99,T84,,Trey Mullinax,28,17,,2,14,2017070
100,T84,,Rory Sabbatini,23,17,,1,9,2017420
101,T84,,John Senden,14,17,1.0,4,15,2017220
102,T84,,Kyle Stanley,29,17,,1,16,2017070
103,T84,,Kevin Streelman,26,17,1.0,2,15,2017010
104,T84,,Steve Stricker,13,17,,2,4,2017160
105,T84,,Michael Thompson,21,17,,1,3,2017050
106,T107,,Steven Alker,23,16,,1,9,2017130
107,T107,,Ricky Barnes,31,16,2.0,3,12,2017020
108,T107,,Charlie Beljan,8,16,1.0,1,5,2017170
109,T107,,Dominic Bozzelli,24,16,,1,17,2017390
110,T107,,Michael Bradley,3,16,1.0,2,2,2017030
111,T107,,Emiliano Grillo,25,16,1.0,3,3,2017470
112,T107,,Chesson Hadley,8,16,,1,15,2017460
113,T107,,Charles Howell III,23,16,2.0,4,14,2017060
114,T107,,Matt Jones,20,16,,1,10,2017220
115,T107,,Rikard Karlberg,1,16,2.0,1,1,2017040
116,T107,,Troy Matteson,4,16,,1,7,2017390
117,T107,,George McNeill,7,16,3.0,1,2,2017400
118,T107,,Louis Oosthuizen,18,16,1.0,3,16,2017140
119,T107,,Seamus Power,25,16,,2,1,2017400
120,T107,,Jon Rahm,23,16,10.0,4,6,2017320
121,T107,,Patrick Rodgers,27,16,4.0,1,1,2017020
122,T107,,Andres Romero,10,16,,2,11,2017390
123,T107,,Sam Saunders,24,16,,2,16,2017400
124,T107,,Henrik Stenson,15,16,,4,16,2017450
125,T107,,Brian Stuard,31,16,,1,13,2017050
126,T107,,Daniel Summerhays,29,16,1.0,2,6,2017370
127,T107,,Vaughn Taylor,26,16,,2,13,2017420
128,T107,,Kevin Tway,27,16,1.0,3,2,2017060
129,T107,,Jhonattan Vegas,29,16,1.0,4,13,2017040
130,T107,,Nick Watney,23,16,,2,3,2017380
131,T107,,Bubba Watson,22,16,,3,3,2017470
