,YTD_Consecutive_Cuts_RANK THIS WEEK,YTD_Consecutive_Cuts_RANK LAST WEEK,YTD_Consecutive_Cuts_PLAYER NAME,YTD_Consecutive_Cuts_NUMBER OF CUTS
0,1,,Paul Casey,20
1,2,,Charley Hoffman,17
2,T3,,Brooks Koepka,16
3,T3,,Matt Kuchar,16
4,T5,,Patrick Cantlay,13
5,T5,,Tony Finau,13
6,T5,,Webb Simpson,13
7,T8,,Chez Reavie,11
8,T8,,Jordan Spieth,11
9,T10,,Keegan Bradley,10
10,T10,,Russell Henley,10
11,T10,,Martin Kaymer,10
12,T10,,Peter Malnati,10
13,T10,,Ian Poulter,10
14,T15,,Rickie Fowler,9
15,T15,,Kevin Kisner,9
16,T17,,Jason Dufner,8
17,T17,,Martin Flores,8
18,T17,,Dustin Johnson,8
19,T20,,Kevin Chappell,7
20,T20,,Jason Day,7
21,T20,,Lucas Glover,7
22,T20,,Seamus Power,7
23,T20,,Jon Rahm,7
24,T25,,Pat Perez,6
25,T25,,Patrick Reed,6
26,T25,,Charl Schwartzel,6
27,T25,,Henrik Stenson,6
28,T25,,Justin Thomas,6
29,T25,,Richy Werenski,6
30,T25,,Lee Westwood,6
31,T32,,Ricky Barnes,5
32,T32,,Morgan Hoffmann,5
33,T32,,K.T. Kim,5
34,T32,,Louis Oosthuizen,5
35,T32,,C.T. Pan,5
36,T32,,J.T. Poston,5
37,T32,,Tag Ridings,5
38,T32,,Sam Saunders,5
39,T32,,Robert Streb,5
40,T32,,Harold Varner III,5
41,T42,,Steven Alker,4
42,T42,,Stuart Appleby,4
43,T42,,Ryan Armour,4
44,T42,,Daniel Berger,4
45,T42,,Ben Crane,4
46,T42,,Ken Duke,4
47,T42,,Matt Every,4
48,T42,,Tommy Fleetwood,4
49,T42,,Mark Hubbard,4
50,T42,,Satoshi Kodaira,4
51,T42,,Jason Kokrak,4
52,T42,,Kevin Na,4
53,T42,,Justin Rose,4
54,T42,,Xander Schauffele,4
55,T42,,J.J. Spaun,4
56,T42,,Kyle Stanley,4
57,T42,,Jhonattan Vegas,4
58,T42,,Aaron Wise,4
59,T60,,Aaron Baddeley,3
60,T60,,Craig Barlow,3
61,T60,,Scott Brown,3
62,T60,,Wesley Bryan,3
63,T60,,Miguel Angel Carballo,3
64,T60,,Marcus Fraser,3
65,T60,,Sergio Garcia,3
66,T60,,Emiliano Grillo,3
67,T60,,Adam Hadwin,3
68,T60,,Brian Harman,3
69,T60,,Mackenzie Hughes,3
70,T60,,Si Woo Kim,3
71,T60,,Martin Laird,3
72,T60,,Marc Leishman,3
73,T60,,Luke List,3
74,T60,,Hideki Matsuyama,3
75,T60,,Lee McCoy,3
76,T60,,Phil Mickelson,3
77,T60,,Grayson Murray,3
78,T60,,Alex Noren,3
79,T60,,Geoff Ogilvy,3
80,T60,,Thorbjørn Olesen,3
81,T60,,D.A. Points,3
82,T60,,Dicky Pride,3
83,T60,,Chase Seiffert,3
84,T60,,Brandt Snedeker,3
85,T60,,Richard Sterne,3
86,T60,,Hudson Swafford,3
87,T60,,Miguel Tabuena,3
88,T60,,Vaughn Taylor,3
89,T60,,Kevin Tway,3
90,T60,,Steve Wheatcroft,3
91,T60,,Chris Wood,3
92,T60,,Gary Woodland,3
93,T94,,Zac Blair,2
94,T94,,Richard Bland,2
95,T94,,Sam Brazel,2
96,T94,,Ryan Brehm,2
97,T94,,Rafa Cabrera Bello,2
98,T94,,Bud Cauley,2
99,T94,,Stewart Cink,2
100,T94,,Joel Dahmen,2
101,T94,,Charlie Danielson,2
102,T94,,Bryson DeChambeau,2
103,T94,,Gonzalo Fernandez-Castaño,2
104,T94,,Brad Fritsch,2
105,T94,,Jonathan Garrick,2
106,T94,,Bill Haas,2
107,T94,,James Hahn,2
108,T94,,David Hearn,2
109,T94,,Zach Johnson,2
110,T94,,Sung Kang,2
111,T94,,Chris Kirk,2
112,T94,,Anirban Lahiri,2
113,T94,,Rick Lamb,2
114,T94,,Scott Langley,2
115,T94,,Jamie Lovemark,2
116,T94,,Shane Lowry,2
117,T94,,Will MacKenzie,2
118,T94,,Wesley McClain,2
119,T94,,William McGirt,2
120,T94,,Francesco Molinari,2
121,T94,,Shaun Norris,2
122,T94,,Rod Pampling,2
123,T94,,Robby Shelton,2
124,T94,,Chan Shih-chang,2
125,T94,,Vijay Singh,2
126,T94,,Soomin Lee,2
127,T94,,Brendan Steele,2
128,T94,,Hideto Tanihara,2
129,T94,,D.J. Trahan,2
130,T94,,Johnson Wagner,2
131,T94,,Bubba Watson,2
132,T94,,Charlie Wi,2
