,Percentage_of_Yardage_covered_by_Tee_Shots_RANK THIS WEEK,Percentage_of_Yardage_covered_by_Tee_Shots_RANK LAST WEEK,Percentage_of_Yardage_covered_by_Tee_Shots_PLAYER NAME,Percentage_of_Yardage_covered_by_Tee_Shots_ROUNDS,Percentage_of_Yardage_covered_by_Tee_Shots_AVG (%),Percentage_of_Yardage_covered_by_Tee_Shots_TOTAL SHOT DISTANCE,Percentage_of_Yardage_covered_by_Tee_Shots_TOTAL DISTANCE
0,1,1,Scott Hend,81,65.72,288262.1,438642
1,2,2,Hank Kuehne,91,65.37,346576.2,530202
2,3,3,John Daly,79,64.61,275778.0,426845
3,4,4,Vijay Singh,112,64.41,348022.6,540284
4,5,5,Chris Couch,55,64.32,186456.3,289866
5,6,6,Tag Ridings,53,64.18,179714.6,280019
6,7,7,Lucas Glover,95,64.15,338238.7,527291
7,8,8,Chris Smith,105,64.07,372447.2,581297
8,9,9,Mike Heinen,53,63.93,204285.6,319544
9,10,10,Ernie Els,62,63.49,148646.9,234118
10,11,11,Steve Allan,102,63.45,352130.2,555008
11,12,12,Dennis Paulson,71,63.41,263449.4,415448
12,13,13,J.J. Henry,103,63.38,363831.7,574092
13,14,14,Roland Thatcher,66,63.37,241581.4,381248
14,15,15,Brenden Pappas,111,63.36,393019.4,620339
15,16,16,Kenny Perry,79,63.23,230109.7,363941
16,17,17,Phil Mickelson,83,63.18,214832.9,340050
17,18,18,Deane Pappas,72,63.1,250294.0,396661
18,19,19,Kris Cox,73,63.09,242271.5,384029
19,20,20,Sergio Garcia,65,63.01,201469.1,319766
20,21,21,Hunter Mahan,94,62.99,328297.9,521156
21,T22,T22,Jonathan Byrd,85,62.98,285157.9,452748
22,T22,T22,Dan Olsen,75,62.98,253717.7,402872
23,24,24,Harrison Frazar,86,62.95,280740.3,445940
24,25,25,Davis Love III,85,62.91,226120.4,359439
25,26,26,Daniel Chopra,108,62.89,364580.0,579673
26,27,27,John Senden,99,62.87,339595.5,540116
27,28,28,Adam Scott,55,62.84,143654.2,228597
28,29,29,Andre Stolz,53,62.82,190079.7,302584
29,30,30,Craig Barlow,80,62.81,274043.9,436322
30,31,31,Geoff Ogilvy,91,62.8,297846.8,474263
31,32,32,Roger Tambellini,81,62.79,278452.0,443472
32,33,33,Rich Beem,81,62.78,244571.2,389542
33,T34,T34,Jason Bohn,98,62.64,347841.5,555335
34,T34,T34,Ryan Palmer,103,62.64,352800.9,563204
35,36,36,Rich Barcelo,67,62.63,232150.4,370669
36,37,37,Fred Couples,54,62.62,160243.4,255903
37,38,38,Vaughn Taylor,84,62.61,301457.4,481506
38,39,39,Rory Sabbatini,89,62.6,280735.2,448493
39,40,40,Rod Pampling,98,62.58,307461.4,491313
40,41,41,Tim Herron,84,62.52,262573.7,419967
41,T42,T42,Tom Carter,113,62.51,378681.2,605804
42,T42,T42,Neal Lancaster,106,62.51,367743.0,588272
43,44,44,Pat Perez,102,62.49,339085.5,542592
44,45,45,Woody Austin,94,62.47,328654.0,526065
45,46,46,Jason Dufner,79,62.45,282636.9,452615
46,47,47,Stuart Appleby,84,62.36,218810.2,350874
47,T48,T48,Tommy Armour III,87,62.28,285250.0,458036
48,T48,T48,Bo Van Pelt,107,62.28,318682.3,511704
49,50,50,Tiger Woods,78,62.25,200795.3,322566
50,T51,T51,Jonathan Kaye,79,62.19,229387.4,368853
51,T51,T51,Frank Lickliter II,89,62.19,287460.2,462236
52,T51,T51,Steve Lowery,91,62.19,289869.1,466093
53,54,54,Carl Pettersson,100,62.18,306359.9,492662
54,55,55,Tom Lehman,70,62.16,225676.6,363044
55,56,56,Scott McCarron,88,62.15,297097.2,478043
56,57,57,Joe Ogilvie,104,62.12,329788.0,530925
57,58,58,Brian Kortan,65,62.11,223401.0,359682
58,59,59,Retief Goosen,56,62.09,141135.5,227298
59,60,60,Mathias Grönberg,91,62.06,288983.4,465616
60,T61,T61,Briny Baird,100,62.04,316491.2,510142
61,T61,T61,Ted Purdy,114,62.04,399490.5,643896
62,63,63,Justin Rose,77,62.02,244174.3,393692
63,64,64,Darren Clarke,54,62.01,121885.6,196566
64,65,65,Arjun Atwal,85,61.99,291397.6,470109
65,66,66,Brett Quigley,102,61.98,341960.2,551683
66,67,67,Cameron Beckman,99,61.97,336962.2,543712
67,T68,T68,Jeff Brehaut,106,61.92,364629.8,588910
68,T68,T68,J.L. Lewis,106,61.92,326944.2,527975
69,70,70,Robert Gamez,103,61.91,350748.5,566543
70,T71,T71,D.J. Brigman,79,61.89,267280.8,431844
71,T71,T71,Peter Lonard,68,61.89,212621.5,343538
72,T71,T71,Tommy Tolles,67,61.89,235165.4,379971
73,74,74,Mark Calcavecchia,79,61.88,231109.2,373496
74,75,75,Robert Allenby,93,61.87,282455.4,456530
75,76,76,Craig Perks,75,61.86,248666.5,401986
76,77,77,Jesper Parnevik,86,61.77,287036.6,464698
77,78,78,John Rollins,90,61.69,280201.8,454212
78,T79,T79,Michael Allen,87,61.68,298610.2,484112
79,T79,T79,Kevin Muncrief,50,61.68,174319.7,282624
80,T81,T81,Zach Johnson,109,61.66,346814.3,562457
81,T81,T81,Joey Sindelar,100,61.66,344305.5,558428
82,83,83,Carlos Franco,99,61.65,349508.9,566898
83,84,84,Joe Durant,85,61.62,292424.7,474540
84,85,85,Danny Ellis,81,61.6,264654.8,429657
85,86,86,Shaun Micheel,93,61.58,259306.3,421108
86,T87,T87,Brian Bateman,84,61.56,283035.3,459784
87,T87,T87,Freddie Jacobson,83,61.56,243414.0,395440
88,T87,T87,Matt Kuchar,83,61.56,295357.6,479823
89,90,90,Patrick Sheehan,113,61.51,385895.5,627393
90,T91,T91,Brent Geiberger,94,61.5,324888.3,528239
91,T91,T91,Kevin Sutherland,86,61.5,259255.5,421587
92,T93,T93,Tim Petrovic,111,61.43,336611.7,547944
93,T93,T93,Grant Waite,79,61.43,264931.1,431242
94,95,95,Niclas Fasth,61,61.41,199947.1,325593
95,96,96,Greg Chalmers,70,61.4,250610.9,408188
96,97,97,Tripp Isenhour,55,61.37,183251.3,298581
97,98,98,Glen Day,101,61.36,340587.3,555051
98,T99,T99,Aaron Baddeley,87,61.34,297227.4,484576
99,T99,T99,David Toms,80,61.34,225459.9,367536
100,101,101,Mark Hensby,97,61.31,321047.8,523670
101,T102,T102,Notah Begay III,71,61.29,244356.7,398668
102,T102,T102,Charles Howell III,104,61.29,296076.2,483101
103,104,104,John Huston,62,61.27,159478.6,260301
104,T105,T105,Chad Campbell,100,61.26,284773.9,464896
105,T105,T105,Stewart Cink,103,61.26,308460.8,503559
106,107,107,Steve Elkington,64,61.25,215346.4,351562
107,108,108,Jeff Maggert,60,61.24,194197.9,317109
108,109,109,Dudley Hart,60,61.23,177146.2,289314
109,110,110,Rocco Mediate,53,61.07,135173.3,221357
110,T111,T111,Stephen Ames,97,61.06,308714.4,505624
111,T111,T111,Matt Gogel,86,61.06,268582.4,439887
112,113,113,Jay Delsing,76,61.05,244892.5,401166
113,114,114,Jay Williamson,100,61.02,345927.0,566884
114,115,115,John Riegger,53,61.0,188608.0,309214
115,116,116,David Branshaw,84,60.98,277548.1,455119
116,117,117,Alex Cejka,76,60.97,220011.6,360871
117,118,118,Tom Pernice Jr.,103,60.95,329787.4,541102
118,T119,T119,Danny Briggs,85,60.93,288240.9,473062
119,T119,T119,Lee Janzen,84,60.93,269226.7,441844
120,121,121,Guy Boros,64,60.91,222140.4,364719
121,T122,T122,Bart Bryant,73,60.89,249002.9,408929
122,T122,T122,Ken Duke,89,60.89,304785.5,500572
123,T122,T122,Todd Fischer,104,60.89,350477.3,575562
124,125,125,Kent Jones,99,60.82,331003.4,544250
125,126,126,K.J. Choi,83,60.81,243371.5,400228
126,127,127,Ben Crane,92,60.8,294903.9,485045
127,128,128,Duffy Waldorf,79,60.77,227100.1,373687
128,T129,T129,Arron Oberholser,77,60.73,237809.1,391562
129,T129,T129,Jeff Sluman,98,60.73,310766.5,511727
130,T131,T131,David Peoples,82,60.71,290765.7,478957
131,T131,T131,Mike Weir,75,60.71,197429.6,325226
132,T133,T133,Billy Andrade,104,60.69,349186.7,575369
133,T133,T133,Paul Azinger,75,60.69,248561.5,409581
134,135,135,Todd Hamilton,92,60.68,271357.5,447202
