,Driving_Pct.__240_All_Drives_RANK THIS WEEK,Driving_Pct.__240_All_Drives_RANK LAST WEEK,Driving_Pct.__240_All_Drives_PLAYER NAME,Driving_Pct.__240_All_Drives_ROUNDS,Driving_Pct.__240_All_Drives_%,Driving_Pct.__240_All_Drives_TOTAL DRIVES FOR <= 240,Driving_Pct.__240_All_Drives_TOTAL DRIVES - OVERALL,Driving_Pct.__240_All_Drives_RELATIVE TO PAR
0,1,1,Corey Pavin,83,16.32,150,919,+0.060
1,2,2,Hirofumi Miyase,65,11.01,86,781,+0.337
2,3,3,Brad Faxon,94,10.49,101,963,+0.228
3,4,4,John Cook,57,10.31,69,669,+0.087
4,5,5,Scott Simpson,55,10.3,73,709,+0.123
5,6,6,Bob Estes,73,10.19,71,697,+0.141
6,7,7,Bob Tway,90,10.18,94,923,+0.106
7,8,8,Loren Roberts,81,9.53,90,944,-0.011
8,9,9,David Frost,78,9.11,93,1021,+0.290
9,10,10,Kirk Triplett,88,9.0,82,911,-0.049
10,11,11,Kevin Muncrief,50,8.99,56,623,+0.232
11,12,12,Todd Hamilton,92,8.76,86,982,+0.233
12,13,13,Steve Pate,71,8.71,72,827,+0.125
13,14,14,Blaine McCallister,68,8.51,72,846,+0.153
14,15,15,Esteban Toledo,92,8.45,93,1101,+0.194
15,16,16,Kent Jones,99,8.37,100,1195,+0.080
16,17,17,Olin Browne,92,8.33,91,1093,+0.055
17,18,18,Pat Bates,99,8.31,103,1240,+0.204
18,T19,T19,Tom Byrum,83,8.18,82,1002,+0.073
19,T19,T19,Craig Parry,52,8.18,41,501,+0.024
20,21,21,Luke Donald,72,8.11,70,863,+0.171
21,22,22,Mark Wilson,62,8.07,64,793,+0.047
22,23,23,Richard Johnson,102,8.05,103,1280,+0.107
23,24,24,Craig Bowden,83,8.04,83,1032,+0.096
24,25,25,Brian Bateman,84,8.03,81,1009,-0.074
25,26,26,Nick Price,51,7.91,40,506,+0.100
26,27,27,José María Olazábal,56,7.89,46,583,+0.109
27,28,28,Mark Brooks,72,7.86,62,789,+0.339
28,29,29,Mark O'Meara,58,7.85,45,573,+0.178
29,30,30,Patrick Sheehan,113,7.82,108,1381,+0.093
30,31,31,Stephen Leaney,84,7.81,62,794,+0.177
31,32,32,Steve Elkington,64,7.79,60,770,+0.200
32,33,33,Len Mattiace,75,7.67,74,965,+0.284
33,34,34,Steve Stricker,81,7.66,72,940,+0.194
34,35,35,Gene Sauers,83,7.62,77,1011,+0.117
35,36,36,Jay Williamson,100,7.61,95,1248,+0.126
36,37,37,Matt Kuchar,83,7.59,80,1054,+0.113
37,38,38,Omar Uresti,85,7.54,79,1048,+0.063
38,39,39,Dan Forsman,79,7.4,67,905,+0.075
39,40,40,Jesper Parnevik,86,7.36,75,1019,+0.173
40,41,41,Hidemichi Tanaka,89,7.31,79,1080,-0.051
41,42,42,Ben Curtis,56,7.18,41,571,-0.024
42,43,43,Brent Geiberger,94,7.17,83,1158,-0.024
43,44,44,Jay Delsing,76,7.05,62,879,+0.145
44,45,45,David Gossett,57,6.99,49,701,+0.694
45,T46,T46,Billy Andrade,104,6.96,88,1265,-0.023
46,T46,T46,John Senden,99,6.96,83,1193,+0.120
47,T48,T48,Ben Crane,92,6.87,77,1121,+0.117
48,T48,T48,Dan Olsen,75,6.87,61,888,+0.115
49,50,50,Dicky Pride,66,6.86,56,816,+0.161
50,51,51,Paul Azinger,75,6.82,61,895,+0.279
51,52,52,J.P. Hayes,79,6.8,60,883,+0.250
52,53,53,Spike McRoy,93,6.79,72,1061,+0.139
53,54,54,David Branshaw,84,6.71,67,999,+0.209
54,55,55,Jeff Maggert,60,6.7,47,702,-0.128
55,56,56,Cliff Kresge,89,6.69,69,1032,+0.319
56,57,57,Matt Gogel,86,6.61,64,968,+0.094
57,58,58,Tommy Tolles,67,6.57,55,837,+0.309
58,59,59,Chad Campbell,100,6.51,70,1076,+0.114
59,60,60,Aaron Baddeley,87,6.5,69,1062,+0.261
60,61,61,Scott Verplank,92,6.49,61,940,+0.033
61,62,62,Freddie Jacobson,83,6.47,56,865,+0.304
62,63,63,Carlos Franco,99,6.46,80,1239,-0.013
63,64,64,Skip Kendall,99,6.43,70,1088,+0.157
64,65,65,Michael Allen,87,6.41,68,1061,+0.059
65,66,66,Mike Heinen,53,6.39,45,704,+0.222
66,67,67,Justin Leonard,90,6.37,58,910,+0.155
67,68,68,Chris Riley,78,6.29,46,731,+0.283
68,69,69,D.J. Brigman,79,6.24,59,946,+0.017
69,70,70,Tommy Armour III,87,6.21,66,1063,+0.136
70,71,71,Lee Janzen,84,6.2,60,968,+0.133
71,72,72,Cameron Beckman,99,6.19,74,1196,+0.257
72,73,73,Ken Duke,89,6.18,68,1100,+0.191
73,74,74,Dean Wilson,99,6.16,77,1251,+0.169
74,75,75,John Rollins,90,6.12,61,997,+0.230
75,T76,T76,Tom Carter,113,6.02,80,1328,+0.063
76,T76,T76,Scott McCarron,88,6.02,63,1046,+0.127
77,T78,T78,Bernhard Langer,59,6.01,35,582,+0.057
78,T78,T78,Davis Love III,85,6.01,51,849,+0.235
79,T78,T78,David Peoples,82,6.01,63,1049,+0.333
80,T81,T81,Mark Calcavecchia,79,6.0,49,816,+0.041
81,T81,T81,Brian Gay,96,6.0,73,1217,+0.164
82,83,83,Tom Pernice Jr.,103,5.99,71,1185,+0.113
83,84,84,Jay Haas,84,5.95,50,841,+0.180
84,85,85,Bo Van Pelt,107,5.94,67,1127,+0.030
85,86,86,Carl Pettersson,100,5.93,64,1080,+0.109
86,87,87,Retief Goosen,56,5.91,33,558,-0.061
87,88,88,Shigeki Maruyama,93,5.9,64,1084,+0.250
88,89,89,Jonathan Byrd,85,5.89,59,1002,+0.220
89,90,90,John Huston,62,5.88,37,629,+0.216
90,91,91,José Coceres,68,5.85,49,837,+0.041
91,92,92,Mike Weir,75,5.83,45,772,+0.022
92,93,93,Ryan Palmer,103,5.82,72,1237,+0.083
93,94,94,Kevin Na,100,5.81,69,1187,+0.014
94,T95,T95,Charles Howell III,104,5.8,61,1052,E
95,T95,T95,Joey Sindelar,100,5.8,71,1225,-0.028
96,T97,T97,Greg Chalmers,70,5.79,52,898,+0.365
97,T97,T97,Geoff Ogilvy,91,5.79,60,1036,+0.267
98,99,99,Joe Durant,85,5.74,60,1046,-0.017
99,T100,T100,Robert Damron,92,5.73,66,1152,+0.106
100,T100,T100,Danny Ellis,81,5.73,54,942,+0.111
101,102,102,Jerry Kelly,113,5.72,69,1206,+0.087
102,T103,T103,Fred Funk,97,5.7,65,1141,+0.062
103,T103,T103,Brian Kortan,65,5.7,45,789,-0.067
104,T103,T103,J.L. Lewis,106,5.7,70,1228,+0.271
105,106,106,Daniel Chopra,108,5.65,72,1274,+0.167
106,T107,T107,Todd Fischer,104,5.59,71,1269,-0.070
107,T107,T107,David Morland IV,73,5.59,48,858,+0.250
108,109,109,Rocco Mediate,53,5.57,27,485,+0.296
109,110,110,Woody Austin,94,5.54,64,1155,+0.109
110,111,111,Bart Bryant,73,5.53,50,904,+0.140
111,T112,T112,K.J. Choi,83,5.51,48,871,+0.083
112,T112,T112,Jeff Sluman,98,5.51,62,1126,+0.129
113,T112,T112,Kevin Sutherland,86,5.51,51,925,+0.294
114,115,115,Guy Boros,64,5.49,44,802,+0.227
115,T116,T116,Russ Cochran,61,5.42,41,757,+0.024
116,T116,T116,Peter Lonard,68,5.42,41,756,+0.171
117,T118,T118,Arron Oberholser,77,5.4,46,852,-0.022
118,T118,T118,Rod Pampling,98,5.4,58,1075,+0.017
119,T120,T120,Steve Lowery,91,5.38,55,1023,+0.164
120,T120,T120,Brett Quigley,102,5.38,65,1209,+0.277
121,122,122,Brenden Pappas,111,5.36,73,1363,+0.110
122,123,123,Stewart Cink,103,5.35,59,1102,+0.203
123,124,124,Scott Hoch,52,5.34,34,637,+0.088
124,125,125,Niclas Fasth,61,5.33,38,713,+0.079
125,T126,T126,Bob Burns,88,5.31,57,1073,+0.123
126,T126,T126,Heath Slocum,92,5.31,61,1149,+0.082
127,T126,T126,Grant Waite,79,5.31,50,942,+0.440
128,129,129,Tiger Woods,78,5.25,40,762,+0.125
129,130,130,Billy Mayfair,109,5.22,67,1284,+0.119
130,131,131,Harrison Frazar,86,5.21,51,979,E
131,132,132,Stephen Ames,97,5.15,57,1106,+0.123
132,133,133,Notah Begay III,71,5.12,45,879,+0.156
133,134,134,Vaughn Taylor,84,5.1,54,1059,+0.259
134,135,135,Glen Day,101,5.09,62,1219,E
135,136,136,Jonathan Kaye,79,5.07,44,867,+0.318
136,T137,T137,Deane Pappas,72,5.03,44,875,+0.295
137,T137,T137,Dennis Paulson,71,5.03,46,914,+0.043
138,T137,T137,John Riegger,53,5.03,34,676,+0.088
139,140,140,Dudley Hart,60,5.02,32,637,+0.250
140,141,141,Tim Herron,84,4.99,46,921,+0.348
141,T142,T142,Neal Lancaster,106,4.97,64,1288,+0.281
142,T142,T142,Andre Stolz,53,4.97,33,664,+0.273
143,144,144,Arjun Atwal,85,4.94,51,1032,+0.157
144,145,145,Tag Ridings,53,4.91,30,611,+0.200
145,146,146,Kenny Perry,79,4.87,42,862,-0.048
