,Longest_Drives_RANK THIS WEEK,Longest_Drives_RANK LAST WEEK,Longest_Drives_PLAYER NAME,Longest_Drives_ROUNDS,Longest_Drives_DISTANCE,Longest_Drives_TOURNAMENT,Longest_Drives_ROUND,Longest_Drives_HOLE,Longest_Drives_COURSE
0,1,1,Davis Love III,85,476,Mercedes Championships,4,18,656
1,2,2,Rory Sabbatini,89,448,Mercedes Championships,4,18,656
2,3,3,Darren Clarke,54,446,Mercedes Championships,4,18,656
3,4,4,Lucas Glover,95,436,Valero Texas Open,4,11,625
4,5,5,Stuart Appleby,84,433,Mercedes Championships,4,18,656
5,T6,T6,Ernie Els,62,429,Mercedes Championships,4,18,656
6,T6,T6,Victor Schwamkrug,2,429,Shell Houston Open,2,12,699
7,8,T6,Ernie Els,62,427,Mercedes Championships,3,18,656
8,9,9,Chad Campbell,100,426,Mercedes Championships,3,18,656
9,10,10,Tiger Woods,78,425,Mercedes Championships,4,18,656
10,11,3,Darren Clarke,54,423,Mercedes Championships,1,18,656
11,T12,9,Chad Campbell,100,422,Mercedes Championships,4,6,656
12,T12,T12,Bill Haas,38,422,Reno-Tahoe Open,3,9,660
13,T14,T14,J.L. Lewis,106,421,Mercedes Championships,4,6,656
14,T14,T14,Jonathan Kaye,79,421,Mercedes Championships,2,6,656
15,T16,T16,Tommy Armour III,87,420,Mercedes Championships,3,6,656
16,T16,T16,Kenny Perry,79,420,Mercedes Championships,3,6,656
17,T16,T16,Mike Weir,75,420,Mercedes Championships,4,6,656
18,T16,T16,Shigeki Maruyama,93,420,Mercedes Championships,4,18,656
19,T20,T20,Shaun Micheel,93,419,Mercedes Championships,4,18,656
20,T20,3,Darren Clarke,54,419,Mercedes Championships,3,6,656
21,T20,5,Stuart Appleby,84,419,Mercedes Championships,3,18,656
22,T23,T14,J.L. Lewis,106,418,Mercedes Championships,4,18,656
23,T23,T14,Jonathan Kaye,79,418,Mercedes Championships,4,18,656
24,25,25,Vijay Singh,112,417,Mercedes Championships,3,6,656
25,T26,T26,Fred Couples,54,416,Mercedes Championships,1,18,656
26,T26,T26,Peter Jacobsen,31,416,Mercedes Championships,1,18,656
27,T26,T26,Craig Stadler,20,416,Mercedes Championships,4,18,656
