,Left_Rough_Tendency_RTP_Score_RANK THIS WEEK,Left_Rough_Tendency_RTP_Score_RANK LAST WEEK,Left_Rough_Tendency_RTP_Score_PLAYER NAME,Left_Rough_Tendency_RTP_Score_ROUNDS,Left_Rough_Tendency_RTP_Score_RTP SCORE
0,1,1,Scott McCarron,88,-.082
1,2,2,Tiger Woods,78,-.073
2,3,3,Tom Lehman,70,-.062
3,T4,T4,Hank Kuehne,91,-.039
4,T4,T4,Justin Rose,77,-.039
5,6,6,Vijay Singh,112,-.034
6,7,7,Sergio Garcia,65,-.033
7,8,8,Tim Herron,84,-.013
8,9,9,John Huston,62,-.012
9,10,10,John Senden,99,-.006
10,T11,T11,Ben Curtis,56,E
11,T11,T11,Rory Sabbatini,89,E
12,13,13,Carlos Franco,99,+.005
13,14,14,Stephen Ames,97,+.007
14,15,15,Zach Johnson,109,+.008
15,T16,T16,Jonathan Byrd,85,+.010
16,T16,T16,Brad Faxon,94,+.010
17,T16,T16,Tag Ridings,53,+.010
18,19,19,David Toms,80,+.012
19,20,20,John Daly,79,+.013
20,21,21,Darren Clarke,54,+.018
21,22,22,Shigeki Maruyama,93,+.020
22,23,23,Stewart Cink,103,+.022
23,T24,T24,Russ Cochran,61,+.027
24,T24,T24,Dennis Paulson,71,+.027
25,26,26,Craig Parry,52,+.029
26,27,27,Scott Hoch,52,+.030
27,28,28,Neal Lancaster,106,+.032
28,T29,T29,Jerry Kelly,113,+.033
29,T29,T29,Ted Purdy,114,+.033
30,31,31,Brian Bateman,84,+.034
31,32,32,Todd Hamilton,92,+.036
32,33,33,Steve Flesch,109,+.039
33,34,34,Carl Pettersson,100,+.040
34,35,35,Ernie Els,62,+.041
35,T36,T36,Paul Azinger,75,+.045
36,T36,T36,Robert Gamez,103,+.045
37,38,38,Cameron Beckman,99,+.046
38,39,39,Justin Leonard,90,+.049
39,40,40,Matt Gogel,86,+.051
40,41,41,Davis Love III,85,+.055
41,42,42,Phil Mickelson,83,+.057
42,43,43,Scott Verplank,92,+.058
43,T44,T44,Tommy Tolles,67,+.059
44,T44,T44,Kirk Triplett,88,+.059
45,46,46,Retief Goosen,56,+.060
46,47,47,Joe Ogilvie,104,+.061
47,48,48,Craig Barlow,80,+.062
48,T49,T49,Robert Allenby,93,+.063
49,T49,T49,Arron Oberholser,77,+.063
50,51,51,Kenny Perry,79,+.064
51,T52,T52,Jay Haas,84,+.065
52,T52,T52,Adam Scott,55,+.065
53,54,54,Geoff Ogilvy,91,+.067
54,T55,T55,Stuart Appleby,84,+.068
55,T55,T55,Hunter Mahan,94,+.068
56,T57,T57,Jesper Parnevik,86,+.069
57,T57,T57,Brett Quigley,102,+.069
58,T59,T59,Pat Bates,99,+.071
59,T59,T59,Tim Petrovic,111,+.071
60,61,61,Alex Cejka,76,+.073
61,T62,T62,Joe Durant,85,+.074
62,T62,T62,Deane Pappas,72,+.074
63,64,64,Brenden Pappas,111,+.075
64,65,65,Ryan Palmer,103,+.076
65,66,66,Chris Smith,105,+.077
66,T67,T67,Ben Crane,92,+.078
67,T67,T67,Len Mattiace,75,+.078
68,T67,T67,Hidemichi Tanaka,89,+.078
69,T70,T70,Frank Lickliter II,89,+.079
70,T70,T70,Craig Perks,75,+.079
71,T70,T70,Duffy Waldorf,79,+.079
72,73,73,Chad Campbell,100,+.080
73,74,74,Lucas Glover,95,+.081
74,75,75,Lee Janzen,84,+.082
75,T76,T76,Fred Funk,97,+.083
76,T76,T76,Mathias Grönberg,91,+.083
77,T78,T78,Aaron Baddeley,87,+.085
78,T78,T78,Kevin Na,100,+.085
79,80,80,Daniel Chopra,108,+.086
80,81,81,Robert Damron,92,+.087
81,82,82,Steve Allan,102,+.088
82,83,83,Bo Van Pelt,107,+.090
83,84,84,Joey Sindelar,100,+.091
84,85,85,Pat Perez,102,+.092
85,86,86,Charles Howell III,104,+.098
86,87,87,Brent Geiberger,94,+.099
87,88,88,Bernhard Langer,59,+.101
88,89,89,Billy Andrade,104,+.102
89,T90,T90,Michael Allen,87,+.104
90,T90,T90,Bob Tway,90,+.104
91,T92,T92,Skip Kendall,99,+.105
92,T92,T92,Omar Uresti,85,+.105
93,T94,T94,Spike McRoy,93,+.106
94,T94,T94,Roland Thatcher,66,+.106
95,T96,T96,Tom Carter,113,+.107
96,T96,T96,Tom Pernice Jr.,103,+.107
97,T98,T98,Tim Clark,84,+.114
98,T98,T98,Corey Pavin,83,+.114
99,T98,T98,Mark Wilson,62,+.114
100,101,101,Chris DiMarco,105,+.115
101,T102,T102,Dudley Hart,60,+.116
102,T102,T102,J.P. Hayes,79,+.116
103,104,104,Freddie Jacobson,83,+.117
104,T105,T105,Dan Olsen,75,+.119
105,T105,T105,Nick Price,51,+.119
106,T105,T105,Steve Stricker,81,+.119
107,108,108,Jeff Sluman,98,+.120
108,109,109,Danny Briggs,85,+.121
109,T110,T110,Arjun Atwal,85,+.122
110,T110,T110,Mike Weir,75,+.122
111,112,112,José María Olazábal,56,+.123
112,113,113,Ken Duke,89,+.124
113,T114,T114,Rich Barcelo,67,+.125
114,T114,T114,Jason Dufner,79,+.125
115,T116,T116,Guy Boros,64,+.127
116,T116,T116,J.J. Henry,103,+.127
117,118,118,Briny Baird,100,+.129
118,119,119,Steve Pate,71,+.130
119,120,120,Woody Austin,94,+.132
120,121,121,Jay Delsing,76,+.133
121,122,122,Blaine McCallister,68,+.135
122,T123,T123,Glen Day,101,+.137
123,T123,T123,Danny Ellis,81,+.137
124,T123,T123,Peter Lonard,68,+.137
125,T126,T126,Brian Gay,96,+.138
126,T126,T126,Roger Tambellini,81,+.138
127,T128,T128,Scott Hend,81,+.140
128,T128,T128,Rocco Mediate,53,+.140
129,130,130,J.L. Lewis,106,+.141
130,131,131,Greg Chalmers,70,+.144
131,132,132,Matt Kuchar,83,+.145
132,T133,T133,Tom Byrum,83,+.149
133,T133,T133,José Coceres,68,+.149
134,T133,T133,John Rollins,90,+.149
135,136,136,Kevin Sutherland,86,+.151
136,137,137,Bart Bryant,73,+.152
137,138,138,Harrison Frazar,86,+.156
138,139,139,John Riegger,53,+.157
139,140,140,Mark Calcavecchia,79,+.165
140,141,141,Grant Waite,79,+.167
141,142,142,Rich Beem,81,+.168
142,T143,T143,Mark O'Meara,58,+.169
143,T143,T143,Jay Williamson,100,+.169
144,145,145,Tommy Armour III,87,+.171
145,146,146,Mark Hensby,97,+.173
146,T147,T147,D.J. Brigman,79,+.174
147,T147,T147,Steve Lowery,91,+.174
148,149,149,Bob Estes,73,+.175
149,T150,T150,David Peoples,82,+.177
150,T150,T150,Gene Sauers,83,+.177
151,152,152,Todd Fischer,104,+.179
152,153,153,Dean Wilson,99,+.180
153,154,154,Jason Bohn,98,+.182
154,155,155,Cliff Kresge,89,+.184
155,T156,T156,Dan Forsman,79,+.185
156,T156,T156,Brian Kortan,65,+.185
157,T158,T158,Fred Couples,54,+.187
158,T158,T158,Jeff Maggert,60,+.187
159,160,160,David Frost,78,+.188
160,161,161,Scott Simpson,55,+.189
161,162,162,Shaun Micheel,93,+.190
162,T163,T163,Mike Heinen,53,+.200
163,T163,T163,Jonathan Kaye,79,+.200
164,T163,T163,Chris Riley,78,+.200
165,166,166,Heath Slocum,92,+.204
166,167,167,Luke Donald,72,+.206
167,168,168,Notah Begay III,71,+.209
168,T169,T169,Niclas Fasth,61,+.210
169,T169,T169,Patrick Sheehan,113,+.210
170,T169,T169,Andre Stolz,53,+.210
171,172,172,Rod Pampling,98,+.213
172,173,173,Kris Cox,73,+.217
173,174,174,Olin Browne,92,+.221
174,175,175,Steve Elkington,64,+.222
175,176,176,Kent Jones,99,+.226
176,177,177,David Branshaw,84,+.227
177,178,178,Loren Roberts,81,+.230
178,179,179,Dicky Pride,66,+.231
179,180,180,K.J. Choi,83,+.236
180,181,181,Stephen Leaney,84,+.242
181,182,182,Esteban Toledo,92,+.245
182,183,183,Jeff Brehaut,106,+.248
183,184,184,John Cook,57,+.250
184,185,185,Vaughn Taylor,84,+.254
185,186,186,David Gossett,57,+.267
186,187,187,Billy Mayfair,109,+.275
187,188,188,David Morland IV,73,+.282
188,189,189,Craig Bowden,83,+.284
189,190,190,Bob Burns,88,+.297
190,191,191,Chris Couch,55,+.300
191,192,192,Richard Johnson,102,+.303
192,193,193,Tripp Isenhour,55,+.304
193,194,194,Kevin Muncrief,50,+.309
194,195,195,Mark Brooks,72,+.370
195,196,196,Hirofumi Miyase,65,+.426
