,Rough_Tendency_RANK THIS WEEK,Rough_Tendency_RANK LAST WEEK,Rough_Tendency_PLAYER NAME,Rough_Tendency_ROUNDS,Rough_Tendency_%,Rough_Tendency_TOTAL ROUGH,Rough_Tendency_POSSIBLE FWYS,Rough_Tendency_RELATIVE TO PAR
0,1,1,Scott Verplank,92,13.79,144,1044,0.49
1,2,2,Fred Funk,97,16.19,198,1223,1.31
2,3,3,Rocco Mediate,53,17.87,104,582,1.92
3,4,4,John Cook,57,17.91,132,737,2.8
4,5,5,Joe Durant,85,18.32,211,1152,0.81
5,6,6,Omar Uresti,85,18.46,209,1132,1.34
6,7,7,Tom Byrum,83,18.62,194,1042,1.8
7,8,8,Kirk Triplett,88,18.96,190,1002,1.37
8,9,9,Duffy Waldorf,79,19.31,180,932,1.06
9,10,10,Craig Bowden,83,19.33,213,1102,2.21
10,11,11,José Coceres,68,19.35,173,894,1.39
11,12,12,Billy Mayfair,109,19.62,276,1407,2.28
12,13,13,Zach Johnson,109,19.73,262,1328,0.99
13,14,14,Olin Browne,92,19.8,237,1197,2.45
14,15,15,Jeff Brehaut,106,19.92,283,1421,1.98
15,16,16,Matt Gogel,86,19.94,212,1063,1.46
16,17,17,Jerry Kelly,113,20.02,259,1294,0.85
17,18,18,Bart Bryant,73,20.04,192,958,1.25
18,19,19,Corey Pavin,83,20.08,204,1016,1.27
19,20,20,Arron Oberholser,77,20.45,191,934,0.94
20,21,21,Heath Slocum,92,20.46,251,1227,1.55
21,22,22,Tim Clark,84,20.54,212,1032,0.8
22,23,23,John Rollins,90,20.59,222,1078,1.49
23,24,24,Nick Price,51,20.68,110,532,1.0
24,25,25,David Morland IV,73,20.77,200,963,2.25
25,26,26,Kevin Sutherland,86,20.8,218,1048,1.56
26,27,27,Craig Barlow,80,20.87,221,1059,1.22
27,28,28,Robert Damron,92,20.97,263,1254,1.67
28,29,29,Hidemichi Tanaka,89,21.01,237,1128,1.27
29,T30,T30,Kent Jones,99,21.14,279,1320,2.44
30,T30,T30,Tom Pernice Jr.,103,21.14,274,1296,0.91
31,T30,T30,Scott Simpson,55,21.14,156,738,1.99
32,33,33,Mark Wilson,62,21.17,177,836,1.58
33,34,34,Chris DiMarco,105,21.27,244,1147,1.52
34,35,35,Mark Calcavecchia,79,21.34,198,928,1.52
35,36,36,John Huston,62,21.49,156,726,0.77
36,37,37,Tom Lehman,70,21.54,187,868,0.75
37,38,38,Ted Purdy,114,21.65,326,1506,0.71
38,T39,T39,Steve Elkington,64,21.83,179,820,1.23
39,T39,T39,Hirofumi Miyase,65,21.83,186,852,3.98
40,41,41,Jeff Sluman,98,21.84,270,1236,1.07
41,42,42,Spike McRoy,93,21.86,258,1180,1.16
42,43,43,Len Mattiace,75,21.89,222,1014,1.04
43,44,44,Kevin Na,100,21.98,287,1306,0.94
44,45,45,David Branshaw,84,22.11,247,1117,2.06
45,46,46,J.P. Hayes,79,22.14,219,989,1.83
46,47,47,Pat Bates,99,22.21,300,1351,1.0
47,48,48,Mark Brooks,72,22.26,199,894,3.77
48,49,49,Notah Begay III,71,22.27,208,934,1.44
49,50,50,Glen Day,101,22.31,295,1322,1.53
50,T51,T51,Jeff Maggert,60,22.39,163,728,1.72
51,T51,T51,Jay Williamson,100,22.39,305,1362,1.51
52,53,53,Jonathan Kaye,79,22.4,213,951,2.11
53,54,54,Steve Pate,71,22.53,210,932,1.14
54,55,55,Justin Leonard,90,22.58,224,992,0.49
55,56,56,Skip Kendall,99,22.6,273,1208,1.47
56,57,57,Bob Burns,88,22.67,272,1200,1.84
57,58,58,Richard Johnson,102,22.77,317,1392,1.86
58,59,59,Mark Hensby,97,22.8,277,1215,1.73
59,60,60,Esteban Toledo,92,22.82,280,1227,2.39
60,61,61,Mark O'Meara,58,22.9,147,642,1.7
61,T62,T62,Steve Flesch,109,22.92,286,1248,0.24
62,T62,T62,Loren Roberts,81,22.92,232,1012,2.03
63,64,64,Scott Hoch,52,22.98,148,644,0.88
64,65,65,Dudley Hart,60,23.18,175,755,1.03
65,66,66,Briny Baird,100,23.21,288,1241,1.18
66,67,67,Robert Gamez,103,23.26,314,1350,0.76
67,68,68,Bob Estes,73,23.28,190,816,1.0
68,T69,T69,Phil Mickelson,83,23.29,198,850,0.56
69,T69,T69,Gene Sauers,83,23.29,263,1129,1.67
70,71,71,Bo Van Pelt,107,23.42,293,1251,0.85
71,72,72,Mike Weir,75,23.73,196,826,0.66
72,73,73,Frank Lickliter II,89,23.76,269,1132,0.59
73,74,74,Alex Cejka,76,23.83,199,835,0.95
74,75,75,J.J. Henry,103,23.85,322,1350,1.55
75,76,76,Cliff Kresge,89,23.9,276,1155,1.63
76,77,77,Matt Kuchar,83,23.98,270,1126,1.48
77,78,78,J.L. Lewis,106,23.99,321,1338,1.37
78,79,79,Dicky Pride,66,24.06,205,852,2.05
79,80,80,Dean Wilson,99,24.13,332,1376,1.63
80,81,81,Dan Forsman,79,24.14,245,1015,1.43
81,82,82,Ben Curtis,56,24.16,143,592,0.56
82,83,83,Danny Ellis,81,24.21,260,1074,1.27
83,84,84,Pat Perez,102,24.22,318,1313,0.97
84,T85,T85,Stephen Leaney,84,24.43,214,876,2.06
85,T85,T85,Scott McCarron,88,24.43,279,1142,0.75
86,87,87,Bernhard Langer,59,24.54,160,652,1.06
87,88,88,Guy Boros,64,24.57,213,867,1.36
88,89,89,Ryan Palmer,103,24.65,336,1363,1.01
89,90,90,Luke Donald,72,24.67,221,896,1.49
90,91,91,Lee Janzen,84,24.86,270,1086,1.3
91,92,92,Shigeki Maruyama,93,24.91,280,1124,0.36
92,T93,T93,Brian Bateman,84,24.95,264,1058,0.87
93,T93,T93,Harrison Frazar,86,24.95,270,1082,1.0
94,95,95,John Senden,99,24.96,321,1286,0.56
95,96,96,Cameron Beckman,99,25.0,327,1308,0.83
96,97,97,Brent Geiberger,94,25.02,317,1267,0.54
97,98,98,Bob Tway,90,25.05,250,998,1.64
98,99,99,Ben Crane,92,25.08,309,1232,1.1
99,100,100,David Toms,80,25.12,210,836,0.76
100,101,101,Chad Campbell,100,25.17,292,1160,1.34
101,102,102,Justin Rose,77,25.22,225,892,-0.8
102,103,103,Jason Dufner,79,25.23,271,1074,1.03
103,104,104,Kenny Perry,79,25.27,232,918,0.73
104,105,105,Robert Allenby,93,25.28,268,1060,1.16
105,106,106,Russ Cochran,61,25.3,209,826,1.05
106,107,107,Lucas Glover,95,25.32,314,1240,1.24
107,108,108,D.J. Brigman,79,25.34,262,1034,0.99
108,109,109,Jason Bohn,98,25.35,329,1298,1.61
109,110,110,Joey Sindelar,100,25.36,332,1309,1.14
110,111,111,Charles Howell III,104,25.41,294,1157,1.05
111,T112,T112,Stephen Ames,97,25.42,301,1184,0.93
112,T112,T112,Chris Riley,78,25.42,212,834,1.23
113,114,114,Jay Haas,84,25.44,230,904,0.52
114,115,115,Joe Ogilvie,104,25.53,328,1285,0.61
115,116,116,Tim Petrovic,111,25.57,339,1326,1.06
116,117,117,Geoff Ogilvy,91,25.61,296,1156,0.64
117,118,118,Brian Gay,96,25.63,328,1280,1.59
118,T119,T119,Rich Beem,81,25.67,239,931,1.3
119,T119,T119,Vaughn Taylor,84,25.67,286,1114,1.82
120,121,121,Peter Lonard,68,25.7,201,782,1.44
121,122,122,Craig Parry,52,25.76,136,528,1.54
122,123,123,Shaun Micheel,93,25.81,271,1050,1.55
123,124,124,Roland Thatcher,66,25.84,231,894,1.17
124,125,125,Danny Briggs,85,25.86,285,1102,0.77
125,126,126,Stuart Appleby,84,25.98,233,897,0.56
126,127,127,Jonathan Byrd,85,26.1,272,1042,0.55
127,128,128,David Frost,78,26.15,284,1086,2.01
128,129,129,Jay Delsing,76,26.19,259,989,1.62
129,130,130,Billy Andrade,104,26.22,365,1392,1.01
130,131,131,Tripp Isenhour,55,26.25,179,682,2.46
131,132,132,Patrick Sheehan,113,26.3,384,1460,1.38
132,133,133,Blaine McCallister,68,26.36,243,922,1.98
133,134,134,Hunter Mahan,94,26.38,324,1228,1.3
134,135,135,Woody Austin,94,26.51,325,1226,1.05
135,136,136,Darren Clarke,54,26.57,135,508,0.3
136,137,137,Kris Cox,73,26.6,241,906,2.07
137,138,138,Brian Kortan,65,26.73,224,838,2.1
138,139,139,Mathias Grönberg,91,26.81,303,1130,0.56
139,140,140,Carl Pettersson,100,26.82,325,1212,0.12
140,141,141,Chris Couch,55,26.83,198,738,2.78
141,142,142,David Peoples,82,26.95,301,1117,1.83
142,143,143,Chris Smith,105,26.97,380,1409,1.11
143,144,144,Tommy Armour III,87,27.05,314,1161,1.85
144,145,145,Grant Waite,79,27.15,284,1046,1.65
145,146,146,Deane Pappas,72,27.16,258,950,0.12
146,147,147,Greg Chalmers,70,27.17,257,946,1.6
147,148,148,Retief Goosen,56,27.33,164,600,0.3
148,149,149,Vijay Singh,112,27.48,354,1288,-0.17
149,150,150,Brad Faxon,94,27.56,280,1016,1.18
150,151,151,Jesper Parnevik,86,27.58,315,1142,0.51
151,T152,T152,Steve Allan,102,27.59,365,1323,0.66
152,T152,T152,Todd Fischer,104,27.59,384,1392,1.74
153,154,154,Michael Allen,87,27.74,329,1186,0.7
154,T155,T155,Arjun Atwal,85,27.81,307,1104,1.56
155,T155,T155,Mike Heinen,53,27.81,198,712,1.36
156,T155,T155,Rory Sabbatini,89,27.81,297,1068,-0.03
157,158,158,Niclas Fasth,61,27.85,210,754,1.52
158,159,159,Dennis Paulson,71,27.99,262,936,0.5
159,160,160,Tim Herron,84,28.01,277,989,0.58
160,161,161,Neal Lancaster,106,28.17,396,1406,0.63
161,162,162,Rod Pampling,98,28.21,330,1170,1.21
162,163,163,José María Olazábal,56,28.27,173,612,1.04
163,164,164,Paul Azinger,75,28.3,279,986,1.47
164,165,165,Ken Duke,89,28.37,337,1188,1.51
165,166,166,John Riegger,53,28.38,210,740,0.95
166,T167,T167,K.J. Choi,83,28.59,255,892,2.0
167,T167,T167,Kevin Muncrief,50,28.59,191,668,2.51
168,T167,T167,Tommy Tolles,67,28.59,259,906,1.47
169,170,170,Roger Tambellini,81,28.68,296,1032,1.45
170,171,171,Daniel Chopra,108,28.79,401,1393,0.67
171,172,172,Rich Barcelo,67,28.93,254,878,1.3
172,173,173,Sergio Garcia,65,28.98,211,728,0.19
173,174,174,Freddie Jacobson,83,29.01,275,948,0.73
174,175,175,Scott Hend,81,29.05,305,1050,0.89
175,176,176,Stewart Cink,103,29.19,338,1158,0.03
176,177,177,Andre Stolz,53,29.27,209,714,2.11
177,178,178,Steve Lowery,91,29.48,332,1126,1.27
178,179,179,Tag Ridings,53,29.73,198,666,0.91
179,180,180,Steve Stricker,81,29.99,317,1057,0.85
180,181,181,Fred Couples,54,30.0,186,620,1.51
181,182,182,Carlos Franco,99,30.28,400,1321,0.38
182,183,183,Brett Quigley,102,30.39,389,1280,0.64
183,184,184,Todd Hamilton,92,30.56,308,1008,1.17
184,185,185,Tom Carter,113,30.62,443,1447,0.93
185,186,186,Craig Perks,75,30.63,291,950,1.55
186,187,187,David Gossett,57,30.76,235,764,2.68
187,188,188,Davis Love III,85,31.19,267,856,0.41
188,189,189,Brenden Pappas,111,31.34,462,1474,0.61
189,190,190,Adam Scott,55,32.09,181,564,1.33
190,191,191,John Daly,79,32.35,330,1020,0.45
191,192,192,Hank Kuehne,91,32.73,398,1216,-0.2
192,193,193,Tiger Woods,78,32.74,258,788,-0.58
193,194,194,Dan Olsen,75,33.06,318,962,1.32
194,195,195,Aaron Baddeley,87,33.39,368,1102,1.41
195,196,196,Ernie Els,62,35.47,210,592,0.19
