,SG_Off-the-Tee_RANK THIS WEEK,SG_Off-the-Tee_RANK LAST WEEK,SG_Off-the-Tee_PLAYER NAME,SG_Off-the-Tee_ROUNDS,SG_Off-the-Tee_AVERAGE,SG_Off-the-Tee_TOTAL SG:OTT,SG_Off-the-Tee_MEASURED ROUNDS
0,1,1,Vijay Singh,112,0.87,77.441,89
1,2,2,Kenny Perry,79,0.73,45.277,62
2,3,3,Joe Durant,85,0.6920000000000001,52.602,76
3,4,4,Darren Clarke,54,0.626,21.905,35
4,5,5,Ernie Els,62,0.622,25.486,41
5,6,6,Sergio Garcia,65,0.606,30.295,50
6,7,7,Phil Mickelson,83,0.597,32.249,54
7,8,8,J.J. Henry,103,0.574,52.236000000000004,91
8,9,9,Zach Johnson,109,0.5670000000000001,50.42100000000001,89
9,10,10,Lucas Glover,95,0.564,47.407,84
10,11,11,Robert Allenby,93,0.541,38.919000000000004,72
11,12,12,Stuart Appleby,84,0.5379999999999999,31.724,59
12,13,13,Chris Smith,105,0.526,48.937,93
13,14,14,Bo Van Pelt,107,0.512,41.966,82
14,15,15,Davis Love III,85,0.491,29.936999999999998,61
15,16,16,John Daly,79,0.47700000000000004,31.941,67
16,17,17,Roland Thatcher,66,0.44799999999999995,27.311,61
17,18,18,Charles Howell III,104,0.428,32.551,76
18,19,19,Dennis Paulson,71,0.40399999999999997,26.642,66
19,20,20,Tom Lehman,70,0.392,22.748,58
20,21,21,Craig Barlow,80,0.38299999999999995,26.421999999999997,69
21,22,22,Woody Austin,94,0.381,31.663,83
22,23,23,Retief Goosen,56,0.379,15.155999999999999,40
23,24,24,Scott Hend,81,0.375,26.22,70
24,T25,T25,Jason Bohn,98,0.369,32.472,88
25,T25,T25,Ted Purdy,114,0.369,37.969,103
26,27,27,Peter Lonard,68,0.365,19.683,54
27,28,28,John Senden,99,0.35600000000000004,30.616999999999997,86
28,29,29,Pat Perez,102,0.32899999999999996,28.252,86
29,30,30,Frank Lickliter II,89,0.32799999999999996,25.592,78
30,T31,T31,Rory Sabbatini,89,0.321,23.785,74
31,T31,T31,Tiger Woods,78,0.321,17.355,54
32,33,33,Rich Beem,81,0.32,19.549,61
33,34,34,Scott Verplank,92,0.319,21.708000000000002,68
34,35,35,Geoff Ogilvy,91,0.305,23.17,76
35,36,36,Ryan Palmer,103,0.293,26.4,90
36,37,37,Jeff Brehaut,106,0.292,27.467,94
37,38,38,Justin Rose,77,0.28300000000000003,17.852999999999998,63
38,39,39,Joey Sindelar,100,0.281,25.041999999999998,89
39,40,40,Jonathan Kaye,79,0.278,17.218,62
40,41,41,Harrison Frazar,86,0.273,19.405,71
41,42,42,Jesper Parnevik,86,0.27,20.005,74
42,43,43,Steve Allan,102,0.24600000000000002,21.68,88
43,44,44,Arron Oberholser,77,0.243,15.058,62
44,45,45,Billy Mayfair,109,0.242,22.467,93
45,46,46,Kevin Sutherland,86,0.24100000000000002,16.154,67
46,47,47,Scott Hoch,52,0.237,10.895,46
47,T48,T48,Brian Bateman,84,0.23399999999999999,17.069000000000003,73
48,T48,T48,Fred Couples,54,0.23399999999999999,10.292,44
49,50,50,Mark Hensby,97,0.23199999999999998,19.048,82
50,51,51,Bart Bryant,73,0.226,14.707,65
51,52,52,Tim Herron,84,0.225,14.825999999999999,66
52,53,53,Chris Couch,55,0.22399999999999998,10.321,46
53,54,54,Stephen Ames,97,0.218,17.41,80
54,55,55,Briny Baird,100,0.21600000000000003,17.458,81
55,56,56,Mark Calcavecchia,79,0.212,12.702,60
56,57,57,Vaughn Taylor,84,0.207,15.922,77
57,58,58,John Huston,62,0.205,9.208,45
58,59,59,Jeff Sluman,98,0.19899999999999998,16.336,82
59,T60,T60,Notah Begay III,71,0.192,12.067,63
60,T60,T60,Kirk Triplett,88,0.192,12.672,66
61,T62,T62,Mathias Grönberg,91,0.187,13.800999999999998,74
62,T62,T62,Hunter Mahan,94,0.187,15.534,83
63,64,64,Tim Clark,84,0.184,13.052,71
64,T65,T65,Chad Campbell,100,0.183,14.075999999999999,77
65,T65,T65,Rod Pampling,98,0.183,14.258,78
66,T65,T65,John Rollins,90,0.183,13.173,72
67,68,68,Hank Kuehne,91,0.18100000000000002,15.214,84
68,69,69,Adam Scott,55,0.18,7.181,40
69,70,70,John Riegger,53,0.179,8.769,49
70,71,71,Ben Curtis,56,0.171,7.0120000000000005,41
71,72,72,Tommy Armour III,87,0.16699999999999998,12.727,76
72,T73,T73,Jeff Maggert,60,0.157,7.831,50
73,T73,T73,Duffy Waldorf,79,0.157,9.259,59
74,75,75,Joe Ogilvie,104,0.15,12.745999999999999,85
75,76,76,Tag Ridings,53,0.14800000000000002,6.644,45
76,77,77,Chris DiMarco,105,0.134,10.356,77
77,78,78,Brian Kortan,65,0.131,7.4670000000000005,57
78,T79,T79,Carlos Franco,99,0.13,11.657,90
79,T79,T79,Heath Slocum,92,0.13,10.783,83
80,81,81,Spike McRoy,93,0.127,9.762,77
81,82,82,Fred Funk,97,0.121,10.068999999999999,83
82,83,83,Alex Cejka,76,0.11900000000000001,6.763999999999999,57
83,84,84,Neal Lancaster,106,0.11800000000000001,11.009,93
84,T85,T85,D.J. Brigman,79,0.11699999999999999,8.084,69
85,T85,T85,Roger Tambellini,81,0.11699999999999999,8.203,70
86,87,87,Rocco Mediate,53,0.115,4.15,36
87,T88,T88,José Coceres,68,0.113,6.898,61
88,T88,T88,Hidemichi Tanaka,89,0.113,8.777999999999999,78
89,T88,T88,Jay Williamson,100,0.113,10.214,90
90,91,91,Robert Gamez,103,0.111,10.016,90
91,92,92,Jonathan Byrd,85,0.109,7.937,73
92,93,93,David Toms,80,0.102,6.032,59
93,94,94,J.L. Lewis,106,0.1,8.916,89
94,95,95,Carl Pettersson,100,0.098,7.772,79
95,96,96,Daniel Chopra,108,0.09699999999999999,8.922,92
96,97,97,Tom Pernice Jr.,103,0.096,8.267000000000001,86
97,98,98,Kevin Na,100,0.09,7.767,86
98,99,99,Jason Dufner,79,0.083,5.962000000000001,72
99,100,100,Jerry Kelly,113,0.081,7.135,88
100,101,101,Mike Heinen,53,0.079,4.016,51
101,102,102,Niclas Fasth,61,0.07200000000000001,3.7289999999999996,52
102,103,103,Dudley Hart,60,0.064,2.965,46
103,104,104,Matt Kuchar,83,0.059000000000000004,4.55,77
104,105,105,Danny Ellis,81,0.055,3.812,69
105,T106,T106,Olin Browne,92,0.054000000000000006,4.296,79
106,T106,T106,Robert Damron,92,0.054000000000000006,4.522,84
107,T106,T106,Steve Lowery,91,0.054000000000000006,3.964,74
108,T109,T109,Kent Jones,99,0.047,4.096,87
109,T109,T109,Scott McCarron,88,0.047,3.517,75
110,111,111,Luke Donald,72,0.044000000000000004,2.7260000000000004,62
111,112,112,Danny Briggs,85,0.043,3.233,75
112,113,113,Justin Leonard,90,0.035,2.2969999999999997,65
113,T114,T114,Cameron Beckman,99,0.028999999999999998,2.4930000000000003,87
114,T114,T114,Bernhard Langer,59,0.028999999999999998,1.226,42
115,116,116,Glen Day,101,0.027999999999999997,2.451,88
116,117,117,Tom Carter,113,0.021,2.035,96
117,118,118,Mark Wilson,62,0.018000000000000002,1.045,58
118,119,119,Shaun Micheel,93,0.017,1.198,70
119,120,120,Brett Quigley,102,0.013999999999999999,1.2,88
120,121,121,Arjun Atwal,85,0.013000000000000001,0.993,75
121,122,122,K.J. Choi,83,0.009000000000000001,0.5489999999999999,63
122,123,123,Skip Kendall,99,-0.001,-0.087,80
123,124,124,Matt Gogel,86,-0.006999999999999999,-0.514,70
124,125,125,Tim Petrovic,111,-0.018000000000000002,-1.588,87
125,126,126,Mike Weir,75,-0.028999999999999998,-1.6119999999999999,55
126,127,127,Kris Cox,73,-0.035,-2.16,61
127,128,128,Tom Byrum,83,-0.043,-3.1,72
128,129,129,Guy Boros,64,-0.045,-2.658,59
129,130,130,Steve Elkington,64,-0.047,-2.615,56
130,131,131,Russ Cochran,61,-0.051,-2.792,55
131,132,132,Steve Flesch,109,-0.066,-5.412000000000001,82
132,133,133,Brent Geiberger,94,-0.067,-5.593999999999999,84
133,134,134,Deane Pappas,72,-0.083,-5.341,64
134,135,135,Craig Bowden,83,-0.095,-7.145,75
135,136,136,Patrick Sheehan,113,-0.105,-10.52,100
136,137,137,Rich Barcelo,67,-0.107,-6.295,59
137,138,138,Stephen Leaney,84,-0.13,-7.381,57
138,139,139,Ben Crane,92,-0.132,-10.658,81
139,140,140,Craig Parry,52,-0.133,-4.913,37
140,141,141,Jay Haas,84,-0.134,-8.201,61
141,142,142,Stewart Cink,103,-0.14300000000000002,-11.297,79
142,143,143,J.P. Hayes,79,-0.162,-10.367,64
143,144,144,Lee Janzen,84,-0.16699999999999998,-11.663,70
144,145,145,Pat Bates,99,-0.183,-16.429000000000002,90
145,146,146,David Branshaw,84,-0.18600000000000003,-13.357000000000001,72
146,147,147,Blaine McCallister,68,-0.187,-11.588,62
147,148,148,Freddie Jacobson,83,-0.191,-12.025,63
148,149,149,Omar Uresti,85,-0.19399999999999998,-14.72,76
149,150,150,Shigeki Maruyama,93,-0.198,-15.419,78
150,151,151,Todd Hamilton,92,-0.19899999999999998,-13.931,70
151,152,152,Grant Waite,79,-0.21,-14.259,68
152,153,153,Jay Delsing,76,-0.21899999999999997,-14.015,64
153,154,154,Scott Simpson,55,-0.23399999999999999,-11.939,51
154,155,155,Chris Riley,78,-0.235,-12.437000000000001,53
155,156,156,Hirofumi Miyase,65,-0.243,-13.847000000000001,57
156,T157,T157,Tripp Isenhour,55,-0.245,-11.526,47
157,T157,T157,David Peoples,82,-0.245,-18.391,75
158,159,159,Bob Burns,88,-0.252,-19.623,78
159,160,160,Esteban Toledo,92,-0.261,-20.883000000000003,80
160,161,161,Bob Estes,73,-0.273,-13.912,51
161,162,162,Todd Fischer,104,-0.275,-25.271,92
162,163,163,Dean Wilson,99,-0.282,-25.651,91
163,164,164,Gene Sauers,83,-0.287,-20.945999999999998,73
164,165,165,Bob Tway,90,-0.289,-19.074,66
165,166,166,Nick Price,51,-0.301,-10.841,36
166,T167,T167,Dan Forsman,79,-0.304,-20.035999999999998,66
167,T167,T167,Richard Johnson,102,-0.304,-28.237,93
168,169,169,Len Mattiace,75,-0.306,-21.432,70
