,Right_Rough_Tendency_RTP_Score_RANK THIS WEEK,Right_Rough_Tendency_RTP_Score_RANK LAST WEEK,Right_Rough_Tendency_RTP_Score_PLAYER NAME,Right_Rough_Tendency_RTP_Score_ROUNDS,Right_Rough_Tendency_RTP_Score_RTP SCORE
0,1,1,Justin Rose,77,-.133
1,2,2,Deane Pappas,72,-.057
2,3,3,Tiger Woods,78,-.047
3,4,4,Mike Weir,75,-.012
4,5,5,Carl Pettersson,100,-.011
5,6,6,Stewart Cink,103,-.010
6,7,7,Rory Sabbatini,89,-.007
7,T8,T8,Ernie Els,62,E
8,T8,T8,Vijay Singh,112,E
9,10,10,Hank Kuehne,91,+.006
10,11,11,Steve Flesch,109,+.007
11,12,12,Retief Goosen,56,+.010
12,13,13,Brent Geiberger,94,+.017
13,14,14,Steve Elkington,64,+.022
14,15,15,Davis Love III,85,+.029
15,16,16,Mathias Grönberg,91,+.031
16,17,17,Jesper Parnevik,86,+.032
17,T18,T18,Danny Briggs,85,+.034
18,T18,T18,Freddie Jacobson,83,+.034
19,T20,T20,D.J. Brigman,79,+.035
20,T20,T20,Rod Pampling,98,+.035
21,T22,T22,Michael Allen,87,+.036
22,T22,T22,Richard Johnson,102,+.036
23,T24,T24,Darren Clarke,54,+.038
24,T24,T24,Frank Lickliter II,89,+.038
25,T26,T26,Tim Clark,84,+.041
26,T26,T26,Jay Haas,84,+.041
27,T28,T28,Stuart Appleby,84,+.043
28,T28,T28,Scott Verplank,92,+.043
29,30,30,Steve Allan,102,+.046
30,31,31,Brenden Pappas,111,+.047
31,T32,T32,Daniel Chopra,108,+.049
32,T32,T32,Harrison Frazar,86,+.049
33,T34,T34,Justin Leonard,90,+.050
34,T34,T34,John Riegger,53,+.050
35,36,36,Shigeki Maruyama,93,+.053
36,T37,T37,Phil Mickelson,83,+.054
37,T37,T37,Steve Stricker,81,+.054
38,39,39,Scott Hend,81,+.058
39,40,40,Sergio Garcia,65,+.059
40,41,41,Brett Quigley,102,+.060
41,42,42,Joe Ogilvie,104,+.061
42,43,43,Geoff Ogilvy,91,+.062
43,T44,T44,Bob Estes,73,+.063
44,T44,T44,Patrick Sheehan,113,+.063
45,46,46,Dennis Paulson,71,+.066
46,T47,T47,Bob Burns,88,+.067
47,T47,T47,Luke Donald,72,+.067
48,49,49,Chris Riley,78,+.071
49,50,50,John Daly,79,+.074
50,T51,T51,Carlos Franco,99,+.078
51,T51,T51,Mike Heinen,53,+.078
52,T51,T51,Nick Price,51,+.078
53,T54,T54,Tom Carter,113,+.080
54,T54,T54,Tom Pernice Jr.,103,+.080
55,T56,T56,Woody Austin,94,+.081
56,T56,T56,Jason Dufner,79,+.081
57,T56,T56,Bo Van Pelt,107,+.081
58,59,59,Jonathan Byrd,85,+.083
59,T60,T60,Joe Durant,85,+.085
60,T60,T60,Steve Lowery,91,+.085
61,T62,T62,José María Olazábal,56,+.087
62,T62,T62,Kenny Perry,79,+.087
63,64,64,Dudley Hart,60,+.090
64,65,65,Dan Forsman,79,+.091
65,66,66,Neal Lancaster,106,+.092
66,67,67,Notah Begay III,71,+.094
67,T68,T68,Niclas Fasth,61,+.095
68,T68,T68,Jeff Sluman,98,+.095
69,70,70,Rich Beem,81,+.098
70,T71,T71,Bart Bryant,73,+.100
71,T71,T71,Ben Curtis,56,+.100
72,73,73,Billy Andrade,104,+.101
73,74,74,Steve Pate,71,+.102
74,T75,T75,Kevin Na,100,+.103
75,T75,T75,Pat Perez,102,+.103
76,T75,T75,Ted Purdy,114,+.103
77,78,78,Briny Baird,100,+.106
78,79,79,Robert Gamez,103,+.108
79,T80,T80,Charles Howell III,104,+.111
80,T80,T80,Vaughn Taylor,84,+.111
81,82,82,Danny Ellis,81,+.112
82,83,83,Bernhard Langer,59,+.113
83,84,84,Cameron Beckman,99,+.114
84,T85,T85,Ryan Palmer,103,+.117
85,T85,T85,John Senden,99,+.117
86,T85,T85,David Toms,80,+.117
87,T88,T88,Alex Cejka,76,+.124
88,T88,T88,Shaun Micheel,93,+.124
89,T88,T88,Heath Slocum,92,+.124
90,T91,T91,Fred Couples,54,+.126
91,T91,T91,Spike McRoy,93,+.126
92,93,93,Roland Thatcher,66,+.127
