,Left_Rough_Tendency_RANK THIS WEEK,Left_Rough_Tendency_RANK LAST WEEK,Left_Rough_Tendency_PLAYER NAME,Left_Rough_Tendency_ROUNDS,Left_Rough_Tendency_%,Left_Rough_Tendency_TOTAL LEFT ROUGH,Left_Rough_Tendency_POSSIBLE FWYS,Left_Rough_Tendency_RELATIVE TO PAR
0,1,1,Scott Verplank,92,4.98,52,1044,+0.06
1,2,2,Craig Parry,52,6.63,35,528,+0.03
2,3,3,Joe Durant,85,7.03,81,1152,+0.07
3,4,4,Tom Byrum,83,7.1,74,1042,+0.15
4,5,5,Billy Mayfair,109,7.25,102,1407,+0.27
5,6,6,Rocco Mediate,53,7.39,43,582,+0.14
6,7,7,Matt Gogel,86,7.43,79,1063,+0.05
7,8,8,Tom Lehman,70,7.49,65,868,-0.06
8,9,9,Bob Estes,73,7.72,63,816,+0.17
9,10,10,Heath Slocum,92,7.99,98,1227,+0.20
10,11,11,Kirk Triplett,88,8.48,85,1002,+0.06
11,12,12,Loren Roberts,81,8.6,87,1012,+0.23
12,13,13,Craig Bowden,83,8.62,95,1102,+0.28
13,14,14,Tom Pernice Jr.,103,8.64,112,1296,+0.11
14,15,15,Corey Pavin,83,8.66,88,1016,+0.11
15,T16,T16,Fred Funk,97,8.83,108,1223,+0.08
16,T16,T16,David Morland IV,73,8.83,85,963,+0.28
17,18,18,Dicky Pride,66,9.15,78,852,+0.23
18,19,19,Craig Barlow,80,9.16,97,1059,+0.06
19,20,20,John Cook,57,9.23,68,737,+0.25
20,21,21,Zach Johnson,109,9.26,123,1328,+0.01
21,22,22,Omar Uresti,85,9.28,105,1132,+0.10
22,23,23,Jerry Kelly,113,9.51,123,1294,+0.03
23,24,24,Duffy Waldorf,79,9.55,89,932,+0.08
24,25,25,Bart Bryant,73,9.6,92,958,+0.15
25,T26,T26,J.P. Hayes,79,9.61,95,989,+0.12
26,T26,T26,Ryan Palmer,103,9.61,131,1363,+0.08
27,28,28,Scott McCarron,88,9.63,110,1142,-0.08
28,29,29,Jeff Brehaut,106,9.64,137,1421,+0.25
29,30,30,José Coceres,68,9.73,87,894,+0.15
30,31,31,Notah Begay III,71,9.74,91,934,+0.21
31,T32,T32,Mark Calcavecchia,79,9.81,91,928,+0.16
32,T32,T32,David Toms,80,9.81,82,836,+0.01
