,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_4s_RANK THIS WEEK,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_4s_RANK LAST WEEK,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_4s_PLAYER NAME,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_4s_ROUNDS,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_4s_AVG (%),Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_4s_TOTAL SHOT DISTANCE,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_4s_TOTAL DISTANCE
0,1,1,Scott Hend,81,69.75,216339.8,310166
1,2,2,Hank Kuehne,91,69.33,258790.7,373280
2,3,3,Tag Ridings,53,68.72,131559.3,191436
3,4,4,John Daly,79,68.47,206277.9,301255
4,5,5,Vijay Singh,112,68.46,263369.0,384688
5,6,6,Chris Couch,55,68.44,138706.9,202655
6,7,7,Lucas Glover,95,68.31,251939.4,368820
7,8,8,Chris Smith,105,68.24,274362.2,402061
8,9,9,Roland Thatcher,66,68.04,181026.2,266076
9,10,10,Mike Heinen,53,67.95,151739.4,223299
10,11,11,Steve Allan,102,67.75,259927.8,383681
11,12,12,J.J. Henry,103,67.54,272705.3,403794
12,13,13,Brenden Pappas,111,67.39,291460.0,432525
13,14,14,Craig Barlow,80,67.38,204792.7,303925
14,T15,T15,Deane Pappas,72,67.3,187977.7,279333
15,T15,T15,Dennis Paulson,71,67.3,196054.5,291329
16,T17,T17,Daniel Chopra,108,67.19,271752.6,404434
17,T17,T17,Hunter Mahan,94,67.19,246410.5,366747
18,19,19,Kris Cox,73,67.13,181349.5,270133
19,20,20,Rich Beem,81,67.09,180420.0,268909
20,21,21,Dan Olsen,75,67.07,188068.9,280416
21,22,22,Phil Mickelson,83,67.0,161674.9,241314
22,23,23,Neal Lancaster,106,66.98,272809.1,407308
23,24,24,Vaughn Taylor,84,66.92,225390.2,336787
24,25,25,Kenny Perry,79,66.91,174266.8,260460
25,26,26,Harrison Frazar,86,66.89,206397.5,308543
26,27,27,Ryan Palmer,103,66.82,263069.1,393695
27,28,28,Jason Dufner,79,66.81,212605.8,318209
28,29,29,Woody Austin,94,66.79,244800.8,366501
29,30,30,Jason Bohn,98,66.78,259778.4,388988
30,T31,T31,Rich Barcelo,67,66.71,175011.4,262342
31,T31,T31,Roger Tambellini,81,66.71,204715.8,306857
32,33,33,John Senden,99,66.68,256269.6,384318
33,34,34,Geoff Ogilvy,91,66.67,216231.6,324346
34,T35,T35,Fred Couples,54,66.58,119573.1,179590
35,T35,T35,Rod Pampling,98,66.58,230364.0,345975
36,T35,T35,Pat Perez,102,66.58,256502.8,385250
37,T38,T38,Jonathan Byrd,85,66.56,216026.3,324555
38,T38,T38,Rory Sabbatini,89,66.56,211784.3,318185
39,40,40,Andre Stolz,53,66.55,143330.8,215389
40,41,41,Sergio Garcia,65,66.52,154312.4,231995
41,42,42,Ernie Els,62,66.51,115724.5,173988
