,Hit_Fairway_Percentage_RANK THIS WEEK,Hit_Fairway_Percentage_RANK LAST WEEK,Hit_Fairway_Percentage_PLAYER NAME,Hit_Fairway_Percentage_ROUNDS,Hit_Fairway_Percentage_%,Hit_Fairway_Percentage_FAIRWAYS HIT,Hit_Fairway_Percentage_POSSIBLE FAIRWAYS,Hit_Fairway_Percentage_RELATIVE TO PAR
0,1,1,Scott Verplank,92,79.41,829,1044,-0.18
1,2,2,Fred Funk,97,78.0,954,1223,-0.13
2,3,3,Craig Bowden,83,76.59,844,1102,-0.07
3,4,4,Tom Byrum,83,76.1,793,1042,-0.13
4,5,5,Joe Durant,85,75.26,867,1152,-0.15
5,6,6,José Coceres,68,74.38,665,894,-0.16
6,7,7,Bart Bryant,73,74.32,712,958,-0.13
7,8,8,Omar Uresti,85,74.03,838,1132,-0.12
8,9,9,Hidemichi Tanaka,89,74.02,835,1128,-0.1
9,10,10,Olin Browne,92,73.77,883,1197,-0.18
10,11,11,John Cook,57,73.54,542,737,-0.13
11,12,12,Tim Clark,84,73.35,757,1032,-0.14
12,13,13,Kirk Triplett,88,73.15,733,1002,-0.2
13,14,14,Zach Johnson,109,73.04,970,1328,-0.17
14,15,15,Mark Wilson,62,72.73,608,836,-0.14
15,16,16,Corey Pavin,83,72.64,738,1016,-0.13
16,T17,T17,Jeff Brehaut,106,71.64,1018,1421,-0.12
17,T17,T17,Heath Slocum,92,71.64,879,1227,-0.11
18,19,19,Tom Lehman,70,71.2,618,868,-0.22
19,20,20,Jerry Kelly,113,71.1,920,1294,-0.18
20,21,21,Hirofumi Miyase,65,71.01,605,852,-0.05
21,22,22,Rocco Mediate,53,70.96,413,582,-0.17
22,23,23,Billy Mayfair,109,70.79,996,1407,-0.13
23,24,24,Scott Simpson,55,70.73,522,738,-0.06
24,25,25,Scott Hoch,52,70.65,455,644,-0.17
25,26,26,Ted Purdy,114,70.52,1062,1506,-0.18
26,27,27,Chris DiMarco,105,70.36,807,1147,-0.18
27,28,28,Duffy Waldorf,79,70.06,653,932,-0.19
28,29,29,Pat Bates,99,70.02,946,1351,-0.1
29,30,30,Robert Damron,92,69.94,877,1254,-0.13
30,31,31,Skip Kendall,99,69.87,844,1208,-0.16
31,32,32,David Morland IV,73,69.78,672,963,-0.09
32,33,33,Kent Jones,99,69.77,921,1320,-0.2
33,34,34,Loren Roberts,81,69.76,706,1012,-0.19
34,T35,T35,Luke Donald,72,69.64,624,896,-0.16
35,T35,T35,Jeff Maggert,60,69.64,507,728,-0.18
36,37,37,Notah Begay III,71,69.59,650,934,-0.13
37,38,38,John Rollins,90,69.39,748,1078,-0.15
38,39,39,Jay Williamson,100,69.38,945,1362,-0.12
39,40,40,Arron Oberholser,77,69.27,647,934,-0.14
40,41,41,Spike McRoy,93,69.24,817,1180,-0.1
41,42,42,Kevin Na,100,69.22,904,1306,-0.15
42,43,43,Matt Gogel,86,69.05,734,1063,-0.18
43,44,44,Richard Johnson,102,69.04,961,1392,-0.16
44,45,45,Nick Price,51,68.98,367,532,-0.13
45,46,46,Jeff Sluman,98,68.69,849,1236,-0.18
46,47,47,Steve Elkington,64,68.41,561,820,-0.1
47,48,48,Justin Leonard,90,68.35,678,992,-0.17
48,49,49,Tom Pernice Jr.,103,68.29,885,1296,-0.16
49,50,50,Mark Hensby,97,68.23,829,1215,-0.18
50,51,51,Mark O'Meara,58,68.22,438,642,-0.11
51,52,52,Esteban Toledo,92,68.05,835,1227,-0.09
52,53,53,Craig Barlow,80,67.99,720,1059,-0.19
53,54,54,Dicky Pride,66,67.96,579,852,-0.08
54,55,55,Mark Brooks,72,67.79,606,894,-0.09
55,56,56,Kevin Sutherland,86,67.75,710,1048,-0.15
56,57,57,J.P. Hayes,79,67.54,668,989,-0.12
57,58,58,Bob Burns,88,67.25,807,1200,-0.12
58,59,59,Frank Lickliter II,89,67.23,761,1132,-0.14
59,60,60,John Huston,62,67.22,488,726,-0.15
