,Missed_Fairway_Percent_-_Other_RANK THIS WEEK,Missed_Fairway_Percent_-_Other_RANK LAST WEEK,Missed_Fairway_Percent_-_Other_PLAYER NAME,Missed_Fairway_Percent_-_Other_ROUNDS,Missed_Fairway_Percent_-_Other_%,Missed_Fairway_Percent_-_Other_TOTAL MISSED,Missed_Fairway_Percent_-_Other_TOTAL FWYS,Missed_Fairway_Percent_-_Other_RELATIVE TO PAR
0,1,1,Craig Bowden,83,1.09,12,1102,+0.50
1,T2,T2,Scott Hoch,52,1.86,12,644,+0.83
2,T2,T2,Hidemichi Tanaka,89,1.86,21,1128,+0.71
3,4,4,Fred Funk,97,1.96,24,1223,+0.33
4,5,5,Tom Byrum,83,2.3,24,1042,+0.79
5,6,6,Luke Donald,72,2.34,21,896,+0.19
6,7,7,José Coceres,68,2.46,22,894,+0.41
7,8,8,K.J. Choi,83,2.58,23,892,+0.35
8,9,9,Tim Clark,84,2.62,27,1032,+0.19
9,10,10,Scott Verplank,92,2.68,28,1044,-0.04
10,11,11,Bart Bryant,73,2.71,26,958,+0.42
11,12,12,Omar Uresti,85,2.74,31,1132,+0.26
12,13,13,Tom Lehman,70,2.88,25,868,E
13,14,14,Jay Haas,84,2.99,27,904,+0.41
14,15,15,Zach Johnson,109,3.01,40,1328,+0.05
15,16,16,Joe Durant,85,3.04,35,1152,+0.17
16,17,17,Mark Wilson,62,3.11,26,836,+0.65
17,18,18,Skip Kendall,99,3.15,38,1208,+0.13
18,19,19,Chris DiMarco,105,3.23,37,1147,+0.27
19,20,20,John Riegger,53,3.24,24,740,+0.08
20,21,21,Loren Roberts,81,3.26,33,1012,+0.33
21,22,22,Jeff Maggert,60,3.3,24,728,+0.50
22,23,23,Olin Browne,92,3.43,41,1197,+0.32
23,24,24,Corey Pavin,83,3.54,36,1016,+0.28
24,25,25,Peter Lonard,68,3.58,28,782,+0.07
25,26,26,Jason Bohn,98,3.62,47,1298,+0.06
26,27,27,Brian Bateman,84,3.69,39,1058,+0.38
27,T28,T28,Ben Curtis,56,3.72,22,592,+0.36
28,T28,T28,Adam Scott,55,3.72,21,564,+0.43
29,T28,T28,Jeff Sluman,98,3.72,46,1236,+0.46
30,31,31,John Senden,99,3.73,48,1286,+0.33
31,32,32,Heath Slocum,92,3.75,46,1227,+0.33
32,33,33,Robert Allenby,93,3.77,40,1060,+0.15
33,T34,T34,Craig Parry,52,3.79,20,528,+0.35
34,T34,T34,Kirk Triplett,88,3.79,38,1002,+0.26
35,36,36,Danny Briggs,85,3.81,42,1102,+0.57
36,37,37,David Toms,80,3.83,32,836,+0.41
37,38,38,Davis Love III,85,3.86,33,856,+0.45
38,39,39,Richard Johnson,102,3.88,54,1392,+0.44
39,T40,T40,Robert Damron,92,3.91,49,1254,+0.39
40,T40,T40,Shigeki Maruyama,93,3.91,44,1124,+0.39
41,42,42,Justin Leonard,90,3.93,39,992,+0.46
42,43,43,Jerry Kelly,113,3.94,51,1294,+0.10
43,44,44,Stephen Ames,97,3.97,47,1184,+0.15
44,T45,T45,Retief Goosen,56,4.0,24,600,+0.25
45,T45,T45,Mike Weir,75,4.0,33,826,+0.21
46,47,47,Frank Lickliter II,89,4.06,46,1132,+0.41
47,48,48,Scott Simpson,55,4.07,30,738,+0.43
48,49,49,Tripp Isenhour,55,4.11,28,682,+0.61
49,50,50,Russ Cochran,61,4.12,34,826,+0.26
50,51,51,Darren Clarke,54,4.13,21,508,+0.43
51,52,52,Dicky Pride,66,4.23,36,852,+0.53
52,53,53,Mark Hensby,97,4.28,52,1215,+0.33
53,54,54,Joey Sindelar,100,4.35,57,1309,+0.12
54,55,55,Brian Gay,96,4.38,56,1280,+0.52
55,T56,T56,Cameron Beckman,99,4.43,58,1308,+0.57
56,T56,T56,Vijay Singh,112,4.43,57,1288,+0.12
57,58,58,Chad Campbell,100,4.48,52,1160,+0.19
58,T59,T59,Charles Howell III,104,4.49,52,1157,+0.13
59,T59,T59,Vaughn Taylor,84,4.49,50,1114,+0.46
60,T61,T61,David Frost,78,4.51,49,1086,+0.47
61,T61,T61,Bob Tway,90,4.51,45,998,+0.09
62,T63,T63,Pat Bates,99,4.52,61,1351,+0.61
63,T63,T63,Ted Purdy,114,4.52,68,1506,+0.31
64,65,65,Ernie Els,62,4.56,27,592,+0.30
65,T66,T66,Stuart Appleby,84,4.57,41,897,+0.10
66,T66,T66,Jeff Brehaut,106,4.57,65,1421,+0.29
67,T66,T66,David Peoples,82,4.57,51,1117,+0.43
68,69,69,Kevin Na,100,4.59,60,1306,+0.45
69,70,70,Guy Boros,64,4.61,40,867,+0.40
70,T71,T71,Kent Jones,99,4.62,61,1320,+0.21
71,T71,T71,Billy Mayfair,109,4.62,65,1407,+0.25
72,73,73,Jay Williamson,100,4.63,63,1362,+0.22
73,74,74,Woody Austin,94,4.65,57,1226,+0.47
74,T75,T75,Todd Hamilton,92,4.66,47,1008,+0.36
75,T75,T75,Spike McRoy,93,4.66,55,1180,+0.24
76,77,77,Hirofumi Miyase,65,4.69,40,852,+0.58
77,T78,T78,Mark Brooks,72,4.7,42,894,+0.26
78,T78,T78,Dennis Paulson,71,4.7,44,936,+0.18
79,80,80,Steve Elkington,64,4.76,39,820,+0.28
80,81,81,Roland Thatcher,66,4.81,43,894,+0.49
81,82,82,Notah Begay III,71,4.82,45,934,+0.33
82,83,83,Bob Burns,88,4.83,58,1200,+0.22
83,84,84,Rod Pampling,98,4.87,57,1170,+0.37
84,85,85,Blaine McCallister,68,4.88,45,922,+0.47
85,86,86,Niclas Fasth,61,4.91,37,754,+0.38
86,87,87,J.P. Hayes,79,4.95,49,989,+0.29
87,88,88,Glen Day,101,4.99,66,1322,+0.29
88,89,89,Craig Barlow,80,5.0,53,1059,+0.40
89,90,90,Stephen Leaney,84,5.02,44,876,+0.43
90,91,91,Len Mattiace,75,5.03,51,1014,+0.86
91,T92,T92,Steve Flesch,109,5.05,63,1248,+0.13
92,T92,T92,Brent Geiberger,94,5.05,64,1267,+0.22
93,T92,T92,Esteban Toledo,92,5.05,62,1227,+0.45
94,95,95,Mike Heinen,53,5.06,36,712,+0.78
95,96,96,Shaun Micheel,93,5.14,54,1050,+0.59
96,97,97,Carlos Franco,99,5.15,68,1321,+0.35
97,T98,T98,John Cook,57,5.16,38,737,+0.45
98,T98,T98,Fred Couples,54,5.16,32,620,+0.41
99,T98,T98,J.L. Lewis,106,5.16,69,1338,+0.30
100,101,101,John Rollins,90,5.19,56,1078,+0.30
101,102,102,Tim Herron,84,5.26,52,989,+0.35
102,T103,T103,Alex Cejka,76,5.27,44,835,+0.39
103,T103,T103,Patrick Sheehan,113,5.27,77,1460,+0.36
104,105,105,D.J. Brigman,79,5.32,55,1034,+0.25
105,106,106,Sergio Garcia,65,5.36,39,728,+0.23
106,107,107,David Morland IV,73,5.4,52,963,+0.42
107,108,108,Robert Gamez,103,5.41,73,1350,+0.38
108,T109,T109,Kenny Perry,79,5.45,50,918,+0.02
109,T109,T109,Nick Price,51,5.45,29,532,+0.48
110,111,111,Brad Faxon,94,5.51,56,1016,+0.39
111,112,112,Hunter Mahan,94,5.54,68,1228,+0.47
112,113,113,Stewart Cink,103,5.61,65,1158,+0.23
113,114,114,Duffy Waldorf,79,5.69,53,932,+0.28
114,115,115,Brian Kortan,65,5.73,48,838,+0.27
115,T116,T116,Gene Sauers,83,5.76,65,1129,+0.52
116,T116,T116,Bo Van Pelt,107,5.76,72,1251,+0.17
117,118,118,Arron Oberholser,77,5.78,54,934,+0.33
118,119,119,Rory Sabbatini,89,5.81,62,1068,+0.37
119,T120,T120,Todd Fischer,104,5.82,81,1392,+0.43
120,T120,T120,Kevin Sutherland,86,5.82,61,1048,+0.08
121,122,122,Justin Rose,77,5.83,52,892,+0.63
122,T123,T123,Tommy Armour III,87,5.86,68,1161,+0.29
123,T123,T123,Tom Pernice Jr.,103,5.86,76,1296,+0.30
124,T125,T125,Briny Baird,100,5.88,73,1241,+0.11
125,T125,T125,Geoff Ogilvy,91,5.88,68,1156,+0.22
126,T125,T125,Tim Petrovic,111,5.88,78,1326,+0.27
127,T125,T125,Andre Stolz,53,5.88,42,714,+0.62
128,129,129,Harrison Frazar,86,5.91,64,1082,+0.28
129,130,130,Mark O'Meara,58,5.92,38,642,+0.03
130,131,131,Pat Perez,102,5.94,78,1313,+0.41
131,132,132,Ken Duke,89,5.98,71,1188,+0.44
132,133,133,Matt Gogel,86,6.02,64,1063,+0.34
133,134,134,Scott McCarron,88,6.04,69,1142,+0.19
134,135,135,Jonathan Byrd,85,6.05,63,1042,+0.62
135,136,136,Cliff Kresge,89,6.06,70,1155,+0.44
136,137,137,Arjun Atwal,85,6.07,67,1104,+0.60
137,138,138,Lee Janzen,84,6.08,66,1086,+0.33
138,139,139,Tiger Woods,78,6.09,48,788,+0.33
139,140,140,Steve Lowery,91,6.13,69,1126,+0.28
140,141,141,J.J. Henry,103,6.15,83,1350,+0.29
141,142,142,Rich Beem,81,6.23,58,931,+0.33
142,143,143,Jason Dufner,79,6.24,67,1074,+0.49
143,144,144,Carl Pettersson,100,6.27,76,1212,+0.45
144,145,145,Bernhard Langer,59,6.29,41,652,+0.20
145,T146,T146,Jonathan Kaye,79,6.31,60,951,+0.37
146,T146,T146,Matt Kuchar,83,6.31,71,1126,+0.51
147,T148,T148,Danny Ellis,81,6.33,68,1074,+0.22
148,T148,T148,Brett Quigley,102,6.33,81,1280,+0.31
149,150,150,Greg Chalmers,70,6.34,60,946,+0.60
150,151,151,Chris Riley,78,6.35,53,834,+0.21
