,Driving_Distance_RANK THIS WEEK,Driving_Distance_RANK LAST WEEK,Driving_Distance_PLAYER NAME,Driving_Distance_ROUNDS,Driving_Distance_AVG.,Driving_Distance_TOTAL DISTANCE,Driving_Distance_TOTAL DRIVES
0,1,1,Hank Kuehne,91,314.4,55959,178
1,2,2,Scott Hend,81,312.6,49389,158
2,3,3,John Daly,79,306.0,48347,158
3,4,4,Mike Heinen,53,305.2,32351,106
4,5,5,Chris Smith,105,304.0,63533,209
5,6,6,Lucas Glover,95,303.4,55212,182
6,7,7,Geoff Ogilvy,91,303.3,52776,174
7,8,8,Chris Couch,55,302.1,33230,110
8,9,9,Tiger Woods,78,301.9,43476,144
9,10,10,J.J. Henry,103,301.3,61762,205
10,11,11,Steve Allan,102,301.2,59631,198
11,12,12,Tag Ridings,53,301.0,30103,100
12,13,13,Vijay Singh,112,300.8,66184,220
13,T14,T14,Davis Love III,85,300.1,45012,150
14,T14,T14,Dennis Paulson,71,300.1,42613,142
15,16,16,Kris Cox,73,299.1,42475,142
16,17,17,Brenden Pappas,111,298.9,64570,216
17,18,18,Harrison Frazar,86,298.8,48995,164
18,19,19,Ernie Els,62,298.0,34569,116
19,20,20,Andre Stolz,53,297.9,31574,106
20,21,21,Roger Tambellini,81,297.8,46450,156
21,22,22,Rich Beem,81,296.7,45696,154
22,23,23,John Senden,99,296.6,56950,192
23,24,24,Tom Carter,113,296.5,65234,220
24,25,25,Dan Olsen,75,296.0,43213,146
25,T26,T26,Daniel Chopra,108,295.9,62721,212
26,T26,T26,Kenny Perry,79,295.9,44979,152
27,28,28,Jonathan Byrd,85,295.8,49102,166
28,29,29,Ryan Palmer,103,295.6,59125,200
29,T30,T30,Phil Mickelson,83,295.4,46670,158
30,T30,T30,Adam Scott,55,295.4,30723,104
31,32,32,Deane Pappas,72,295.3,41344,140
32,33,33,Sergio Garcia,65,295.1,37778,128
33,34,34,Robert Allenby,93,294.9,51894,176
34,35,35,Fred Couples,54,294.5,30628,104
35,36,36,Bo Van Pelt,107,294.4,61243,208
36,37,37,Brett Quigley,102,294.3,57675,196
37,38,38,Retief Goosen,56,294.2,32364,110
38,39,39,Scott McCarron,88,294.1,50581,172
39,40,40,Tim Herron,84,293.8,48775,166
40,41,41,Jason Bohn,98,293.3,55725,190
41,42,42,Stuart Appleby,84,293.2,45741,156
42,T43,T43,Rich Barcelo,67,293.1,38105,130
43,T43,T43,Roland Thatcher,66,293.1,38683,132
44,45,45,Hunter Mahan,94,293.0,55091,188
45,46,46,Vaughn Taylor,84,292.5,47975,164
46,47,47,Brian Kortan,65,292.4,36253,124
47,T48,T48,Brian Bateman,84,292.2,46744,160
48,T48,T48,Rory Sabbatini,89,292.2,50252,172
49,T50,T50,Mathias Grönberg,91,292.1,50833,174
50,T50,T50,Rod Pampling,98,292.1,54918,188
51,52,52,Neal Lancaster,106,291.6,59773,205
52,53,53,Joey Sindelar,100,291.5,57125,196
53,T54,T54,Peter Lonard,68,291.4,38461,132
54,T54,T54,Pat Perez,102,291.4,58278,200
55,T56,T56,Woody Austin,94,291.3,54755,188
56,T56,T56,Mark Calcavecchia,79,291.3,45441,156
57,T56,T56,Brent Geiberger,94,291.3,53021,182
58,59,59,Cameron Beckman,99,291.2,55914,192
59,60,60,Michael Allen,87,291.1,49484,170
60,61,61,Craig Barlow,80,291.0,45401,156
61,T62,T62,Jeff Brehaut,106,290.9,60509,208
62,T62,T62,Jonathan Kaye,79,290.9,44212,152
63,64,64,Carl Pettersson,100,290.8,56417,194
64,T65,T65,D.J. Brigman,79,290.7,44188,152
65,T65,T65,Jason Dufner,79,290.7,45931,158
66,T65,T65,Kevin Muncrief,50,290.7,29065,100
67,T65,T65,Justin Rose,77,290.7,41866,144
68,69,69,Carlos Franco,99,290.6,57539,198
69,T70,T70,Tommy Armour III,87,290.5,50540,174
70,T70,T70,Stewart Cink,103,290.5,56361,194
71,72,72,Patrick Sheehan,113,290.3,64444,222
72,T73,T73,Arjun Atwal,85,289.4,48033,166
73,T73,T73,Briny Baird,100,289.4,56153,194
74,T73,T73,Craig Perks,75,289.4,41677,144
75,76,76,Ted Purdy,114,289.2,64778,224
76,77,77,Niclas Fasth,61,289.1,34694,120
77,78,78,Darren Clarke,54,289.0,27740,96
78,T79,T79,Jay Delsing,76,288.8,42170,146
79,T79,T79,Steve Lowery,91,288.8,51411,178
80,T79,T79,Joe Ogilvie,104,288.8,58908,204
81,82,82,Charles Howell III,104,288.5,58273,202
82,T83,T83,J.L. Lewis,106,288.3,61122,212
83,T83,T83,Grant Waite,79,288.3,44394,154
84,T85,T85,Robert Gamez,103,288.1,59348,206
85,T85,T85,Jay Williamson,100,288.1,56176,195
86,T87,T87,Aaron Baddeley,87,288.0,48967,170
87,T87,T87,Chad Campbell,100,288.0,53573,186
88,T89,T89,Stephen Ames,97,287.9,54694,190
89,T89,T89,Freddie Jacobson,83,287.9,46060,160
90,T89,T89,Jesper Parnevik,86,287.9,49520,172
91,92,92,Tommy Tolles,67,287.8,38563,134
92,93,93,Shaun Micheel,93,287.5,52323,182
93,T94,T94,Greg Chalmers,70,287.3,40227,140
94,T94,T94,Matt Kuchar,83,287.3,47699,166
95,T94,T94,Frank Lickliter II,89,287.3,49423,172
96,T97,T97,Joe Durant,85,287.2,48829,170
97,T97,T97,Tom Lehman,70,287.2,37906,132
98,T97,T97,Tim Petrovic,111,287.2,61455,214
99,100,100,Steve Elkington,64,287.1,35025,122
100,T101,T101,Danny Ellis,81,286.7,44158,154
101,T101,T101,John Rollins,90,286.7,48740,170
102,T103,T103,John Huston,62,286.4,32081,112
103,T103,T103,Kent Jones,99,286.4,55560,194
104,105,105,Kevin Sutherland,86,286.3,46383,162
105,106,106,Tripp Isenhour,55,286.2,30332,106
106,T107,T107,Glen Day,101,286.1,56654,198
107,T107,T107,Lee Janzen,84,286.1,46627,163
108,109,109,Tom Pernice Jr.,103,286.0,56626,198
109,T110,T110,Notah Begay III,71,285.8,38293,134
110,T110,T110,David Branshaw,84,285.8,46878,164
111,T110,T110,Alex Cejka,76,285.8,40009,140
112,T113,T113,Matt Gogel,86,285.6,47977,168
113,T113,T113,Dudley Hart,60,285.6,33135,116
114,T113,T113,Zach Johnson,109,285.6,61115,214
115,116,116,Duffy Waldorf,79,285.4,41668,146
116,117,117,David Toms,80,285.3,42218,148
117,118,118,Billy Mayfair,109,285.2,59887,210
118,119,119,Paul Azinger,75,285.1,42764,150
119,T120,T120,K.J. Choi,83,285.0,46738,164
120,T120,T120,John Riegger,53,285.0,30211,106
121,T122,T122,Mark Hensby,97,284.6,52929,186
122,T122,T122,Arron Oberholser,77,284.6,41549,146
123,124,124,Ken Duke,89,284.3,49466,174
124,T125,T125,Danny Briggs,85,283.8,45980,162
125,T125,T125,Ben Crane,92,283.8,52224,184
126,T125,T125,David Gossett,57,283.8,32350,114
127,T128,T128,Billy Andrade,104,283.5,58678,207
128,T128,T128,Todd Hamilton,92,283.5,49897,176
129,T128,T128,Steve Pate,71,283.5,39124,138
130,T131,T131,Richard Johnson,102,283.4,57809,204
131,T131,T131,Cliff Kresge,89,283.4,49312,174
132,T131,T131,Rocco Mediate,53,283.4,27202,96
133,134,134,Justin Leonard,90,282.9,48098,170
134,135,135,Stephen Leaney,84,282.3,42338,150
135,T136,T136,Bernhard Langer,59,282.2,31041,110
136,T136,T136,Dean Wilson,99,282.2,55870,198
137,T138,T138,Bart Bryant,73,282.1,38935,138
138,T138,T138,Ben Curtis,56,282.1,29338,104
139,T138,T138,Mike Weir,75,282.1,41186,146
140,T138,T138,Mark Wilson,62,282.1,34983,124
141,T142,T142,Olin Browne,92,281.9,49614,176
142,T142,T142,Dan Forsman,79,281.9,43417,154
143,144,144,Steve Stricker,81,281.8,43957,156
144,145,145,Spike McRoy,93,281.5,51227,182
145,T146,T146,Skip Kendall,99,281.3,55692,198
146,T146,T146,David Peoples,82,281.3,45001,160
147,148,148,Jeff Maggert,60,281.2,33738,120
148,149,149,Guy Boros,64,281.1,35977,128
149,150,150,Hidemichi Tanaka,89,281.0,50014,178
150,151,151,Blaine McCallister,68,280.9,38202,136
151,152,152,J.P. Hayes,79,280.7,42107,150
152,153,153,Dicky Pride,66,280.5,35338,126
153,154,154,Scott Hoch,52,280.4,28601,102
154,155,155,Russ Cochran,61,280.3,34193,122
155,156,156,Gene Sauers,83,280.2,45385,162
156,T157,T157,Todd Fischer,104,280.1,57134,204
157,T157,T157,Shigeki Maruyama,93,280.1,51534,184
158,T157,T157,Kevin Na,100,280.1,53784,192
159,T157,T157,Heath Slocum,92,280.1,50420,180
160,161,161,Steve Flesch,109,279.9,58507,209
161,162,162,Luke Donald,72,279.8,40297,144
162,T163,T163,Brian Gay,96,279.7,52589,188
163,T163,T163,Hirofumi Miyase,65,279.7,34962,125
164,165,165,Jeff Sluman,98,279.6,54236,194
165,166,166,José Coceres,68,279.4,35479,127
166,167,167,Kirk Triplett,88,279.1,46884,168
167,168,168,Tim Clark,84,278.8,46839,168
168,169,169,Scott Simpson,55,278.7,30653,110
169,T170,T170,Bob Estes,73,278.2,39230,141
170,T170,T170,Bob Tway,90,278.2,47291,170
171,172,172,Jerry Kelly,113,278.1,60618,218
172,T173,T173,Len Mattiace,75,278.0,41694,150
173,T173,T173,Scott Verplank,92,278.0,50314,181
174,175,175,José María Olazábal,56,277.7,28877,104
175,T176,T176,Chris DiMarco,105,277.3,54076,195
176,T176,T176,Chris Riley,78,277.3,41042,148
177,178,178,Robert Damron,92,277.2,51012,184
178,179,179,Craig Parry,52,276.9,27689,100
179,180,180,Bob Burns,88,276.1,47212,171
180,181,181,Pat Bates,99,275.5,53446,194
181,182,182,Esteban Toledo,92,275.2,49265,179
182,183,183,Jay Haas,84,274.5,43376,158
183,184,184,Mark Brooks,72,273.8,38057,139
184,185,185,Brad Faxon,94,273.7,48717,178
185,186,186,David Frost,78,273.6,42414,155
186,187,187,Mark O'Meara,58,272.9,31652,116
187,T188,T188,David Morland IV,73,272.8,39831,146
188,T188,T188,Nick Price,51,272.8,27280,100
189,190,190,Tom Byrum,83,272.6,45246,166
190,191,191,Omar Uresti,85,272.2,46280,170
191,192,192,Fred Funk,97,271.9,52198,192
192,193,193,Craig Bowden,83,270.8,44959,166
193,194,194,John Cook,57,270.2,28645,106
