,Driving_Pct._300-320_Measured_RANK THIS WEEK,Driving_Pct._300-320_Measured_RANK LAST WEEK,Driving_Pct._300-320_Measured_PLAYER NAME,Driving_Pct._300-320_Measured_ROUNDS,Driving_Pct._300-320_Measured_%,Driving_Pct._300-320_Measured_TOTAL DRIVES FOR 300-320,Driving_Pct._300-320_Measured_TOTAL DRVS - OVERALL,Driving_Pct._300-320_Measured_RELATIVE TO PAR
0,1,1,John Daly,79,43.15,63,146,3.87
1,2,2,Sergio Garcia,65,38.46,40,104,3.65
2,3,3,Vijay Singh,112,38.3,72,188,3.68
3,4,4,Hank Kuehne,91,38.2,68,178,4.09
4,5,5,Dan Olsen,75,38.03,54,142,4.13
5,6,6,Lucas Glover,95,37.91,69,182,3.86
6,7,7,Kris Cox,73,37.31,50,134,3.76
7,8,8,Geoff Ogilvy,91,36.75,61,166,3.9
8,9,9,Harrison Frazar,86,36.25,58,160,3.98
9,10,10,Ernie Els,62,35.71,30,84,3.67
10,11,11,Scott Hend,81,35.06,54,154,3.61
11,12,12,Tiger Woods,78,34.82,39,112,3.82
12,13,13,Kenny Perry,79,34.09,45,132,3.67
13,14,14,Ryan Palmer,103,33.5,67,200,3.75
14,15,15,Andre Stolz,53,33.02,35,106,3.89
15,16,16,Chris Couch,55,32.73,36,110,3.81
16,17,17,Steve Allan,102,31.96,62,194,3.73
17,18,18,Phil Mickelson,83,31.75,40,126,3.18
18,19,19,Tom Carter,113,31.13,66,212,3.7
19,20,20,Chris Smith,105,31.07,64,206,3.45
20,21,21,Roger Tambellini,81,30.92,47,152,3.85
21,22,22,Fred Couples,54,30.43,28,92,3.46
22,23,23,Mike Heinen,53,30.19,32,106,3.53
23,24,24,Davis Love III,85,30.16,38,126,3.87
24,25,25,Deane Pappas,72,30.0,42,140,3.86
25,26,26,Brian Kortan,65,29.84,37,124,3.49
26,27,27,Michael Allen,87,29.41,50,170,3.84
27,28,28,J.J. Henry,103,29.29,58,198,3.69
28,29,29,Retief Goosen,56,29.07,25,86,3.84
29,30,30,Carlos Franco,99,28.42,54,190,3.37
