,Right_Rough_Tendency_RANK THIS WEEK,Right_Rough_Tendency_RANK LAST WEEK,Right_Rough_Tendency_PLAYER NAME,Right_Rough_Tendency_ROUNDS,Right_Rough_Tendency_%,Right_Rough_Tendency_TOTAL RIGHT ROUGH,Right_Rough_Tendency_POSSIBLE FWYS,Right_Rough_Tendency_RELATIVE TO PAR
0,1,1,Fred Funk,97,7.36,90,1223,+0.19
1,2,2,Arron Oberholser,77,8.57,80,934,+0.14
2,3,3,John Cook,57,8.68,64,737,+0.31
3,4,4,Gene Sauers,83,8.77,99,1129,+0.15
4,5,5,Scott Verplank,92,8.81,92,1044,+0.04
5,6,6,Olin Browne,92,8.86,106,1197,+0.27
6,7,7,Mark O'Meara,58,9.03,58,642,+0.17
7,8,8,Robert Damron,92,9.09,114,1254,+0.27
8,9,9,Omar Uresti,85,9.19,104,1132,+0.16
9,10,10,Tim Clark,84,9.5,98,1032,+0.04
10,11,11,Nick Price,51,9.59,51,532,+0.08
11,12,12,José Coceres,68,9.62,86,894,+0.13
12,13,13,Hidemichi Tanaka,89,9.66,109,1128,+0.18
13,14,14,Duffy Waldorf,79,9.76,91,932,+0.13
14,15,15,Mike Weir,75,9.81,81,826,-0.01
15,16,16,Jeff Maggert,60,9.89,72,728,+0.15
16,17,17,Danny Ellis,81,9.96,107,1074,+0.11
17,18,18,Hirofumi Miyase,65,9.98,85,852,+0.36
18,19,19,Richard Johnson,102,9.99,139,1392,+0.04
19,T20,T20,Kenny Perry,79,10.02,92,918,+0.09
20,T20,T20,John Rollins,90,10.02,108,1078,+0.15
21,22,22,Luke Donald,72,10.04,90,896,+0.07
22,23,23,Justin Leonard,90,10.18,101,992,+0.05
23,T24,T24,Jeff Brehaut,106,10.27,146,1421,+0.15
24,T24,T24,Stephen Leaney,84,10.27,90,876,+0.16
25,26,26,John Huston,62,10.33,75,726,+0.17
26,27,27,Bart Bryant,73,10.44,100,958,+0.10
27,28,28,Mark Hensby,97,10.45,127,1215,+0.17
28,29,29,Zach Johnson,109,10.47,139,1328,+0.18
29,T30,T30,Matt Kuchar,83,10.48,118,1126,+0.15
30,T30,T30,Rocco Mediate,53,10.48,61,582,+0.23
31,T30,T30,Kirk Triplett,88,10.48,105,1002,+0.20
32,T33,T33,Jerry Kelly,113,10.51,136,1294,+0.13
33,T33,T33,Esteban Toledo,92,10.51,129,1227,+0.23
34,35,35,Len Mattiace,75,10.55,107,1014,+0.13
35,36,36,Chris DiMarco,105,10.64,122,1147,+0.19
36,37,37,Mark Wilson,62,10.65,89,836,+0.20
37,T38,T38,Pat Bates,99,10.66,144,1351,+0.13
38,T38,T38,Alex Cejka,76,10.66,89,835,+0.12
39,40,40,Kevin Sutherland,86,10.69,112,1048,+0.16
40,41,41,Craig Bowden,83,10.71,118,1102,+0.17
41,T42,T42,Glen Day,101,10.74,142,1322,+0.17
42,T42,T42,Steve Flesch,109,10.74,134,1248,+0.01
43,T42,T42,Cliff Kresge,89,10.74,124,1155,+0.14
44,45,45,Kent Jones,99,10.76,142,1320,+0.26
45,46,46,Phil Mickelson,83,10.82,92,850,+0.05
46,47,47,Dan Forsman,79,10.84,110,1015,+0.09
47,48,48,Steve Elkington,64,10.85,89,820,+0.02
48,49,49,Brian Bateman,84,10.87,115,1058,+0.16
49,50,50,Bernhard Langer,59,10.89,71,652,+0.11
50,51,51,Justin Rose,77,10.99,98,892,-0.13
51,52,52,Mark Brooks,72,11.07,99,894,+0.38
52,53,53,Jeff Sluman,98,11.08,137,1236,+0.09
53,54,54,Kevin Na,100,11.1,145,1306,+0.10
54,55,55,Scott Simpson,55,11.11,82,738,+0.21
55,56,56,Bob Burns,88,11.17,134,1200,+0.07
56,57,57,Dean Wilson,99,11.19,154,1376,+0.14
57,58,58,Chad Campbell,100,11.21,130,1160,+0.20
58,59,59,Joe Durant,85,11.28,130,1152,+0.08
59,T60,T60,Tripp Isenhour,55,11.29,77,682,+0.17
60,T60,T60,J.L. Lewis,106,11.29,151,1338,+0.13
61,62,62,Lee Janzen,84,11.33,123,1086,+0.19
62,63,63,Briny Baird,100,11.36,141,1241,+0.11
63,T64,T64,David Frost,78,11.42,124,1086,+0.22
64,T64,T64,Corey Pavin,83,11.42,116,1016,+0.14
65,66,66,Spike McRoy,93,11.44,135,1180,+0.13
66,67,67,David Branshaw,84,11.46,128,1117,+0.19
67,68,68,Frank Lickliter II,89,11.48,130,1132,+0.04
68,69,69,Tom Byrum,83,11.52,120,1042,+0.20
69,T70,T70,Mark Calcavecchia,79,11.53,107,928,+0.14
70,T70,T70,Jay Williamson,100,11.53,157,1362,+0.13
71,72,72,Ted Purdy,114,11.55,174,1506,+0.10
72,73,73,J.J. Henry,103,11.56,156,1350,+0.19
73,74,74,Skip Kendall,99,11.59,140,1208,+0.19
74,75,75,Robert Gamez,103,11.63,157,1350,+0.11
75,76,76,Craig Barlow,80,11.71,124,1059,+0.17
