,Good_Drive_Percentage_RANK THIS WEEK,Good_Drive_Percentage_RANK LAST WEEK,Good_Drive_Percentage_PLAYER NAME,Good_Drive_Percentage_ROUNDS,Good_Drive_Percentage_%,Good_Drive_Percentage_# HIT,Good_Drive_Percentage_TOTAL ATTEMPTS
0,1,1,Joe Durant,85,91.27,1077,1180
1,2,2,Scott Verplank,92,89.75,1138,1268
2,3,3,Omar Uresti,85,88.8,1054,1187
3,4,4,Fred Funk,97,88.31,1179,1335
4,5,5,Olin Browne,92,88.15,1079,1224
5,6,6,Kirk Triplett,88,87.94,1028,1169
6,7,7,Tom Lehman,70,87.87,811,923
7,8,8,Russ Cochran,61,87.69,748,853
8,9,9,Bart Bryant,73,87.58,839,958
9,10,10,Craig Bowden,83,87.47,1012,1157
10,T11,T11,Zach Johnson,109,87.42,1307,1495
11,T11,T11,Hidemichi Tanaka,89,87.42,1084,1240
12,T13,T13,Ted Purdy,114,87.25,1362,1561
13,T13,T13,Mark Wilson,62,87.25,753,863
14,15,15,Duffy Waldorf,79,87.01,884,1016
15,16,16,Jeff Brehaut,106,86.95,1259,1448
16,17,17,Heath Slocum,92,86.85,1090,1255
17,18,18,Steve Flesch,109,86.68,1276,1472
18,19,19,Vijay Singh,112,86.55,1332,1539
19,20,20,Tim Clark,84,86.52,1014,1172
20,T21,T21,José Coceres,68,86.35,772,894
21,T21,T21,Jerry Kelly,113,86.35,1310,1517
22,23,23,Arron Oberholser,77,86.33,878,1017
23,24,24,Tom Byrum,83,86.3,995,1153
24,25,25,Chris DiMarco,105,86.21,1182,1371
25,26,26,Luke Donald,72,86.2,868,1007
26,27,27,Briny Baird,100,86.18,1166,1353
27,28,28,Rocco Mediate,53,86.17,573,665
28,29,29,Roland Thatcher,66,86.1,793,921
29,30,30,John Rollins,90,85.95,1022,1189
30,31,31,John Senden,99,85.91,1152,1341
31,32,32,Billy Mayfair,109,85.85,1256,1463
32,T33,T33,Notah Begay III,71,85.76,801,934
33,T33,T33,Jeff Sluman,98,85.76,1156,1348
34,35,35,Robert Allenby,93,85.75,1053,1228
35,36,36,Phil Mickelson,83,85.74,944,1101
36,37,37,Pat Bates,99,85.64,1157,1351
37,38,38,John Cook,57,85.62,631,737
38,39,39,Charles Howell III,104,85.58,1205,1408
39,T40,T40,Danny Briggs,85,85.56,966,1129
40,T40,T40,Robert Damron,92,85.56,1096,1281
41,42,42,Cameron Beckman,99,85.55,1143,1336
42,43,43,Stephen Ames,97,85.5,1132,1324
43,44,44,Steve Elkington,64,85.48,724,847
44,45,45,Jay Williamson,100,85.47,1165,1363
45,46,46,Jeff Maggert,60,85.34,716,839
46,47,47,Kevin Na,100,85.3,1137,1333
47,T48,T48,Brian Bateman,84,85.27,949,1113
48,T48,T48,Joey Sindelar,100,85.27,1164,1365
49,50,50,Craig Barlow,80,85.17,925,1086
50,51,51,Geoff Ogilvy,91,85.15,1032,1212
51,T52,T52,Scott McCarron,88,85.13,1019,1197
52,T52,T52,Tom Pernice Jr.,103,85.13,1174,1379
53,54,54,Corey Pavin,83,85.08,935,1099
54,55,55,Pat Perez,102,85.03,1187,1396
55,56,56,Kent Jones,99,84.93,1144,1347
56,57,57,Kevin Sutherland,86,84.88,960,1131
57,58,58,Frank Lickliter II,89,84.76,1018,1201
58,59,59,Matt Gogel,86,84.75,995,1174
59,60,60,Justin Leonard,90,84.6,1005,1188
60,61,61,Scott Hoch,52,84.59,604,714
61,62,62,Justin Rose,77,84.56,849,1004
62,T63,T63,Stuart Appleby,84,84.46,924,1094
63,T63,T63,Tim Petrovic,111,84.46,1261,1493
64,T65,T65,Richard Johnson,102,84.43,1198,1419
65,T65,T65,Chris Smith,105,84.43,1236,1464
66,67,67,Dicky Pride,66,84.41,742,879
67,68,68,John Huston,62,84.4,660,782
68,69,69,Chad Campbell,100,84.38,1097,1300
69,70,70,Bo Van Pelt,107,84.37,1220,1446
70,71,71,D.J. Brigman,79,84.35,895,1061
71,72,72,John Riegger,53,84.19,623,740
72,73,73,Spike McRoy,93,84.18,1064,1264
73,74,74,Skip Kendall,99,84.16,1158,1376
74,75,75,Steve Allan,102,84.11,1159,1378
75,76,76,Lee Janzen,84,84.06,960,1142
76,77,77,Sergio Garcia,65,84.04,753,896
77,78,78,Robert Gamez,103,84.02,1204,1433
78,79,79,Jason Bohn,98,84.0,1113,1325
79,80,80,Joe Ogilvie,104,83.92,1195,1424
80,81,81,Lucas Glover,95,83.9,1063,1267
81,82,82,Carlos Franco,99,83.88,1155,1377
82,T83,T83,Ben Crane,92,83.85,1080,1288
83,T83,T83,Hirofumi Miyase,65,83.85,737,879
84,85,85,Loren Roberts,81,83.84,918,1095
85,T86,T86,Glen Day,101,83.82,1155,1378
86,T86,T86,David Toms,80,83.82,865,1032
87,88,88,Mark O'Meara,58,83.81,678,809
88,T89,T89,David Branshaw,84,83.74,958,1144
89,T89,T89,Brent Geiberger,94,83.74,1061,1267
90,91,91,Dennis Paulson,71,83.65,829,991
91,92,92,J.J. Henry,103,83.6,1198,1433
92,93,93,Bob Burns,88,83.58,1003,1200
93,94,94,Davis Love III,85,83.54,878,1051
94,95,95,Woody Austin,94,83.5,1093,1309
95,96,96,Jay Haas,84,83.45,918,1100
96,T97,T97,Danny Ellis,81,83.43,896,1074
97,T97,T97,J.P. Hayes,79,83.43,871,1044
98,99,99,J.L. Lewis,106,83.41,1232,1477
99,100,100,Scott Simpson,55,83.4,638,765
100,101,101,Harrison Frazar,86,83.38,948,1137
101,T102,T102,Mark Calcavecchia,79,83.35,901,1081
102,T102,T102,Matt Kuchar,83,83.35,961,1153
103,T102,T102,Vaughn Taylor,84,83.35,951,1141
104,105,105,Esteban Toledo,92,83.33,1045,1254
105,T106,T106,Dudley Hart,60,83.11,674,811
106,T106,T106,Len Mattiace,75,83.11,866,1042
107,T106,T106,Deane Pappas,72,83.11,812,977
108,109,109,Kenny Perry,79,83.08,879,1058
109,110,110,Hunter Mahan,94,83.07,1089,1311
110,111,111,David Morland IV,73,83.01,845,1018
111,112,112,Shigeki Maruyama,93,82.97,1072,1292
112,113,113,Ryan Palmer,103,82.95,1153,1390
113,114,114,Retief Goosen,56,82.94,637,768
114,115,115,Gene Sauers,83,82.91,936,1129
115,116,116,Mathias Grönberg,91,82.85,1005,1213
116,117,117,Carl Pettersson,100,82.83,1119,1351
117,118,118,Guy Boros,64,82.77,740,894
118,119,119,Nick Price,51,82.71,579,700
119,120,120,Steve Pate,71,82.69,793,959
120,121,121,Bob Estes,73,82.62,813,984
121,122,122,Bernhard Langer,59,82.59,631,764
122,123,123,Mike Weir,75,82.57,843,1021
123,124,124,Neal Lancaster,106,82.55,1183,1433
124,125,125,David Frost,78,82.5,896,1086
125,126,126,Dan Forsman,79,82.43,882,1070
126,127,127,Stewart Cink,103,82.42,1116,1354
127,T128,T128,K.J. Choi,83,82.41,942,1143
128,T128,T128,Jonathan Kaye,79,82.41,876,1063
129,130,130,Blaine McCallister,68,82.4,782,949
130,131,131,Jason Dufner,79,82.38,907,1101
131,132,132,Craig Parry,52,82.33,573,696
132,133,133,Jay Delsing,76,82.28,836,1016
133,134,134,Rory Sabbatini,89,82.27,993,1207
134,135,135,Tommy Armour III,87,82.25,1001,1217
135,T136,T136,Ben Curtis,56,82.24,602,732
136,T136,T136,Patrick Sheehan,113,82.24,1269,1543
137,138,138,Fred Couples,54,82.22,601,731
138,T139,T139,Michael Allen,87,82.21,975,1186
139,T139,T139,Jesper Parnevik,86,82.21,984,1197
140,141,141,Darren Clarke,54,82.1,555,676
141,142,142,Alex Cejka,76,81.95,799,975
142,143,143,Brad Faxon,94,81.92,1015,1239
143,144,144,Mark Hensby,97,81.9,1063,1298
144,145,145,Rich Beem,81,81.79,876,1071
145,146,146,Stephen Leaney,84,81.7,853,1044
146,147,147,Mark Brooks,72,81.58,797,977
147,148,148,Steve Lowery,91,81.57,1009,1237
148,149,149,Shaun Micheel,93,81.55,1039,1274
149,150,150,Daniel Chopra,108,81.5,1203,1476
150,151,151,Tim Herron,84,81.49,942,1156
151,152,152,Arjun Atwal,85,81.45,944,1159
152,153,153,David Peoples,82,81.29,908,1117
153,154,154,Brian Kortan,65,81.27,703,865
154,155,155,Dean Wilson,99,81.25,1118,1376
155,156,156,Mike Heinen,53,81.19,600,739
156,157,157,Bob Tway,90,81.16,969,1194
157,158,158,Niclas Fasth,61,81.12,679,837
158,159,159,Jonathan Byrd,85,81.01,934,1153
159,160,160,Grant Waite,79,80.99,869,1073
160,161,161,Brett Quigley,102,80.85,1102,1363
161,162,162,Todd Fischer,104,80.83,1147,1419
162,163,163,Ken Duke,89,80.74,981,1215
163,164,164,Tiger Woods,78,80.63,816,1012
164,165,165,Cliff Kresge,89,80.59,976,1211
165,166,166,Rod Pampling,98,80.44,1053,1309
166,167,167,Billy Andrade,104,80.37,1163,1447
167,168,168,Brian Gay,96,80.28,1050,1308
168,169,169,Peter Lonard,68,80.26,740,922
169,170,170,Roger Tambellini,81,80.22,872,1087
170,171,171,Andre Stolz,53,80.03,593,741
171,172,172,Todd Hamilton,92,80.02,985,1231
172,173,173,Chris Riley,78,80.0,824,1030
173,174,174,Greg Chalmers,70,79.96,778,973
174,175,175,John Daly,79,79.89,882,1104
175,176,176,Paul Azinger,75,79.85,832,1042
176,T177,T177,Rich Barcelo,67,79.78,722,905
177,T177,T177,Ernie Els,62,79.78,651,816
178,179,179,Tag Ridings,53,79.65,552,693
179,180,180,Adam Scott,55,79.51,582,732
180,181,181,Tom Carter,113,79.48,1216,1530
181,182,182,Freddie Jacobson,83,79.3,885,1116
182,183,183,Tripp Isenhour,55,79.24,584,737
183,184,184,Chris Couch,55,79.08,605,765
184,185,185,Hank Kuehne,91,78.92,981,1243
185,186,186,Scott Hend,81,78.64,869,1105
186,187,187,José María Olazábal,56,78.28,566,723
187,188,188,Craig Perks,75,77.83,783,1006
188,189,189,Brenden Pappas,111,77.76,1168,1502
189,190,190,Tommy Tolles,67,77.71,725,933
190,191,191,Kris Cox,73,77.65,768,989
191,192,192,Steve Stricker,81,77.24,838,1085
192,193,193,Dan Olsen,75,77.09,784,1017
193,194,194,Kevin Muncrief,50,76.83,534,695
194,195,195,Aaron Baddeley,87,76.62,908,1185
195,196,196,David Gossett,57,75.63,599,792
