,Driving_Pct.__240_Measured_RANK THIS WEEK,Driving_Pct.__240_Measured_RANK LAST WEEK,Driving_Pct.__240_Measured_PLAYER NAME,Driving_Pct.__240_Measured_ROUNDS,Driving_Pct.__240_Measured_%,Driving_Pct.__240_Measured_TOTAL DRIVES FOR <= 240,Driving_Pct.__240_Measured_TOTAL DRVS - OVERALL,Driving_Pct.__240_Measured_RELATIVE TO PAR
0,1,1,Corey Pavin,83,10.67,16.0,150,+0.19
1,2,2,Loren Roberts,81,6.67,10.0,150,-0.10
2,3,3,Brad Faxon,94,6.0,9.0,150,+0.11
3,4,4,Bob Tway,90,5.63,8.0,142,-0.13
4,5,5,Craig Bowden,83,5.56,9.0,162,+0.33
5,6,6,José María Olazábal,56,5.43,5.0,92,+0.20
6,7,7,Omar Uresti,85,5.42,9.0,166,+0.33
7,8,8,Jay Haas,84,5.38,7.0,130,+0.43
8,9,9,Steve Pate,71,5.07,7.0,138,+0.14
9,10,10,Chris Riley,78,5.0,6.0,120,+0.17
10,11,11,Aaron Baddeley,87,4.94,8.0,162,+0.50
11,12,12,Dicky Pride,66,4.76,6.0,126,+0.33
12,13,13,Pat Bates,99,4.64,9.0,194,+0.33
13,14,14,Steve Stricker,81,4.61,7.0,152,+0.57
14,T15,T15,Mark Brooks,72,4.55,6.0,132,E
15,T15,T15,K.J. Choi,83,4.55,6.0,132,E
16,17,17,Dan Olsen,75,4.23,6.0,142,+0.33
17,18,18,Kirk Triplett,88,4.05,6.0,148,+0.17
18,T19,T19,Stephen Leaney,84,3.97,5.0,126,+0.20
19,T19,T19,Hirofumi Miyase,65,3.97,5.0,126,+0.40
20,T21,T21,Steve Flesch,109,3.93,7.0,178,+0.57
21,T21,T21,Mark Hensby,97,3.93,7.0,178,+0.14
22,23,23,David Peoples,82,3.75,6.0,160,+0.17
23,T24,T24,Freddie Jacobson,83,3.68,5.0,136,+0.60
24,T24,T24,Blaine McCallister,68,3.68,5.0,136,E
25,26,26,Matt Kuchar,83,3.61,6.0,166,+0.17
26,27,27,Ben Curtis,56,3.57,3.0,84,+0.33
27,28,28,Todd Fischer,104,3.43,7.0,204,-0.29
28,29,29,J.P. Hayes,79,3.42,5.0,146,+0.40
29,30,30,Todd Hamilton,92,3.38,5.0,148,+0.60
30,T31,T31,Esteban Toledo,92,3.33,6.0,180,+0.33
31,T31,T31,Scott Verplank,92,3.33,5.0,150,+0.20
32,33,33,Roger Tambellini,81,3.29,5.0,152,+0.40
33,34,34,Steve Elkington,64,3.28,4.0,122,E
34,35,35,Tom Byrum,83,3.25,5.0,154,+0.20
35,36,36,Bernhard Langer,59,3.19,3.0,94,+0.33
36,T37,T37,Jason Dufner,79,3.16,5.0,158,+0.20
37,T37,T37,Jerry Kelly,113,3.16,6.0,190,-0.17
38,T37,T37,John Rollins,90,3.16,5.0,158,+0.20
39,T40,T40,Guy Boros,64,3.13,4.0,128,+0.25
40,T40,T40,Mark O'Meara,58,3.13,3.0,96,E
41,42,42,Chad Campbell,100,3.01,5.0,166,+0.40
42,43,43,Michael Allen,87,2.94,5.0,170,-0.20
43,44,44,Bob Burns,88,2.91,5.0,172,+0.20
44,45,45,Dennis Paulson,71,2.9,4.0,138,+0.50
45,46,46,Ken Duke,89,2.87,5.0,174,E
46,47,47,Fred Funk,97,2.84,5.0,176,+0.80
47,48,48,David Morland IV,73,2.82,4.0,142,+0.75
48,T49,T49,Darren Clarke,54,2.78,2.0,72,E
49,T49,T49,Jeff Maggert,60,2.78,3.0,108,-0.33
50,51,51,Jay Delsing,76,2.74,4.0,146,E
51,T52,T52,Carlos Franco,99,2.63,5.0,190,E
52,T52,T52,Nick Price,51,2.63,2.0,76,+1.00
53,T54,T54,Kevin Na,100,2.6,5.0,192,+0.40
54,T54,T54,Kevin Sutherland,86,2.6,4.0,154,+0.50
55,56,56,J.L. Lewis,106,2.55,5.0,196,+1.00
56,57,57,Bob Estes,73,2.54,3.0,118,+0.33
57,58,58,Adam Scott,55,2.5,2.0,80,-0.50
58,T59,T59,Arjun Atwal,85,2.47,4.0,162,E
59,T59,T59,Hidemichi Tanaka,89,2.47,4.0,162,-0.25
60,61,61,Chris DiMarco,105,2.44,4.0,164,-0.50
61,62,62,Mark Wilson,62,2.42,3.0,124,+0.33
62,T63,T63,Cliff Kresge,89,2.41,4.0,166,+1.00
63,T63,T63,Steve Lowery,91,2.41,4.0,166,+0.50
64,65,65,Scott McCarron,88,2.38,4.0,168,+0.25
65,T66,T66,Charles Howell III,104,2.35,4.0,170,-0.25
66,T66,T66,Spike McRoy,93,2.35,4.0,170,+0.75
67,68,68,Justin Rose,77,2.34,3.0,128,+1.00
68,69,69,Retief Goosen,56,2.33,2.0,86,-0.50
69,T70,T70,Olin Browne,92,2.27,4.0,176,E
70,T70,T70,Luke Donald,72,2.27,3.0,132,+0.33
71,T70,T70,Heath Slocum,92,2.27,4.0,176,-0.25
72,T70,T70,Roland Thatcher,66,2.27,3.0,132,E
73,74,74,Woody Austin,94,2.22,4.0,180,+0.25
74,75,75,Scott Hoch,52,2.17,2.0,92,+0.50
75,T76,T76,Paul Azinger,75,2.11,3.0,142,+1.00
76,T76,T76,Tom Pernice Jr.,103,2.11,4.0,190,+0.25
77,78,78,Pat Perez,102,2.08,4.0,192,+0.25
78,T79,T79,Tim Herron,84,2.05,3.0,146,E
79,T79,T79,Len Mattiace,75,2.05,3.0,146,E
80,81,81,Jay Williamson,100,2.04,4.0,196,+0.50
81,82,82,Kevin Muncrief,50,2.0,2.0,100,+0.50
82,83,83,D.J. Brigman,79,1.97,3.0,152,+0.33
83,84,84,Billy Andrade,104,1.96,4.0,204,E
84,85,85,Chris Smith,105,1.94,4.0,206,+0.75
85,T86,T86,David Frost,78,1.92,3.0,156,E
86,T86,T86,Matt Gogel,86,1.92,3.0,156,-0.33
87,T86,T86,John Huston,62,1.92,2.0,104,E
88,T86,T86,Rory Sabbatini,89,1.92,3.0,156,-0.33
89,90,90,John Cook,57,1.89,2.0,106,E
90,91,91,Shigeki Maruyama,93,1.88,3.0,160,E
91,92,92,Vaughn Taylor,84,1.83,3.0,164,+0.67
92,93,93,Frank Lickliter II,89,1.81,3.0,166,-0.33
93,T94,T94,Peter Lonard,68,1.79,2.0,112,+0.50
94,T94,T94,Jesper Parnevik,86,1.79,3.0,168,+0.33
95,96,96,Stephen Ames,97,1.76,3.0,170,E
96,97,97,David Gossett,57,1.75,2.0,114,+0.50
97,98,98,Ben Crane,92,1.7,3.0,176,E
98,T99,T99,Briny Baird,100,1.69,3.0,178,E
99,T99,T99,Carl Pettersson,100,1.69,3.0,178,E
100,101,101,Alex Cejka,76,1.67,2.0,120,+0.50
101,102,102,Lucas Glover,95,1.65,3.0,182,+0.33
102,T103,T103,Russ Cochran,61,1.64,2.0,122,+0.50
103,T103,T103,Mike Weir,75,1.64,2.0,122,E
104,T105,T105,Robert Damron,92,1.63,3.0,184,+0.33
105,T105,T105,Brian Gay,96,1.63,3.0,184,E
106,107,107,Brian Kortan,65,1.61,2.0,124,+0.50
107,T108,T108,John Senden,99,1.6,3.0,188,+0.67
108,T108,T108,Vijay Singh,112,1.6,3.0,188,+0.33
109,T110,T110,Davis Love III,85,1.59,2.0,126,-0.50
110,T110,T110,Phil Mickelson,83,1.59,2.0,126,-0.50
111,T112,T112,José Coceres,68,1.56,2.0,128,+0.50
112,T112,T112,Tom Lehman,70,1.56,2.0,128,-0.50
113,114,114,Glen Day,101,1.55,3.0,194,+0.33
114,115,115,Dean Wilson,99,1.52,3.0,198,-0.33
115,T116,T116,Tommy Tolles,67,1.49,2.0,134,+2.00
116,T116,T116,Duffy Waldorf,79,1.49,2.0,134,+0.50
117,118,118,Jonathan Kaye,79,1.47,2.0,136,+1.00
118,119,119,Neal Lancaster,106,1.46,3.0,206,+0.33
119,120,120,Mark Calcavecchia,79,1.45,2.0,138,+0.50
120,121,121,Deane Pappas,72,1.43,2.0,140,+1.00
121,122,122,Justin Leonard,90,1.41,2.0,142,E
122,123,123,Tim Clark,84,1.35,2.0,148,-0.50
123,124,124,Shaun Micheel,93,1.33,2.0,150,+0.50
124,T125,T125,Jonathan Byrd,85,1.3,2.0,154,E
125,T125,T125,Danny Ellis,81,1.3,2.0,154,+1.00
126,T125,T125,Grant Waite,79,1.3,2.0,154,+0.50
127,128,128,Lee Janzen,84,1.28,2.0,156,E
128,129,129,Gene Sauers,83,1.23,2.0,162,E
129,T130,T130,Tommy Armour III,87,1.2,2.0,166,+1.00
130,T130,T130,Stewart Cink,103,1.2,2.0,166,+1.00
131,132,132,Ernie Els,62,1.19,1.0,84,+1.00
132,133,133,Skip Kendall,99,1.15,2.0,174,+0.50
133,134,134,Rocco Mediate,53,1.14,1.0,88,+3.00
134,T135,T135,Hank Kuehne,91,1.12,2.0,178,E
135,T135,T135,Jeff Sluman,98,1.12,2.0,178,E
136,137,137,Fred Couples,54,1.09,1.0,92,+1.00
137,T138,T138,Joe Ogilvie,104,1.06,2.0,188,+0.50
138,T138,T138,Brett Quigley,102,1.06,2.0,188,E
139,T138,T138,Joey Sindelar,100,1.06,2.0,188,E
140,141,141,Zach Johnson,109,1.03,2.0,194,+1.00
141,142,142,Tag Ridings,53,1.0,1.0,100,E
142,T143,T143,Tripp Isenhour,55,0.98,1.0,102,+3.00
143,T143,T143,Richard Johnson,102,0.98,2.0,204,-0.50
144,T145,T145,Jeff Brehaut,106,0.96,2.0,208,E
145,T145,T145,Sergio Garcia,65,0.96,1.0,104,E
146,147,147,Tom Carter,113,0.94,2.0,212,E
147,T148,T148,Dudley Hart,60,0.93,1.0,108,+2.00
148,T148,T148,Patrick Sheehan,113,0.93,2.0,214,+0.50
149,T150,T150,Chris Couch,55,0.91,1.0,110,E
150,T150,T150,Scott Simpson,55,0.91,1.0,110,E
151,152,152,David Toms,80,0.83,1.0,120,+1.00
152,153,153,Stuart Appleby,84,0.78,1.0,128,+1.00
153,T154,T154,Rich Beem,81,0.75,1.0,134,E
154,T154,T154,Notah Begay III,71,0.75,1.0,134,E
155,T154,T154,Kris Cox,73,0.75,1.0,134,E
156,157,157,Craig Perks,75,0.74,1.0,136,+1.00
157,158,158,Dan Forsman,79,0.67,1.0,150,E
158,159,159,Robert Allenby,93,0.66,1.0,152,-1.00
159,160,160,Scott Hend,81,0.65,1.0,154,+1.00
160,T161,T161,Craig Barlow,80,0.64,1.0,156,E
161,T161,T161,Brian Bateman,84,0.64,1.0,156,+2.00
162,163,163,Harrison Frazar,86,0.63,1.0,160,+1.00
163,164,164,David Branshaw,84,0.61,1.0,164,+1.00
164,T165,T165,Joe Durant,85,0.6,1.0,166,E
165,T165,T165,Mathias Grönberg,91,0.6,1.0,166,+1.00
166,167,167,Brent Geiberger,94,0.55,1.0,182,-1.00
167,168,168,Bo Van Pelt,107,0.54,1.0,184,E
168,169,169,Cameron Beckman,99,0.53,1.0,188,+1.00
169,T170,T170,Steve Allan,102,0.52,1.0,194,E
170,T170,T170,Kent Jones,99,0.52,1.0,194,-1.00
171,172,172,J.J. Henry,103,0.51,1.0,198,E
172,T173,T173,Billy Mayfair,109,0.5,1.0,202,E
173,T173,T173,Ryan Palmer,103,0.5,1.0,200,-1.00
174,T175,T175,Rich Barcelo,67,0.0,,130,E
175,T175,T175,Jason Bohn,98,0.0,,190,E
176,T175,T175,Danny Briggs,85,0.0,,162,E
177,T175,T175,Bart Bryant,73,0.0,,138,E
178,T175,T175,Greg Chalmers,70,0.0,,140,E
179,T175,T175,Daniel Chopra,108,0.0,,204,E
180,T175,T175,John Daly,79,0.0,,146,E
181,T175,T175,Niclas Fasth,61,0.0,,112,E
182,T175,T175,Robert Gamez,103,0.0,,198,E
183,T175,T175,Mike Heinen,53,0.0,,106,E
184,T175,T175,Hunter Mahan,94,0.0,,180,E
185,T175,T175,Arron Oberholser,77,0.0,,138,E
186,T175,T175,Geoff Ogilvy,91,0.0,,166,E
187,T175,T175,Rod Pampling,98,0.0,,172,E
188,T175,T175,Brenden Pappas,111,0.0,,212,E
189,T175,T175,Craig Parry,52,0.0,,76,E
190,T175,T175,Kenny Perry,79,0.0,,132,E
191,T175,T175,Tim Petrovic,111,0.0,,194,E
192,T175,T175,Ted Purdy,114,0.0,,220,E
193,T175,T175,John Riegger,53,0.0,,106,E
194,T175,T175,Andre Stolz,53,0.0,,106,E
195,T175,T175,Tiger Woods,78,0.0,,112,E
