,Driving_Distance_-_All_Drives_RANK THIS WEEK,Driving_Distance_-_All_Drives_RANK LAST WEEK,Driving_Distance_-_All_Drives_PLAYER NAME,Driving_Distance_-_All_Drives_ROUNDS,Driving_Distance_-_All_Drives_ALL DRIVES,Driving_Distance_-_All_Drives_TOTAL DISTANCE,Driving_Distance_-_All_Drives_# OF DRIVES
0,1,1,Scott Hend,81,298.4,288288,966
1,2,2,Hank Kuehne,91,298.3,346576,1162
2,3,3,John Daly,79,296.2,275781,931
3,4,4,Vijay Singh,112,295.3,366461,1241
4,5,5,Tag Ridings,53,294.2,179751,611
5,6,6,Chris Couch,55,294.1,186477,634
6,T7,T7,Lucas Glover,95,292.1,338275,1158
7,T7,T7,Chris Smith,105,292.1,372463,1275
8,9,9,Mike Heinen,53,290.2,204288,704
9,10,10,J.J. Henry,103,289.0,363861,1259
10,11,11,Steve Allan,102,288.9,352145,1219
11,12,12,Roland Thatcher,66,288.7,241605,837
12,13,13,Brenden Pappas,111,288.4,393033,1363
13,14,14,Dennis Paulson,71,288.3,263461,914
14,15,15,Rich Beem,81,288.1,244585,849
15,16,16,Ernie Els,62,288.0,167068,580
16,17,17,Davis Love III,85,287.9,244411,849
17,T18,T18,Fred Couples,54,287.8,178450,620
18,T18,T18,Tiger Woods,78,287.8,219327,762
19,T20,T20,Phil Mickelson,83,287.6,214841,747
20,T20,T20,Kenny Perry,79,287.6,247929,862
21,22,22,Geoff Ogilvy,91,287.5,297847,1036
22,T23,T23,Kris Cox,73,287.1,242326,844
23,T23,T23,Roger Tambellini,81,287.1,278480,970
24,T25,T25,Sergio Garcia,65,287.0,201497,702
25,T25,T25,Hunter Mahan,94,287.0,328330,1144
26,27,27,Harrison Frazar,86,286.8,280769,979
27,28,28,Rory Sabbatini,89,286.4,298412,1042
28,29,29,Andre Stolz,53,286.3,190080,664
29,30,30,Daniel Chopra,108,286.2,364621,1274
30,T31,T31,Stuart Appleby,84,286.1,236872,828
31,T31,T31,Craig Barlow,80,286.1,274074,958
32,T31,T31,Jason Bohn,98,286.1,347894,1216
33,T31,T31,Deane Pappas,72,286.1,250312,875
34,35,35,Rod Pampling,98,286.0,307461,1075
35,36,36,Adam Scott,55,285.9,161248,564
36,37,37,Dan Olsen,75,285.7,253728,888
37,38,38,Neal Lancaster,106,285.5,367756,1288
38,T39,T39,Tom Carter,113,285.2,378685,1328
39,T39,T39,Ryan Palmer,103,285.2,352838,1237
40,T41,T41,Tommy Armour III,87,285.1,303076,1063
41,T41,T41,Tim Herron,84,285.1,262584,921
42,T43,T43,Jason Dufner,79,284.9,282659,992
43,T43,T43,Jonathan Kaye,79,284.9,246983,867
44,T45,T45,John Senden,99,284.7,339612,1193
