,Total_Driving_RANK THIS WEEK,Total_Driving_RANK LAST WEEK,Total_Driving_PLAYER NAME,Total_Driving_EVENTS,Total_Driving_TOTAL,Total_Driving_DISTANCE RANK,Total_Driving_ACCURACY RANK
0,1,1,Jeff Brehaut,34,79,62,17
1,2,2,John Senden,28,94,23,71
2,T3,T3,Lucas Glover,30,99,6,93
3,T3,T3,Ted Purdy,35,99,76,23
4,T5,T5,Joe Durant,26,101,97,4
5,T5,T5,J.J. Henry,30,101,10,91
6,7,7,Jason Bohn,29,110,41,69
7,8,8,Craig Barlow,25,111,61,50
8,9,9,Brian Bateman,24,113,48,65
9,10,10,Bo Van Pelt,30,114,36,78
10,11,11,Robert Allenby,26,116,34,82
11,12,12,Harrison Frazar,25,117,18,99
12,13,13,Jay Williamson,33,118,85,33
13,T14,T14,Cameron Beckman,30,121,59,62
14,T14,T14,Geoff Ogilvy,26,121,7,114
15,T16,T16,Scott McCarron,27,123,39,84
16,T16,T16,Joey Sindelar,31,123,53,70
17,18,18,Vaughn Taylor,27,125,46,79
18,19,19,Tom Lehman,19,126,97,29
19,20,20,Mike Heinen,17,127,4,123
20,21,21,Zach Johnson,30,128,113,15
21,22,22,Roland Thatcher,23,129,43,86
22,23,23,Kent Jones,32,130,103,27
23,24,24,Pat Perez,32,134,54,80
24,25,25,John Rollins,29,137,101,36
25,26,26,Billy Mayfair,32,140,118,22
26,27,27,Notah Begay III,23,141,110,31
27,28,28,Ryan Palmer,33,142,29,113
28,29,29,Brent Geiberger,31,143,56,87
29,T30,T30,Bart Bryant,23,145,138,7
30,T30,T30,Steve Elkington,20,145,100,45
31,32,32,Mark Calcavecchia,24,148,56,92
32,33,33,Olin Browne,30,150,142,8
33,34,34,Phil Mickelson,22,151,30,121
34,T35,T35,Jonathan Kaye,25,152,62,90
35,T35,T35,Mark Wilson,19,152,138,14
36,T37,T37,Frank Lickliter II,27,154,94,60
37,T37,T37,Kenny Perry,23,154,26,128
38,39,39,Matt Gogel,25,155,113,42
39,T40,T40,Briny Baird,30,156,73,83
40,T40,T40,J.L. Lewis,32,156,83,73
41,T40,T40,Rocco Mediate,19,156,131,25
42,T40,T40,Tom Pernice Jr.,31,156,109,47
43,T40,T40,Duffy Waldorf,26,156,116,40
44,45,45,Arron Oberholser,23,159,122,37
45,46,46,Rich Beem,28,160,22,138
46,T47,T47,Chris Smith,33,161,5,156
47,T47,T47,Kevin Sutherland,27,161,105,56
48,T47,T47,Hidemichi Tanaka,27,161,150,11
49,T50,T50,Jonathan Byrd,27,162,28,134
50,T50,T50,Robert Gamez,31,162,85,77
51,T52,T52,Dennis Paulson,21,163,14,149
52,T52,T52,Vijay Singh,29,163,13,150
53,T54,T54,Retief Goosen,16,164,38,126
54,T54,T54,Brian Kortan,24,164,47,117
55,T56,T56,Richard Johnson,32,165,131,34
56,T56,T56,Davis Love III,24,165,14,151
57,58,58,Stuart Appleby,25,167,42,125
58,59,59,Woody Austin,29,168,56,112
59,60,60,D.J. Brigman,27,169,65,104
60,T61,T61,Steve Allan,33,170,11,159
61,T61,T61,Stephen Ames,27,170,89,81
62,T61,T61,David Branshaw,30,170,110,60
63,T61,T61,John Huston,20,170,103,67
64,65,65,José Coceres,20,172,166,6
65,66,66,Mark Hensby,29,173,122,51
66,T67,T67,Heath Slocum,31,175,157,18
67,T67,T67,Scott Verplank,24,175,173,2
68,69,69,Hunter Mahan,30,176,45,131
69,70,70,Charles Howell III,30,177,82,95
70,71,71,Kris Cox,26,178,16,162
71,T72,T72,Glen Day,33,179,107,72
72,T72,T72,Kirk Triplett,24,179,167,12
73,T74,T74,Tim Clark,26,181,168,13
74,T74,T74,Roger Tambellini,28,181,21,160
75,T76,T76,Jeff Maggert,20,183,148,35
76,T76,T76,Hirofumi Miyase,27,183,163,20
77,78,78,Deane Pappas,22,184,32,152
78,79,79,Andre Stolz,20,185,20,165
79,80,80,Justin Leonard,25,187,134,53
