,Back_9_Round_4_Scoring_Average_RANK THIS WEEK,Back_9_Round_4_Scoring_Average_RANK LAST WEEK,Back_9_Round_4_Scoring_Average_PLAYER NAME,Back_9_Round_4_Scoring_Average_AVG,Back_9_Round_4_Scoring_Average_TOTAL STROKES,Back_9_Round_4_Scoring_Average_TOTAL ROUNDS
0,T1,T1,Fulton Allem,33.43,234,7
1,T1,T1,Bill Glasson,33.43,234,7
2,3,3,Scott Verplank,34.3,789,23
3,4,4,Dudley Hart,34.33,515,15
4,5,5,Russ Cochran,34.43,482,14
5,6,6,Jay Williamson,34.5,414,12
6,7,7,Neal Lancaster,34.56,622,18
7,8,8,Fred Couples,34.57,484,14
8,9,9,Tiger Woods,34.58,657,19
9,10,10,Joey Sindelar,34.6,346,10
10,11,11,Brian Henninger,34.64,381,11
11,T12,T12,Robert Gamez,34.67,208,6
12,T12,T12,Scott Hoch,34.67,624,18
13,14,14,Esteban Toledo,34.68,763,22
14,15,15,Ian Leggatt,34.69,451,13
15,16,16,Joe Durant,34.71,486,14
16,17,17,Charles Howell III,34.74,660,19
17,T18,T18,Tom Lehman,34.75,556,16
18,T18,T18,Tommy Tolles,34.75,417,12
19,T20,T20,Rich Beem,34.79,487,14
20,T20,T20,Greg Chalmers,34.79,661,19
21,22,22,Glen Day,34.8,522,15
22,23,23,Michael Muehr,34.86,488,14
23,24,24,Brian Gay,34.88,837,24
24,T25,T25,Joel Edwards,34.89,663,19
25,T25,T25,Jim Furyk,34.89,663,19
26,27,27,Danny Ellis,34.9,349,10
27,28,28,Jason Gore,34.91,384,11
28,T29,T29,Bernhard Langer,34.93,489,14
29,T29,T29,Spike McRoy,34.93,489,14
30,31,31,David Peoples,34.94,594,17
31,32,32,Paul Azinger,34.95,664,19
32,T33,T33,Doug Dunakey,35.0,315,9
33,T33,T33,David Frost,35.0,560,16
34,T33,T33,Brent Geiberger,35.0,560,16
35,T33,T33,Paul Gow,35.0,385,11
36,T33,T33,Jimmy Green,35.0,455,13
37,T33,T33,Justin Leonard,35.0,700,20
38,T33,T33,Billy Mayfair,35.0,735,21
39,T33,T33,Craig Perks,35.0,280,8
40,T33,T33,Brett Quigley,35.0,420,12
41,T33,T33,Vijay Singh,35.0,770,22
42,T33,T33,Hal Sutton,35.0,770,22
43,44,44,Stewart Cink,35.05,736,21
44,45,45,Rory Sabbatini,35.08,421,12
45,T46,T46,Steve Flesch,35.09,807,23
46,T46,T46,Skip Kendall,35.09,772,22
47,T46,T46,David Toms,35.09,772,22
48,T49,T49,Bob May,35.13,562,16
49,T49,T49,Mark Wiebe,35.13,281,8
50,T51,T51,John Cook,35.15,703,20
51,T51,T51,Paul Goydos,35.15,457,13
52,T53,T53,Frank Nobilo,35.17,633,18
53,T53,T53,Brian Wilson,35.17,422,12
54,T55,T55,David Duval,35.18,598,17
55,T55,T55,Per-Ulrik Johansson,35.18,387,11
56,T55,T55,Craig Parry,35.18,387,11
57,T55,T55,Kirk Triplett,35.18,598,17
58,T59,T59,Matt Gogel,35.2,528,15
59,T59,T59,Cliff Kresge,35.2,352,10
60,T59,T59,Andrew McLardy,35.2,352,10
61,62,62,Steve Stricker,35.21,493,14
62,T63,T63,Ronnie Black,35.22,317,9
63,T63,T63,K.J. Choi,35.22,634,18
64,65,65,Steve Lowery,35.23,775,22
65,T66,T66,Davis Love III,35.24,599,17
66,T66,T66,Kenny Perry,35.24,740,21
67,68,68,Billy Andrade,35.25,423,12
68,69,69,Jeff Sluman,35.27,776,22
69,T70,T70,Jay Don Blake,35.28,635,18
70,T70,T70,Olin Browne,35.28,635,18
71,T72,T72,Briny Baird,35.29,741,21
72,T72,T72,J.J. Henry,35.29,494,14
73,T72,T72,Nick Price,35.29,600,17
74,T72,T72,Scott Simpson,35.29,494,14
75,T72,T72,Jean Van de Velde,35.29,247,7
76,T77,T77,Bob Burns,35.31,565,16
77,T77,T77,Fred Funk,35.31,918,26
78,T77,T77,Sergio Garcia,35.31,459,13
79,80,80,Len Mattiace,35.32,671,19
80,T81,T81,Jay Haas,35.33,530,15
81,T81,T81,Chris Tidland,35.33,424,12
82,T83,T83,John Riegger,35.35,601,17
83,T83,T83,Kevin Sutherland,35.35,707,20
84,85,85,"David Berganio, Jr.",35.36,495,14
85,T86,T86,Jeff Brehaut,35.38,460,13
86,T86,T86,Mark Brooks,35.38,566,16
87,88,88,Tom Pernice Jr.,35.39,637,18
88,89,89,Jeff Julian,35.4,177,5
89,T90,T90,Steve Allan,35.42,425,12
90,T90,T90,Bob Tway,35.42,850,24
91,T92,T92,Jeremy Anderson,35.43,248,7
92,T92,T92,Edward Fryatt,35.43,496,14
93,T92,T92,Jeff Maggert,35.43,496,14
94,T92,T92,Shigeki Maruyama,35.43,744,21
95,96,96,Tom Byrum,35.44,567,16
96,97,97,Bob Estes,35.47,674,19
97,T98,T98,Larry Mize,35.5,497,14
98,T98,T98,Dicky Pride,35.5,426,12
99,T98,T98,Ted Tryba,35.5,710,20
100,T101,T101,Frank Lickliter II,35.52,746,21
101,T101,T101,Jesper Parnevik,35.52,746,21
102,103,103,Rocco Mediate,35.53,533,15
103,104,104,Michael Clark II,35.54,462,13
104,T105,T105,Cameron Beckman,35.55,711,20
105,T105,T105,Scott McCarron,35.55,782,22
106,T107,T107,Craig Barlow,35.57,498,14
107,T107,T107,Corey Pavin,35.57,498,14
108,T109,T109,Steve Elkington,35.58,427,12
109,T109,T109,John Huston,35.58,427,12
110,T109,T109,Jonathan Kaye,35.58,854,24
111,T112,T112,Stephen Ames,35.59,605,17
112,T112,T112,Pete Jordan,35.59,605,17
113,T114,T114,J.P. Hayes,35.6,534,15
114,T114,T114,Mike Weir,35.6,712,20
115,T116,T116,Mark Calcavecchia,35.63,570,16
116,T116,T116,Chris DiMarco,35.63,855,24
117,T116,T116,Kent Jones,35.63,285,8
118,T116,T116,Jerry Smith,35.63,570,16
119,120,120,Blaine McCallister,35.64,392,11
120,121,121,Brad Elder,35.65,713,20
121,T122,T122,Jeff Hart,35.67,535,15
122,T122,T122,Grant Waite,35.67,428,12
123,124,124,Chris Smith,35.68,678,19
124,T125,T125,Dennis Paulson,35.69,464,13
125,T125,T125,Carl Paulson,35.69,571,16
126,127,127,Franklin Langham,35.7,357,10
127,128,128,Woody Austin,35.71,500,14
128,T129,T129,José Coceres,35.73,393,11
129,T129,T129,Steve Jones,35.73,393,11
130,T129,T129,Brent Schwarzrock,35.73,393,11
131,T132,T132,J.L. Lewis,35.77,787,22
132,T132,T132,Gary Nicklaus,35.77,465,13
133,T134,T134,Robert Damron,35.78,644,18
134,T134,T134,José María Olazábal,35.78,322,9
135,T136,T136,Brandel Chamblee,35.8,537,15
136,T136,T136,Tripp Isenhour,35.8,537,15
137,T136,T136,Steve Pate,35.8,537,15
138,T139,T139,Carlos Franco,35.82,609,17
139,T139,T139,Lee Janzen,35.82,609,17
140,141,141,Mike Sposa,35.83,645,18
141,142,142,Phil Mickelson,35.84,681,19
142,T143,T143,Stuart Appleby,35.86,753,21
143,T143,T143,Tommy Armour III,35.86,502,14
144,145,145,Dan Forsman,35.87,538,15
145,T146,T146,Robert Allenby,35.88,861,24
146,T146,T146,Mark Hensby,35.88,287,8
147,T148,T148,Glen Hnatiuk,35.9,718,20
148,T148,T148,Chris Riley,35.9,718,20
149,T148,T148,Willie Wood,35.9,359,10
150,T151,T151,Donnie Hammond,35.91,395,11
151,T151,T151,Craig Kanada,35.91,395,11
152,153,153,Loren Roberts,35.94,611,17
153,T154,T154,Keith Clearwater,36.0,252,7
154,T154,T154,Ben Ferguson,36.0,252,7
155,T154,T154,Tim Herron,36.0,648,18
156,T154,T154,Chris Perry,36.0,504,14
157,T158,T158,Ernie Els,36.08,469,13
158,T158,T158,Brian Watts,36.08,433,12
159,160,160,Jerry Kelly,36.1,722,20
160,161,161,Greg Kraft,36.11,686,19
161,T162,T162,Mathew Goggin,36.14,506,14
162,T162,T162,Geoff Ogilvy,36.14,253,7
163,T164,T164,Kelly Grunewald,36.17,217,6
164,T164,T164,Mark O'Meara,36.17,434,12
165,T166,T166,Harrison Frazar,36.18,615,17
166,T166,T166,Duffy Waldorf,36.18,398,11
167,168,168,Jim Carter,36.22,833,23
168,169,169,Scott Dunlap,36.23,471,13
169,T170,T170,Ben Bates,36.25,290,8
170,T170,T170,Gabriel Hjertstedt,36.25,290,8
171,172,172,Jim McGovern,36.27,399,11
172,173,173,Rocky Walcher,36.33,109,3
173,T174,T174,Kevin Johnson,36.36,509,14
174,T174,T174,Garrett Willis,36.36,400,11
175,176,176,Kaname Yokoo,36.38,473,13
176,177,177,Lee Porter,36.4,546,15
177,178,178,Robin Freeman,36.41,619,17
178,179,179,"Dave Stockton, Jr.",36.44,328,9
179,180,180,Joe Ogilvie,36.5,730,20
180,181,181,Brad Faxon,36.53,694,19
181,182,182,John Daly,36.56,585,16
182,183,183,Bradley Hughes,36.6,549,15
183,184,184,David Morland IV,36.64,513,14
184,185,185,Shaun Micheel,36.69,587,16
185,186,186,Brandt Jobe,36.71,624,17
186,187,187,Doug Barron,36.75,294,8
187,188,188,Tom Scherrer,36.86,258,7
188,T189,T189,Richie Coughlan,36.88,295,8
189,T189,T189,Hunter Haas,36.88,295,8
190,191,191,Paul Stankowski,36.89,664,18
191,192,192,Marco Dawson,36.9,369,10
192,193,193,Sean Murphy,37.0,296,8
193,194,194,Andrew Magee,37.69,603,16
