,Birdie_or_Better_Percentage_-_Right_Rough_RANK THIS WEEK,Birdie_or_Better_Percentage_-_Right_Rough_RANK LAST WEEK,Birdie_or_Better_Percentage_-_Right_Rough_PLAYER NAME,Birdie_or_Better_Percentage_-_Right_Rough_ROUNDS,Birdie_or_Better_Percentage_-_Right_Rough_%,Birdie_or_Better_Percentage_-_Right_Rough_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_Right_Rough_TOTAL HOLES
0,T1,T1,Greg Chalmers,92,100.0,1.0,1
1,T1,T1,Chris Tidland,83,100.0,1.0,1
2,3,3,Neal Lancaster,107,62.5,5.0,8
3,4,4,Jim Furyk,88,55.56,5.0,9
4,T5,T5,Fulton Allem,56,50.0,1.0,2
5,T5,T5,Mark Calcavecchia,81,50.0,3.0,6
6,T5,T5,Robert Damron,91,50.0,1.0,2
7,T5,T5,Brent Geiberger,84,50.0,1.0,2
8,T5,T5,Gary Nicklaus,96,50.0,1.0,2
9,T5,T5,David Toms,100,50.0,3.0,6
10,11,11,Shigeki Maruyama,98,42.86,3.0,7
11,T12,T12,Ernie Els,70,40.0,4.0,10
12,T12,T12,Fred Funk,118,40.0,2.0,5
13,T12,T12,Sergio Garcia,64,40.0,2.0,5
14,T12,T12,Craig Perks,78,40.0,2.0,5
15,16,16,Kevin Sutherland,101,37.5,3.0,8
16,T17,T17,"David Berganio, Jr.",76,33.33,1.0,3
17,T17,T17,Olin Browne,99,33.33,2.0,6
18,T17,T17,Brian Gay,114,33.33,1.0,3
19,T17,T17,Nick Price,74,33.33,2.0,6
20,T17,T17,Mike Weir,86,33.33,2.0,6
21,T17,T17,Garrett Willis,88,33.33,1.0,3
22,23,23,Vijay Singh,98,31.25,5.0,16
23,24,24,David Duval,78,30.0,3.0,10
24,T25,T25,Stuart Appleby,105,28.57,2.0,7
25,T25,T25,Russ Cochran,76,28.57,2.0,7
26,T25,T25,Bill Glasson,69,28.57,2.0,7
27,T28,T28,Paul Azinger,79,25.0,2.0,8
28,T28,T28,Matt Gogel,83,25.0,1.0,4
29,T28,T28,Bradley Hughes,96,25.0,1.0,4
30,T28,T28,Scott McCarron,98,25.0,2.0,8
31,T28,T28,David Peoples,96,25.0,1.0,4
32,T28,T28,Lee Porter,93,25.0,1.0,4
33,T28,T28,Paul Stankowski,91,25.0,1.0,4
34,35,35,Billy Mayfair,102,23.53,4.0,17
35,36,36,Chris DiMarco,108,23.08,3.0,13
36,T37,T37,Jonathan Kaye,116,22.22,2.0,9
37,T37,T37,Skip Kendall,111,22.22,2.0,9
38,T37,T37,Jesper Parnevik,91,22.22,2.0,9
39,T40,T40,Robert Allenby,108,20.0,1.0,5
40,T40,T40,Brad Elder,111,20.0,1.0,5
41,T40,T40,David Frost,87,20.0,1.0,5
42,T40,T40,Paul Goydos,86,20.0,1.0,5
43,T40,T40,Pete Jordan,105,20.0,1.0,5
44,T40,T40,Larry Mize,76,20.0,1.0,5
45,T40,T40,Frank Nobilo,91,20.0,1.0,5
46,T40,T40,Tom Scherrer,69,20.0,1.0,5
47,T40,T40,Esteban Toledo,116,20.0,1.0,5
48,T40,T40,Grant Waite,78,20.0,1.0,5
49,T40,T40,Kaname Yokoo,81,20.0,1.0,5
50,T51,T51,Jay Don Blake,100,18.18,2.0,11
51,T51,T51,Justin Leonard,106,18.18,2.0,11
52,T51,T51,Rory Sabbatini,73,18.18,2.0,11
53,T54,T54,Briny Baird,106,16.67,1.0,6
54,T54,T54,Cameron Beckman,103,16.67,1.0,6
55,T54,T54,Tom Byrum,85,16.67,1.0,6
56,T54,T54,Joe Durant,80,16.67,1.0,6
57,T54,T54,Carlos Franco,87,16.67,1.0,6
58,T54,T54,Harrison Frazar,88,16.67,2.0,12
59,T54,T54,Per-Ulrik Johansson,82,16.67,1.0,6
60,T54,T54,Spike McRoy,95,16.67,1.0,6
61,T54,T54,Chris Riley,104,16.67,1.0,6
62,T54,T54,Jeff Sluman,106,16.67,2.0,12
63,T54,T54,Tiger Woods,76,16.67,1.0,6
64,T65,T65,Stewart Cink,102,14.29,2.0,14
65,T65,T65,John Cook,91,14.29,1.0,7
66,T65,T65,Steve Elkington,64,14.29,1.0,7
67,T65,T65,Danny Ellis,76,14.29,1.0,7
68,T65,T65,Bob Estes,91,14.29,1.0,7
69,T65,T65,Shaun Micheel,103,14.29,1.0,7
70,T65,T65,Michael Muehr,94,14.29,1.0,7
71,T65,T65,Mike Sposa,96,14.29,1.0,7
72,T65,T65,Steve Stricker,73,14.29,1.0,7
73,T74,T74,Charles Howell III,89,12.5,1.0,8
74,T74,T74,Tom Lehman,82,12.5,1.0,8
75,T74,T74,John Riegger,86,12.5,1.0,8
76,T74,T74,Bob Tway,109,12.5,1.0,8
77,T78,T78,Lee Janzen,96,11.11,1.0,9
78,T78,T78,Steve Lowery,100,11.11,1.0,9
79,80,80,Kenny Perry,94,10.0,1.0,10
80,T81,T81,Mathew Goggin,96,9.09,1.0,11
81,T81,T81,Blaine McCallister,80,9.09,1.0,11
82,83,83,Davis Love III,75,6.25,1.0,16
83,T84,T84,Stephen Ames,88,0.0,,3
84,T84,T84,Jeremy Anderson,69,0.0,,1
85,T84,T84,Billy Andrade,82,0.0,,2
86,T84,T84,Tommy Armour III,93,0.0,,7
87,T84,T84,Woody Austin,99,0.0,,3
88,T84,T84,Doug Barron,62,0.0,,2
89,T84,T84,Mark Brooks,88,0.0,,3
90,T84,T84,Bob Burns,92,0.0,,4
91,T84,T84,Jim Carter,103,0.0,,1
92,T84,T84,Brandel Chamblee,77,0.0,,2
93,T84,T84,K.J. Choi,95,0.0,,1
94,T84,T84,Michael Clark II,87,0.0,,4
95,T84,T84,Keith Clearwater,62,0.0,,1
96,T84,T84,José Coceres,60,0.0,,6
97,T84,T84,Fred Couples,68,0.0,,1
98,T84,T84,John Daly,84,0.0,,5
99,T84,T84,Marco Dawson,57,0.0,,2
100,T84,T84,Glen Day,89,0.0,,5
101,T84,T84,Doug Dunakey,83,0.0,,3
102,T84,T84,Scott Dunlap,80,0.0,,2
103,T84,T84,Joel Edwards,99,0.0,,2
104,T84,T84,Brad Faxon,95,0.0,,11
105,T84,T84,Steve Flesch,112,0.0,,5
106,T84,T84,Robin Freeman,105,0.0,,1
107,T84,T84,Edward Fryatt,93,0.0,,2
108,T84,T84,Jason Gore,82,0.0,,2
109,T84,T84,Paul Gow,79,0.0,,1
110,T84,T84,Jimmy Green,94,0.0,,4
111,T84,T84,Kelly Grunewald,66,0.0,,1
112,T84,T84,Hunter Haas,78,0.0,,1
113,T84,T84,Jeff Hart,87,0.0,,1
114,T84,T84,Brian Henninger,81,0.0,,5
115,T84,T84,J.J. Henry,86,0.0,,2
116,T84,T84,Mark Hensby,71,0.0,,1
117,T84,T84,Gabriel Hjertstedt,76,0.0,,1
118,T84,T84,Glen Hnatiuk,104,0.0,,3
119,T84,T84,Scott Hoch,84,0.0,,7
120,T84,T84,Brandt Jobe,96,0.0,,5
121,T84,T84,Steve Jones,75,0.0,,2
122,T84,T84,Jerry Kelly,104,0.0,,1
123,T84,T84,Greg Kraft,105,0.0,,5
124,T84,T84,Cliff Kresge,84,0.0,,1
125,T84,T84,Bernhard Langer,62,0.0,,3
126,T84,T84,Ian Leggatt,84,0.0,,2
127,T84,T84,J.L. Lewis,108,0.0,,6
128,T84,T84,Frank Lickliter II,102,0.0,,11
129,T84,T84,Andrew Magee,97,0.0,,6
130,T84,T84,Jeff Maggert,84,0.0,,3
131,T84,T84,Len Mattiace,98,0.0,,3
132,T84,T84,Rocco Mediate,69,0.0,,4
133,T84,T84,David Morland IV,88,0.0,,6
134,T84,T84,Mark O'Meara,69,0.0,,1
135,T84,T84,Joe Ogilvie,110,0.0,,4
136,T84,T84,Geoff Ogilvy,60,0.0,,4
137,T84,T84,Craig Parry,68,0.0,,3
138,T84,T84,Dennis Paulson,75,0.0,,1
139,T84,T84,Carl Paulson,93,0.0,,7
140,T84,T84,Corey Pavin,72,0.0,,2
141,T84,T84,Tom Pernice Jr.,106,0.0,,10
142,T84,T84,Chris Perry,80,0.0,,2
143,T84,T84,Dicky Pride,78,0.0,,2
144,T84,T84,Loren Roberts,84,0.0,,5
145,T84,T84,Chris Smith,101,0.0,,2
146,T84,T84,Jerry Smith,95,0.0,,2
147,T84,T84,Hal Sutton,96,0.0,,8
148,T84,T84,Kirk Triplett,88,0.0,,3
149,T84,T84,Ted Tryba,110,0.0,,4
150,T84,T84,Scott Verplank,99,0.0,,9
151,T84,T84,Rocky Walcher,59,0.0,,3
152,T84,T84,Duffy Waldorf,77,0.0,,2
153,T84,T84,Jay Williamson,92,0.0,,5
154,T84,T84,Brian Wilson,88,0.0,,4
