,Scoring_Average_Actual_RANK THIS WEEK,Scoring_Average_Actual_RANK LAST WEEK,Scoring_Average_Actual_PLAYER NAME,Scoring_Average_Actual_ROUNDS,Scoring_Average_Actual_AVG,Scoring_Average_Actual_TOTAL STROKES,Scoring_Average_Actual_TOTAL ROUNDS
0,1,1,Tiger Woods,76,68.87,5234,76
1,2,2,Davis Love III,75,69.03,5177,75
2,3,3,Phil Mickelson,85,69.16,5671,82
3,4,4,Vijay Singh,98,69.34,6379,92
4,5,5,Scott Verplank,99,69.48,6740,97
5,6,6,Bob Estes,91,69.55,6120,88
6,7,7,Scott McCarron,98,69.57,6540,94
7,8,8,David Duval,78,69.58,5149,74
8,9,9,Charles Howell III,89,69.59,5915,85
9,T10,T10,Sergio Garcia,64,69.6,4176,60
10,T10,T10,Kenny Perry,94,69.6,6194,89
11,12,12,Jim Furyk,88,69.65,6129,88
12,13,13,Jeff Sluman,106,69.67,7246,104
13,14,14,Nick Price,74,69.69,5157,74
14,15,15,Chris DiMarco,108,69.7,7179,103
15,16,16,David Toms,100,69.71,6692,96
16,17,17,Tom Lehman,82,69.75,5510,79
17,18,18,Bernhard Langer,62,69.8,4258,61
18,19,19,Scott Hoch,84,69.87,5869,84
19,20,20,Paul Azinger,79,69.96,5527,79
20,21,21,Rocco Mediate,69,69.97,4828,69
21,22,22,Kirk Triplett,88,70.0,5810,83
22,23,23,Billy Mayfair,102,70.01,7001,100
23,T24,T24,Cameron Beckman,103,70.02,6932,99
24,T24,T24,Jesper Parnevik,91,70.02,6372,91
25,26,26,Jay Haas,75,70.04,5043,72
26,27,27,Mike Weir,86,70.06,6025,86
27,28,28,Bob Tway,109,70.08,7429,106
28,29,29,Joel Edwards,99,70.09,6939,99
29,T30,T30,Stewart Cink,102,70.1,6800,97
30,T30,T30,Brian Gay,114,70.1,7851,112
31,T30,T30,Kevin Sutherland,101,70.1,6870,98
32,33,33,John Cook,91,70.13,6171,88
33,T34,T34,Frank Lickliter II,102,70.14,7154,102
34,T34,T34,Brett Quigley,67,70.14,4419,63
35,T36,T36,Fred Funk,118,70.15,8208,117
36,T36,T36,Dudley Hart,80,70.15,5261,75
37,38,38,Hal Sutton,96,70.18,6667,95
38,39,39,Brian Watts,56,70.21,3932,56
39,40,40,Mark Calcavecchia,81,70.27,5551,79
40,41,41,Joe Durant,80,70.31,5625,80
41,42,42,Shigeki Maruyama,98,70.32,6610,94
42,43,43,Olin Browne,99,70.33,6752,96
43,44,44,Jerry Kelly,104,70.34,7104,101
44,T45,T45,Brad Faxon,95,70.36,6121,87
45,T45,T45,Steve Lowery,100,70.36,6825,97
46,47,47,Glen Day,89,70.37,5911,84
47,T48,T48,Briny Baird,106,70.39,7250,103
48,T48,T48,José Coceres,60,70.39,4012,57
49,T50,T50,Stuart Appleby,105,70.4,6899,98
50,T50,T50,Skip Kendall,111,70.4,7603,108
51,T52,T52,Greg Chalmers,92,70.43,6268,89
52,T52,T52,Justin Leonard,106,70.43,6973,99
53,T54,T54,Robert Allenby,108,70.44,7467,106
54,T54,T54,Chris Smith,101,70.44,6903,98
55,56,56,Stephen Ames,88,70.45,5918,84
56,T57,T57,Steve Flesch,112,70.46,7539,107
57,T57,T57,Bob May,86,70.46,5637,80
58,T59,T59,Ernie Els,70,70.5,4230,60
59,T59,T59,Chris Riley,104,70.5,7050,100
60,61,61,Brent Geiberger,84,70.51,5570,79
61,62,62,"David Berganio, Jr.",76,70.52,5148,73
62,63,63,Steve Stricker,73,70.54,4585,65
63,64,64,Donnie Hammond,51,70.57,3599,51
64,T65,T65,Russ Cochran,76,70.58,5152,73
65,T65,T65,Neal Lancaster,107,70.58,7411,105
66,T67,T67,K.J. Choi,95,70.6,6495,92
67,T67,T67,Tim Herron,97,70.6,6425,91
68,T67,T67,Jonathan Kaye,116,70.6,7907,112
69,70,70,David Peoples,96,70.61,6567,93
70,71,71,Mike Sposa,96,70.62,6568,93
71,72,72,J.J. Henry,86,70.63,5933,84
72,73,73,Lee Janzen,96,70.66,6501,92
73,T74,T74,Glen Hnatiuk,104,70.68,7139,101
74,T74,T74,John Riegger,86,70.68,5937,84
75,T74,T74,Loren Roberts,84,70.68,5937,84
76,77,77,Frank Nobilo,91,70.69,6291,89
77,T78,T78,John Daly,84,70.7,5797,82
78,T78,T78,Len Mattiace,98,70.7,6787,96
79,T80,T80,Craig Parry,68,70.71,4455,63
80,T80,T80,Scott Simpson,73,70.71,5162,73
81,T82,T82,Jay Don Blake,100,70.75,6792,96
82,T82,T82,Harrison Frazar,88,70.75,5943,84
83,T84,T84,Billy Andrade,82,70.76,5590,79
84,T84,T84,Michael Muehr,94,70.76,6510,92
85,86,86,Jerry Smith,95,70.78,6724,95
86,T87,T87,Craig Barlow,74,70.79,5097,72
87,T87,T87,Edward Fryatt,93,70.79,6300,89
88,89,89,Corey Pavin,72,70.81,4957,70
89,90,90,Fred Couples,68,70.82,4816,68
90,91,91,Tom Pernice Jr.,106,70.83,7225,102
91,T92,T92,Jim Carter,103,70.84,7155,101
92,T92,T92,J.L. Lewis,108,70.84,7509,106
93,T94,T94,David Frost,87,70.86,6165,87
94,T94,T94,Brandt Jobe,96,70.86,6661,94
95,T94,T94,Jeff Maggert,84,70.86,5952,84
96,97,97,John Huston,64,70.88,4253,60
97,T98,T98,Per-Ulrik Johansson,82,70.91,5673,80
98,T98,T98,Spike McRoy,95,70.91,6453,91
99,T98,T98,Esteban Toledo,116,70.91,8084,114
100,T101,T101,Dan Forsman,81,70.92,5532,78
101,T101,T101,Ian Leggatt,84,70.92,5957,84
102,103,103,Tom Byrum,85,70.93,6029,85
