,Final_Round_Performance_RANK THIS WEEK,Final_Round_Performance_RANK LAST WEEK,Final_Round_Performance_PLAYER NAME,Final_Round_Performance_EVENTS,Final_Round_Performance_%
0,T1,T1,Joe Durant,25,85.71
1,T1,T1,Kent Jones,28,85.71
2,3,3,Kelly Grunewald,27,83.33
3,4,4,Jason Gore,30,81.82
4,5,5,Brian Henninger,29,80.0
5,6,6,Sergio Garcia,18,76.92
6,7,7,Shigeki Maruyama,27,76.19
7,T8,T8,Billy Andrade,27,75.0
8,T8,T8,Ian Leggatt,29,75.0
9,T8,T8,Kenny Perry,26,75.0
10,11,11,Tiger Woods,19,73.68
11,12,12,Dudley Hart,25,73.33
12,T13,T13,Skip Kendall,33,72.73
13,T13,T13,Vijay Singh,26,72.73
14,15,15,Olin Browne,30,72.22
15,T16,T16,Fulton Allem,21,71.43
16,T16,T16,Jeff Maggert,27,71.43
17,T16,T16,Michael Muehr,32,71.43
18,T16,T16,Jean Van de Velde,17,71.43
19,T20,T20,Davis Love III,20,70.59
20,T20,T20,David Peoples,31,70.59
21,T20,T20,Nick Price,20,70.59
22,T20,T20,Kirk Triplett,26,70.59
23,T24,T24,Stewart Cink,29,70.0
24,T24,T24,Franklin Langham,22,70.0
25,26,26,Scott Verplank,26,69.57
26,T27,T27,Mark Calcavecchia,23,68.75
27,T27,T27,John Daly,25,68.75
28,T27,T27,Brent Geiberger,25,68.75
29,T27,T27,Tom Lehman,23,68.75
30,31,31,Phil Mickelson,23,68.42
31,T32,T32,Hal Sutton,26,68.18
32,T32,T32,David Toms,28,68.18
33,T34,T34,Ronnie Black,17,66.67
34,T34,T34,Steve Elkington,20,66.67
35,T34,T34,David Frost,27,66.67
36,T34,T34,Robert Gamez,22,66.67
37,T34,T34,Paul Goydos,29,66.67
38,T34,T34,Jimmy Green,33,66.67
39,T34,T34,Jay Haas,21,66.67
40,T34,T34,Neal Lancaster,36,66.67
41,T34,T34,Billy Mayfair,29,66.67
42,T34,T34,José María Olazábal,15,66.67
43,T34,T34,Dennis Paulson,25,66.67
44,T34,T34,Tom Pernice Jr.,33,66.67
45,T34,T34,Rocky Walcher,26,66.67
46,47,47,Fred Funk,33,65.38
47,T48,T48,Justin Leonard,30,65.0
48,T48,T48,Chris Riley,30,65.0
49,50,50,Loren Roberts,25,64.71
50,T51,T51,Brandel Chamblee,23,64.29
51,T51,T51,J.J. Henry,28,64.29
52,T53,T53,Scott McCarron,25,63.64
53,T53,T53,Brent Schwarzrock,20,63.64
54,T53,T53,Tommy Tolles,31,63.64
55,T56,T56,Bob Estes,26,63.16
56,T56,T56,Jim Furyk,24,63.16
57,T58,T58,"Dave Stockton, Jr.",21,62.5
58,T58,T58,Bob Tway,29,62.5
59,T58,T58,Mark Wiebe,24,62.5
60,61,61,Esteban Toledo,36,61.9
61,T62,T62,Jeff Brehaut,26,61.54
62,T62,T62,Ernie Els,19,61.54
63,T64,T64,K.J. Choi,29,61.11
64,T64,T64,Tim Herron,29,61.11
65,T64,T64,Mike Sposa,29,61.11
66,T67,T67,Cameron Beckman,29,60.0
67,T67,T67,Glen Day,28,60.0
68,T67,T67,Brad Elder,35,60.0
69,T67,T67,Jeff Julian,22,60.0
70,T67,T67,Cliff Kresge,31,60.0
71,T67,T67,Joey Sindelar,25,60.0
72,T67,T67,Kevin Sutherland,30,60.0
73,74,74,Jeff Sluman,30,59.09
74,T75,T75,Stephen Ames,26,58.82
75,T75,T75,David Duval,20,58.82
76,T75,T75,John Riegger,27,58.82
77,T78,T78,Steve Allan,31,58.33
78,T78,T78,Brett Quigley,21,58.33
79,T78,T78,Jay Williamson,35,58.33
80,81,81,Brad Faxon,26,57.89
81,T82,T82,Jeremy Anderson,28,57.14
82,T82,T82,Rich Beem,31,57.14
83,T82,T82,Bill Glasson,26,57.14
84,T82,T82,Matt Gogel,26,57.14
85,T82,T82,Mark Hensby,29,57.14
86,T82,T82,Kevin Johnson,32,57.14
87,T82,T82,Frank Lickliter II,29,57.14
88,T82,T82,Jesper Parnevik,25,57.14
89,T82,T82,Corey Pavin,22,57.14
90,T82,T82,Chris Perry,26,57.14
91,T82,T82,Steve Stricker,20,57.14
92,93,93,Brian Gay,32,56.52
93,T94,T94,John Cook,25,55.0
94,T94,T94,Jerry Kelly,31,55.0
95,T94,T94,Joe Ogilvie,34,55.0
96,T94,T94,Mike Weir,23,55.0
97,98,98,Paul Gow,27,54.55
98,T99,T99,Larry Mize,24,53.85
99,T99,T99,Scott Simpson,22,53.85
100,101,101,Tripp Isenhour,31,53.33
101,T102,T102,Harrison Frazar,25,52.94
102,T102,T102,Robin Freeman,34,52.94
103,T102,T102,Brandt Jobe,30,52.94
104,T105,T105,Paul Azinger,20,52.63
105,T105,T105,Joel Edwards,30,52.63
106,T107,T107,Briny Baird,31,50.0
107,T107,T107,Craig Barlow,23,50.0
108,T107,T107,"David Berganio, Jr.",25,50.0
109,T107,T107,Mark Brooks,27,50.0
110,T107,T107,Richie Coughlan,26,50.0
111,T107,T107,Fred Couples,19,50.0
112,T107,T107,Steve Flesch,32,50.0
113,T107,T107,Edward Fryatt,31,50.0
114,T107,T107,Glen Hnatiuk,31,50.0
115,T107,T107,Steve Jones,25,50.0
116,T107,T107,Jonathan Kaye,33,50.0
117,T107,T107,Bernhard Langer,17,50.0
118,T107,T107,Steve Lowery,28,50.0
119,T107,T107,Andrew McLardy,26,50.0
120,T107,T107,Rocco Mediate,21,50.0
121,T107,T107,Gary Nicklaus,34,50.0
122,T107,T107,Mark O'Meara,21,50.0
123,T107,T107,Carl Paulson,31,50.0
124,T107,T107,Craig Perks,30,50.0
125,T107,T107,Rory Sabbatini,23,50.0
126,T107,T107,Brian Wilson,31,50.0
127,T107,T107,Willie Wood,16,50.0
128,129,129,Jim Carter,28,47.83
129,130,130,Stuart Appleby,29,47.62
130,T131,T131,Greg Chalmers,27,47.37
131,T131,T131,Charles Howell III,24,47.37
132,133,133,Scott Hoch,24,47.06
133,T134,T134,Bob Burns,29,46.67
134,T134,T134,Tom Byrum,27,46.67
135,T134,T134,Dan Forsman,25,46.67
136,T137,T137,Robert Allenby,29,45.83
137,T137,T137,Chris DiMarco,29,45.83
138,T139,T139,José Coceres,19,45.45
139,T139,T139,Donnie Hammond,14,45.45
140,T139,T139,John Huston,20,45.45
141,T139,T139,Craig Kanada,28,45.45
142,T139,T139,J.L. Lewis,31,45.45
143,T139,T139,Blaine McCallister,28,45.45
144,T139,T139,Craig Parry,22,45.45
145,T139,T139,Duffy Waldorf,27,45.45
146,T139,T139,Garrett Willis,33,45.45
147,T148,T148,Jay Don Blake,31,44.44
148,T148,T148,Doug Dunakey,32,44.44
149,T148,T148,Len Mattiace,30,44.44
150,T148,T148,Paul Stankowski,27,44.44
151,152,152,Pete Jordan,36,43.75
152,T153,T153,Keith Clearwater,23,42.86
153,T153,T153,Russ Cochran,24,42.86
154,T153,T153,Ben Ferguson,30,42.86
155,T153,T153,J.P. Hayes,23,42.86
156,T153,T153,Gabriel Hjertstedt,30,42.86
157,T153,T153,Steve Pate,30,42.86
158,159,159,Dicky Pride,27,41.67
159,T160,T160,Lee Janzen,29,41.18
160,T160,T160,Frank Nobilo,28,41.18
161,T162,T162,Marco Dawson,19,40.0
162,T162,T162,Danny Ellis,27,40.0
163,T162,T162,Jerry Smith,31,40.0
164,T165,T165,Robert Damron,27,38.89
165,T165,T165,Greg Kraft,33,38.89
166,T167,T167,Tommy Armour III,32,38.46
167,T167,T167,Scott Dunlap,28,38.46
168,T167,T167,Kaname Yokoo,27,38.46
169,T170,T170,Hunter Haas,30,37.5
170,T170,T170,Bob May,25,37.5
171,T170,T170,Sean Murphy,27,37.5
172,173,173,Chris Smith,30,36.84
173,T174,T174,Per-Ulrik Johansson,29,36.36
174,T174,T174,Jim McGovern,21,36.36
175,T176,T176,Mathew Goggin,33,35.71
176,T176,T176,Spike McRoy,31,35.71
177,178,178,Ted Tryba,33,35.0
178,T179,T179,Michael Clark II,30,33.33
179,T179,T179,Jeff Hart,28,33.33
180,T179,T179,Grant Waite,28,33.33
181,T179,T179,Brian Watts,16,33.33
182,183,183,Woody Austin,34,30.77
183,184,184,Carlos Franco,27,29.41
184,T185,T185,David Morland IV,29,28.57
185,T185,T185,Geoff Ogilvy,23,28.57
186,187,187,Lee Porter,30,26.67
187,188,188,Shaun Micheel,34,25.0
188,189,189,Andrew Magee,31,20.0
189,190,190,Chris Tidland,29,16.67
190,T191,T191,Bradley Hughes,33,14.29
191,T191,T191,Tom Scherrer,28,14.29
192,193,193,Ben Bates,18,12.5
193,194,194,Doug Barron,25,0.0
