,Back_9_Round_2_Scoring_Average_RANK THIS WEEK,Back_9_Round_2_Scoring_Average_RANK LAST WEEK,Back_9_Round_2_Scoring_Average_PLAYER NAME,Back_9_Round_2_Scoring_Average_AVG,Back_9_Round_2_Scoring_Average_TOTAL STROKES,Back_9_Round_2_Scoring_Average_TOTAL ROUNDS
0,1,1,Davis Love III,34.15,683,20
1,2,2,Rocco Mediate,34.18,581,17
2,3,3,Tiger Woods,34.26,651,19
3,4,4,Phil Mickelson,34.41,757,22
4,5,5,Paul Azinger,34.45,689,20
5,6,6,Kirk Triplett,34.48,793,23
6,7,7,Joel Edwards,34.52,1001,29
7,8,8,Jonathan Kaye,34.55,1071,31
8,9,9,Glen Hnatiuk,34.6,1038,30
9,10,10,Stuart Appleby,34.63,935,27
10,11,11,Jay Haas,34.65,693,20
11,12,12,Chris Smith,34.66,1005,29
12,T13,T13,Harrison Frazar,34.67,832,24
13,T13,T13,Scott Verplank,34.67,832,24
14,15,15,Tom Lehman,34.68,763,22
15,16,16,Willie Wood,34.69,555,16
16,17,17,Lee Janzen,34.71,972,28
17,18,18,Jerry Kelly,34.73,1042,30
18,T19,T19,Chris DiMarco,34.74,938,27
19,T19,T19,Fred Funk,34.74,1077,31
20,T19,T19,Charles Howell III,34.74,799,23
21,22,22,Vijay Singh,34.75,834,24
22,23,23,"David Berganio, Jr.",34.76,730,21
23,24,24,Scott McCarron,34.79,835,24
24,25,25,J.L. Lewis,34.8,1044,30
25,26,26,Cameron Beckman,34.82,975,28
26,27,27,Bob Estes,34.83,836,24
27,T28,T28,Russ Cochran,34.85,697,20
28,T28,T28,Jeff Hart,34.85,941,27
29,T28,T28,Frank Nobilo,34.85,906,26
30,31,31,Brandel Chamblee,34.87,802,23
31,32,32,Ronnie Black,34.88,558,16
32,33,33,Brett Quigley,34.89,663,19
33,34,34,Jeff Sluman,34.9,1012,29
34,T35,T35,Stephen Ames,34.96,804,23
35,T35,T35,Steve Lowery,34.96,909,26
36,T35,T35,Kenny Perry,34.96,804,23
37,T38,T38,Jay Don Blake,35.0,1015,29
38,T38,T38,Jim Carter,35.0,945,27
39,T38,T38,Donnie Hammond,35.0,490,14
40,T38,T38,Per-Ulrik Johansson,35.0,980,28
41,T38,T38,Bernhard Langer,35.0,560,16
42,T38,T38,Kevin Sutherland,35.0,980,28
43,T38,T38,Bob Tway,35.0,980,28
44,T38,T38,Brian Watts,35.0,560,16
45,46,46,Briny Baird,35.03,1051,30
46,T47,T47,Matt Gogel,35.04,876,25
47,T47,T47,Jesper Parnevik,35.04,841,24
48,49,49,Shaun Micheel,35.06,1122,32
49,50,50,John Cook,35.09,807,23
50,T51,T51,Brian Gay,35.1,1088,31
51,T51,T51,Frank Lickliter II,35.1,1018,29
52,53,53,David Duval,35.11,667,19
53,54,54,Larry Mize,35.13,808,23
54,T55,T55,Doug Barron,35.14,738,21
55,T55,T55,Billy Mayfair,35.14,984,28
56,57,57,Stewart Cink,35.15,949,27
57,T58,T58,Ben Bates,35.17,633,18
58,T58,T58,John Riegger,35.17,809,23
59,T60,T60,Mark Calcavecchia,35.18,774,22
60,T60,T60,K.J. Choi,35.18,985,28
61,62,62,Scott Simpson,35.19,739,21
62,T63,T63,Joe Durant,35.2,880,25
63,T63,T63,Shigeki Maruyama,35.2,880,25
64,T63,T63,David Toms,35.2,880,25
65,T66,T66,Greg Chalmers,35.21,845,24
66,T66,T66,Jim Furyk,35.21,845,24
67,T68,T68,J.P. Hayes,35.22,810,23
68,T68,T68,Bob May,35.22,810,23
69,T70,T70,Skip Kendall,35.23,1057,30
70,T70,T70,Greg Kraft,35.23,1092,31
71,T72,T72,Robin Freeman,35.24,1163,33
72,T72,T72,Dudley Hart,35.24,740,21
73,T72,T72,Joey Sindelar,35.24,740,21
74,75,75,Robert Allenby,35.25,987,28
75,T76,T76,Fred Couples,35.26,670,19
76,T76,T76,Bradley Hughes,35.26,1093,31
77,T76,T76,Mike Weir,35.26,811,23
78,79,79,Rory Sabbatini,35.29,741,21
79,80,80,Craig Parry,35.3,706,20
80,T81,T81,Tom Pernice Jr.,35.31,1130,32
81,T81,T81,Ted Tryba,35.31,1130,32
82,T83,T83,Michael Muehr,35.32,1095,31
83,T83,T83,Mike Sposa,35.32,989,28
84,T83,T83,Hal Sutton,35.32,883,25
85,86,86,Sergio Garcia,35.35,601,17
86,87,87,Paul Stankowski,35.36,884,25
87,T88,T88,Dan Forsman,35.38,849,24
88,T88,T88,Scott Hoch,35.38,849,24
89,T88,T88,Len Mattiace,35.38,1026,29
90,T91,T91,Steve Elkington,35.39,637,18
91,T91,T91,Steve Stricker,35.39,637,18
92,93,93,Tommy Armour III,35.4,1062,30
93,T94,T94,Blaine McCallister,35.43,992,28
94,T94,T94,Carl Paulson,35.43,1063,30
95,T94,T94,Chris Perry,35.43,815,23
96,97,97,Tim Herron,35.44,957,27
97,T98,T98,Hunter Haas,35.45,1028,29
98,T98,T98,Neal Lancaster,35.45,1099,31
99,T98,T98,Joe Ogilvie,35.45,1170,33
100,T98,T98,Craig Perks,35.45,1028,29
101,T102,T102,Scott Dunlap,35.46,922,26
102,T102,T102,Brad Faxon,35.46,851,24
103,T102,T102,David Frost,35.46,922,26
104,T102,T102,Steve Jones,35.46,851,24
105,T102,T102,Justin Leonard,35.46,993,28
106,T102,T102,David Peoples,35.46,993,28
107,T108,T108,Olin Browne,35.48,1029,29
108,T108,T108,Corey Pavin,35.48,745,21
109,T108,T108,Chris Riley,35.48,1029,29
110,T111,T111,Edward Fryatt,35.5,1065,30
111,T111,T111,Ian Leggatt,35.5,994,28
112,T111,T111,Andrew McLardy,35.5,923,26
113,T111,T111,José María Olazábal,35.5,497,14
114,T115,T115,Tom Byrum,35.52,888,25
115,T115,T115,J.J. Henry,35.52,959,27
116,T117,T117,José Coceres,35.53,604,17
117,T117,T117,Ernie Els,35.53,604,17
118,T117,T117,Spike McRoy,35.53,1066,30
119,T117,T117,Jean Van de Velde,35.53,533,15
120,121,121,Loren Roberts,35.54,853,24
121,T122,T122,Brandt Jobe,35.55,1031,29
122,T122,T122,Jim McGovern,35.55,711,20
123,124,124,Danny Ellis,35.56,960,27
124,125,125,Paul Goydos,35.57,996,28
125,126,126,Billy Andrade,35.58,925,26
126,T127,T127,Robert Gamez,35.59,783,22
127,T127,T127,Gabriel Hjertstedt,35.59,1032,29
128,T127,T127,Brian Wilson,35.59,1032,29
129,T130,T130,Brent Schwarzrock,35.6,712,20
130,T130,T130,Grant Waite,35.6,890,25
131,132,132,Dennis Paulson,35.61,819,23
132,T133,T133,Rich Beem,35.62,1033,29
133,T133,T133,Robert Damron,35.62,926,26
134,T135,T135,Bob Burns,35.64,998,28
135,T135,T135,Brent Geiberger,35.64,784,22
136,T137,T137,Mark Brooks,35.65,927,26
137,T137,T137,Nick Price,35.65,713,20
138,139,139,Steve Pate,35.67,963,27
139,140,140,Kent Jones,35.68,999,28
140,141,141,Woody Austin,35.7,1178,33
141,142,142,"Dave Stockton, Jr.",35.71,750,21
142,143,143,Lee Porter,35.72,1036,29
143,T144,T144,Jeff Brehaut,35.76,894,25
144,T144,T144,Pete Jordan,35.76,1180,33
145,T146,T146,Geoff Ogilvy,35.77,787,22
146,T146,T146,Jerry Smith,35.77,1109,31
147,148,148,Brian Henninger,35.79,1002,28
148,T149,T149,Steve Flesch,35.8,1074,30
149,T149,T149,Paul Gow,35.8,895,25
150,151,151,Brad Elder,35.82,1218,34
151,152,152,Tripp Isenhour,35.83,1039,29
152,T153,T153,David Morland IV,35.85,968,27
153,T153,T153,Chris Tidland,35.85,968,27
154,T155,T155,Andrew Magee,35.87,1076,30
155,T155,T155,Tommy Tolles,35.87,1076,30
156,157,157,Kelly Grunewald,35.88,897,25
157,158,158,Craig Kanada,35.89,969,27
158,T159,T159,Keith Clearwater,35.91,826,23
159,T159,T159,Gary Nicklaus,35.91,1185,33
160,T159,T159,Esteban Toledo,35.91,1257,35
161,T162,T162,Carlos Franco,35.92,934,26
162,T162,T162,Kaname Yokoo,35.92,934,26
163,T164,T164,Kevin Johnson,35.93,1078,30
164,T164,T164,Cliff Kresge,35.93,1078,30
165,T164,T164,Jay Williamson,35.93,1078,30
166,167,167,Mark O'Meara,35.95,719,20
167,T168,T168,Glen Day,35.96,935,26
168,T168,T168,Dicky Pride,35.96,899,25
169,T168,T168,Duffy Waldorf,35.96,863,24
170,171,171,Michael Clark II,35.97,1043,29
171,T172,T172,Craig Barlow,36.0,792,22
172,T172,T172,John Daly,36.0,864,24
173,174,174,Jimmy Green,36.03,1153,32
174,175,175,Mark Wiebe,36.05,757,21
175,T176,T176,Marco Dawson,36.06,649,18
176,T176,T176,Garrett Willis,36.06,1118,31
177,178,178,Bill Glasson,36.12,903,25
178,179,179,Steve Allan,36.13,1084,30
179,180,180,Sean Murphy,36.19,941,26
180,181,181,Doug Dunakey,36.2,1086,30
181,T182,T182,Mathew Goggin,36.22,1159,32
182,T182,T182,John Huston,36.22,652,18
183,184,184,Richie Coughlan,36.25,870,24
184,185,185,Tom Scherrer,36.28,907,25
185,186,186,Jeff Maggert,36.33,981,27
186,187,187,Franklin Langham,36.35,727,20
187,188,188,Mark Hensby,36.44,984,27
188,189,189,Jason Gore,36.46,1021,28
189,190,190,Fulton Allem,36.5,730,20
190,191,191,Ben Ferguson,36.55,1060,29
191,192,192,Jeremy Anderson,36.62,952,26
192,193,193,Rocky Walcher,36.65,953,26
193,194,194,Jeff Julian,36.73,808,22
