,Round_4_Scoring_Average_RANK THIS WEEK,Round_4_Scoring_Average_RANK LAST WEEK,Round_4_Scoring_Average_PLAYER NAME,Round_4_Scoring_Average_AVG,Round_4_Scoring_Average_TOTAL STROKES,Round_4_Scoring_Average_TOTAL ROUNDS
0,1,1,Tiger Woods,68.74,1306,19
1,2,2,Dudley Hart,69.0,1035,15
2,3,3,Jay Williamson,69.17,830,12
3,4,4,Joey Sindelar,69.2,692,10
4,5,5,David Peoples,69.24,1177,17
5,6,6,Robert Gamez,69.33,416,6
6,T7,T7,Davis Love III,69.35,1179,17
7,T7,T7,Nick Price,69.35,1179,17
8,9,9,Craig Perks,69.38,555,8
9,10,10,Glen Day,69.4,1041,15
10,11,11,Bill Glasson,69.43,486,7
11,12,12,Billy Mayfair,69.52,1460,21
12,13,13,Vijay Singh,69.55,1530,22
13,14,14,Russ Cochran,69.64,975,14
14,15,15,Scott Verplank,69.65,1602,23
15,16,16,Fulton Allem,69.71,488,7
16,17,17,Billy Andrade,69.75,837,12
17,T18,T18,Rich Beem,69.79,977,14
18,T18,T18,Joe Durant,69.79,977,14
19,T18,T18,Charles Howell III,69.79,1326,19
20,T18,T18,Michael Muehr,69.79,977,14
21,22,22,Tom Lehman,69.81,1117,16
22,23,23,J.J. Henry,69.93,979,14
23,T24,T24,Olin Browne,69.94,1259,18
24,T24,T24,Kirk Triplett,69.94,1189,17
25,26,26,Stewart Cink,69.95,1469,21
26,T27,T27,Sergio Garcia,70.0,910,13
27,T27,T27,Neal Lancaster,70.0,1260,18
28,T27,T27,David Toms,70.0,1540,22
29,T30,T30,Jim Furyk,70.05,1331,19
30,T30,T30,Kenny Perry,70.05,1471,21
31,T32,T32,Jay Haas,70.07,1051,15
32,T32,T32,Jeff Maggert,70.07,981,14
33,34,34,Brian Gay,70.08,1682,24
34,35,35,Jeff Sluman,70.09,1542,22
35,36,36,David Duval,70.12,1192,17
36,37,37,Matt Gogel,70.13,1052,15
37,38,38,Skip Kendall,70.14,1543,22
38,T39,T39,Jimmy Green,70.15,912,13
39,T39,T39,Ian Leggatt,70.15,912,13
40,41,41,Fred Funk,70.19,1825,26
41,42,42,Bob Estes,70.21,1334,19
42,43,43,Esteban Toledo,70.23,1545,22
43,44,44,Joel Edwards,70.26,1335,19
44,T45,T45,Paul Gow,70.27,773,11
45,T45,T45,Scott McCarron,70.27,1546,22
46,T47,T47,Shigeki Maruyama,70.29,1476,21
47,T47,T47,Jesper Parnevik,70.29,1476,21
48,T49,T49,Steve Flesch,70.3,1617,23
49,T49,T49,Justin Leonard,70.3,1406,20
50,51,51,Scott Hoch,70.33,1266,18
51,T52,T52,Steve Stricker,70.36,985,14
52,T52,T52,Hal Sutton,70.36,1548,22
53,54,54,Tim Herron,70.39,1267,18
54,55,55,Phil Mickelson,70.42,1338,19
55,T56,T56,Briny Baird,70.43,1479,21
56,T56,T56,Jean Van de Velde,70.43,493,7
57,58,58,Tom Byrum,70.44,1127,16
58,59,59,Blaine McCallister,70.45,775,11
59,60,60,Frank Lickliter II,70.48,1480,21
60,T61,T61,Cameron Beckman,70.5,1410,20
61,T61,T61,Mark Brooks,70.5,1128,16
62,T61,T61,Brent Geiberger,70.5,1128,16
63,T61,T61,Chris Riley,70.5,1410,20
64,65,65,Rocco Mediate,70.53,1058,15
65,66,66,Paul Goydos,70.54,917,13
66,T67,T67,Brian Henninger,70.55,776,11
67,T67,T67,Kevin Sutherland,70.55,1411,20
68,T69,T69,Edward Fryatt,70.57,988,14
69,T69,T69,Larry Mize,70.57,988,14
70,T69,T69,Scott Simpson,70.57,988,14
71,T72,T72,Brett Quigley,70.58,847,12
72,T72,T72,Chris Smith,70.58,1341,19
73,74,74,Pete Jordan,70.59,1200,17
74,75,75,John Cook,70.6,1412,20
75,76,76,Bernhard Langer,70.64,989,14
76,T77,T77,Kelly Grunewald,70.67,424,6
77,T77,T77,Bob Tway,70.67,1696,24
78,79,79,Brad Faxon,70.68,1343,19
79,80,80,John Daly,70.69,1131,16
80,T81,T81,Stephen Ames,70.71,1202,17
81,T81,T81,Fred Couples,70.71,990,14
82,T81,T81,Spike McRoy,70.71,990,14
83,84,84,Jay Don Blake,70.72,1273,18
84,T85,T85,David Frost,70.75,1132,16
85,T85,T85,Tommy Tolles,70.75,849,12
86,T87,T87,K.J. Choi,70.78,1274,18
87,T87,T87,José María Olazábal,70.78,637,9
88,T89,T89,Paul Azinger,70.79,1345,19
89,T89,T89,Greg Chalmers,70.79,1345,19
90,91,91,Jerry Smith,70.81,1133,16
91,T92,T92,Chris DiMarco,70.83,1700,24
