,Bogey_Average_RANK THIS WEEK,Bogey_Average_RANK LAST WEEK,Bogey_Average_PLAYER NAME,Bogey_Average_EVENTS,Bogey_Average_AVERAGE BOGEYS PER ROUND,Bogey_Average_TOTAL BOGEYS,Bogey_Average_ROUNDS PLAYED
0,1,1,Tiger Woods,19,1.75,133,76
1,2,2,Davis Love III,20,1.92,144,75
2,3,3,Bob Estes,26,1.94,171,88
3,4,4,Scott McCarron,25,1.95,183,94
4,5,5,Chris DiMarco,29,2.0,206,103
5,T6,T6,Charles Howell III,24,2.01,171,85
6,T6,T6,Nick Price,20,2.01,149,74
7,T6,T6,Scott Verplank,26,2.01,195,97
8,9,9,Jim Furyk,24,2.02,178,88
9,10,10,Loren Roberts,25,2.04,171,84
10,T11,T11,John Cook,25,2.05,180,88
11,T11,T11,Bernhard Langer,17,2.05,125,61
12,13,13,Kevin Sutherland,30,2.07,203,98
13,14,14,Kirk Triplett,26,2.08,173,83
14,15,15,Kenny Perry,26,2.09,186,89
15,T16,T16,Phil Mickelson,23,2.13,175,82
16,T16,T16,Jeff Sluman,30,2.13,222,104
17,18,18,Rocco Mediate,21,2.14,148,69
18,19,19,Vijay Singh,26,2.15,198,92
19,20,20,Glen Day,28,2.17,182,84
20,21,21,Tom Lehman,23,2.19,173,79
21,22,22,Greg Chalmers,27,2.21,197,89
22,T23,T23,Cameron Beckman,29,2.22,220,99
23,T23,T23,Mike Weir,23,2.22,191,86
24,T25,T25,Stephen Ames,26,2.24,188,84
25,T25,T25,Frank Nobilo,28,2.24,199,89
26,T25,T25,Jesper Parnevik,25,2.24,204,91
27,T25,T25,David Toms,28,2.24,215,96
28,T29,T29,Brad Faxon,26,2.25,196,87
29,T29,T29,Fred Funk,33,2.25,263,117
30,T29,T29,Hal Sutton,26,2.25,214,95
31,32,32,Billy Mayfair,29,2.26,226,100
32,33,33,Mark Calcavecchia,23,2.27,179,79
33,34,34,Craig Barlow,23,2.28,164,72
34,35,35,Jonathan Kaye,33,2.3,258,112
35,36,36,Bill Glasson,26,2.31,150,65
36,T37,T37,Steve Flesch,32,2.32,248,107
37,T37,T37,John Huston,20,2.32,139,60
38,T37,T37,José María Olazábal,15,2.32,109,47
39,T37,T37,John Riegger,27,2.32,195,84
40,41,41,Scott Hoch,24,2.33,196,84
41,T42,T42,Paul Azinger,20,2.34,185,79
42,T42,T42,Briny Baird,31,2.34,241,103
43,T42,T42,Stewart Cink,29,2.34,227,97
44,T42,T42,Lee Janzen,29,2.34,215,92
45,T46,T46,Jay Haas,21,2.35,169,72
46,T46,T46,Len Mattiace,30,2.35,226,96
47,T46,T46,Bob Tway,29,2.35,249,106
48,T49,T49,Joe Durant,25,2.36,189,80
49,T49,T49,Tim Herron,29,2.36,215,91
50,T49,T49,Steve Lowery,28,2.36,229,97
51,T52,T52,David Duval,20,2.37,173,73
52,T52,T52,Brian Gay,32,2.37,265,112
53,T52,T52,Neal Lancaster,36,2.37,249,105
54,T52,T52,Steve Stricker,20,2.37,154,65
55,T56,T56,"David Berganio, Jr.",25,2.38,174,73
56,T56,T56,Larry Mize,24,2.38,176,74
57,T58,T58,Joel Edwards,30,2.39,237,99
58,T58,T58,J.J. Henry,28,2.39,201,84
59,T58,T58,Esteban Toledo,36,2.39,273,114
60,T61,T61,Robert Allenby,29,2.4,254,106
61,T61,T61,Mark Brooks,27,2.4,211,88
62,T63,T63,Chris Perry,26,2.41,188,78
63,T63,T63,Mike Sposa,29,2.41,224,93
64,T65,T65,Russ Cochran,24,2.42,177,73
65,T65,T65,Skip Kendall,33,2.42,261,108
66,67,67,Sergio Garcia,18,2.43,146,60
67,T68,T68,José Coceres,19,2.44,139,57
68,T68,T68,David Peoples,31,2.44,227,93
69,T70,T70,Olin Browne,30,2.45,235,96
70,T70,T70,Donnie Hammond,14,2.45,125,51
71,T70,T70,Jerry Kelly,31,2.45,247,101
72,T70,T70,Shigeki Maruyama,27,2.45,230,94
73,T70,T70,Chris Smith,30,2.45,240,98
74,T70,T70,Brian Watts,16,2.45,137,56
75,76,76,Lee Porter,30,2.46,221,90
76,T77,T77,David Frost,27,2.47,215,87
77,T77,T77,Paul Gow,27,2.47,185,75
78,T77,T77,Scott Simpson,22,2.47,180,73
79,T80,T80,Stuart Appleby,29,2.48,243,98
80,T80,T80,John Daly,25,2.48,203,82
81,T80,T80,Brent Geiberger,25,2.48,196,79
82,T83,T83,Dudley Hart,25,2.49,187,75
83,T83,T83,Chris Riley,30,2.49,249,100
84,T85,T85,Glen Hnatiuk,31,2.5,252,101
85,T85,T85,Jeff Maggert,27,2.5,210,84
86,T85,T85,Joey Sindelar,25,2.5,165,66
87,T88,T88,Per-Ulrik Johansson,29,2.51,201,80
88,T88,T88,Spike McRoy,31,2.51,228,91
