,Front_9_Round_2_Scoring_Average_RANK THIS WEEK,Front_9_Round_2_Scoring_Average_RANK LAST WEEK,Front_9_Round_2_Scoring_Average_PLAYER NAME,Front_9_Round_2_Scoring_Average_AVG,Front_9_Round_2_Scoring_Average_TOTAL STROKES,Front_9_Round_2_Scoring_Average_TOTAL ROUNDS
0,1,1,Rocco Mediate,33.65,572,17
1,2,2,David Duval,33.95,645,19
2,3,3,Kenny Perry,34.04,783,23
3,4,4,Nick Price,34.25,685,20
4,5,5,Davis Love III,34.3,686,20
5,6,6,Vijay Singh,34.38,825,24
6,7,7,Steve Stricker,34.39,619,18
7,8,8,Ernie Els,34.41,585,17
8,9,9,Jesper Parnevik,34.42,826,24
9,10,10,John Huston,34.44,620,18
10,11,11,Robert Allenby,34.46,965,28
11,12,12,Bob Estes,34.5,828,24
12,13,13,Tiger Woods,34.53,656,19
13,14,14,Phil Mickelson,34.55,760,22
14,15,15,Marco Dawson,34.61,623,18
15,16,16,Chris DiMarco,34.7,937,27
16,T17,T17,Donnie Hammond,34.71,486,14
17,T17,T17,Scott Simpson,34.71,729,21
18,19,19,Joel Edwards,34.72,1007,29
19,20,20,Mark Calcavecchia,34.73,764,22
20,21,21,Charles Howell III,34.74,799,23
21,T22,T22,Brad Faxon,34.75,834,24
22,T22,T22,Scott McCarron,34.75,834,24
23,T22,T22,Brian Watts,34.75,556,16
24,25,25,Steve Lowery,34.77,904,26
25,26,26,John Cook,34.78,800,23
26,T27,T27,Bob Tway,34.79,974,28
27,T27,T27,Scott Verplank,34.79,835,24
28,29,29,Jim Carter,34.81,940,27
29,30,30,John Daly,34.83,836,24
30,T31,T31,Fred Funk,34.84,1080,31
31,T31,T31,Shigeki Maruyama,34.84,871,25
32,33,33,Doug Barron,34.86,732,21
33,34,34,Loren Roberts,34.88,837,24
34,35,35,Tom Lehman,34.91,768,22
35,T36,T36,Frank Lickliter II,34.93,1013,29
36,T36,T36,Kevin Sutherland,34.93,978,28
37,38,38,José Coceres,34.94,594,17
38,39,39,Brett Quigley,34.95,664,19
39,40,40,Chris Riley,34.97,1014,29
40,41,41,Paul Azinger,35.0,700,20
41,T42,T42,Rich Beem,35.03,1016,29
42,T42,T42,Andrew Magee,35.03,1051,30
43,T42,T42,Tom Pernice Jr.,35.03,1121,32
44,T45,T45,Cameron Beckman,35.04,981,28
45,T45,T45,Greg Chalmers,35.04,841,24
46,T45,T45,Scott Hoch,35.04,841,24
47,T45,T45,Billy Mayfair,35.04,981,28
48,T45,T45,David Toms,35.04,876,25
49,T45,T45,Duffy Waldorf,35.04,841,24
50,T45,T45,Mike Weir,35.04,806,23
51,T52,T52,"David Berganio, Jr.",35.05,736,21
52,T52,T52,Jim McGovern,35.05,701,20
53,T52,T52,Craig Parry,35.05,701,20
54,T55,T55,Sergio Garcia,35.06,596,17
55,T55,T55,Bernhard Langer,35.06,561,16
56,T55,T55,Jerry Smith,35.06,1087,31
57,T58,T58,Lee Janzen,35.07,982,28
58,T58,T58,Justin Leonard,35.07,982,28
59,T60,T60,Jim Furyk,35.08,842,24
