,Scoring_Average_RANK THIS WEEK,Scoring_Average_RANK LAST WEEK,Scoring_Average_PLAYER NAME,Scoring_Average_ROUNDS,Scoring_Average_AVG,Scoring_Average_TOTAL STROKES,Scoring_Average_TOTAL ADJUSTMENT,Scoring_Average_TOTAL ROUNDS
0,1,1,Tiger Woods,76,68.808,5234,- 4.579,76
1,2,2,Davis Love III,75,69.06,5177,2.473,75
2,3,3,Sergio Garcia,64,69.12899999999999,4176,- 28.273,60
3,4,4,Phil Mickelson,85,69.206,5671,3.916,82
4,5,5,Vijay Singh,98,69.207,6379,- 11.946,92
5,6,6,Nick Price,74,69.665,5157,- 1.804,74
6,7,7,David Duval,78,69.725,5149,10.665,74
7,8,8,Bob Estes,91,69.729,6120,16.142,88
8,9,9,Scott Hoch,84,69.84899999999999,5869,- 1.701,84
9,10,10,Chris DiMarco,108,69.872,7179,17.838,103
10,11,11,Scott Verplank,99,69.884,6740,38.729,97
11,12,12,Bernhard Langer,62,69.88600000000001,4258,5.018,61
12,13,13,Charles Howell III,89,69.906,5915,27.003,85
13,14,14,Jim Furyk,88,69.922,6129,24.109,88
14,15,15,David Toms,100,69.965,6692,24.652,96
15,16,16,Tom Lehman,82,70.047,5510,23.695,79
16,17,17,Scott McCarron,98,70.061,6540,45.704,94
17,18,18,Mike Weir,86,70.063,6025,.401,86
18,19,19,Jesper Parnevik,91,70.119,6372,8.830,91
19,20,20,Jeff Sluman,106,70.13,7246,47.556,104
20,21,21,Paul Azinger,79,70.139,5527,13.973,79
21,22,22,Rocco Mediate,69,70.207,4828,16.264,69
22,23,23,Kevin Sutherland,101,70.208,6870,10.402,98
23,24,24,Kenny Perry,94,70.223,6194,55.845,89
24,25,25,Stewart Cink,102,70.26899999999999,6800,16.111,97
25,26,26,Frank Lickliter II,102,70.279,7154,14.471,102
26,27,27,Ernie Els,70,70.301,4230,- 11.959,60
27,28,28,Brett Quigley,67,70.314,4419,10.781,63
28,29,29,Kirk Triplett,88,70.325,5810,26.941,83
29,30,30,Billy Mayfair,102,70.378,7001,36.830,100
30,31,31,Dudley Hart,80,70.381,5261,17.558,75
31,32,32,Mark Calcavecchia,81,70.39699999999999,5551,10.384,79
32,T33,T33,Fred Funk,118,70.402,8208,29.065,117
33,T33,T33,Jay Haas,75,70.402,5043,25.948,72
34,35,35,Bob Tway,109,70.404,7429,33.854,106
35,36,36,José Coceres,60,70.41,4012,1.387,57
36,37,37,Shigeki Maruyama,98,70.417,6610,9.156,94
37,38,38,Brian Gay,114,70.435,7851,37.664,112
38,39,39,Joe Durant,80,70.449,5625,10.928,80
39,40,40,Hal Sutton,96,70.506,6667,31.033,95
40,41,41,Jerry Kelly,104,70.509,7104,17.448,101
41,42,42,Robert Allenby,108,70.53,7467,9.217,106
42,43,43,Corey Pavin,72,70.531,4957,- 19.841,70
43,44,44,Brad Faxon,95,70.53399999999999,6121,15.433,87
44,45,45,Olin Browne,99,70.597,6752,25.343,96
45,46,46,Brian Watts,56,70.617,3932,22.579,56
46,47,47,K.J. Choi,95,70.624,6495,2.386,92
47,48,48,Steve Lowery,100,70.65,6825,28.082,97
48,49,49,Cameron Beckman,103,70.653,6932,62.633,99
49,50,50,Joel Edwards,99,70.655,6939,55.811,99
50,51,51,Chris Riley,104,70.67399999999999,7050,17.392,100
51,52,52,Stuart Appleby,105,70.678,6899,27.438,98
52,53,53,Justin Leonard,106,70.682,6973,24.498,99
53,54,54,Steve Flesch,112,70.689,7539,24.725,107
54,55,55,Chris Smith,101,70.704,6903,25.959,98
55,56,56,Skip Kendall,111,70.706,7603,33.289,108
56,57,57,John Cook,91,70.715,6171,51.924,88
57,58,58,Tim Herron,97,70.72800000000001,6425,11.240,91
58,59,59,Bob May,86,70.73,5637,21.366,80
59,60,60,John Daly,84,70.73899999999999,5797,3.607,82
60,61,61,Greg Chalmers,92,70.74,6268,27.852,89
61,62,62,Steve Stricker,73,70.759,4585,14.340,65
62,63,63,Briny Baird,106,70.763,7250,38.600,103
63,64,64,José María Olazábal,51,70.767,3335,- 8.930,47
64,65,65,Billy Andrade,82,70.809,5590,3.883,79
65,66,66,Mike Sposa,96,70.899,6568,25.570,93
66,67,67,"David Berganio, Jr.",76,70.92699999999999,5148,29.692,73
67,T68,T68,Lee Janzen,96,70.943,6501,25.798,92
68,T68,T68,Len Mattiace,98,70.943,6787,23.485,96
69,70,70,Harrison Frazar,88,70.946,5943,16.467,84
70,71,71,Loren Roberts,84,70.955,5937,23.197,84
71,72,72,Scott Dunlap,80,70.964,5622,- 15.826,79
72,73,73,Fred Couples,68,70.965,4816,9.621,68
73,74,74,Frank Nobilo,91,70.96600000000001,6291,24.962,89
74,75,75,J.J. Henry,86,70.984,5933,29.635,84
75,76,76,Jim McGovern,66,70.991,4469,3.425,63
76,77,77,Craig Parry,68,70.99600000000001,4455,17.746,63
77,78,78,Dennis Paulson,75,71.012,5263,- 8.122,74
78,79,79,Dan Forsman,81,71.02,5532,7.598,78
79,80,80,Steve Elkington,64,71.021,4332,.291,61
80,81,81,Brent Geiberger,84,71.02600000000001,5570,41.036,79
81,T82,T82,Glen Day,89,71.027,5911,55.258,84
82,T82,T82,Edward Fryatt,93,71.027,6300,21.377,89
83,84,84,Glen Hnatiuk,104,71.04899999999999,7139,36.953,101
84,85,85,Jonathan Kaye,116,71.05199999999999,7907,50.823,112
85,86,86,David Peoples,96,71.075,6567,43.003,93
86,87,87,Matt Gogel,83,71.07600000000001,5754,3.160,81
