,Total_Birdies_RANK THIS WEEK,Total_Birdies_RANK LAST WEEK,Total_Birdies_PLAYER NAME,Total_Birdies_ROUNDS,Total_Birdies_TOTAL
0,1,1,Brian Gay,114,441
1,2,2,Chris DiMarco,108,436
2,3,3,Fred Funk,118,432
3,4,4,Jeff Sluman,106,429
4,5,5,Jonathan Kaye,116,423
5,6,6,Steve Flesch,112,418
6,7,7,Bob Tway,109,417
7,8,8,Skip Kendall,111,415
8,T9,T9,Frank Lickliter II,102,414
9,T9,T9,David Toms,100,414
10,11,11,Joe Ogilvie,110,404
11,12,12,Cameron Beckman,103,398
12,13,13,Scott Verplank,99,396
13,14,14,Scott McCarron,98,394
14,15,15,Chris Smith,101,392
15,16,16,Billy Mayfair,102,390
16,T17,T17,Robert Allenby,108,388
17,T17,T17,Neal Lancaster,107,388
18,T17,T17,Esteban Toledo,116,388
19,20,20,Vijay Singh,98,387
20,21,21,Stuart Appleby,105,386
21,T22,T22,Justin Leonard,106,385
22,T22,T22,Tom Pernice Jr.,106,385
23,24,24,Stewart Cink,102,384
24,25,25,Chris Riley,104,383
25,26,26,Jerry Kelly,104,381
26,27,27,Brad Elder,111,380
27,T28,T28,Joel Edwards,99,379
28,T28,T28,Kenny Perry,94,379
29,30,30,Kevin Sutherland,101,370
30,T31,T31,J.L. Lewis,108,368
31,T31,T31,Phil Mickelson,85,368
32,33,33,Briny Baird,106,367
33,34,34,Steve Lowery,100,365
34,35,35,Jim Carter,103,364
35,36,36,Glen Hnatiuk,104,363
36,37,37,Olin Browne,99,362
37,38,38,Ted Tryba,110,360
38,39,39,Jay Don Blake,100,358
39,40,40,Bob Estes,91,356
40,T41,T41,Jim Furyk,88,353
41,T41,T41,Brandt Jobe,96,353
42,43,43,Lee Janzen,96,352
43,T44,T44,Shigeki Maruyama,98,350
44,T44,T44,Jerry Smith,95,350
45,T46,T46,Robin Freeman,105,347
46,T46,T46,Mike Sposa,96,347
47,48,48,Greg Kraft,105,345
48,T49,T49,Charles Howell III,89,344
49,T49,T49,Hal Sutton,96,344
50,51,51,Greg Chalmers,92,341
51,52,52,John Cook,91,339
52,T53,T53,Woody Austin,99,338
53,T53,T53,K.J. Choi,95,338
54,55,55,Jesper Parnevik,91,337
55,56,56,Pete Jordan,105,336
56,57,57,Scott Hoch,84,335
57,T58,T58,Davis Love III,75,334
58,T58,T58,Michael Muehr,94,334
59,T58,T58,David Peoples,96,334
60,T61,T61,Mark Calcavecchia,81,333
61,T61,T61,John Daly,84,333
62,63,63,David Frost,87,332
63,64,64,Paul Stankowski,91,331
64,65,65,Edward Fryatt,93,330
65,66,66,Stephen Ames,88,328
66,67,67,Tiger Woods,76,327
67,68,68,Andrew Magee,97,324
68,T69,T69,Carlos Franco,87,322
69,T69,T69,Mathew Goggin,96,322
70,T69,T69,Tom Lehman,82,322
71,72,72,Tommy Tolles,89,321
72,73,73,Brad Faxon,95,320
73,74,74,Kirk Triplett,88,319
74,75,75,Shaun Micheel,103,317
75,T76,T76,Rich Beem,91,316
76,T76,T76,Harrison Frazar,88,316
77,T76,T76,Tripp Isenhour,92,316
78,T76,T76,Spike McRoy,95,316
79,T80,T80,Kevin Johnson,93,315
80,T80,T80,Jeff Maggert,84,315
81,T80,T80,Garrett Willis,88,315
82,T83,T83,David Duval,78,314
83,T83,T83,Tim Herron,97,314
84,T83,T83,Mike Weir,86,314
85,86,86,Kaname Yokoo,81,313
86,T87,T87,Bob Burns,92,312
87,T87,T87,Len Mattiace,98,312
88,89,89,Jay Williamson,92,310
89,T90,T90,Glen Day,89,309
90,T90,T90,Brian Wilson,88,309
91,92,92,Robert Damron,91,308
92,T93,T93,Tommy Armour III,93,307
93,T93,T93,Ian Leggatt,84,307
94,T93,T93,Carl Paulson,93,307
95,96,96,David Morland IV,88,305
96,97,97,Joe Durant,80,304
97,98,98,Paul Azinger,79,301
98,99,99,Lee Porter,93,300
99,T100,T100,J.J. Henry,86,299
100,T100,T100,Bradley Hughes,96,299
101,102,102,Tom Byrum,85,297
102,103,103,Frank Nobilo,91,296
103,T104,T104,Billy Andrade,82,294
104,T104,T104,Jason Gore,82,294
105,T104,T104,John Riegger,86,294
106,T107,T107,Bob May,86,292
107,T107,T107,Gary Nicklaus,96,292
108,109,109,Dudley Hart,80,291
109,110,110,Matt Gogel,83,289
110,111,111,Paul Goydos,86,287
111,112,112,Scott Dunlap,80,286
112,T113,T113,Blaine McCallister,80,285
113,T113,T113,Steve Pate,89,285
114,T113,T113,Loren Roberts,84,285
115,116,116,Brent Geiberger,84,284
116,T117,T117,Jay Haas,75,280
117,T117,T117,Craig Kanada,80,280
118,T119,T119,Cliff Kresge,84,279
119,T119,T119,Rocco Mediate,69,279
120,T119,T119,Grant Waite,78,279
121,T122,T122,Mark Brooks,88,278
122,T122,T122,Russ Cochran,76,278
123,124,124,Jimmy Green,94,277
124,125,125,Michael Clark II,87,276
125,126,126,Chris Perry,80,274
126,127,127,Nick Price,74,272
127,128,128,Steve Allan,88,271
128,T129,T129,"David Berganio, Jr.",76,269
129,T129,T129,Per-Ulrik Johansson,82,269
130,T129,T129,Andrew McLardy,75,269
131,132,132,Jeff Hart,87,268
132,133,133,Scott Simpson,73,266
133,134,134,Craig Perks,78,265
134,135,135,J.P. Hayes,76,263
135,136,136,Doug Dunakey,83,262
136,T137,T137,Hunter Haas,78,261
137,T137,T137,Dennis Paulson,75,261
138,139,139,Gabriel Hjertstedt,76,260
139,140,140,Dan Forsman,81,259
140,T141,T141,Brandel Chamblee,77,256
141,T141,T141,Paul Gow,79,256
142,T141,T141,Brian Henninger,81,256
143,T141,T141,Duffy Waldorf,77,256
144,145,145,Chris Tidland,83,253
145,146,146,Dicky Pride,78,250
146,T147,T147,Jeff Brehaut,80,248
147,T147,T147,Fred Couples,68,248
148,T147,T147,Danny Ellis,76,248
149,T147,T147,Rory Sabbatini,73,248
150,151,151,Bernhard Langer,62,246
151,152,152,Sergio Garcia,64,245
152,153,153,Steve Stricker,73,244
153,T154,T154,Larry Mize,76,243
154,T154,T154,Joey Sindelar,69,243
155,156,156,Brett Quigley,67,242
156,157,157,Craig Barlow,74,239
157,T158,T158,Steve Jones,75,237
158,T158,T158,Craig Parry,68,237
159,160,160,Corey Pavin,72,233
160,161,161,Ben Ferguson,76,232
161,162,162,Mark Hensby,71,231
162,T163,T163,Jim McGovern,66,228
163,T163,T163,Mark O'Meara,69,228
164,165,165,Kent Jones,74,225
165,166,166,John Huston,64,221
166,T167,T167,Ernie Els,70,220
167,T167,T167,Brent Schwarzrock,63,220
168,169,169,Geoff Ogilvy,60,219
169,170,170,Steve Elkington,64,218
170,171,171,Richie Coughlan,66,217
171,172,172,Jeremy Anderson,69,215
172,173,173,Brian Watts,56,214
173,174,174,Mark Wiebe,62,213
174,175,175,Marco Dawson,57,212
175,176,176,José Coceres,60,205
176,T177,T177,Doug Barron,62,203
177,T177,T177,Sean Murphy,70,203
178,179,179,Robert Gamez,59,202
179,180,180,Kelly Grunewald,66,201
180,T181,T181,Tom Scherrer,69,199
181,T181,T181,"Dave Stockton, Jr.",61,199
182,183,183,Bill Glasson,69,196
183,184,184,Keith Clearwater,62,193
184,185,185,Donnie Hammond,51,191
185,186,186,Fulton Allem,56,185
186,187,187,Franklin Langham,63,181
187,T188,T188,Ben Bates,53,180
188,T188,T188,Willie Wood,52,180
189,190,190,Rocky Walcher,59,173
190,191,191,Ronnie Black,51,171
191,192,192,José María Olazábal,51,169
192,193,193,Jeff Julian,55,160
193,194,194,Jean Van de Velde,52,147
