,Scoring_Average_Before_Cut_RANK THIS WEEK,Scoring_Average_Before_Cut_RANK LAST WEEK,Scoring_Average_Before_Cut_PLAYER NAME,Scoring_Average_Before_Cut_AVG,Scoring_Average_Before_Cut_TOTAL STROKES,Scoring_Average_Before_Cut_TOTAL ROUNDS
0,1,1,Phil Mickelson,68.76,3094,45
1,2,2,Scott McCarron,68.83,3579,52
2,3,3,Davis Love III,68.93,2895,42
3,4,4,Scott Verplank,69.15,3596,52
4,5,5,Vijay Singh,69.22,3392,49
5,6,6,David Duval,69.24,2839,41
6,7,7,Tiger Woods,69.26,2701,39
7,8,8,Bob Estes,69.27,3533,51
8,9,9,Chris DiMarco,69.41,3887,56
9,10,10,Kenny Perry,69.42,3471,50
10,11,11,Paul Azinger,69.6,2993,43
11,12,12,Jesper Parnevik,69.62,3481,50
12,13,13,Brian Watts,69.69,2230,32
13,14,14,David Toms,69.83,3771,54
14,15,15,John Cook,69.84,3422,49
15,T16,T16,Charles Howell III,69.87,3284,47
16,T16,T16,Jeff Sluman,69.87,4262,61
17,18,18,Rocco Mediate,69.9,2866,41
18,19,19,Brett Quigley,69.92,2727,39
19,20,20,Tom Lehman,69.93,3217,46
20,21,21,Bernhard Langer,69.94,2308,33
21,22,22,Bob Tway,69.95,4127,59
22,23,23,Mike Weir,69.96,3288,47
23,T24,T24,Greg Chalmers,69.98,3639,52
24,T24,T24,Shigeki Maruyama,69.98,3639,52
25,T26,T26,Robert Allenby,70.0,4130,59
26,T26,T26,Brad Faxon,70.0,3570,51
27,T26,T26,Jim Furyk,70.0,3570,51
28,T29,T29,Mark Calcavecchia,70.02,3361,48
29,T29,T29,Kirk Triplett,70.02,3571,51
30,T31,T31,Cameron Beckman,70.03,4202,60
31,T31,T31,Joel Edwards,70.03,4272,61
32,T31,T31,Sergio Garcia,70.03,2451,35
33,T31,T31,Jerry Kelly,70.03,4412,63
34,35,35,Fred Funk,70.06,4624,66
35,36,36,Nick Price,70.08,2803,40
36,37,37,Ernie Els,70.09,2383,34
37,38,38,Hal Sutton,70.13,3717,53
38,39,39,Jonathan Kaye,70.14,4629,66
39,T40,T40,Brent Geiberger,70.15,3367,48
40,T40,T40,Billy Mayfair,70.15,4139,59
41,42,42,Frank Lickliter II,70.16,4280,61
42,T43,T43,Steve Lowery,70.17,3719,53
43,T43,T43,Chris Riley,70.17,4210,60
44,45,45,Jay Haas,70.19,3018,43
45,46,46,Stewart Cink,70.21,4002,57
46,47,47,Scott Hoch,70.22,3511,50
47,T48,T48,Bob May,70.23,3371,48
48,T48,T48,Chris Smith,70.23,4354,62
49,50,50,Kevin Sutherland,70.25,4215,60
50,T51,T51,Jim Carter,70.29,3866,55
51,T51,T51,Donnie Hammond,70.29,2179,31
52,T51,T51,J.L. Lewis,70.29,4428,63
53,54,54,Brian Gay,70.32,4641,66
54,T55,T55,Stuart Appleby,70.37,4011,57
55,T55,T55,Steve Stricker,70.37,2674,38
56,57,57,Briny Baird,70.38,4434,63
57,58,58,José Coceres,70.4,2464,35
58,59,59,"David Berganio, Jr.",70.43,3240,46
59,60,60,Steve Flesch,70.44,4508,64
60,61,61,John Riegger,70.45,3593,51
61,62,62,Lee Janzen,70.46,4157,59
62,T63,T63,K.J. Choi,70.47,4017,57
63,T63,T63,Mike Sposa,70.47,4017,57
64,65,65,Frank Nobilo,70.48,3947,56
65,66,66,Paul Stankowski,70.5,3807,54
66,67,67,Harrison Frazar,70.55,3598,51
67,T68,T68,Russ Cochran,70.56,3175,45
68,T68,T68,Tom Pernice Jr.,70.56,4798,68
69,70,70,Justin Leonard,70.57,4234,60
70,T71,T71,Olin Browne,70.58,4376,62
71,T71,T71,Dudley Hart,70.58,3176,45
72,T73,T73,Glen Hnatiuk,70.59,4306,61
73,T73,T73,Craig Parry,70.59,2894,41
74,T75,T75,Stephen Ames,70.6,3530,50
75,T75,T75,Skip Kendall,70.6,4589,65
76,77,77,Joe Durant,70.64,3744,53
77,78,78,Craig Barlow,70.67,3180,45
78,79,79,Jay Don Blake,70.68,4382,62
79,80,80,Edward Fryatt,70.69,4383,62
80,81,81,Robert Damron,70.71,3960,56
81,82,82,John Daly,70.72,3536,50
82,T83,T83,Fred Couples,70.73,2900,41
83,T83,T83,Len Mattiace,70.73,4244,60
