,Eagles_Holes_per_RANK THIS WEEK,Eagles_Holes_per_RANK LAST WEEK,Eagles_Holes_per_PLAYER NAME,Eagles_Holes_per_ROUNDS,Eagles_Holes_per_FREQUENCY,Eagles_Holes_per_# OF HOLES,Eagles_Holes_per_# OF EAGLES
0,1,1,Phil Mickelson,85,73.8,1476,20
1,2,2,Brad Faxon,95,92.1,1566,17
2,3,3,Fred Couples,68,94.2,1224,13
3,4,4,Mike Weir,86,96.8,1548,16
4,5,5,Tiger Woods,76,97.7,1368,14
5,6,6,Jesper Parnevik,91,109.2,1638,15
6,7,7,Rory Sabbatini,73,112.9,1242,11
7,8,8,Brett Quigley,67,113.4,1134,10
8,9,9,Ernie Els,70,120.0,1080,9
9,10,10,Andrew Magee,97,120.9,1692,14
10,11,11,Frank Lickliter II,102,122.4,1836,15
11,12,12,Craig Perks,78,124.4,1368,11
12,13,13,Shigeki Maruyama,98,130.2,1692,13
13,14,14,John Daly,84,134.2,1476,11
14,15,15,Geoff Ogilvy,60,135.0,1080,8
15,16,16,Danny Ellis,76,136.8,1368,10
16,17,17,Steve Flesch,112,137.6,1926,14
17,18,18,Vijay Singh,98,138.0,1656,12
18,19,19,Bradley Hughes,96,141.0,1692,12
19,T20,T20,Mark Calcavecchia,81,142.2,1422,10
20,T20,T20,Brent Geiberger,84,142.2,1422,10
21,22,22,Carlos Franco,87,142.4,1566,11
22,23,23,Len Mattiace,98,144.0,1728,12
23,24,24,Bob Burns,92,145.6,1602,11
24,25,25,Russ Cochran,76,146.0,1314,9
25,26,26,Kevin Sutherland,101,147.0,1764,12
26,27,27,Scott McCarron,98,153.8,1692,11
27,28,28,Sergio Garcia,64,154.3,1080,7
28,29,29,Jeff Sluman,106,156.0,1872,12
29,30,30,Paul Stankowski,91,158.4,1584,10
30,31,31,Robert Allenby,108,159.0,1908,12
31,32,32,Jason Gore,82,160.0,1440,9
32,T33,T33,Rich Beem,91,160.2,1602,10
33,T33,T33,Edward Fryatt,93,160.2,1602,10
34,T35,T35,Craig Barlow,74,162.0,1296,8
35,T35,T35,Joe Ogilvie,110,162.0,1944,12
36,T35,T35,Brent Schwarzrock,63,162.0,1134,7
37,38,38,Tommy Armour III,93,163.8,1638,10
38,39,39,Jerry Kelly,104,165.3,1818,11
39,T40,T40,Harrison Frazar,88,168.0,1512,9
40,T40,T40,Jeff Maggert,84,168.0,1512,9
41,T42,T42,Briny Baird,106,168.5,1854,11
42,T42,T42,Chris DiMarco,108,168.5,1854,11
43,44,44,Dudley Hart,80,168.8,1350,8
44,45,45,Brandt Jobe,96,169.2,1692,10
45,46,46,Richie Coughlan,66,169.7,1188,7
46,T47,T47,Hunter Haas,78,171.0,1368,8
47,T47,T47,Gabriel Hjertstedt,76,171.0,1368,8
48,T47,T47,Hal Sutton,96,171.0,1710,10
49,50,50,Steve Allan,88,172.0,1548,9
50,51,51,J.L. Lewis,108,173.5,1908,11
51,52,52,Rocky Walcher,59,177.0,1062,6
52,53,53,Rocco Mediate,69,177.4,1242,7
53,54,54,Paul Azinger,79,177.8,1422,8
54,55,55,Kenny Perry,94,178.0,1602,9
55,56,56,Cameron Beckman,103,178.2,1782,10
56,57,57,Per-Ulrik Johansson,82,180.0,1440,8
57,58,58,Jonathan Kaye,116,183.3,2016,11
58,T59,T59,Carl Paulson,93,186.0,1674,9
59,T59,T59,David Peoples,96,186.0,1674,9
60,61,61,J.J. Henry,86,189.0,1512,8
61,62,62,Dennis Paulson,75,190.3,1332,7
62,63,63,Michael Clark II,87,191.3,1530,8
63,64,64,David Toms,100,192.0,1728,9
64,T65,T65,Tommy Tolles,89,193.5,1548,8
65,T65,T65,Garrett Willis,88,193.5,1548,8
66,T65,T65,Brian Wilson,88,193.5,1548,8
67,T68,T68,Steve Lowery,100,194.0,1746,9
68,T68,T68,Scott Verplank,99,194.0,1746,9
69,70,70,Steve Stricker,73,195.0,1170,6
70,71,71,Stuart Appleby,105,196.0,1764,9
71,T72,T72,Jeff Brehaut,80,198.0,1386,7
72,T72,T72,Joel Edwards,99,198.0,1782,9
73,T72,T72,Justin Leonard,106,198.0,1782,9
74,T72,T72,Joey Sindelar,69,198.0,1188,6
75,76,76,Chris Riley,104,200.0,1800,9
76,77,77,Dicky Pride,78,200.6,1404,7
77,78,78,Jim Carter,103,202.0,1818,9
78,79,79,Tim Herron,97,204.8,1638,8
79,T80,T80,Joe Durant,80,205.7,1440,7
80,T80,T80,Blaine McCallister,80,205.7,1440,7
81,82,82,Mathew Goggin,96,209.3,1674,8
82,83,83,Ted Tryba,110,212.0,1908,9
83,84,84,Kirk Triplett,88,213.4,1494,7
84,T85,T85,Stephen Ames,88,216.0,1512,7
85,T85,T85,John Huston,64,216.0,1080,5
86,T85,T85,John Riegger,86,216.0,1512,7
87,88,88,Brad Elder,111,218.0,1962,9
88,89,89,Stewart Cink,102,218.3,1746,8
89,90,90,Tom Byrum,85,218.6,1530,7
90,91,91,David Duval,78,219.0,1314,6
91,92,92,David Morland IV,88,221.1,1548,7
92,T93,T93,Davis Love III,75,225.0,1350,6
93,T93,T93,Shaun Micheel,103,225.0,1800,8
94,95,95,John Cook,91,226.3,1584,7
95,96,96,Frank Nobilo,91,228.9,1602,7
96,T97,T97,Ronnie Black,51,229.5,918,4
97,T97,T97,Tom Pernice Jr.,106,229.5,1836,8
98,99,99,Bill Glasson,69,234.0,1170,5
99,T100,T100,K.J. Choi,95,236.6,1656,7
100,T100,T100,Jimmy Green,94,236.6,1656,7
101,T100,T100,Michael Muehr,94,236.6,1656,7
102,103,103,Scott Dunlap,80,237.0,1422,6
103,104,104,Kelly Grunewald,66,237.6,1188,5
104,105,105,Ben Bates,53,238.5,954,4
105,T106,T106,Bob May,86,240.0,1440,6
106,T106,T106,Chris Tidland,83,240.0,1440,6
107,108,108,Jerry Smith,95,244.3,1710,7
108,109,109,Olin Browne,99,246.9,1728,7
109,110,110,Jeremy Anderson,69,248.4,1242,5
110,T111,T111,Glen Day,89,252.0,1512,6
111,T111,T111,Scott Hoch,84,252.0,1512,6
112,T111,T111,Chris Smith,101,252.0,1764,7
113,114,114,Marco Dawson,57,256.5,1026,4
114,115,115,Billy Mayfair,102,257.1,1800,7
115,116,116,Steve Pate,89,258.0,1548,6
116,117,117,Greg Kraft,105,262.3,1836,7
117,118,118,"David Berganio, Jr.",76,262.8,1314,5
118,119,119,Robin Freeman,105,264.9,1854,7
119,120,120,Robert Gamez,59,265.5,1062,4
120,T121,T121,Andrew McLardy,75,270.0,1350,5
121,T121,T121,Lee Porter,93,270.0,1620,6
122,123,123,Skip Kendall,111,277.7,1944,7
123,124,124,Mark Wiebe,62,279.0,1116,4
124,125,125,Jim McGovern,66,283.5,1134,4
