,Back_9_Round_3_Scoring_Average_RANK THIS WEEK,Back_9_Round_3_Scoring_Average_RANK LAST WEEK,Back_9_Round_3_Scoring_Average_PLAYER NAME,Back_9_Round_3_Scoring_Average_AVG,Back_9_Round_3_Scoring_Average_TOTAL STROKES,Back_9_Round_3_Scoring_Average_TOTAL ROUNDS
0,T1,T1,Jim Furyk,34.0,680,20
1,T1,T1,Scott Hoch,34.0,612,18
2,3,3,Fulton Allem,34.13,273,8
3,4,4,Charles Howell III,34.16,649,19
4,5,5,Ben Bates,34.22,308,9
5,6,6,Sergio Garcia,34.23,445,13
6,7,7,Bill Glasson,34.25,274,8
7,8,8,Vijay Singh,34.27,754,22
8,9,9,Stuart Appleby,34.29,720,21
9,10,10,Lee Janzen,34.35,584,17
10,11,11,José Coceres,34.36,378,11
11,12,12,Tiger Woods,34.37,653,19
12,T13,T13,Pete Jordan,34.41,585,17
13,T13,T13,Nick Price,34.41,585,17
14,15,15,Jeremy Anderson,34.44,310,9
15,16,16,Joe Durant,34.47,517,15
16,17,17,Kenny Perry,34.48,724,21
17,18,18,Stephen Ames,34.5,621,18
18,T19,T19,Frank Lickliter II,34.55,760,22
19,T19,T19,Kevin Sutherland,34.55,691,20
20,21,21,Phil Mickelson,34.58,657,19
21,22,22,David Toms,34.59,761,22
22,T23,T23,Dan Forsman,34.6,519,15
23,T23,T23,Gabriel Hjertstedt,34.6,346,10
24,T25,T25,K.J. Choi,34.61,623,18
25,T25,T25,Jeff Sluman,34.61,796,23
26,T27,T27,Paul Azinger,34.63,658,19
27,T27,T27,Bob Estes,34.63,658,19
28,T29,T29,Bernhard Langer,34.67,520,15
29,T29,T29,Mark Wiebe,34.67,312,9
30,T31,T31,Craig Perks,34.7,347,10
31,T31,T31,Joey Sindelar,34.7,347,10
32,T33,T33,J.J. Henry,34.73,521,15
33,T33,T33,Hal Sutton,34.73,764,22
34,35,35,Dudley Hart,34.75,556,16
35,36,36,Rocco Mediate,34.76,591,17
36,37,37,Scott Dunlap,34.77,452,13
37,38,38,José María Olazábal,34.78,313,9
38,T39,T39,Woody Austin,34.79,487,14
39,T39,T39,Larry Mize,34.79,487,14
40,T41,T41,Glen Day,34.8,522,15
41,T41,T41,Willie Wood,34.8,348,10
42,T43,T43,Olin Browne,34.83,627,18
43,T43,T43,Mark Calcavecchia,34.83,627,18
44,T43,T43,Chris DiMarco,34.83,836,24
