,Stroke_Differential_Field_Average_RANK THIS WEEK,Stroke_Differential_Field_Average_RANK LAST WEEK,Stroke_Differential_Field_Average_PLAYER NAME,Stroke_Differential_Field_Average_ROUNDS,Stroke_Differential_Field_Average_STROKE DIFFERENTIAL,Stroke_Differential_Field_Average_PLAYER'S SCORE,Stroke_Differential_Field_Average_FIELD AVERAGE SCORE
0,1,1,Tiger Woods,76,2.45,68.87,71.32
1,2,2,Davis Love III,75,2.18,69.03,71.21
2,3,3,Phil Mickelson,85,2.08,69.16,71.24
3,4,4,Vijay Singh,98,2.05,69.34,71.39
4,5,5,Sergio Garcia,64,1.9,69.6,71.5
5,6,6,Bernhard Langer,62,1.53,69.8,71.33
6,7,7,Charles Howell III,89,1.52,69.59,71.11
7,8,8,Scott Hoch,84,1.51,69.87,71.38
8,9,9,Chris DiMarco,108,1.5,69.7,71.2
9,10,10,Nick Price,74,1.47,69.69,71.16
10,11,11,David Toms,100,1.45,69.71,71.16
11,12,12,Bob Estes,91,1.44,69.55,70.99
12,13,13,Scott Verplank,99,1.43,69.48,70.91
13,14,14,David Duval,78,1.4,69.62,71.02
14,15,15,Scott McCarron,98,1.38,69.57,70.95
15,16,16,Tom Lehman,82,1.35,69.72,71.07
16,17,17,Jim Furyk,88,1.34,69.65,70.99
17,18,18,Kevin Sutherland,101,1.29,70.1,71.39
18,T19,T19,Kenny Perry,94,1.27,69.6,70.87
19,T19,T19,Jeff Sluman,106,1.27,69.67,70.94
20,21,21,Paul Azinger,79,1.26,69.96,71.22
21,22,22,Mike Weir,86,1.21,70.06,71.27
22,23,23,Rocco Mediate,69,1.17,69.97,71.14
23,24,24,Jesper Parnevik,91,1.15,70.02,71.17
24,25,25,Stewart Cink,102,1.06,70.1,71.16
25,26,26,Billy Mayfair,102,1.05,70.01,71.06
26,27,27,Bob Tway,109,1.04,70.08,71.12
27,28,28,Kirk Triplett,88,1.01,70.0,71.01
28,29,29,Ernie Els,70,1.0,70.5,71.5
29,30,30,Frank Lickliter II,102,0.99,70.14,71.13
30,31,31,Joe Durant,80,0.97,70.31,71.28
31,T32,T32,Jay Haas,75,0.96,70.04,71.0
32,T32,T32,Brett Quigley,67,0.96,70.14,71.1
33,T34,T34,Brian Gay,114,0.95,70.1,71.05
34,T34,T34,Jerry Kelly,104,0.95,70.34,71.29
35,T36,T36,Mark Calcavecchia,81,0.93,70.27,71.2
36,T36,T36,Fred Funk,118,0.93,70.15,71.08
37,T38,T38,Dudley Hart,80,0.86,70.15,71.01
38,T38,T38,Hal Sutton,96,0.86,70.18,71.04
39,40,40,John Cook,91,0.84,70.13,70.97
40,41,41,Cameron Beckman,103,0.83,70.02,70.85
41,42,42,Brad Faxon,95,0.82,70.36,71.18
42,T43,T43,Steve Flesch,112,0.8,70.46,71.26
43,T43,T43,Shigeki Maruyama,98,0.8,70.32,71.12
44,45,45,Skip Kendall,111,0.78,70.4,71.18
45,46,46,Joel Edwards,99,0.77,70.09,70.86
46,47,47,K.J. Choi,95,0.74,70.6,71.34
47,48,48,Robert Allenby,108,0.73,70.44,71.17
48,49,49,José María Olazábal,51,0.72,70.96,71.68
49,50,50,Justin Leonard,106,0.71,70.43,71.14
50,51,51,Chris Smith,101,0.68,70.45,71.13
51,52,52,Olin Browne,99,0.67,70.33,71.0
52,T53,T53,Stuart Appleby,105,0.66,70.4,71.06
53,T53,T53,Lee Janzen,96,0.66,70.66,71.32
54,T53,T53,Chris Riley,104,0.66,70.5,71.16
55,T56,T56,Steve Lowery,100,0.65,70.41,71.06
56,T56,T56,Steve Stricker,73,0.65,70.54,71.19
57,58,58,Brian Watts,56,0.64,70.21,70.85
58,59,59,Greg Chalmers,92,0.63,70.43,71.06
59,60,60,Corey Pavin,72,0.62,70.81,71.43
60,61,61,John Daly,84,0.61,70.7,71.31
61,62,62,Mike Sposa,96,0.6,70.62,71.22
62,63,63,José Coceres,60,0.59,70.39,70.98
63,64,64,Billy Andrade,82,0.57,70.76,71.33
64,65,65,Tim Herron,97,0.56,70.6,71.16
65,66,66,Briny Baird,106,0.52,70.39,70.91
66,T67,T67,Fred Couples,68,0.49,70.82,71.31
67,T67,T67,Bob May,86,0.49,70.46,70.95
68,T69,T69,Glen Day,89,0.48,70.37,70.85
69,T69,T69,Harrison Frazar,88,0.48,70.75,71.23
70,T69,T69,Craig Parry,68,0.48,70.71,71.19
71,72,72,Jonathan Kaye,116,0.47,70.6,71.07
72,73,73,J.J. Henry,86,0.46,70.63,71.09
73,74,74,Frank Nobilo,91,0.45,70.69,71.14
74,75,75,"David Berganio, Jr.",76,0.43,70.52,70.95
75,76,76,Stephen Ames,88,0.4,70.45,70.85
76,T77,T77,Glen Hnatiuk,104,0.38,70.68,71.06
77,T77,T77,Loren Roberts,84,0.38,70.68,71.06
78,79,79,Matt Gogel,83,0.37,71.04,71.41
79,80,80,David Peoples,96,0.36,70.61,70.97
80,T81,T81,Edward Fryatt,93,0.35,70.78,71.13
81,T81,T81,Brent Geiberger,84,0.35,70.51,70.86
82,T83,T83,Neal Lancaster,107,0.31,70.58,70.89
83,T83,T83,Dennis Paulson,75,0.31,71.12,71.43
84,85,85,Jeff Maggert,84,0.3,70.86,71.16
85,T86,T86,Donnie Hammond,51,0.29,70.57,70.86
86,T86,T86,Jim McGovern,66,0.29,70.94,71.23
87,T86,T86,John Riegger,86,0.29,70.68,70.97
88,T86,T86,Willie Wood,52,0.29,70.94,71.23
89,90,90,Brandt Jobe,96,0.28,70.86,71.14
90,T91,T91,Craig Barlow,74,0.27,70.79,71.06
91,T91,T91,Jay Don Blake,100,0.27,70.75,71.02
92,T91,T91,Len Mattiace,98,0.27,70.76,71.03
93,T94,T94,Dan Forsman,81,0.26,70.92,71.18
94,T94,T94,Mark O'Meara,69,0.26,71.09,71.35
95,T96,T96,Steve Elkington,64,0.25,71.02,71.27
96,T96,T96,Tom Pernice Jr.,106,0.25,70.83,71.08
97,T98,T98,Russ Cochran,76,0.24,70.58,70.82
98,T98,T98,Scott Dunlap,80,0.24,71.16,71.4
99,T98,T98,David Frost,87,0.24,70.86,71.1
100,T98,T98,Joey Sindelar,69,0.24,70.94,71.18
101,T102,T102,John Huston,64,0.19,70.88,71.07
102,T102,T102,Chris Perry,80,0.19,71.0,71.19
103,T104,T104,J.L. Lewis,108,0.18,70.84,71.02
104,T104,T104,Esteban Toledo,116,0.18,70.91,71.09
105,106,106,Michael Muehr,94,0.17,70.76,70.93
106,107,107,Per-Ulrik Johansson,82,0.13,70.91,71.04
107,T108,T108,Scott Simpson,73,0.12,70.71,70.83
108,T108,T108,Paul Stankowski,91,0.12,71.02,71.14
109,T108,T108,Grant Waite,78,0.12,71.13,71.25
110,T111,T111,Mark Brooks,88,0.11,71.09,71.2
111,T111,T111,Tom Byrum,85,0.11,70.93,71.04
112,T111,T111,Jerry Smith,95,0.11,70.78,70.89
113,114,114,Brent Schwarzrock,63,0.07,71.06,71.13
114,115,115,J.P. Hayes,76,0.06,71.22,71.28
115,116,116,Jim Carter,103,0.05,70.84,70.89
116,117,117,Greg Kraft,105,0.01,71.1,71.11
117,118,118,Ian Leggatt,84,-0.02,70.92,70.9
118,119,119,Rich Beem,91,-0.03,71.09,71.06
119,120,120,Ronnie Black,51,-0.05,71.29,71.24
120,T121,T121,Brandel Chamblee,77,-0.06,71.18,71.12
121,T121,T121,Lee Porter,93,-0.06,71.14,71.08
122,T121,T121,Duffy Waldorf,77,-0.06,71.53,71.47
123,124,124,Brad Elder,111,-0.07,71.2,71.13
124,T125,T125,Marco Dawson,57,-0.09,71.23,71.14
125,T125,T125,Carlos Franco,87,-0.09,71.24,71.15
126,127,127,Robert Damron,91,-0.1,71.15,71.05
127,128,128,Kaname Yokoo,81,-0.12,71.28,71.16
128,129,129,Carl Paulson,93,-0.13,71.54,71.41
129,130,130,Paul Gow,79,-0.14,71.17,71.03
130,T131,T131,Bob Burns,92,-0.17,71.01,70.84
131,T131,T131,Shaun Micheel,103,-0.17,71.33,71.16
132,T131,T131,Joe Ogilvie,110,-0.17,71.12,70.95
133,T131,T131,Ted Tryba,110,-0.17,71.02,70.85
134,T135,T135,Tripp Isenhour,92,-0.18,71.25,71.07
135,T135,T135,Larry Mize,76,-0.18,71.05,70.87
136,T137,T137,Spike McRoy,95,-0.24,70.91,70.67
137,T137,T137,Craig Perks,78,-0.24,71.13,70.89
138,T137,T137,Jay Williamson,92,-0.24,71.2,70.96
139,T140,T140,Pete Jordan,105,-0.25,71.17,70.92
140,T140,T140,Blaine McCallister,80,-0.25,71.2,70.95
141,T142,T142,Paul Goydos,86,-0.28,71.31,71.03
142,T142,T142,Andrew Magee,97,-0.28,71.39,71.11
143,T142,T142,Mark Wiebe,62,-0.28,71.63,71.35
144,145,145,Chris Tidland,83,-0.29,71.36,71.07
145,146,146,Jeff Brehaut,80,-0.3,71.57,71.27
146,T147,T147,Danny Ellis,76,-0.31,71.36,71.05
147,T147,T147,Bradley Hughes,96,-0.31,71.28,70.97
148,T149,T149,Michael Clark II,87,-0.32,71.26,70.94
149,T149,T149,Steve Pate,89,-0.32,71.27,70.95
150,151,151,Bill Glasson,69,-0.34,71.26,70.92
151,T152,T152,Fulton Allem,56,-0.36,71.18,70.82
152,T152,T152,Tommy Armour III,93,-0.36,71.38,71.02
153,T152,T152,Ben Bates,53,-0.36,71.53,71.17
154,T152,T152,Andrew McLardy,75,-0.36,71.31,70.95
155,156,156,Rory Sabbatini,73,-0.37,71.28,70.91
156,T157,T157,Jeff Hart,87,-0.4,71.39,70.99
157,T157,T157,Steve Jones,75,-0.4,71.58,71.18
158,159,159,Kevin Johnson,93,-0.43,71.42,70.99
159,T160,T160,Jean Van de Velde,52,-0.44,71.84,71.4
160,T160,T160,Garrett Willis,88,-0.44,71.65,71.21
161,162,162,Geoff Ogilvy,60,-0.45,71.58,71.13
162,163,163,Robin Freeman,105,-0.48,71.55,71.07
163,T164,T164,Craig Kanada,80,-0.5,71.68,71.18
164,T164,T164,Cliff Kresge,84,-0.5,71.59,71.09
165,166,166,David Morland IV,88,-0.58,71.52,70.94
166,167,167,Robert Gamez,59,-0.59,71.81,71.22
167,T168,T168,Gabriel Hjertstedt,76,-0.6,71.66,71.06
168,T168,T168,Brian Wilson,88,-0.6,71.51,70.91
169,T170,T170,Jason Gore,82,-0.62,71.49,70.87
170,T170,T170,Franklin Langham,63,-0.62,72.07,71.45
171,172,172,Woody Austin,99,-0.66,71.49,70.83
