,Reverse_Bounce_Back_RANK THIS WEEK,Reverse_Bounce_Back_RANK LAST WEEK,Reverse_Bounce_Back_PLAYER NAME,Reverse_Bounce_Back_ROUNDS,Reverse_Bounce_Back_% UNDER THEN OVER PAR,Reverse_Bounce_Back_TOTAL UNDER THEN OVER PAR,Reverse_Bounce_Back_UNDER PAR
0,1,1,Charles Howell III,89,9.01,30,333
1,2,2,Paul Azinger,79,9.59,28,292
2,3,3,Davis Love III,75,10.34,33,319
3,4,4,Glen Day,89,10.96,33,301
4,5,5,Tiger Woods,76,11.18,36,322
5,6,6,Joe Durant,80,11.19,33,295
6,7,7,Bernhard Langer,62,11.34,27,238
7,8,8,Kevin Sutherland,101,11.41,42,368
8,9,9,Bob Estes,91,11.44,39,341
9,10,10,Bill Glasson,69,11.58,22,190
10,11,11,Kirk Triplett,88,11.61,36,310
11,12,12,Skip Kendall,111,11.72,47,401
12,T13,T13,Billy Mayfair,102,11.73,44,375
13,T13,T13,Kenny Perry,94,11.73,44,375
14,15,15,Len Mattiace,98,12.08,36,298
15,16,16,Jerry Kelly,104,12.09,44,364
16,17,17,Lee Janzen,96,12.24,41,335
17,18,18,Scott Verplank,99,12.47,48,385
18,19,19,David Duval,78,12.58,38,302
19,20,20,Chris Perry,80,12.6,33,262
20,21,21,Jonathan Kaye,116,12.65,52,411
21,22,22,Esteban Toledo,116,12.7,47,370
22,23,23,Briny Baird,106,12.75,45,353
23,24,24,Paul Gow,79,12.76,31,243
24,25,25,Loren Roberts,84,12.78,34,266
25,26,26,Vijay Singh,98,12.87,48,373
26,27,27,Chris DiMarco,108,12.91,55,426
27,T28,T28,Scott McCarron,98,12.99,50,385
28,T28,T28,Larry Mize,76,12.99,30,231
29,30,30,Jeff Sluman,106,13.03,55,422
30,31,31,Brett Quigley,67,13.11,32,244
31,32,32,Craig Barlow,74,13.14,31,236
32,33,33,Robin Freeman,105,13.21,44,333
33,34,34,John Daly,84,13.23,43,325
34,T35,T35,Hal Sutton,96,13.27,45,339
35,T35,T35,David Toms,100,13.27,54,407
36,37,37,Fred Couples,68,13.31,33,248
37,38,38,John Huston,64,13.46,28,208
38,39,39,Jim McGovern,66,13.51,30,222
39,40,40,Neal Lancaster,107,13.53,51,377
40,41,41,Joel Edwards,99,13.64,51,374
41,42,42,Mike Weir,86,13.69,43,314
42,43,43,Jim Furyk,88,13.73,46,335
43,44,44,Steve Flesch,112,13.79,56,406
44,45,45,Mark Calcavecchia,81,13.8,45,326
45,46,46,Fred Funk,118,13.83,57,412
46,47,47,Stewart Cink,102,13.9,51,367
47,T48,T48,Cameron Beckman,103,13.92,54,388
48,T48,T48,José Coceres,60,13.92,27,194
49,50,50,Rocco Mediate,69,13.96,37,265
50,T51,T51,Stephen Ames,88,13.97,44,315
51,T51,T51,Russ Cochran,76,13.97,38,272
52,53,53,Stuart Appleby,105,14.05,52,370
53,54,54,Dan Forsman,81,14.06,35,249
54,55,55,Jay Haas,75,14.07,37,263
55,56,56,Tom Pernice Jr.,106,14.09,52,369
56,57,57,Willie Wood,52,14.12,24,170
57,58,58,Nick Price,74,14.18,38,268
58,59,59,Tom Lehman,82,14.29,43,301
59,T60,T60,Phil Mickelson,85,14.32,53,370
60,T60,T60,Bob Tway,109,14.32,58,405
61,62,62,Robert Damron,91,14.43,43,298
62,T63,T63,K.J. Choi,95,14.51,47,324
63,T63,T63,Scott Simpson,73,14.51,37,255
64,65,65,Brad Faxon,95,14.56,46,316
65,66,66,"David Berganio, Jr.",76,14.62,37,253
66,67,67,Brian Watts,56,14.63,30,205
67,68,68,Scott Hoch,84,14.72,48,326
68,69,69,Mark Wiebe,62,14.78,30,203
69,70,70,Tripp Isenhour,92,14.81,44,297
70,71,71,Steve Elkington,64,14.9,31,208
71,T72,T72,Billy Andrade,82,14.91,41,275
72,T72,T72,Steve Pate,89,14.91,41,275
73,74,74,Jay Williamson,92,14.92,44,295
74,75,75,Rory Sabbatini,73,15.0,36,240
75,76,76,Steve Lowery,100,15.03,52,346
76,77,77,Blaine McCallister,80,15.07,41,272
77,T78,T78,Glen Hnatiuk,104,15.12,52,344
78,T78,T78,Paul Stankowski,91,15.12,49,324
79,80,80,Steve Stricker,73,15.13,36,238
80,81,81,Shaun Micheel,103,15.15,45,297
81,82,82,Robert Allenby,108,15.16,57,376
82,83,83,Chris Riley,104,15.18,56,369
83,T84,T84,Mark O'Meara,69,15.21,33,217
84,T84,T84,Geoff Ogilvy,60,15.21,33,217
85,T86,T86,Chris Smith,101,15.22,56,368
86,T86,T86,Jean Van de Velde,52,15.22,21,138
87,88,88,Dudley Hart,80,15.3,43,281
88,89,89,Frank Lickliter II,102,15.35,62,404
89,90,90,Jesper Parnevik,91,15.36,51,332
90,91,91,Mike Sposa,96,15.41,51,331
91,92,92,Tim Herron,97,15.46,47,304
92,93,93,Fulton Allem,56,15.47,28,181
93,T94,T94,Kevin Johnson,93,15.49,46,297
94,T94,T94,Steve Jones,75,15.49,35,226
95,96,96,Brian Gay,114,15.5,64,413
96,97,97,José María Olazábal,51,15.53,25,161
97,98,98,Bob May,86,15.55,44,283
98,99,99,John Cook,91,15.64,51,326
99,T100,T100,J.L. Lewis,108,15.73,56,356
100,T100,T100,Frank Nobilo,91,15.73,45,286
101,102,102,Corey Pavin,72,15.74,34,216
102,T103,T103,Carlos Franco,87,15.77,50,317
103,T103,T103,Mark Hensby,71,15.77,35,222
104,T105,T105,Harrison Frazar,88,15.82,47,297
105,T105,T105,Justin Leonard,106,15.82,59,373
106,107,107,Kent Jones,74,15.87,33,208
107,108,108,Shigeki Maruyama,98,15.88,54,340
